associatedsequences,barcodeValue,basisOfRecord,bed,canonicalName,catalogNumber,class,collectionCode,collectionID,collectionName,recordedBy,vernacularName,commonnames,continent,coordinateUncertaintyInMeters,country,isoCountryCode,county,datasetID,eventDate,dateModified,dataQualityScore,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,etag,family,fieldNumber,flags,formation,genus,geologicalContextID,geoPoint,group,hasImage,hasMedia,higherClassification,highestBiostratigraphicZone,individualCount,infraspecificEpithet,institutionCode,institutionID,institutionName,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lithostratigraphicTerms,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,mediarecords,member,minimumDepthInMeters,minimumElevationInMeters,municipality,occurrenceID,order,phylum,recordIds,recordNumber,recordset,scientificName,specificEpithet,startDayOfYear,stateProvince,taxonID,taxonomicStatus,taxonRank,typeStatus,uuid,verbatimEventDate,verbatimLocality,version,waterBody,species_name,x,y
,,preservedspecimen,,heuchera,,magnoliopsida,dicots,,,linda m. prince,,,north america,1000.0,united states,usa,san bernardino,7ddf754f-d193-4cc9-b351-99906754a03b,,2018-07-13T11:28:08.613961+00:00,0.18840579710144928,,,,,,8bec4fb47c6a8ca34a1ea03924135a1b5656651c,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'dwc_multimedia_added', 'dwc_phylum_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'gbif_taxon_corrected', 'dwc_order_added', 'dwc_class_added']",,heuchera,,"{'lat': 34.156, 'lon': -116.79653}",,false,false,,,,,ucr,,,plantae,,,,,,,"san bernardino national forest, santa ana river watershed, barton flats, near fire station, along santa ana river trail",,,,,,,,,ucr-bps-227487,saxifragales,tracheophyta,['dd1b8c0b-280f-4cd3-979a-ad7464c5c9b5\\\\ucr-bps-227487'],548,dd1b8c0b-280f-4cd3-979a-ad7464c5c9b5,heuchera parishii,,161,california,3032645,accepted,genus,,cae8e3c8-77f7-4d20-bf28-71fcedacbbce,,,,,Heuchera parishii,-116.79653,34.156
,,preservedspecimen,,heuchera,,magnoliopsida,dicots,,,sarah j. de groot,,,north america,1000.0,united states,usa,san bernardino,7ddf754f-d193-4cc9-b351-99906754a03b,,2018-07-13T11:28:08.613961+00:00,0.2028985507246377,,,,,,e8be078ca11dfb444c6fd272da7610bc21f493ce,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'dwc_multimedia_added', 'dwc_phylum_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'gbif_taxon_corrected', 'dwc_order_added', 'dwc_class_added']",,heuchera,,"{'lat': 34.15603, 'lon': -116.74194}",,false,false,,,,,ucr,,,plantae,,,,,,,"along old road off forest service road 1n02, tributary of coon creek, slope on south side of drainage",,,,,,,2329.0,,ucr-bps-238255,saxifragales,tracheophyta,['dd1b8c0b-280f-4cd3-979a-ad7464c5c9b5\\\\ucr-bps-238255'],6218,dd1b8c0b-280f-4cd3-979a-ad7464c5c9b5,heuchera parishii,,196,california,3032645,accepted,genus,,c1e7d9aa-ab12-4cfe-953f-2a510fa34d25,,,,,Heuchera parishii,-116.74194,34.15603
,,preservedspecimen,,heuchera parishii,ucr0048447,magnoliopsida,,3818c5b4-b6a4-11e8-b408-001a64db2964,,"naomi fraga; duncan bell, sarah degroot, and tom kerrins-torres",,,north america,,united states,usa,san bernardino,7ddf754f-d193-4cc9-b351-99906754a03b,2009-06-10,2022-03-11T04:17:45.652829+00:00,0.2898550724637681,,,,,,2b5e84f66600cb079c918393cccc317f9af009a3,saxifragaceae,,"['geopoint_datum_missing', 'gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_continent_added']",,heuchera,,"{'lat': 34.19825, 'lon': -116.80767}",,true,true,organism|plantae|viridiplantae|streptophyta|embryophyta|tracheophyta|spermatophytina|magnoliopsida|myrothamnanae|saxifragales|saxifragaceae|heuchera,,,,ucr,,,plantae,,,,,,,east ridge of sugarloaf mountain,,,,c7c27a7f-789f-4858-a513-88dadb912c15,,,2927.0,,ucr-bps-220775,saxifragales,tracheophyta,"['ba042ffa-8175-4a47-8eb1-08b4d6319ccf\\\\1639148', 'urn:uuid:4caa74d4-381f-484d-af0c-3ad1ccb2ffcb', 'ba042ffa-8175-4a47-8eb1-08b4d6319ccf\\\\ucr-bps-220775']",2934,ba042ffa-8175-4a47-8eb1-08b4d6319ccf,heuchera parishii,parishii,161,california,3032664,accepted,species,,2a0bae90-fbd6-411d-bc57-98091739da6a,2009-6-10,,,,Heuchera parishii,-116.80767,34.19825
,,preservedspecimen,,heuchera parishii,,magnoliopsida,rsa,3818e1d3-b6a4-11e8-b408-001a64db2964,,"duncan s. bell; joy england, kathleen ashbaker",,,north america,,united states,usa,san bernardino,7ddf754f-d193-4cc9-b351-99906754a03b,2010-07-01,2022-01-11T02:46:27.708845+00:00,0.2753623188405797,,,,,,117a7438a8e6b1f3625a64f2f7172ad8157d386d,saxifragaceae,,"['geopoint_datum_missing', 'gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_continent_added']",,heuchera,,"{'lat': 34.2000833, 'lon': -116.7937778}",,false,false,organism|plantae|viridiplantae|streptophyta|embryophyta|tracheophyta|spermatophytina|magnoliopsida|myrothamnanae|saxifragales|saxifragaceae|heuchera,,,,rsa,,,plantae,,,,,,,"san bernardino national forest: along eastern ridgeline of sugarloaf mountain, approximately 1.2 air miles east of sugarloaf summit.; moonridge quad.",,,,,,,2927.0,,33c0d273-5e8b-45f3-91e5-544f376f8e3e,saxifragales,tracheophyta,"['urn:uuid:ee9f73e5-2338-4743-93a0-05783ac6e385', 'a4e6033a-d1eb-46d3-869d-7c0328f09aa7\\\\746780', 'a4e6033a-d1eb-46d3-869d-7c0328f09aa7\\\\33c0d273-5e8b-45f3-91e5-544f376f8e3e', 'a4e6033a-d1eb-46d3-869d-7c0328f09aa7\\\\18523104', 'urn:uuid:a9230f79-bd74-43fd-9009-e7aebe58a2d0']",1520,a4e6033a-d1eb-46d3-869d-7c0328f09aa7,heuchera parishii,parishii,182,california,3032664,accepted,species,,4449148c-49d6-4b0c-9b8a-ff952319ec21,,,,,Heuchera parishii,-116.7937778,34.2000833
,,preservedspecimen,,heuchera parishii,rsa0063241,magnoliopsida,rsa,3818e1d3-b6a4-11e8-b408-001a64db2964,,scott d. white; justin m. wood,,,north america,400.0,united states,usa,san bernardino,7ddf754f-d193-4cc9-b351-99906754a03b,2008-07-17,2022-01-11T02:46:27.708845+00:00,0.3333333333333333,,,,,,b214ccbaa08c72b55610de269dc76b84411102c3,saxifragaceae,,"['dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_taxonomicstatus_added', 'dwc_continent_added', 'gbif_reference_added', 'dwc_parentnameusageid_added']",,heuchera,,"{'lat': 34.1833333, 'lon': -116.7416667}",,false,false,organism|plantae|viridiplantae|streptophyta|embryophyta|tracheophyta|spermatophytina|magnoliopsida|myrothamnanae|saxifragales|saxifragaceae|heuchera,,,,rsa,,,plantae,,,,,,,usfssan bernardino mountains: wildhorse rd. (2n93.2) ca. 0.5 miles ne of junction w/ hwy 38. unnamed spring + stream channel.; onyx peak,,,2439.0,,,,2348.0,,5ff2bf86-f66f-4e48-b624-ddc27347d2c7,saxifragales,tracheophyta,"['a4e6033a-d1eb-46d3-869d-7c0328f09aa7\\\\914762', 'urn:uuid:2ea6fce6-2ce5-4ca5-b1cd-ea9e47a19646', 'urn:uuid:b33faaee-1573-4e27-87f5-f7c9f511e6d1', 'a4e6033a-d1eb-46d3-869d-7c0328f09aa7\\\\5ff2bf86-f66f-4e48-b624-ddc27347d2c7', 'a4e6033a-d1eb-46d3-869d-7c0328f09aa7\\\\18520822']","12,460",a4e6033a-d1eb-46d3-869d-7c0328f09aa7,heuchera parishii,parishii,199,california,3032664,accepted,species,,dee5c7ee-099e-4304-9b3a-b452835b9136,,,,,Heuchera parishii,-116.7416667,34.1833333
,,preservedspecimen,,heuchera parishii,,magnoliopsida,rsa,3818e1d3-b6a4-11e8-b408-001a64db2964,,"thomas stoughton; jennifer pilapil, kathleen ashbaker",,,north america,,united states,usa,san bernardino,7ddf754f-d193-4cc9-b351-99906754a03b,2010-07-20,2022-01-11T02:46:27.708845+00:00,0.2898550724637681,,,,,,6354edb1b6a30a2f4b073745d007de7d73a6e0d0,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_continent_added']",,heuchera,,"{'lat': 34.17094, 'lon': -116.75507}",,false,false,organism|plantae|viridiplantae|streptophyta|embryophyta|tracheophyta|spermatophytina|magnoliopsida|myrothamnanae|saxifragales|saxifragaceae|heuchera,,,,rsa,,,plantae,,,,,,,"san bernardino national forestsanta ana river watershed, heart bar peak area. road to heartbar peak (fs road 1n38); moonridge 7.5' usgs",,,,,,,2327.0,,9bbb7833-d2ae-4056-a35c-22f3cb11fd21,saxifragales,tracheophyta,"['a4e6033a-d1eb-46d3-869d-7c0328f09aa7\\\\1040344', 'urn:uuid:75715231-5c79-471c-8d23-3183caa96ece', 'a4e6033a-d1eb-46d3-869d-7c0328f09aa7\\\\18631333', 'urn:uuid:9e47ef2c-e98d-4713-90a9-5bf9b93874e8', 'a4e6033a-d1eb-46d3-869d-7c0328f09aa7\\\\9bbb7833-d2ae-4056-a35c-22f3cb11fd21']",409,a4e6033a-d1eb-46d3-869d-7c0328f09aa7,heuchera parishii,parishii,201,california,3032664,accepted,species,,bce399b5-855b-492d-a1ca-52fe3915245f,,,,,Heuchera parishii,-116.75507,34.17094
,,preservedspecimen,,heuchera parishii,,magnoliopsida,rsa,3818e1d3-b6a4-11e8-b408-001a64db2964,,naomi fraga; susan malisch,,,north america,400.0,united states,usa,san bernardino,7ddf754f-d193-4cc9-b351-99906754a03b,2009-06-25,2022-01-11T02:46:27.708845+00:00,0.2898550724637681,,,,,,66078640fd155c68eef33ba5377115567750da7e,saxifragaceae,,"['dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_taxonomicstatus_added', 'dwc_continent_added', 'gbif_reference_added']",,heuchera,,"{'lat': 34.13763, 'lon': -116.76386}",,false,false,organism|plantae|viridiplantae|streptophyta|embryophyta|tracheophyta|spermatophytina|magnoliopsida|myrothamnanae|saxifragales|saxifragaceae|heuchera,,,,rsa,,,plantae,,,,,,,"san bernardino national forestalong jeep road 1n37 (beginning of the santa ana river trail), just south of its intersection with the pacific crest trail.; moonridge 7.5' quad",,,,,,,,,543e6d71-f985-46dd-9179-0ce826d8eb81,saxifragales,tracheophyta,"['a4e6033a-d1eb-46d3-869d-7c0328f09aa7\\\\874389', 'urn:uuid:b776ad7e-9b66-4516-9b0a-7940d064545e', 'urn:uuid:91f46265-9d53-4684-95f5-722a0c76c019', 'a4e6033a-d1eb-46d3-869d-7c0328f09aa7\\\\18469610', 'a4e6033a-d1eb-46d3-869d-7c0328f09aa7\\\\543e6d71-f985-46dd-9179-0ce826d8eb81']",3037,a4e6033a-d1eb-46d3-869d-7c0328f09aa7,heuchera parishii,parishii,176,california,3032664,accepted,species,,44c97a8c-2d4e-4f25-9e89-240b6ef59e7b,,,,,Heuchera parishii,-116.76386,34.13763
,,preservedspecimen,,heuchera parishii,rsa0063209,magnoliopsida,rsa,3818e1d3-b6a4-11e8-b408-001a64db2964,,sarah j. de groot; dolores gault,,,north america,,united states,usa,san bernardino,7ddf754f-d193-4cc9-b351-99906754a03b,2009-06-08,2022-01-11T02:46:27.708845+00:00,0.30434782608695654,,,,,,f62fbc89f7740509a897b363e42ed4a5f38a3132,saxifragaceae,,"['dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_continent_added', 'gbif_reference_added', 'dwc_parentnameusageid_added']",,heuchera,,"{'lat': 34.15863, 'lon': -116.97219}",,false,false,organism|plantae|viridiplantae|streptophyta|embryophyta|tracheophyta|spermatophytina|magnoliopsida|myrothamnanae|saxifragales|saxifragaceae|heuchera,,,,rsa,,,plantae,,,,,,,"san bernardino national forestsan bernardino mountains: along santa ana river trail 2e03, off middle control road, just e of cold creek.; big bear lake",,,,,,,1543.0,,01b75baa-7802-4b18-8d14-cbcaff80a089,saxifragales,tracheophyta,"['a4e6033a-d1eb-46d3-869d-7c0328f09aa7\\\\641253', 'urn:uuid:d23a4967-ab57-4c82-9979-5cf05b163379', 'a4e6033a-d1eb-46d3-869d-7c0328f09aa7\\\\18459535', 'urn:uuid:185dd57c-9127-4327-bd11-63a1e6d6d593', 'a4e6033a-d1eb-46d3-869d-7c0328f09aa7\\\\01b75baa-7802-4b18-8d14-cbcaff80a089']",6069,a4e6033a-d1eb-46d3-869d-7c0328f09aa7,heuchera parishii,parishii,159,california,3032664,accepted,species,,f48208b7-f1a5-4198-9dfa-f85031dd9496,,,,,Heuchera parishii,-116.97219,34.15863
,,preservedspecimen,,heuchera parishii,ucr0048432,magnoliopsida,,3818c5b4-b6a4-11e8-b408-001a64db2964,,sarah j. de groot; duncan s. bell,,,north america,,united states,usa,san bernardino,7ddf754f-d193-4cc9-b351-99906754a03b,2009-06-16,2022-03-11T04:17:45.652829+00:00,0.2898550724637681,,,,,,aaa8757186dcceaf843e1b5ec6f49b43134a1c6f,saxifragaceae,,"['geopoint_datum_missing', 'gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_continent_added']",,heuchera,,"{'lat': 34.15581, 'lon': -116.74733}",,true,true,organism|plantae|viridiplantae|streptophyta|embryophyta|tracheophyta|spermatophytina|magnoliopsida|myrothamnanae|saxifragales|saxifragaceae|heuchera,,,,ucr,,,plantae,,,,,,,"along tributary of coon creek, off forest service road 1n02",,,,7dd61bb9-6c4d-4ad6-b181-4328d921cc32,,,2288.0,,ucr-bps-238253,saxifragales,tracheophyta,"['ba042ffa-8175-4a47-8eb1-08b4d6319ccf\\\\1656139', 'urn:uuid:c7b6a415-1928-4397-aa89-183e47b37fce', 'ba042ffa-8175-4a47-8eb1-08b4d6319ccf\\\\ucr-bps-238253']",6133,ba042ffa-8175-4a47-8eb1-08b4d6319ccf,heuchera parishii,parishii,167,california,3032664,accepted,species,,10f9d3ff-7e55-4689-bc58-c7af4388d512,2009-6-16,,,,Heuchera parishii,-116.74733,34.15581
,,preservedspecimen,,heuchera parishii,ucr0048441,magnoliopsida,,3818c5b4-b6a4-11e8-b408-001a64db2964,,scott d. white; justin m. wood,,,north america,,united states,usa,san bernardino,7ddf754f-d193-4cc9-b351-99906754a03b,2008-07-17,2022-03-11T04:17:45.652829+00:00,0.2898550724637681,,,,,,3240d078d43caf777f0d36d35549513eb67ec91f,saxifragaceae,,"['geopoint_datum_missing', 'gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_continent_added']",,heuchera,,"{'lat': 34.18333, 'lon': -116.74167}",,true,true,organism|plantae|viridiplantae|streptophyta|embryophyta|tracheophyta|spermatophytina|magnoliopsida|myrothamnanae|saxifragales|saxifragaceae|heuchera,,,,ucr,,,plantae,,,,,,,wildhorse rd. (2n93.2) ca. 0.5 miles ne of junction w/ hwy 38. unnamed spring and stream channel,,,,6f687951-d0c7-43ef-bbfb-71171d3834e7,,,2348.0,,ucr-bps-201050,saxifragales,tracheophyta,"['ba042ffa-8175-4a47-8eb1-08b4d6319ccf\\\\ucr-bps-201050', 'ba042ffa-8175-4a47-8eb1-08b4d6319ccf\\\\1619920', 'urn:uuid:9cc80abf-0409-4fb2-a526-beac7c541130']",12460,ba042ffa-8175-4a47-8eb1-08b4d6319ccf,heuchera parishii,parishii,199,california,3032664,accepted,species,,3936274e-ade2-4ee6-9b79-377f68e02587,2008-7-17,,,,Heuchera parishii,-116.74167,34.18333
