associatedsequences,barcodeValue,basisOfRecord,bed,canonicalName,catalogNumber,class,collectionCode,collectionID,collectionName,recordedBy,vernacularName,commonnames,continent,coordinateUncertaintyInMeters,country,isoCountryCode,county,datasetID,eventDate,dateModified,dataQualityScore,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,etag,family,fieldNumber,flags,formation,genus,geologicalContextID,geoPoint,group,hasImage,hasMedia,higherClassification,highestBiostratigraphicZone,individualCount,infraspecificEpithet,institutionCode,institutionID,institutionName,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lithostratigraphicTerms,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,mediarecords,member,minimumDepthInMeters,minimumElevationInMeters,municipality,occurrenceID,order,phylum,recordIds,recordNumber,recordset,scientificName,specificEpithet,startDayOfYear,stateProvince,taxonID,taxonomicStatus,taxonRank,typeStatus,uuid,verbatimEventDate,verbatimLocality,version,waterBody,species_name,x,y
,,preservedspecimen,,heuchera parviflora,conn00166142,magnoliopsida,conn,,,k.p. jansson,,,north america,5000.0,united states,usa,new london county,7ddf754f-d193-4cc9-b351-99906754a03b,1947-07-08,2014-09-09T02:45:47.707000+00:00,0.21739130434782608,,,,,,5420a5a7374e342a9abec0e177b3eed34f405414,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'dwc_phylum_added', 'dwc_scientificnameauthorship_added', 'dwc_kingdom_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_order_replaced', 'dwc_taxonomicstatus_added', 'dwc_continent_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'gbif_reference_added', 'dwc_class_added', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'gbif_vernacularname_added', 'gbif_taxon_corrected', 'dwc_multimedia_added', 'dwc_datasetid_replaced']",,heuchera,,"{'lat': 41.37861, 'lon': -72.11027}",,true,true,plantae; dicotyledonae; rosales; saxifragaceae,,,,uconn,,,plantae,,,,,,,connecticut college arboretum,,,,4eaadcae-15bc-45fc-8b46-cc1846faa92e,,,,new london,urn:catalog:uconn:conn:conn00166142,saxifragales,tracheophyta,['e70af26a-fb9e-43ab-96a0-d62a2df37e6d\\\\urn:catalog:uconn:conn:conn00166142'],,e70af26a-fb9e-43ab-96a0-d62a2df37e6d,heuchera parviflora bartl.,parviflora,189,connecticut,3032678,accepted,species,,2db2a64b-280d-4e64-9483-d0561a953520,8 jul 1947,,,,Heuchera parviflora bartl.,-72.11027,41.37861
,,preservedspecimen,,heuchera parviflora,conn00166154,magnoliopsida,conn,,,kenneth k. mackenzie,,,north america,5000.0,united states,usa,bell county,7ddf754f-d193-4cc9-b351-99906754a03b,1905-03-18,2014-09-12T19:10:35.813000+00:00,0.2318840579710145,,,,,,125cb97b0efe4d203b7e54fc21accfa1d204b250,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'dwc_phylum_added', 'dwc_scientificnameauthorship_added', 'dwc_kingdom_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_order_replaced', 'dwc_taxonomicstatus_added', 'dwc_continent_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'gbif_reference_added', 'dwc_class_added', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'gbif_vernacularname_added', 'gbif_taxon_corrected', 'dwc_multimedia_added', 'dwc_datasetid_replaced']",,heuchera,,"{'lat': 36.76194, 'lon': -83.69472}",,true,true,plantae; dicotyledonae; rosales; saxifragaceae,,,,uconn,,,plantae,,,,,,,around pineville,,,,11c4b20a-0b12-44e6-a21d-e6e3e7735812,,,,pineville,urn:catalog:uconn:conn:conn00166154,saxifragales,tracheophyta,['e70af26a-fb9e-43ab-96a0-d62a2df37e6d\\\\urn:catalog:uconn:conn:conn00166154'],976,e70af26a-fb9e-43ab-96a0-d62a2df37e6d,heuchera parviflora bartl.,parviflora,77,kentucky,3032678,accepted,species,,6d55e6e3-5e48-4773-9ea3-a6445f324795,1904,,,,Heuchera parviflora bartl.,-83.69472,36.76194
,,preservedspecimen,,heuchera parviflora,02523233,magnoliopsida,ny,http://biocol.org/urn:lsid:biocol.org:col:15556,,g. davidse,,,north america,,united states,usa,elmore co.,7ddf754f-d193-4cc9-b351-99906754a03b,1966-06-02,2021-08-21T02:58:27.774336+00:00,0.2753623188405797,,,,,,b7875cbffe99941ba991a8e6fbb6dc5839bab284,saxifragaceae,,"['dwc_country_replaced', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_phylum_replaced', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_class_added']",,heuchera,,"{'lat': 43.572425, 'lon': -115.5667}",,true,true,,,,,ny,http://biocol.org/urn:lsid:biocol.org:col:15556,,plantae,,,,,,,"5 miles north of prairie, rocky bar intersection.",,,,d48fd61b-90a7-4401-9057-308c67f58551,,,,,d71f2afe-bc4c-4cd4-98c9-7951de792f7c,saxifragales,tracheophyta,['36d35b23-113e-4633-90ec-19d265a3b5f6\\\\d71f2afe-bc4c-4cd4-98c9-7951de792f7c'],477,36d35b23-113e-4633-90ec-19d265a3b5f6,heuchera parviflora bartl.,parviflora,153,idaho,3032678,accepted,species,,1b2bc47c-a918-4d21-8079-1c67032a490d,02 jun 1966,,,,Heuchera parviflora bartl.,-115.5667,43.572425
,,preservedspecimen,,heuchera parviflora,2823006,magnoliopsida,ny,http://biocol.org/urn:lsid:biocol.org:col:15556,,j. bala,,,north america,,united states,usa,idaho co.,7ddf754f-d193-4cc9-b351-99906754a03b,2013-07-14,2021-08-21T02:58:27.774336+00:00,0.2608695652173913,,,,,,275f9ed297bad08b95df9468233314d5b3edbe13,saxifragaceae,,"['geopoint_datum_missing', 'dwc_country_replaced', 'dwc_multimedia_added', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_taxon_corrected', 'dwc_parentnameusageid_added', 'dwc_phylum_replaced', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 45.192744, 'lon': -116.147547}",,true,true,,,,,ny,http://biocol.org/urn:lsid:biocol.org:col:15556,,plantae,,,,,,,"4 mi. south of hazard lake campground along hazard lake rd. (uncertainty: 2000 m., datum: wgs 84, source: digital map.)",,,,3738cc49-ce4d-4a2e-a1fb-72f394319e16,,,,,71f44012-2673-4387-9a54-1b630d246721,saxifragales,tracheophyta,['36d35b23-113e-4633-90ec-19d265a3b5f6\\\\71f44012-2673-4387-9a54-1b630d246721'],2013-105,36d35b23-113e-4633-90ec-19d265a3b5f6,heuchera parviflora bartl.,parviflora,195,idaho,3032678,accepted,species,,53e93e81-ed24-4d6c-b794-4c0a9b810bdb,14 jul 2013,,,,Heuchera parviflora bartl.,-116.147547,45.192744
,,preservedspecimen,,heuchera parviflora,02523235,magnoliopsida,ny,http://biocol.org/urn:lsid:biocol.org:col:15556,,f. g. meyer,,,north america,,united states,usa,elmore co.,7ddf754f-d193-4cc9-b351-99906754a03b,1947-08-24,2021-08-21T02:58:27.774336+00:00,0.2608695652173913,,,,,,81407c2765895978dbc9eb1af2bf10c011eca50d,saxifragaceae,,"['geopoint_datum_error', 'dwc_country_replaced', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_phylum_replaced', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_class_added']",,heuchera,,"{'lat': 43.646681, 'lon': -115.479487}",,true,true,,,,,ny,http://biocol.org/urn:lsid:biocol.org:col:15556,,plantae,,,,,,,"above big roaring river lake, 20 mi. n. pine.",,,,d07eebc2-f822-416d-9a87-4f386c293b3e,,,,,488bf2f3-ef09-42ba-92e5-728085b221cb,saxifragales,tracheophyta,['36d35b23-113e-4633-90ec-19d265a3b5f6\\\\488bf2f3-ef09-42ba-92e5-728085b221cb'],2310,36d35b23-113e-4633-90ec-19d265a3b5f6,heuchera parviflora bartl.,parviflora,236,idaho,3032678,accepted,species,,e534fb1c-2874-4c1c-b3a1-0eec0bdbea9c,24 aug 1947,,,,Heuchera parviflora bartl.,-115.479487,43.646681
,,preservedspecimen,,heuchera parviflora,can 585459,magnoliopsida,can,http://grbio.org/cool/4w1m-4a6d,,"hudson, john h.",,,north america,,canada,can,,7ddf754f-d193-4cc9-b351-99906754a03b,2000-07-19,2022-03-11T03:14:50.049242+00:00,0.2318840579710145,,,,,,5f906b481c3740d5d44372b779914b3741429841,saxifragaceae,,"['geopoint_datum_missing', 'geopoint_low_precision', 'dwc_order_replaced', 'dwc_multimedia_added', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_specificepithet_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_phylum_replaced', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_datasetid_replaced']",,heuchera,,"{'lat': 49.5667, 'lon': -110.0}",,false,false,plantae; magnoliophyta; magnoliopsida; rosidae; rosales; saxifragaceae; heuchera;,,1.0,,cmn,http://biocol.org/urn:lsid:biocol.org:col:34935,,plantae,,,,,,,"west block cypress hills, n edge l.s.d. 5 in 10-7-xxx w. 3rd.",,,,,,,,,be2b6d7f-fdd7-dd74-1fbd-c24a7f2a4d0b,saxifragales,tracheophyta,['8057906f-17c9-4e25-b173-4e7fb938078b\\\\be2b6d7f-fdd7-dd74-1fbd-c24a7f2a4d0b'],5455,8057906f-17c9-4e25-b173-4e7fb938078b,heuchera parviflora bartl.,parviflora,201,saskatchewan (prov.),3032678,accepted,species,,113618c9-02cf-4835-8a52-58a960b99278,2000-07-19,,,,Heuchera parviflora bartl.,-110.0,49.5667
,,PRESERVED_SPECIMEN,,,MESA01475,Magnoliopsida,,ac7b0f18-a698-4d9e-a342-ad715b459e6d,,W.A. Kelley,,,,3000.0,,,Mesa,,1978-07-12T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Saxifragaceae|Heuchera,,,,MESA,,,Plantae,,,,,,,"Lands End Road, top of Grand Mesa",,,,,,,,,d724f7ca-e292-4585-9725-cb541d9bd296,Saxifragales,Tracheophyta,,07121978-16,,Heuchera parviflora Bartl.,parviflora,193,Colorado,49544,ACCEPTED,SPECIES,,,,,,,Heuchera parviflora bartl.,-108.22222,39.02639
,,PRESERVED_SPECIMEN,,,MESA01474,Magnoliopsida,,ac7b0f18-a698-4d9e-a342-ad715b459e6d,,W.A. Kelley,,,,969.0,,,Mesa,,1980-07-15T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Saxifragaceae|Heuchera,,,,MESA,,,Plantae,,,,,,,"Grand Mesa, Crater View Road, T12S R97W Sec 3",,,,,,,,,4a6ca376-73e3-4454-85df-dfb80e032db8,Saxifragales,Tracheophyta,,80-166,,Heuchera parviflora Bartl.,parviflora,197,Colorado,49544,ACCEPTED,SPECIES,,,,,,,Heuchera parviflora bartl.,-108.2195,39.0396
,,PRESERVED_SPECIMEN,,,MESA01473,Magnoliopsida,,ac7b0f18-a698-4d9e-a342-ad715b459e6d,,C.M. Ball,,,,400.0,,,,,1994-05-25T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Saxifragaceae|Heuchera,,,,MESA,,,Plantae,,,,,,,Hay Canyon Road about 1.25 mi S of Three Pines Intersection at point of first canyon division,,,,,,,,,4dd0577c-7f6c-4144-8685-89ab783735d3,Saxifragales,Tracheophyta,,c94-92,,Heuchera parviflora Bartl.,parviflora,145,Utah,49544,ACCEPTED,SPECIES,,,,,,,Heuchera parviflora bartl.,-109.395804,39.401138
,,PRESERVED_SPECIMEN,,,MESA01477,Magnoliopsida,,ac7b0f18-a698-4d9e-a342-ad715b459e6d,,W. Baker; T. Naumann,,,,2068.0,,,Rio Blanco Co.,,,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Saxifragaceae|Heuchera,,,,MESA,,,Plantae,,,,,,,"North Dudley Gulch, ca. 1.5 mile NE of junction of North Dudley Gulch and Piceance Creek. USGS Square S Ranch",,,,,,,,,86591391-9ee6-46d0-ac97-d7daef75f020,Saxifragales,Tracheophyta,,82-194,,Heuchera parviflora Bartl.,parviflora,,Colorado,49544,ACCEPTED,SPECIES,,,,,,,Heuchera parviflora bartl.,-108.296128,39.90771
,,PRESERVED_SPECIMEN,,,MESA01478,Magnoliopsida,,ac7b0f18-a698-4d9e-a342-ad715b459e6d,,Joann Young,,,,5000.0,,,Mesa,,1978-05-20T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Saxifragaceae|Heuchera,,,,MESA,,,Plantae,,,,,,,Dolores River Canyon,,,,,,,,,4a00d09d-9db5-44cb-865c-3969bd16da0e,Saxifragales,Tracheophyta,,05201978-15,,Heuchera parviflora Bartl.,parviflora,140,Colorado,49544,ACCEPTED,SPECIES,,,,,,,Heuchera parviflora bartl.,-108.893374,38.499987
,,PRESERVED_SPECIMEN,,,MESA01476,Magnoliopsida,,ac7b0f18-a698-4d9e-a342-ad715b459e6d,,W.A. Kelley,,,,210.0,,,Gunnison,,1980-06-24T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Saxifragaceae|Heuchera,,,,MESA,,,Plantae,,,,,,,"Blue Mesa, East Fork of Blue Creek, T48N R5W Sec 24",,,,,,,,,aa8038d1-3b4b-41a6-b8b2-40db87240a85,Saxifragales,Tracheophyta,,80-113,,Heuchera parviflora Bartl.,parviflora,176,Colorado,49544,ACCEPTED,SPECIES,,,,,,,Heuchera parviflora bartl.,-107.413238,38.449059
,,PRESERVED_SPECIMEN,,,RMBL0010486,Magnoliopsida,,dcc3c0d4-53b3-4be4-9de7-a6c1d63736c5,,"Williams, Charles F.",,,,25.0,,,Gunnison,,2013-07-09T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Saxifragaceae|Heuchera,,,,RMBL,,,Plantae,,,,,,,"Gothic. Rocky Mountain Biological Laboratory. One mile N of Gothic, just S of Avery Campground.",,,,,,,,,5c4a2c5c-aa12-4f4a-a5de-6955956e97c4,Saxifragales,Tracheophyta,,1133,,Heuchera parviflora Bartl.,parviflora,190,Colorado,49544,ACCEPTED,SPECIES,,,,,,,Heuchera parviflora bartl.,-106.99566,38.97497
,,HUMAN_OBSERVATION,,,113008627,Magnoliopsida,Observations,,,mjthorn01,,,,,,,,,2022-04-26T12:49:08,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,,,,parviflora,iNaturalist,,,Plantae,,,,,,,,,,,,,,,,https://www.inaturalist.org/observations/113008627,Saxifragales,Tracheophyta,,,,Heuchera parviflora var. parviflora,parviflora,,Tennessee,241025,SYNONYM,VARIETY,,,2022-04-26 12:49:08,"Pickett County, TN, USA",,,Heuchera parviflora bartl.,-84.771415,36.557461
,,HUMAN_OBSERVATION,,,111370705,Magnoliopsida,Observations,,,jakelly,,,,5470.0,,,,,2022-04-13T17:04:53,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,,,,,iNaturalist,,,Plantae,,,,,,,,,,,,,,,,https://www.inaturalist.org/observations/111370705,Saxifragales,Tracheophyta,,,,Heuchera parviflora Bartl.,parviflora,,South Carolina,954789,ACCEPTED,SPECIES,,,2022-04-13 16:04:53-04:00,"Mountain View Rd, Landrum, SC, US",,,Heuchera parviflora bartl.,-82.20883,35.172088
,,PRESERVED_SPECIMEN,,,UNA00053955,Magnoliopsida,,e8f99ed1-7381-46ed-b5a2-e24693d6d76f,,Brian R. Keener,,,,,,,Blount,,1997-08-19T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Saxifragaceae|Heuchera|Heuchera parviflora,,,parviflora,UNA,,,Plantae,,,,,,,1.5 air mi W of Cleveland.,,,,,,,,,UNA00053955,Saxifragales,Tracheophyta,,Brian R. Keener 343,,Heuchera parviflora var. parviflora,parviflora,231,Alabama,86746,SYNONYM,VARIETY,,,8/19/1997,,,,Heuchera parviflora bartl.,-86.6,33.99
,,PRESERVED_SPECIMEN,,,UNA00014702,Magnoliopsida,,e8f99ed1-7381-46ed-b5a2-e24693d6d76f,,"Robert R. Haynes, Frank D. Bowers",,,,,,,De Kalb,,1987-05-11T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Saxifragaceae|Heuchera|Heuchera parviflora,,,parviflora,UNA,,,Plantae,,,,,,,"Intersection of St. Rt. 35 and St. Rt. 176, ca. 6 mi. due SE of Fort Payne",,,,,,,,,UNA00014702,Saxifragales,Tracheophyta,,Robert R. Haynes 9152,,Heuchera parviflora var. parviflora,parviflora,131,Alabama,86746,SYNONYM,VARIETY,,,5/11/1987,,,,Heuchera parviflora bartl.,-85.63,34.39
,,PRESERVED_SPECIMEN,,,UNA00014705,Magnoliopsida,,e8f99ed1-7381-46ed-b5a2-e24693d6d76f,,C. B. Segars,,,,,,,Lawrence,,,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Saxifragaceae|Heuchera|Heuchera parviflora,,,parviflora,UNA,,,Plantae,,,,,,,King Cove about 5 miles east of the southwest corner of Lawrence County.,,,,,,,,,UNA00014705,Saxifragales,Tracheophyta,,C. B. Segars 76,,Heuchera parviflora var. parviflora,parviflora,,Alabama,86746,SYNONYM,VARIETY,,,XX-XX-XX,,,,Heuchera parviflora bartl.,-87.46,34.33
,,PRESERVED_SPECIMEN,,,UNA00014704,Magnoliopsida,,e8f99ed1-7381-46ed-b5a2-e24693d6d76f,,"A. M. Harvill, Jr.",,,,,,,Winston,,1949-05-15T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Saxifragaceae|Heuchera|Heuchera parviflora,,,parviflora,UNA,,,Plantae,,,,,,,Natural Bridge,,,,,,,,,UNA00014704,Saxifragales,Tracheophyta,,"A. M. Harvill, Jr. 5007",,Heuchera parviflora var. parviflora,parviflora,135,Alabama,86746,SYNONYM,VARIETY,,,5/15/1949,,,,Heuchera parviflora bartl.,-87.61,34.09
,,PRESERVED_SPECIMEN,,,UNA00014708,Magnoliopsida,,e8f99ed1-7381-46ed-b5a2-e24693d6d76f,,C. B. Segars,,,,,,,Lawrence,,1949-08-22T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Saxifragaceae|Heuchera|Heuchera parviflora,,,parviflora,UNA,,,Plantae,,,,,,,King Cove about 5 miles east of the southwest corner of Lawrence County.,,,,,,,,,UNA00014708,Saxifragales,Tracheophyta,,C. B. Segars 182,,Heuchera parviflora var. parviflora,parviflora,234,Alabama,86746,SYNONYM,VARIETY,,,8/22/1949,,,,Heuchera parviflora bartl.,-87.46,34.33
,,PRESERVED_SPECIMEN,,,UNA00014699,Magnoliopsida,,e8f99ed1-7381-46ed-b5a2-e24693d6d76f,,R. Kral,,,,,,,Winston,,1970-09-23T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Saxifragaceae|Heuchera|Heuchera parviflora,,,parviflora,UNA,,,Plantae,,,,,,,"Sipsey River, by where crossed by county 60, near picnic area, Bankhead National Forest.",,,,,,,,,UNA00014699,Saxifragales,Tracheophyta,,R. Kral 41238,,Heuchera parviflora var. parviflora,parviflora,266,Alabama,86746,SYNONYM,VARIETY,,,9/23/1970,,,,Heuchera parviflora bartl.,-87.39,34.28
,,PRESERVED_SPECIMEN,,,UNA00014706,Magnoliopsida,,e8f99ed1-7381-46ed-b5a2-e24693d6d76f,,C. B. Segars,,,,,,,Cherokee,,1949-07-30T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Saxifragaceae|Heuchera|Heuchera parviflora,,,parviflora,UNA,,,Plantae,,,,,,,Yellow creek Falls about 6 miles north of Centre,,,,,,,,,UNA00014706,Saxifragales,Tracheophyta,,C. B. Segars 133,,Heuchera parviflora var. parviflora,parviflora,211,Alabama,86746,SYNONYM,VARIETY,,,7/30/1949,,,,Heuchera parviflora bartl.,-85.73,34.22
,,PRESERVED_SPECIMEN,,,UNA00054506,Magnoliopsida,,e8f99ed1-7381-46ed-b5a2-e24693d6d76f,,Brian R. Keener,,,,,,,Blount,,1998-09-26T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Saxifragaceae|Heuchera|Heuchera parviflora,,,parviflora,UNA,,,Plantae,,,,,,,1.5 air mi N of Cleveland.,,,,,,,,,UNA00054506,Saxifragales,Tracheophyta,,Brian R. Keener 1686,,Heuchera parviflora var. parviflora,parviflora,269,Alabama,86746,SYNONYM,VARIETY,,,9/26/1998,,,,Heuchera parviflora bartl.,-86.58,34.01
,,PRESERVED_SPECIMEN,,,GA035417,Magnoliopsida,,urn:lsid:biocol.org:col:15610,,"Duncan, W",,,,1300.0,,,Cherokee County,,1948-10-10T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Saxifragaceae|Heuchera,,,,GA,,,Plantae,,,,,,,"Cherokee County, GA",,,,,,,,,c4d00ec6-a98a-4be2-acc4-50a39608834b,Saxifragales,Tracheophyta,,9039,,Heuchera parviflora Bartl.,parviflora,284,Georgia,49544,ACCEPTED,SPECIES,,,,,,,Heuchera parviflora bartl.,-84.573961,34.240724
,,PRESERVED_SPECIMEN,,,GA035424,Magnoliopsida,,urn:lsid:biocol.org:col:15610,,"Duncan, W",,,,9455.0,,,Cherokee County,,1948-07-31T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Saxifragaceae|Heuchera,,,,GA,,,Plantae,,,,,,,"Cherokee County, GA",,,,,,,,,3ad05ded-5087-4d3e-8eb3-9b4575bf852c,Saxifragales,Tracheophyta,,8599,,Heuchera parviflora Bartl.,parviflora,213,Georgia,49544,ACCEPTED,SPECIES,,,,,,,Heuchera parviflora bartl.,-84.53995,34.236192
,,PRESERVED_SPECIMEN,,,GA035418,Magnoliopsida,,urn:lsid:biocol.org:col:15610,,"Duncan, W",,,,1300.0,,,Cherokee County,,1948-10-10T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Saxifragaceae|Heuchera,,,,GA,,,Plantae,,,,,,,"Cherokee County, GA",,,,,,,,,7c9d5be8-5d86-4b86-8410-f28790497cd0,Saxifragales,Tracheophyta,,9039,,Heuchera parviflora Bartl.,parviflora,284,Georgia,49544,ACCEPTED,SPECIES,,,,,,,Heuchera parviflora bartl.,-84.573961,34.240724
