associatedsequences,barcodeValue,basisOfRecord,bed,canonicalName,catalogNumber,class,collectionCode,collectionID,collectionName,recordedBy,vernacularName,commonnames,continent,coordinateUncertaintyInMeters,country,isoCountryCode,county,datasetID,eventDate,dateModified,dataQualityScore,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,etag,family,fieldNumber,flags,formation,genus,geologicalContextID,geoPoint,group,hasImage,hasMedia,higherClassification,highestBiostratigraphicZone,individualCount,infraspecificEpithet,institutionCode,institutionID,institutionName,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lithostratigraphicTerms,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,mediarecords,member,minimumDepthInMeters,minimumElevationInMeters,municipality,occurrenceID,order,phylum,recordIds,recordNumber,recordset,scientificName,specificEpithet,startDayOfYear,stateProvince,taxonID,taxonomicStatus,taxonRank,typeStatus,uuid,verbatimEventDate,verbatimLocality,version,waterBody,species_name,x,y
,,preservedspecimen,,heuchera parvifolia,103811,magnoliopsida,vascular,,,b. moseley,,,north america,800.0,united states,usa,lemhi,7ddf754f-d193-4cc9-b351-99906754a03b,1990-07-29,2021-09-19T20:34:52.838472+00:00,0.2608695652173913,,,,,,1560130e069416fc51dcf9d1f69e493df2c6a31e,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 45.439041138612176, 'lon': -113.78173124552737}",,true,true,saxifragaceae,,,dissecta,id,,,plantae,,,,,,,"summit of peak 9681 and pyramid pk., beaverhead mts., salmon nf, ca 11 miles e of north fork, continental divide.",,,2952.0,96113598-1bdd-4a7d-ab90-c51838059bac,,,2927.0,,9b0dcdb7-7cab-48d8-a403-8bdb8f7f4769,saxifragales,tracheophyta,"['0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\9b0dcdb7-7cab-48d8-a403-8bdb8f7f4769', '0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\914057', '351f6c0f-d4aa-4f25-a75e-d1cbdd149e85']",1830,0fd6e726-6828-4f62-ba8d-6ec316fe0b52,heuchera parvifolia var. dissecta,parvifolia,210,idaho,3032666,accepted,species,,f0feb9ce-c504-4cd7-8659-e8431f553066,,,,,Heuchera parvifolia var. dissecta,-113.78173124552737,45.439041138612176
,,preservedspecimen,,heuchera parvifolia,80397,magnoliopsida,vascular,,,s. brunsfeld,,,north america,2703.0,united states,usa,butte,7ddf754f-d193-4cc9-b351-99906754a03b,1977-07-18,2021-09-19T20:34:52.838472+00:00,0.2463768115942029,,,,,,4edcd114f088962125f2c023fdd5f21e555c9697,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 44.231203, 'lon': -113.222534}",,true,true,saxifragaceae,,,dissecta,id,,,plantae,,,,,,,"challis national forest, lemhi range, ridge extending w from bell mtn.",,,,c9cbc949-a2fa-4543-bc9b-919942625248,,,3003.0,,aeb22824-39c0-4772-aff9-a5c7b0a4d06c,saxifragales,tracheophyta,"['4be91d62-67a2-4115-8732-439f09bb7418', '0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\aeb22824-39c0-4772-aff9-a5c7b0a4d06c', '0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\914074']",510,0fd6e726-6828-4f62-ba8d-6ec316fe0b52,heuchera parvifolia var. dissecta,parvifolia,199,idaho,3032666,accepted,species,,ac6447c5-d775-4cf5-ad65-3edc80c8c9ba,,,,,Heuchera parvifolia var. dissecta,-113.222534,44.231203
,,preservedspecimen,,heuchera parvifolia,169294,magnoliopsida,vascular,,,"klos zion, hannah marx, basya clevenger",,,north america,284.0,united states,usa,custer,7ddf754f-d193-4cc9-b351-99906754a03b,2012-08-07,2021-09-19T20:34:52.838472+00:00,0.2463768115942029,,,,,,aa4855bacb3a1fbb5bb498e291ffeae168ddb5dc,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_phylum_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 44.112378, 'lon': -115.00232}",,true,true,saxifragaceae,,,dissecta,id,,,plantae,,,,,,,idaho: sawtooth national forest: sawtooth mountains: horstmann peak: just below summit to the sw,,,,06a4e74c-6f2c-4de2-b972-b48a1635fca4,,,3155.0,,14db8441-05fb-4145-b0a3-e1e8c39e005d,saxifragales,tracheophyta,"['0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\999618', '0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\14db8441-05fb-4145-b0a3-e1e8c39e005d', 'f96960e2-c800-407a-aff0-db8ab7054c79']",2012-018,0fd6e726-6828-4f62-ba8d-6ec316fe0b52,heuchera parvifolia var. dissecta,parvifolia,220,idaho,3032666,accepted,species,,7c242aa3-2302-409f-87be-ef9a272b7d40,,,,,Heuchera parvifolia var. dissecta,-115.00232,44.112378
,,preservedspecimen,,heuchera parvifolia,131275,magnoliopsida,vascular,,,douglass henderson,,,north america,639.0,united states,usa,lemhi,7ddf754f-d193-4cc9-b351-99906754a03b,1976-07-17,2021-09-19T20:34:52.838472+00:00,0.2463768115942029,,,,,,deeba967fa9e93bbdff8e42925b7a24332967a42,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 45.59209, 'lon': -114.049369}",,true,true,saxifragaceae,,,dissecta,id,,,plantae,,,,,,,"bitterroot range, salmon national forest. alan mountain. ridge above lake.",,,,61717bc9-aa3f-44ca-a268-5d85b0e3b98f,,,2500.0,,cda51194-5a5e-447c-aa38-22dbcd0b1638,saxifragales,tracheophyta,"['ac8c82a2-fe78-48c8-9143-71b46470c64c', '0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\cda51194-5a5e-447c-aa38-22dbcd0b1638', '0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\914055']",3428,0fd6e726-6828-4f62-ba8d-6ec316fe0b52,heuchera parvifolia var. dissecta,parvifolia,199,idaho,3032666,accepted,species,,d460b215-4f16-4208-b07b-27921c11e0b8,,,,,Heuchera parvifolia var. dissecta,-114.049369,45.59209
,,preservedspecimen,,heuchera parvifolia,70843,magnoliopsida,vascular,,,"d. henderson, s. brunsfeld, p. brunsfeld",,,north america,2000.0,united states,usa,custer,7ddf754f-d193-4cc9-b351-99906754a03b,1978-07-29,2021-09-19T20:34:52.838472+00:00,0.2463768115942029,,,,,,38d92729e613571a032d95b6f916db9cd9975775,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 44.246148, 'lon': -113.845442}",,true,true,saxifragaceae,,,dissecta,id,,,plantae,,,,,,,"east slope lost river range, challis national forest, vic. doublespring pass. subalpine ridge along sw side of buck creek drainage.",,,,60ced21b-1912-4178-82a5-235ae5b8c6d9,,,2866.0,,245df27c-192b-4a7c-954a-e4dfeb559476,saxifragales,tracheophyta,"['6dc5957c-b6e3-468d-8349-70c4a95e801e', '0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\245df27c-192b-4a7c-954a-e4dfeb559476', '0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\914082']",4804,0fd6e726-6828-4f62-ba8d-6ec316fe0b52,heuchera parvifolia var. dissecta,parvifolia,210,idaho,3032666,accepted,species,,2394034b-c219-4364-896e-f756369abd86,,,,,Heuchera parvifolia var. dissecta,-113.845442,44.246148
,,preservedspecimen,,heuchera parvifolia,121092,magnoliopsida,vascular,,,c. a. wellner,,,north america,1500.0,united states,usa,lemhi,7ddf754f-d193-4cc9-b351-99906754a03b,1975-07-18,2021-09-19T20:34:52.838472+00:00,0.2463768115942029,,,,,,aa3a1163c1aa449337b7a9471e06dba1e871fee8,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 45.6667, 'lon': -114.0167}",,true,true,saxifragaceae,,,dissecta,id,,,plantae,,,,,,,se side of hughes point. lot 18.,,,,94ebe382-f015-4048-9bdf-8d5436c4d3cc,,,2378.0,,ea448a05-8de8-47cf-b660-037f6c5c9c27,saxifragales,tracheophyta,"['0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\914052', 'ec2c948f-afca-4cd7-b983-872755180c74', '0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\ea448a05-8de8-47cf-b660-037f6c5c9c27']",599,0fd6e726-6828-4f62-ba8d-6ec316fe0b52,heuchera parvifolia var. dissecta,parvifolia,199,idaho,3032666,accepted,species,,3ebd855f-02a7-4fc9-a1de-f3f69bc1b0c8,,,,,Heuchera parvifolia var. dissecta,-114.0167,45.6667
,,preservedspecimen,,heuchera parvifolia,108305,magnoliopsida,vascular,,,b. moseley,,,north america,800.0,united states,usa,lemhi,7ddf754f-d193-4cc9-b351-99906754a03b,1990-08-06,2021-09-19T20:34:52.838472+00:00,0.2608695652173913,,,,,,3783b6912d5a18163cf2d601788398d497fdc77c,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 44.88924044065571, 'lon': -114.21063562334844}",,true,true,saxifragaceae,,,dissecta,id,,,plantae,,,,,,,"summit and east ridge of taylor mtn., salmon river mountains, salmon nf, ca. 25.5 miles sw of salmon.",,,3018.0,5bf7d54b-3b46-483d-91b1-3b038d805b59,,,2866.0,,d241fd7b-d711-4c53-9d34-39f5d4e2fa89,saxifragales,tracheophyta,"['0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\d241fd7b-d711-4c53-9d34-39f5d4e2fa89', '0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\914063', '0cb17426-daca-4b2d-9f25-8d410358b361']",2100,0fd6e726-6828-4f62-ba8d-6ec316fe0b52,heuchera parvifolia var. dissecta,parvifolia,218,idaho,3032666,accepted,species,,4fe5fb7f-e858-41eb-8f04-e30cbae39f8a,,,,,Heuchera parvifolia var. dissecta,-114.21063562334844,44.88924044065571
,,preservedspecimen,,heuchera parvifolia,71446,magnoliopsida,vascular,,,"s. brunsfeld, p. brunsfeld",,,north america,2000.0,united states,usa,butte,7ddf754f-d193-4cc9-b351-99906754a03b,1978-07-30,2021-09-19T20:34:52.838472+00:00,0.2463768115942029,,,,,,2a804cd6f32cba6886b6902a52687c7e636936ec,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 44.034966, 'lon': -113.31094}",,true,true,saxifragaceae,,,dissecta,id,,,plantae,,,,,,,"east slope of lost river range. head of van dorn canyon. lost river range range, challis n.f.",,,,00633778-9fca-4b40-a827-834a0a04fae4,,,3049.0,,76d7d8cc-38d9-4ff5-8685-549356c68b80,saxifragales,tracheophyta,"['9451f193-338c-4b6c-a266-482e59996ce7', '0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\914080', '0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\76d7d8cc-38d9-4ff5-8685-549356c68b80']",1270,0fd6e726-6828-4f62-ba8d-6ec316fe0b52,heuchera parvifolia var. dissecta,parvifolia,211,idaho,3032666,accepted,species,,4637985f-aa33-48d7-82a6-046a8bd946c1,,,,,Heuchera parvifolia var. dissecta,-113.31094,44.034966
,,preservedspecimen,,heuchera parvifolia,165593,magnoliopsida,vascular,,,"d. mansfield, k. carlson",,,north america,,united states,usa,custer,7ddf754f-d193-4cc9-b351-99906754a03b,2010-07-16,2021-09-19T20:34:52.838472+00:00,0.21739130434782608,,,,,,9b0fe94027df266fe908af97b553607a8590725b,saxifragaceae,,"['geopoint_datum_missing', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 44.4612, 'lon': -114.7311}",,true,true,saxifragaceae,,,dissecta,id,,,plantae,,,,,,,"on the ridge just east of lick creek summit at the south border of the frank church wilderness area, 9.4 miles north of jordan creek turnoff from the custer road at bonanza which is about 9 miles.",,,,f78f7f38-d42f-49bc-845d-797717212c8d,,,2759.0,,5442ad5d-bc48-49db-a32e-c539bff00135,saxifragales,tracheophyta,"['b8b72cae-f37a-4703-b577-13d0a9d3f852', '0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\5442ad5d-bc48-49db-a32e-c539bff00135', '0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\2850608']",10-337,0fd6e726-6828-4f62-ba8d-6ec316fe0b52,heuchera parvifolia var. dissecta,parvifolia,197,idaho,3032666,accepted,species,,15609355-ac34-42c1-b3ca-d10210aec738,,,,,Heuchera parvifolia var. dissecta,-114.7311,44.4612
,,preservedspecimen,,heuchera parvifolia,169154,magnoliopsida,vascular,,,"hannah marx, shauna thomas",,,north america,348.0,united states,usa,blaine,7ddf754f-d193-4cc9-b351-99906754a03b,2013-07-22,2021-09-19T20:34:52.838472+00:00,0.2463768115942029,,,,,,b36f6d926a46b9935598b4fdfc8a546a3604fbbe,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_phylum_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 43.93825, 'lon': -114.97142}",,true,true,saxifragaceae,,,dissecta,id,,,plantae,,,,,,,idaho: sawtooth national forest: sawtooth mountians: snowyside peak: along west face and south ridge line (trail to summit),,,,8dbcc73f-6dcf-476a-b023-962ccdd88baa,,,3247.0,,3c44d716-c8bb-4c61-85b7-e0a67466d414,saxifragales,tracheophyta,"['0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\999714', '0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\3c44d716-c8bb-4c61-85b7-e0a67466d414', '72284313-5c64-44df-aaae-3746a5ea139b']",2013-115,0fd6e726-6828-4f62-ba8d-6ec316fe0b52,heuchera parvifolia var. dissecta,parvifolia,203,idaho,3032666,accepted,species,,79cc5a4b-0fea-4967-ad24-0ed98f5d117f,,,,,Heuchera parvifolia var. dissecta,-114.97142,43.93825
