associatedsequences,barcodeValue,basisOfRecord,bed,canonicalName,catalogNumber,class,collectionCode,collectionID,collectionName,recordedBy,vernacularName,commonnames,continent,coordinateUncertaintyInMeters,country,isoCountryCode,county,datasetID,eventDate,dateModified,dataQualityScore,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,etag,family,fieldNumber,flags,formation,genus,geologicalContextID,geoPoint,group,hasImage,hasMedia,higherClassification,highestBiostratigraphicZone,individualCount,infraspecificEpithet,institutionCode,institutionID,institutionName,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lithostratigraphicTerms,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,mediarecords,member,minimumDepthInMeters,minimumElevationInMeters,municipality,occurrenceID,order,phylum,recordIds,recordNumber,recordset,scientificName,specificEpithet,startDayOfYear,stateProvince,taxonID,taxonomicStatus,taxonRank,typeStatus,uuid,verbatimEventDate,verbatimLocality,version,waterBody,species_name,x,y
,,preservedspecimen,,heuchera parviflora puberula,ncu00053751,magnoliopsida,vascular plants,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,,"culwell, donald edward; culwell, deborah mcbroom",,,north america,969.0,united states,usa,conway,7ddf754f-d193-4cc9-b351-99906754a03b,1976-10-02,2022-04-27T13:54:29.080943+00:00,0.2463768115942029,,,,,,3b8265bd42ac1e8e272739669564f03038fed6d8,saxifragaceae,,"['dwc_infraspecificepithet_added', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_taxonid_replaced', 'dwc_specificepithet_replaced', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added', 'dwc_originalnameusageid_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_class_added']",,heuchera,,"{'lat': 35.124957, 'lon': -92.935171}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,puberula,ncu,,,plantae,,,,,,,at cedar falls on petit jean mt. trs: t6n r18w sec 32 se1/4 f-ar,,,,2f19fac7-f2d0-4378-b13e-e821eeb68f92,,,,,2e01b873-a59c-49e7-a803-915acaf47034,saxifragales,tracheophyta,"['4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\8684803', '4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\2e01b873-a59c-49e7-a803-915acaf47034', 'urn:uuid:2e01b873-a59c-49e7-a803-915acaf47034']",4505,4e3043a6-d48a-4a35-b5fb-f67d50cbc158,heuchera puberula,parviflora,276,arkansas,3755077,accepted,variety,,80464be2-834c-4572-9384-1d3d74a9b8ba,,,,,Heuchera puberula,-92.935171,35.124957
,,preservedspecimen,,heuchera parviflora puberula,cm452254,magnoliopsida,botany,a3883acd-bc7d-40f2-a6e4-372a3435e5d1,,"eggleston, w.w.",,,north america,4631.0,united states,usa,grayson,7ddf754f-d193-4cc9-b351-99906754a03b,1909-10-00,2021-10-28T02:04:07.731114+00:00,0.2318840579710145,,,,,,1834dce4db7a257ad5a94a1c715951a87b2f8368,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_specificepithet_replaced', 'dwc_continent_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'dwc_infraspecificepithet_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_originalnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 37.480054, 'lon': -86.293864}",,false,false,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,puberula,cm,,,plantae,,,,,,,leitchfield,,,,,,,,,bef2ac3f-245c-4372-a5f5-f5d8bcdd86bb,saxifragales,tracheophyta,"['urn:uuid:6a493afd-8761-44ae-b380-50e56b4527f1', 'db6c3db9-1e6d-4def-af29-33aa0339bfa9\\\\bef2ac3f-245c-4372-a5f5-f5d8bcdd86bb', 'db6c3db9-1e6d-4def-af29-33aa0339bfa9\\\\12219224']",5467,db6c3db9-1e6d-4def-af29-33aa0339bfa9,heuchera puberula,parviflora,,kentucky,3755077,accepted,variety,,c5bf9800-f4e8-4312-ae71-b2c4133ddd77,11-12 oct 1909,,,,Heuchera puberula,-86.293864,37.480054
,,preservedspecimen,,heuchera parviflora puberula,ncu00086089,magnoliopsida,vascular plants,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,,"babb, don",,,north america,969.0,united states,usa,cleburne,7ddf754f-d193-4cc9-b351-99906754a03b,1972-10-09,2022-04-27T13:54:29.080943+00:00,0.2608695652173913,,,,,,dc3fd9e0d1d46d26dfdffdbf781ffba1cd8bfd40,saxifragaceae,,"['dwc_infraspecificepithet_added', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_taxonid_replaced', 'dwc_specificepithet_replaced', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added', 'dwc_originalnameusageid_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_class_added']",,heuchera,,"{'lat': 35.694113, 'lon': -92.150221}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,puberula,ncu,,,plantae,,,,,,,"c. 6 mi. n. of greer's ferry, ark... along hill creek",,,,e03a4172-90c9-4afe-ac0a-ffe1220040c2,,,,,bff39673-1dea-4e21-b3bb-62d8a5e093a9,saxifragales,tracheophyta,"['urn:uuid:bff39673-1dea-4e21-b3bb-62d8a5e093a9', '4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\8684753', '4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\bff39673-1dea-4e21-b3bb-62d8a5e093a9']",12,4e3043a6-d48a-4a35-b5fb-f67d50cbc158,heuchera puberula,parviflora,283,arkansas,3755077,accepted,variety,,cd4c2ab1-b0e4-469d-a07a-041b622e70c9,10-9-72,,,,Heuchera puberula,-92.150221,35.694113
,,preservedspecimen,,heuchera parviflora puberula,ncu00175648,magnoliopsida,vascular plants,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,,"redfearn, paul l., jr.; pyrah, g.; milliger, l. e.; witherspoon, j. t.",,,north america,969.0,united states,usa,shannon,7ddf754f-d193-4cc9-b351-99906754a03b,1969-09-21,2022-04-27T13:54:29.080943+00:00,0.2753623188405797,,,,,,9cd2500b882ade4f5871243b76dd4c308d351127,saxifragaceae,,"['dwc_infraspecificepithet_added', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_taxonid_replaced', 'dwc_specificepithet_replaced', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added', 'dwc_originalnameusageid_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_class_added']",,heuchera,,"{'lat': 37.342031, 'lon': -91.475012}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,puberula,ncu,,,plantae,,,,,,,"steep, north facing wooded slope, and ridge above current river. station 31, site 2. trs: t31n r5w sec 34 sw1/2 f-mo",,,250.0,fc14a103-2543-47df-b8d1-00f88840da3b,,,223.0,,be936413-c11a-49e0-ac54-9fe5cfb0f065,saxifragales,tracheophyta,"['4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\8684773', '4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\be936413-c11a-49e0-ac54-9fe5cfb0f065', 'urn:uuid:be936413-c11a-49e0-ac54-9fe5cfb0f065']",1554,4e3043a6-d48a-4a35-b5fb-f67d50cbc158,heuchera puberula,parviflora,264,missouri,3755077,accepted,variety,,31e62121-498b-4699-8a17-71a7c9c46358,,,,,Heuchera puberula,-91.475012,37.342031
,,preservedspecimen,,heuchera parviflora puberula,ncu00053755,magnoliopsida,vascular plants,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,,"redfearn, paul l., jr.; weber, wallace",,,north america,969.0,united states,usa,newton,7ddf754f-d193-4cc9-b351-99906754a03b,1971-07-24,2022-04-27T13:54:29.080943+00:00,0.2753623188405797,,,,,,12cff9c756c40e3e44b41cfa928f84e86159b5e2,saxifragaceae,,"['dwc_infraspecificepithet_added', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_taxonid_replaced', 'dwc_specificepithet_replaced', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added', 'dwc_originalnameusageid_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_class_added']",,heuchera,,"{'lat': 35.842905, 'lon': -93.393084}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,puberula,ncu,,,plantae,,,,,,,along upper reaches of terrapin branch trs: t14n r23w sec 26 f-ar,,,244.0,ff0b3646-0765-4f03-92de-1938dcfb11b7,,,213.0,,7841edd7-0f52-4d4e-8203-4c58608f8b54,saxifragales,tracheophyta,"['urn:uuid:7841edd7-0f52-4d4e-8203-4c58608f8b54', '4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\7841edd7-0f52-4d4e-8203-4c58608f8b54', '4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\8684851']",27513,4e3043a6-d48a-4a35-b5fb-f67d50cbc158,heuchera puberula,parviflora,205,arkansas,3755077,accepted,variety,,51c895f5-53f2-473d-a99d-a12f244fdc1a,,,,,Heuchera puberula,-93.393084,35.842905
,,preservedspecimen,,heuchera parviflora puberula,ncu00053754,magnoliopsida,vascular plants,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,,"demaree, delzie",,,north america,340.0,united states,usa,conway,7ddf754f-d193-4cc9-b351-99906754a03b,1944-09-24,2022-04-27T13:54:29.080943+00:00,0.2608695652173913,,,,,,50e3c4f3f89e33b9db8e642c3ccd08966a6526d0,saxifragaceae,,"['dwc_infraspecificepithet_added', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_taxonid_replaced', 'dwc_specificepithet_replaced', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added', 'dwc_originalnameusageid_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_class_added']",,heuchera,,"{'lat': 35.12064, 'lon': -92.935386}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,puberula,ncu,,,plantae,,,,,,,petit jean state park under cedar falls petit jean muntain p.o. morrilton,,,,be4a0c48-8f6a-4d96-af26-7dfcc1bb7516,,,244.0,,0e09350e-b44e-4d20-b1f2-a803f1acb5f6,saxifragales,tracheophyta,"['urn:uuid:0e09350e-b44e-4d20-b1f2-a803f1acb5f6', '4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\0e09350e-b44e-4d20-b1f2-a803f1acb5f6', '4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\8684813']",25272,4e3043a6-d48a-4a35-b5fb-f67d50cbc158,heuchera puberula,parviflora,268,arkansas,3755077,accepted,variety,,0543c3e0-cc14-4a1d-b9ec-7e2767befde8,,,,,Heuchera puberula,-92.935386,35.12064
,,preservedspecimen,,heuchera parviflora puberula,ncu00175647,magnoliopsida,vascular plants,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,,"redfearn, paul l., jr.; pyrah, g.; weber, w.; witherspoon, j. t.",,,north america,210.0,united states,usa,carter,7ddf754f-d193-4cc9-b351-99906754a03b,1969-10-11,2022-04-27T13:54:29.080943+00:00,0.2753623188405797,,,,,,4686da50cb8a9ffab3cfedf4b139c6640236ca68,saxifragaceae,,"['dwc_infraspecificepithet_added', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_taxonid_replaced', 'dwc_specificepithet_replaced', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added', 'dwc_originalnameusageid_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_class_added']",,heuchera,,"{'lat': 37.010168, 'lon': -91.02567}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,puberula,ncu,,,plantae,,,,,,,"steep ne facing bluffs, rocky slope, and ridge above current river. station 46, site 3. trs: t27n r1w sec 4 f-mo",,,219.0,574436df-a79b-46bc-95be-b240d08df708,,,168.0,,4397a304-6102-4985-b1f1-351ce5449184,saxifragales,tracheophyta,"['4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\8684834', '4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\4397a304-6102-4985-b1f1-351ce5449184', 'urn:uuid:4397a304-6102-4985-b1f1-351ce5449184']",1985,4e3043a6-d48a-4a35-b5fb-f67d50cbc158,heuchera puberula,parviflora,284,missouri,3755077,accepted,variety,,86d28063-be94-48ba-aa74-6d30e91aeedd,,,,,Heuchera puberula,-91.02567,37.010168
,,preservedspecimen,,heuchera parviflora puberula,ncu00053753,magnoliopsida,vascular plants,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,,"culwell, donald edward; culwell, deborah mcbroom",,,north america,969.0,united states,usa,conway,7ddf754f-d193-4cc9-b351-99906754a03b,1976-10-02,2022-04-27T13:54:29.080943+00:00,0.2463768115942029,,,,,,f1db5b2c928b0433b1e343ba5636b77176e3208d,saxifragaceae,,"['dwc_infraspecificepithet_added', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_taxonid_replaced', 'dwc_specificepithet_replaced', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added', 'dwc_originalnameusageid_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_class_added']",,heuchera,,"{'lat': 35.124957, 'lon': -92.935171}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,puberula,ncu,,,plantae,,,,,,,at cedar falls on petit jean mt. trs: t6n r18w sec 32 se1/4 f-ar,,,,8ae6b63c-0176-4bc3-bc69-7218fa578bf5,,,,,fcd7f552-c394-4706-a64b-e4543bbcc7d6,saxifragales,tracheophyta,"['4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\8684839', '4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\fcd7f552-c394-4706-a64b-e4543bbcc7d6', 'urn:uuid:fcd7f552-c394-4706-a64b-e4543bbcc7d6']",4505,4e3043a6-d48a-4a35-b5fb-f67d50cbc158,heuchera puberula,parviflora,276,arkansas,3755077,accepted,variety,,5898c791-0e01-41d9-a222-32c18a9ac973,,,,,Heuchera puberula,-92.935171,35.124957
,,preservedspecimen,,heuchera parviflora puberula,ncu00053757,magnoliopsida,vascular plants,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,,"redfearn, paul l., jr.",,,north america,969.0,united states,usa,stone,7ddf754f-d193-4cc9-b351-99906754a03b,1966-06-27,2022-04-27T13:54:29.080943+00:00,0.2463768115942029,,,,,,fcd676cb8e44ba61c0acd3e7c7bfe158b6fd6ff3,saxifragaceae,,"['dwc_infraspecificepithet_added', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_taxonid_replaced', 'dwc_specificepithet_replaced', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added', 'dwc_originalnameusageid_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_class_added']",,heuchera,,"{'lat': 35.964518, 'lon': -92.177367}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,puberula,ncu,,,plantae,,,,,,,"blanchard springs rec. [recreation] area, ozark national forest trs: t15n r11w sec 5 nw1/4 f-ar",,,,1dab9511-13ad-49fd-8d60-2221fbcbc992,,,,,59632b9c-8259-471e-ac49-1fa09fb16d1e,saxifragales,tracheophyta,"['4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\59632b9c-8259-471e-ac49-1fa09fb16d1e', 'urn:uuid:59632b9c-8259-471e-ac49-1fa09fb16d1e', '4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\8684862']",19224,4e3043a6-d48a-4a35-b5fb-f67d50cbc158,heuchera puberula,parviflora,178,arkansas,3755077,accepted,variety,,7acc07f5-5ab4-4f66-9d3e-deeea019cc66,,,,,Heuchera puberula,-92.177367,35.964518
,,preservedspecimen,,heuchera parviflora puberula,ncu00175636,magnoliopsida,vascular plants,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,,"redfearn, paul l., jr.",,,north america,969.0,united states,usa,douglas,7ddf754f-d193-4cc9-b351-99906754a03b,1969-08-14,2022-04-27T13:54:29.080943+00:00,0.2463768115942029,,,,,,372680f86acc2b7aba02b3993c6bdbfb426c67c5,saxifragaceae,,"['dwc_infraspecificepithet_added', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_taxonid_replaced', 'dwc_specificepithet_replaced', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added', 'dwc_originalnameusageid_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_class_added']",,heuchera,,"{'lat': 36.968607, 'lon': -92.136525}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,puberula,ncu,,,plantae,,,,,,,vicinity of holy cliff on indian creek. ca. 3 miles ne of topaz. trs: t26n r11w sec 3 f-mo,,,,c18908a6-1e0a-40b9-ad2d-adc70eb4d9b1,,,,,62c7070c-7cd0-49c2-a24d-3281f4688ec5,saxifragales,tracheophyta,"['4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\8684718', '4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\62c7070c-7cd0-49c2-a24d-3281f4688ec5', 'urn:uuid:62c7070c-7cd0-49c2-a24d-3281f4688ec5']",26398,4e3043a6-d48a-4a35-b5fb-f67d50cbc158,heuchera puberula,parviflora,226,missouri,3755077,accepted,variety,,d2be120c-f3aa-4d73-bd7a-b69a0b64ce47,,,,,Heuchera puberula,-92.136525,36.968607
