associatedsequences,barcodeValue,basisOfRecord,bed,canonicalName,catalogNumber,class,collectionCode,collectionID,collectionName,recordedBy,vernacularName,commonnames,continent,coordinateUncertaintyInMeters,country,isoCountryCode,county,datasetID,eventDate,dateModified,dataQualityScore,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,etag,family,fieldNumber,flags,formation,genus,geologicalContextID,geoPoint,group,hasImage,hasMedia,higherClassification,highestBiostratigraphicZone,individualCount,infraspecificEpithet,institutionCode,institutionID,institutionName,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lithostratigraphicTerms,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,mediarecords,member,minimumDepthInMeters,minimumElevationInMeters,municipality,occurrenceID,order,phylum,recordIds,recordNumber,recordset,scientificName,specificEpithet,startDayOfYear,stateProvince,taxonID,taxonomicStatus,taxonRank,typeStatus,uuid,verbatimEventDate,verbatimLocality,version,waterBody,species_name,x,y
,,preservedspecimen,,heuchera richardsonii,122878,magnoliopsida,plants,f292c83d-305c-4b22-97cc-cd9c72e2931e,,"ainslie, g.",,,north america,,united states,usa,olmsted,7ddf754f-d193-4cc9-b351-99906754a03b,1902-06-19,2020-10-14T13:07:07.843232+00:00,0.21739130434782608,,,,,,f58eb52fb48c8167ad0e545bc037754a7805ef1e,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'dwc_multimedia_added', 'gbif_reference_added', 'dwc_taxonid_replaced', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'dwc_order_added', 'gbif_vernacularname_added', 'gbif_taxon_corrected', 'dwc_phylum_replaced', 'dwc_class_replaced', 'dwc_continent_added']",,heuchera,,"{'lat': 43.97834, 'lon': -92.49834}",,false,false,,,,,min,,,plantae,,,,,,,rochester;;106n;14w;,,,,,,,,,a5eb9c6a-dc95-41ca-99b1-58e7dacf4df5,saxifragales,tracheophyta,"['e2def7e2-1455-4856-9823-6d3738417d24\\\\a5eb9c6a-dc95-41ca-99b1-58e7dacf4df5', 'urn:uuid:a5eb9c6a-dc95-41ca-99b1-58e7dacf4df5', 'e2def7e2-1455-4856-9823-6d3738417d24\\\\urn:uuid:a5eb9c6a-dc95-41ca-99b1-58e7dacf4df5', 'e2def7e2-1455-4856-9823-6d3738417d24\\\\93769']",1847,e2def7e2-1455-4856-9823-6d3738417d24,heuchera richardsonii,richardsonii,170,minnesota,3032681,accepted,species,,0ab38280-5c0d-4ad5-a73f-bb0d918797c5,,,,,Heuchera richardsonii,-92.49834,43.97834
,,preservedspecimen,,heuchera richardsonii,277514,magnoliopsida,plants,f292c83d-305c-4b22-97cc-cd9c72e2931e,,"moore, john",,,north america,3316.0,united states,usa,big stone,7ddf754f-d193-4cc9-b351-99906754a03b,1931-06-24,2020-10-14T13:07:07.843232+00:00,0.2318840579710145,,,,,,837d6be68feb4eeb137b089250d50701f8536c70,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'gbif_reference_added', 'dwc_taxonid_replaced', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'dwc_order_added', 'gbif_vernacularname_added', 'gbif_taxon_corrected', 'dwc_phylum_replaced', 'dwc_class_replaced', 'dwc_continent_added']",,heuchera,,"{'lat': 45.304687, 'lon': -96.444779}",,false,false,,,,,min,,,plantae,,,,,,,"in old granite quarry, ortonville;;n;;",,,,,,,,,d125308b-0a57-4b10-91f4-8a9000f8f398,saxifragales,tracheophyta,"['e2def7e2-1455-4856-9823-6d3738417d24\\\\d125308b-0a57-4b10-91f4-8a9000f8f398', 'urn:uuid:d125308b-0a57-4b10-91f4-8a9000f8f398', 'e2def7e2-1455-4856-9823-6d3738417d24\\\\93817', 'e2def7e2-1455-4856-9823-6d3738417d24\\\\urn:uuid:d125308b-0a57-4b10-91f4-8a9000f8f398']",s.n.,e2def7e2-1455-4856-9823-6d3738417d24,heuchera richardsonii,richardsonii,175,minnesota,3032681,accepted,species,,3045d859-b9b2-4a9f-b467-b2d60f3151c8,,,,,Heuchera richardsonii,-96.444779,45.304687
,,preservedspecimen,,heuchera richardsonii,354585,magnoliopsida,plants,f292c83d-305c-4b22-97cc-cd9c72e2931e,,"moyle, j.",,,north america,14052.0,united states,usa,pennington,7ddf754f-d193-4cc9-b351-99906754a03b,1934-07-18,2020-10-14T13:07:07.843232+00:00,0.2318840579710145,,,,,,df7a52accc5a2d0b679c3b95c6ba3246732e3bf5,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'gbif_reference_added', 'dwc_taxonid_replaced', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'dwc_order_added', 'gbif_vernacularname_added', 'gbif_taxon_corrected', 'dwc_phylum_replaced', 'dwc_class_replaced', 'dwc_continent_added']",,heuchera,,"{'lat': 48.137191, 'lon': -96.175395}",,false,false,,,,,min,,,plantae,,,,,,,9 mi s of thief river falls;;n;;,,,,,,,,,29a946a3-3f2d-40ce-9009-5204c5f92d66,saxifragales,tracheophyta,"['e2def7e2-1455-4856-9823-6d3738417d24\\\\29a946a3-3f2d-40ce-9009-5204c5f92d66', 'e2def7e2-1455-4856-9823-6d3738417d24\\\\93845', 'e2def7e2-1455-4856-9823-6d3738417d24\\\\urn:uuid:29a946a3-3f2d-40ce-9009-5204c5f92d66', 'urn:uuid:29a946a3-3f2d-40ce-9009-5204c5f92d66']",1317,e2def7e2-1455-4856-9823-6d3738417d24,heuchera richardsonii,richardsonii,199,minnesota,3032681,accepted,species,,ac97f25a-6853-4673-8513-ae6b32b1aadf,,,,,Heuchera richardsonii,-96.175395,48.137191
,,preservedspecimen,,heuchera richardsonii,448436,magnoliopsida,plants,f292c83d-305c-4b22-97cc-cd9c72e2931e,,"moore, john; hall, robert",,,north america,4372.0,united states,usa,rock,7ddf754f-d193-4cc9-b351-99906754a03b,1944-06-09,2020-10-14T13:07:07.843232+00:00,0.2318840579710145,,,,,,c85b51b18c3557540758a355bdba344343f187be,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'gbif_reference_added', 'dwc_taxonid_replaced', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'dwc_order_added', 'gbif_vernacularname_added', 'gbif_taxon_corrected', 'dwc_phylum_replaced', 'dwc_class_replaced', 'dwc_continent_added']",,heuchera,,"{'lat': 43.80899, 'lon': -96.341841}",,false,false,,,,,min,,,plantae,,,,,,,"beside hwy, 4 mi se of jasper;;n;;",,,,,,,,,6326d8bd-ab2f-41b7-a42a-d0221c424ee4,saxifragales,tracheophyta,"['e2def7e2-1455-4856-9823-6d3738417d24\\\\6326d8bd-ab2f-41b7-a42a-d0221c424ee4', 'urn:uuid:6326d8bd-ab2f-41b7-a42a-d0221c424ee4', 'e2def7e2-1455-4856-9823-6d3738417d24\\\\93905', 'e2def7e2-1455-4856-9823-6d3738417d24\\\\urn:uuid:6326d8bd-ab2f-41b7-a42a-d0221c424ee4']",16355,e2def7e2-1455-4856-9823-6d3738417d24,heuchera richardsonii,richardsonii,161,minnesota,3032681,accepted,species,,9d32b1b6-48bb-4230-b8b9-77d34541b7bb,,,,,Heuchera richardsonii,-96.341841,43.80899
,,preservedspecimen,,heuchera richardsonii,532953,magnoliopsida,plants,f292c83d-305c-4b22-97cc-cd9c72e2931e,,"lakela, olga",,,north america,587.0,united states,usa,lake,7ddf754f-d193-4cc9-b351-99906754a03b,1956-08-28,2020-10-14T13:07:07.843232+00:00,0.21739130434782608,,,,,,13902508c4d31155aab553fbd63f4f96c6f0b892,saxifragaceae,,"['geopoint_datum_missing', 'geopoint_low_precision', 'dwc_taxonrank_added', 'gbif_reference_added', 'dwc_taxonid_replaced', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'dwc_order_added', 'gbif_vernacularname_added', 'gbif_taxon_corrected', 'dwc_phylum_replaced', 'dwc_class_replaced', 'dwc_continent_added']",,heuchera,,"{'lat': 48.15, 'lon': -91.05}",,false,false,,,,,min,,,plantae,,,,,,,"lake county...in front of the forestry cabin, lower basswood river falls, crooked lake;boundary waters canoe area wilderness / superior national forest;065n;11w;14",,,,,,,,,33847778-1064-43b9-ae76-febd8bb068c9,saxifragales,tracheophyta,"['e2def7e2-1455-4856-9823-6d3738417d24\\\\33847778-1064-43b9-ae76-febd8bb068c9', 'urn:uuid:33847778-1064-43b9-ae76-febd8bb068c9', 'e2def7e2-1455-4856-9823-6d3738417d24\\\\93924', 'e2def7e2-1455-4856-9823-6d3738417d24\\\\urn:uuid:33847778-1064-43b9-ae76-febd8bb068c9']",20994,e2def7e2-1455-4856-9823-6d3738417d24,heuchera richardsonii,richardsonii,241,minnesota,3032681,accepted,species,,0c025d21-a314-45c2-86b8-cea79a31eb02,,,,,Heuchera richardsonii,-91.05,48.15
,,preservedspecimen,,heuchera richardsonii,572598,magnoliopsida,plants,f292c83d-305c-4b22-97cc-cd9c72e2931e,,"moore, john",,,north america,6072.0,united states,usa,houston,7ddf754f-d193-4cc9-b351-99906754a03b,1961-06-07,2020-10-14T13:07:07.843232+00:00,0.2318840579710145,,,,,,b598d2d299b0bbaaec74943a4c2ba44416154cd8,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'gbif_reference_added', 'dwc_taxonid_replaced', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'dwc_order_added', 'gbif_vernacularname_added', 'gbif_taxon_corrected', 'dwc_phylum_replaced', 'dwc_class_replaced', 'dwc_continent_added']",,heuchera,,"{'lat': 43.808282, 'lon': -91.692713}",,false,false,,,,,min,,,plantae,,,,,,,3 mi. e of rushford.;;n;;,,,,,,,,,3ace404b-3bc1-40a0-9a20-229e9574c7b9,saxifragales,tracheophyta,"['e2def7e2-1455-4856-9823-6d3738417d24\\\\3ace404b-3bc1-40a0-9a20-229e9574c7b9', 'e2def7e2-1455-4856-9823-6d3738417d24\\\\urn:uuid:3ace404b-3bc1-40a0-9a20-229e9574c7b9', 'e2def7e2-1455-4856-9823-6d3738417d24\\\\93942', 'urn:uuid:3ace404b-3bc1-40a0-9a20-229e9574c7b9']",25401,e2def7e2-1455-4856-9823-6d3738417d24,heuchera richardsonii,richardsonii,158,minnesota,3032681,accepted,species,,e28a7d0b-ed4e-4865-b8ba-cb6bfe4e12b9,,,,,Heuchera richardsonii,-91.692713,43.808282
,,preservedspecimen,,heuchera richardsonii,832133,magnoliopsida,plants,f292c83d-305c-4b22-97cc-cd9c72e2931e,,"kren jr., bill",,,north america,1854.0,united states,usa,saint louis,7ddf754f-d193-4cc9-b351-99906754a03b,1981-06-17,2020-10-14T13:07:07.843232+00:00,0.2318840579710145,,,,,,2ed38f322d634a54a1a49c33157717d2049ad0eb,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'gbif_reference_added', 'dwc_taxonid_replaced', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'dwc_order_added', 'gbif_vernacularname_added', 'gbif_taxon_corrected', 'dwc_phylum_replaced', 'dwc_class_replaced', 'dwc_continent_added']",,heuchera,,"{'lat': 47.972358, 'lon': -91.828264}",,false,false,,,,,min,,,plantae,,,,,,,st. louis co.; on se side of low lake. elev.1400' r-12w t-64n sec.36;superior national forest;064n;12w;36,,,,,,,,,c3dadbb1-0c4b-44b6-9653-514c3e6bb69f,saxifragales,tracheophyta,"['e2def7e2-1455-4856-9823-6d3738417d24\\\\c3dadbb1-0c4b-44b6-9653-514c3e6bb69f', 'urn:uuid:c3dadbb1-0c4b-44b6-9653-514c3e6bb69f', 'e2def7e2-1455-4856-9823-6d3738417d24\\\\94030', 'e2def7e2-1455-4856-9823-6d3738417d24\\\\urn:uuid:c3dadbb1-0c4b-44b6-9653-514c3e6bb69f']",s.n.,e2def7e2-1455-4856-9823-6d3738417d24,heuchera richardsonii,richardsonii,168,minnesota,3032681,accepted,species,,731b5f5a-ef22-4e82-ab9e-1ed29a12c70b,,,,,Heuchera richardsonii,-91.828264,47.972358
,,preservedspecimen,,heuchera richardsonii,453763,magnoliopsida,plants,f292c83d-305c-4b22-97cc-cd9c72e2931e,,"moore, john",,,north america,969.0,united states,usa,sherburne,7ddf754f-d193-4cc9-b351-99906754a03b,1971-06-25,2021-03-25T09:41:41.446833+00:00,0.2463768115942029,,,,,,1d525650ab517aad18890f34cf375703a799e4e2,saxifragaceae,,"['dwc_taxonrank_added', 'gbif_reference_added', 'dwc_taxonid_replaced', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'dwc_order_added', 'gbif_vernacularname_added', 'gbif_taxon_corrected', 'dwc_phylum_replaced', 'dwc_class_replaced', 'dwc_continent_added']",,heuchera,,"{'lat': 45.451303, 'lon': -93.747162}",,false,false,,,,,min,,,plantae,,,,,,,ne1/4 sec. 7 orrock [twp. sherburne national wildlife refug];sherburne national wildlife refuge;t034n r27w s7,,,,,,,,,cf9a32a1-99be-4804-936e-a18683d567fe,saxifragales,tracheophyta,"['e2def7e2-1455-4856-9823-6d3738417d24\\\\cf9a32a1-99be-4804-936e-a18683d567fe', 'e2def7e2-1455-4856-9823-6d3738417d24\\\\urn:uuid:cf9a32a1-99be-4804-936e-a18683d567fe', 'urn:uuid:cf9a32a1-99be-4804-936e-a18683d567fe', 'e2def7e2-1455-4856-9823-6d3738417d24\\\\8548']",97,e2def7e2-1455-4856-9823-6d3738417d24,heuchera richardsonii,richardsonii,176,minnesota,3032681,accepted,species,,0c997bbe-8d8a-4312-ba25-fcfb6c2a170a,,,,,Heuchera richardsonii,-93.747162,45.451303
,,preservedspecimen,,heuchera richardsonii,273192,magnoliopsida,plants,f292c83d-305c-4b22-97cc-cd9c72e2931e,,"rosendahl, c.; butters, f.",,,north america,2390.0,united states,usa,houston,7ddf754f-d193-4cc9-b351-99906754a03b,1922-05-31,2020-10-14T13:07:07.843232+00:00,0.2318840579710145,,,,,,263a5cb2f8c78a2207e4797f9bf5a0b4a428f1d0,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'gbif_reference_added', 'dwc_taxonid_replaced', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'dwc_order_added', 'gbif_vernacularname_added', 'gbif_taxon_corrected', 'dwc_phylum_replaced', 'dwc_class_replaced', 'dwc_continent_added']",,heuchera,,"{'lat': 43.634691, 'lon': -91.496808}",,false,false,,,,,min,,,plantae,,,,,,,"ridge, w of caledonia;;n;;",,,,,,,,,55ab52f1-a49d-4bb5-ade0-a613502127b9,saxifragales,tracheophyta,"['e2def7e2-1455-4856-9823-6d3738417d24\\\\55ab52f1-a49d-4bb5-ade0-a613502127b9', 'urn:uuid:55ab52f1-a49d-4bb5-ade0-a613502127b9', 'e2def7e2-1455-4856-9823-6d3738417d24\\\\93811', 'e2def7e2-1455-4856-9823-6d3738417d24\\\\urn:uuid:55ab52f1-a49d-4bb5-ade0-a613502127b9']",4277,e2def7e2-1455-4856-9823-6d3738417d24,heuchera richardsonii,richardsonii,151,minnesota,3032681,accepted,species,,ccbd5b87-6163-45f6-b24c-63c01907b360,,,,,Heuchera richardsonii,-91.496808,43.634691
,,preservedspecimen,,heuchera richardsonii,529149,magnoliopsida,plants,f292c83d-305c-4b22-97cc-cd9c72e2931e,,"rosendahl, c.",,,north america,1014.0,united states,usa,houston,7ddf754f-d193-4cc9-b351-99906754a03b,1947-07-02,2020-10-14T13:07:07.843232+00:00,0.2318840579710145,,,,,,1cba0265a06176506e16387772094a80f6447424,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'gbif_reference_added', 'dwc_taxonid_replaced', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'dwc_order_added', 'gbif_vernacularname_added', 'gbif_taxon_corrected', 'dwc_phylum_replaced', 'dwc_class_replaced', 'dwc_continent_added']",,heuchera,,"{'lat': 43.536819, 'lon': -91.660784}",,false,false,,,,,min,,,plantae,,,,,,,sec. 22 spring grove twp.;;101n;07w;22,,,,,,,,,7d47bde6-8982-4046-8e7d-cdae0cbe2453,saxifragales,tracheophyta,"['e2def7e2-1455-4856-9823-6d3738417d24\\\\7d47bde6-8982-4046-8e7d-cdae0cbe2453', 'e2def7e2-1455-4856-9823-6d3738417d24\\\\urn:uuid:7d47bde6-8982-4046-8e7d-cdae0cbe2453', 'urn:uuid:7d47bde6-8982-4046-8e7d-cdae0cbe2453', 'e2def7e2-1455-4856-9823-6d3738417d24\\\\93923']",7774,e2def7e2-1455-4856-9823-6d3738417d24,heuchera richardsonii,richardsonii,183,minnesota,3032681,accepted,species,,8463cf36-75f3-45d2-9ad6-687467925eff,,,,,Heuchera richardsonii,-91.660784,43.536819
