associatedsequences,barcodeValue,basisOfRecord,bed,canonicalName,catalogNumber,class,collectionCode,collectionID,collectionName,recordedBy,vernacularName,commonnames,continent,coordinateUncertaintyInMeters,country,isoCountryCode,county,datasetID,eventDate,dateModified,dataQualityScore,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,etag,family,fieldNumber,flags,formation,genus,geologicalContextID,geoPoint,group,hasImage,hasMedia,higherClassification,highestBiostratigraphicZone,individualCount,infraspecificEpithet,institutionCode,institutionID,institutionName,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lithostratigraphicTerms,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,mediarecords,member,minimumDepthInMeters,minimumElevationInMeters,municipality,occurrenceID,order,phylum,recordIds,recordNumber,recordset,scientificName,specificEpithet,startDayOfYear,stateProvince,taxonID,taxonomicStatus,taxonRank,typeStatus,uuid,verbatimEventDate,verbatimLocality,version,waterBody,species_name,x,y
,,preservedspecimen,,heuchera soltisii,utep:herb:16531,magnoliopsida,herb,120,,collector(s): richard d. worthington,,,north america,1373.0,united states,usa,socorro county,7ddf754f-d193-4cc9-b351-99906754a03b,1981-08-31,2022-04-27T13:01:15.032991+00:00,0.391304347826087,,,,,,2e22dd19880a4bf372710ec47578caf0437f37b6,saxifragaceae,,"['geopoint_datum_error', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'idigbio_isocountrycode_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonid_added', 'dwc_parentnameusageid_added']",,heuchera,,"{'lat': 33.998629, 'lon': -107.144924}",,true,true,"plantae, tracheophyta, magnoliopsida, saxifragales, saxifragaceae, heuchera,",,,,utep,utep,,plantae,,,,,,,"about 2.5 miles sw (by air) of water canyon recreational area, along road to south baldy peak",,,2438.0,09d1d7a5-5a2e-4a83-9246-bf3598edb22a,,,2438.0,,http://arctos.database.museum/guid/utep:herb:16531?seid=5206835,saxifragales,tracheophyta,['e36691ec-c4f8-4bec-b331-b48ffa82ff49\\\\http://arctos.database.museum/guid/utep:herb:16531?seid=5206835'],zhuang7552,e36691ec-c4f8-4bec-b331-b48ffa82ff49,heuchera soltisii,soltisii,243,new mexico,7462054,accepted,species,voucher of <a href='http://arctos.database.museum/name/heuchera soltisii'>heuchera soltisii</a> page 494 in <a href='http://arctos.database.museum/publication/10008996'>folk and alexander 2015</a>,3af6b037-76cc-42f9-8555-422617803187,31 aug 1981,"ca. 2.5 mi. sw water canyon rec. area, along rd to south baldy peak (t4s, r3w, sec.4) 8000 ft",,,Heuchera soltisii,-107.144924,33.998629
,,preservedspecimen,,heuchera soltisii,asu0053507,magnoliopsida,plants,a2e32c87-d320-4a01-bafd-a9182ae2e191,,r. spellenberg; m. spellenberg,,,north america,2000.0,united states,usa,socorro,7ddf754f-d193-4cc9-b351-99906754a03b,1973-08-18,2021-12-17T13:53:42.788129+00:00,0.2608695652173913,,,,,,755fa18a70a55033f3f1bef802dbedabec18b024,saxifragaceae,,"['dwc_country_replaced', 'dwc_multimedia_added', 'gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 33.9174, 'lon': -107.16253}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,,asu,,,plantae,,,,,,,"[magdalena mountains], 1.5 miles below langmuir laboratory.",,,,d6a35cbb-8e7f-4548-ad9e-ac371a1c8b8c,,,,,d6e23318-1a0f-4618-8617-e018044d14f8,saxifragales,tracheophyta,"['urn:uuid:d6e23318-1a0f-4618-8617-e018044d14f8', '40250f4d-7aa6-4fcc-ac38-2868fa4846bd\\\\urn:uuid:d6e23318-1a0f-4618-8617-e018044d14f8', '40250f4d-7aa6-4fcc-ac38-2868fa4846bd\\\\2431533', '40250f4d-7aa6-4fcc-ac38-2868fa4846bd\\\\d6e23318-1a0f-4618-8617-e018044d14f8']",3596,40250f4d-7aa6-4fcc-ac38-2868fa4846bd,heuchera soltisii,soltisii,230,new mexico,7462054,accepted,species,,cb46cb2b-9b5c-414e-9485-9617ad1339a3,,,,,Heuchera soltisii,-107.16253,33.9174
,,preservedspecimen,,heuchera soltisii,utep:herb:13608,magnoliopsida,herb,120,,collector(s): richard d. worthington,,,north america,494.0,united states,usa,dona ana county,7ddf754f-d193-4cc9-b351-99906754a03b,1980-05-04,2022-04-27T13:01:15.032991+00:00,0.391304347826087,,,,,,9bec98035aad2af249f33bcd7903cd0c24a5c7ca,saxifragaceae,,"['geopoint_datum_error', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'idigbio_isocountrycode_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonid_added', 'dwc_parentnameusageid_added']",,heuchera,,"{'lat': 32.354126, 'lon': -106.559278}",,true,true,"plantae, tracheophyta, magnoliopsida, saxifragales, saxifragaceae, heuchera,",,,,utep,utep,,plantae,,,,,,,"organ needle, ne side",,,2073.0,26b1c915-b1f9-42f0-a667-fe6397b74231,,,2073.0,,http://arctos.database.museum/guid/utep:herb:13608?seid=5205695,saxifragales,tracheophyta,['e36691ec-c4f8-4bec-b331-b48ffa82ff49\\\\http://arctos.database.museum/guid/utep:herb:13608?seid=5205695'],5865,e36691ec-c4f8-4bec-b331-b48ffa82ff49,heuchera soltisii,soltisii,125,new mexico,7462054,accepted,species,voucher of <a href='http://arctos.database.museum/name/heuchera soltisii'>heuchera soltisii</a> page 491 in <a href='http://arctos.database.museum/publication/10008996'>folk and alexander 2015</a>,aa50c21d-40d2-415b-ae88-29349c8dbd7b,04 may 1980,"ne side of organ needle (t22s, r4e, nw 1/4 sec 32) 6800 ft",,,Heuchera soltisii,-106.559278,32.354126
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heuchera soltisii,-107.5286383,33.82103653
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heuchera soltisii,-107.3886643,33.57036595
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heuchera soltisii,-107.1811783,33.97514185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heuchera soltisii,-107.4934195,33.72432283
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heuchera soltisii,-106.5613746,32.34419551
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heuchera soltisii,-107.1874961,33.99089102
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heuchera soltisii,-106.5786002,32.3433102
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heuchera soltisii,-107.1451036,33.9979491
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heuchera soltisii,-107.1330933,34.02490704
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heuchera soltisii,-106.5738257,32.32312694
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heuchera soltisii,-106.5598289,32.37018788
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heuchera soltisii,-107.3886585,33.57039062
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heuchera soltisii,-107.7257859,32.54140762
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heuchera soltisii,-107.4268061,33.90504188
