associatedsequences,barcodeValue,basisOfRecord,bed,canonicalName,catalogNumber,class,collectionCode,collectionID,collectionName,recordedBy,vernacularName,commonnames,continent,coordinateUncertaintyInMeters,country,isoCountryCode,county,datasetID,eventDate,dateModified,dataQualityScore,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,etag,family,fieldNumber,flags,formation,genus,geologicalContextID,geoPoint,group,hasImage,hasMedia,higherClassification,highestBiostratigraphicZone,individualCount,infraspecificEpithet,institutionCode,institutionID,institutionName,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lithostratigraphicTerms,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,mediarecords,member,minimumDepthInMeters,minimumElevationInMeters,municipality,occurrenceID,order,phylum,recordIds,recordNumber,recordset,scientificName,specificEpithet,startDayOfYear,stateProvince,taxonID,taxonomicStatus,taxonRank,typeStatus,uuid,verbatimEventDate,verbatimLocality,version,waterBody,species_name,x,y
,,preservedspecimen,,heuchera,108945,magnoliopsida,ieb,256,,j. rzedowski,,,north america,80.0,mexico,mex,querendaro,7ddf754f-d193-4cc9-b351-99906754a03b,1990-06-23,2021-07-27T12:08:14.772397+00:00,0.37681159420289856,,,,,,bdb545c6003b139c0ccd4c209043142bfed2f7d2,saxifragaceae,49429,"['geopoint_datum_missing', 'gbif_genericname_added', 'dwc_scientificnameauthorship_replaced', 'gbif_vernacularname_added', 'dwc_datasetid_replaced', 'dwc_taxonid_replaced', 'taxon_match_failed', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_class_replaced', 'dwc_parentnameusageid_added']",,heuchera,,"{'lat': 19.8083333, 'lon': -100.8933333}",,false,false,plantae; tracheophyta; equisetopsida; saxifragales; saxifragaceae; heuchera,,1.0,,inecol,1913,,plantae,,,,,,,"alrededores de san miguel de las cuevas, mpio. querendaro",,0.0,0.0,,,0.0,2250.0,,urn:catalog:inecol:ieb:108945:de44f0b1ff057b32a46b9d9ec0b07ee9,saxifragales,tracheophyta,['275a8cea-1c34-4580-a030-4f58e680605c\\\\urn:catalog:inecol:ieb:108945:de44f0b1ff057b32a46b9d9ec0b07ee9'],,275a8cea-1c34-4580-a030-4f58e680605c,heuchera sp.,sp.,174,michoacan de ocampo,3032645,accepted,genus,no aplica,0a753612-5761-4f11-8cad-7132dc3e64eb,,,,,Heuchera sp.,-100.8933333,19.8083333
,,preservedspecimen,,heuchera,108943,magnoliopsida,ieb,256,,j. rzedowski,,,north america,80.0,mexico,mex,amealco de bonfil,7ddf754f-d193-4cc9-b351-99906754a03b,1988-12-07,2021-07-27T12:08:14.772397+00:00,0.36231884057971014,,,,,,bd145e49d3f544034aff07c2a0c9d31fe6729060,saxifragaceae,47947,"['geopoint_datum_missing', 'geopoint_low_precision', 'gbif_genericname_added', 'dwc_scientificnameauthorship_replaced', 'gbif_vernacularname_added', 'dwc_datasetid_replaced', 'dwc_taxonid_replaced', 'taxon_match_failed', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_class_replaced', 'dwc_parentnameusageid_added']",,heuchera,,"{'lat': 20.0877778, 'lon': -99.97}",,false,false,plantae; tracheophyta; equisetopsida; saxifragales; saxifragaceae; heuchera,,1.0,,inecol,1913,,plantae,,,,,,,8 km al ne de san pablo,,0.0,0.0,,,0.0,2800.0,,urn:catalog:inecol:ieb:108943:6189dc226fcfc7be311ceedc7212c433,saxifragales,tracheophyta,['275a8cea-1c34-4580-a030-4f58e680605c\\\\urn:catalog:inecol:ieb:108943:6189dc226fcfc7be311ceedc7212c433'],,275a8cea-1c34-4580-a030-4f58e680605c,heuchera sp.,sp.,342,queretaro,3032645,accepted,genus,no aplica,1e9ce423-825b-472f-a2ac-8bf8a261840c,,,,,Heuchera sp.,-99.97,20.0877778
,,preservedspecimen,,heuchera,48164,magnoliopsida,herb,,,n. h. russell,,,north america,,united states,usa,summit co.,7ddf754f-d193-4cc9-b351-99906754a03b,1959-07-22,2021-07-27T11:52:57.039575+00:00,0.2318840579710145,,,,,,f084a3e47740008e997191eb6ff14d9d9967b160,saxifragaceae,,"['geopoint_datum_missing', 'dwc_country_replaced', 'dwc_multimedia_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_taxon_corrected', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_phylum_replaced', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_order_added', 'dwc_class_added', 'taxon_match_failed']",,heuchera,,"{'lat': 40.3978, 'lon': -105.075}",,true,true,plantae | dicots | saxifragaceae,,,,usf,urn:lsid:biocol.org:col:15638,,plantae,,,,,,,loveland pass on us 50.,,,,95a365b0-97f2-4cc0-b91a-7c0a17fa3991,,,,,f770d12f-3360-4b29-b12b-73cfcc87809f,saxifragales,tracheophyta,"['f1cf8457-237e-487a-9d13-5de7d81b9de4\\\\f770d12f-3360-4b29-b12b-73cfcc87809f', 'f1cf8457-237e-487a-9d13-5de7d81b9de4\\\\urn:catalog:usf:herb:48164']",10582,f1cf8457-237e-487a-9d13-5de7d81b9de4,heuchera sp.,sp.,203,colorado,3032645,accepted,genus,,bc0dec50-8fdd-4307-9ad7-ee9978adb435,,loveland pass on us 50.,,,Heuchera sp.,-105.075,40.3978
,,preservedspecimen,,heuchera,108944,magnoliopsida,ieb,256,,h. díaz-barriga; s. zamudio r.,,,north america,90.0,mexico,mex,huiramba,7ddf754f-d193-4cc9-b351-99906754a03b,1986-08-22,2021-07-27T12:08:14.772397+00:00,0.37681159420289856,,,,,,120145d8c83eeb763450051d25ed4d6adb8e8985,saxifragaceae,2636,"['geopoint_datum_missing', 'gbif_genericname_added', 'dwc_scientificnameauthorship_replaced', 'gbif_vernacularname_added', 'dwc_datasetid_replaced', 'dwc_taxonid_replaced', 'taxon_match_failed', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_class_replaced', 'dwc_parentnameusageid_added']",,heuchera,,"{'lat': 19.5444444, 'lon': -101.4361111}",,false,false,plantae; tracheophyta; equisetopsida; saxifragales; saxifragaceae; heuchera,,1.0,,inecol,1913,,plantae,,,,,,,"parte alta del cerro la taza, mun. de huiramba",,0.0,0.0,,,0.0,3190.0,,urn:catalog:inecol:ieb:108944:f5b45d7c4ea3e2ae55a9c7035054bd7e,saxifragales,tracheophyta,['275a8cea-1c34-4580-a030-4f58e680605c\\\\urn:catalog:inecol:ieb:108944:f5b45d7c4ea3e2ae55a9c7035054bd7e'],,275a8cea-1c34-4580-a030-4f58e680605c,heuchera sp.,sp.,234,michoacan de ocampo,3032645,accepted,genus,no aplica,2124b27c-011f-4f4f-a19d-5e5101843207,,,,,Heuchera sp.,-101.4361111,19.5444444
,,preservedspecimen,,heuchera,108947,magnoliopsida,ieb,256,,j. rzedowski,,,north america,80.0,mexico,mex,amealco de bonfil,7ddf754f-d193-4cc9-b351-99906754a03b,1987-11-15,2021-07-27T12:08:14.772397+00:00,0.37681159420289856,,,,,,9cedd5fbd4a21ff22ff0f4efc71141fd91d87022,saxifragaceae,45767,"['geopoint_datum_missing', 'gbif_genericname_added', 'dwc_scientificnameauthorship_replaced', 'gbif_vernacularname_added', 'dwc_datasetid_replaced', 'dwc_taxonid_replaced', 'taxon_match_failed', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_class_replaced', 'dwc_parentnameusageid_added']",,heuchera,,"{'lat': 20.2733333, 'lon': -100.275}",,false,false,plantae; tracheophyta; equisetopsida; saxifragales; saxifragaceae; heuchera,,1.0,,inecol,1913,,plantae,,,,,,,"2 km al se de laguna de servin, mpio. amealco, qro.",,0.0,0.0,,,0.0,2750.0,,urn:catalog:inecol:ieb:108947:ceacb6ee6698232747c40fb3ea123be7,saxifragales,tracheophyta,['275a8cea-1c34-4580-a030-4f58e680605c\\\\urn:catalog:inecol:ieb:108947:ceacb6ee6698232747c40fb3ea123be7'],,275a8cea-1c34-4580-a030-4f58e680605c,heuchera sp.,sp.,319,queretaro,3032645,accepted,genus,no aplica,3dae9374-fae3-4618-b413-94218493b703,,,,,Heuchera sp.,-100.275,20.2733333
,,preservedspecimen,,heuchera,no disponible,magnoliopsida,gh,368,,"bye, r.",,,north america,500.0,mexico,mex,guachochi,7ddf754f-d193-4cc9-b351-99906754a03b,1974-07-31,2021-07-27T12:02:25.019368+00:00,0.391304347826087,,,,,,f53a324768c8dfe11c8b4835e27ffdd0efc4a0ba,saxifragaceae,6705,"['gbif_genericname_added', 'dwc_scientificnameauthorship_replaced', 'gbif_vernacularname_added', 'dwc_datasetid_replaced', 'dwc_taxonid_replaced', 'taxon_match_failed', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_class_replaced', 'dwc_parentnameusageid_added']",,heuchera,,"{'lat': 27.6038126, 'lon': -107.540206}",,false,false,plantae; tracheophyta; equisetopsida; saxifragales; saxifragaceae; heuchera,,1.0,,hu,128,,plantae,,,,,,,cusarare; south of creel.,,0.0,0.0,,,0.0,0.0,,urn:catalog:hu:gh:no disponible:eb585e08b6e8c755e8efe7df9d52393e,saxifragales,tracheophyta,['be72355e-a5d6-4094-8635-0127dfb510aa\\\\urn:catalog:hu:gh:nodisponible:eb585e08b6e8c755e8efe7df9d52393e'],,be72355e-a5d6-4094-8635-0127dfb510aa,heuchera sp.,sp.,212,chihuahua,3032645,accepted,genus,no aplica,31bb2b1e-ae82-46e2-8c98-52cc681a0370,,,,,Heuchera sp.,-107.540206,27.6038126
,,preservedspecimen,,heuchera,108946,magnoliopsida,ieb,256,,s. zamudio r.,,,north america,80.0,mexico,mex,san joaquin,7ddf754f-d193-4cc9-b351-99906754a03b,1989-05-23,2021-07-27T12:08:14.772397+00:00,0.37681159420289856,,,,,,a37a29ddaad468198824dfa2730df6ef8d5944f5,saxifragaceae,7301,"['geopoint_datum_missing', 'gbif_genericname_added', 'dwc_scientificnameauthorship_replaced', 'gbif_vernacularname_added', 'dwc_datasetid_replaced', 'dwc_taxonid_replaced', 'taxon_match_failed', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_class_replaced', 'dwc_parentnameusageid_added']",,heuchera,,"{'lat': 20.9152778, 'lon': -99.5644444}",,false,false,plantae; tracheophyta; equisetopsida; saxifragales; saxifragaceae; heuchera,,1.0,,inecol,1913,,plantae,,,,,,,"13 km al nw de san joaquin, por el camino a bucareli,qro.",,0.0,0.0,,,0.0,2130.0,,urn:catalog:inecol:ieb:108946:6713a19364e5d3f3513e753c9a8b3c7a,saxifragales,tracheophyta,['275a8cea-1c34-4580-a030-4f58e680605c\\\\urn:catalog:inecol:ieb:108946:6713a19364e5d3f3513e753c9a8b3c7a'],,275a8cea-1c34-4580-a030-4f58e680605c,heuchera sp.,sp.,143,queretaro,3032645,accepted,genus,no aplica,07b147ea-ee07-4213-ab0c-6e250cf621c2,,,,,Heuchera sp.,-99.5644444,20.9152778
,,preservedspecimen,,heuchera,no disponible,magnoliopsida,cfnl,3620,,e. estrada; c. yen; g. cavazos,,,north america,50.0,mexico,mex,monterrey,7ddf754f-d193-4cc9-b351-99906754a03b,2005-03-25,2021-07-27T12:17:20.692589+00:00,0.37681159420289856,,,,,,a9a02c7f3b32d03b761ba858fb2babf0ccd7b868,saxifragaceae,19458,"['geopoint_datum_missing', 'gbif_genericname_added', 'dwc_scientificnameauthorship_replaced', 'gbif_vernacularname_added', 'dwc_datasetid_replaced', 'dwc_taxonid_replaced', 'taxon_match_failed', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_class_replaced', 'dwc_parentnameusageid_added']",,heuchera,,"{'lat': 25.581, 'lon': -100.225}",,false,false,plantae; tracheophyta; equisetopsida; saxifragales; saxifragaceae; heuchera,,1.0,,fcf-uanl,1909,,plantae,,,,,,,parque la estanzuela,,0.0,0.0,,,0.0,820.0,,urn:catalog:fcf-uanl:cfnl:no disponible:3914fd6950b4677a3930b0eb71bf7f8a,saxifragales,tracheophyta,['5d0a9aa8-91f2-4fa4-b4df-554a4221dfcb\\\\urn:catalog:fcf-uanl:cfnl:nodisponible:3914fd6950b4677a3930b0eb71bf7f8a'],,5d0a9aa8-91f2-4fa4-b4df-554a4221dfcb,heuchera sp.,sp.,84,nuevo leon,3032645,accepted,genus,no aplica,29af89fb-7820-4b73-947f-d5ff9a620d10,,,,,Heuchera sp.,-100.225,25.581
,,preservedspecimen,,heuchera,no disponible,magnoliopsida,cfnl,3620,,e. estrada; f. reyes; a. molina; y. villarreal,,,north america,50.0,mexico,mex,montemorelos,7ddf754f-d193-4cc9-b351-99906754a03b,2003-04-04,2021-07-27T12:17:20.692589+00:00,0.37681159420289856,,,,,,8de77447b27fc62c97ccc7bb3ac65a1d7c23f6d6,saxifragaceae,15415,"['geopoint_datum_missing', 'gbif_genericname_added', 'dwc_scientificnameauthorship_replaced', 'gbif_vernacularname_added', 'dwc_datasetid_replaced', 'dwc_taxonid_replaced', 'taxon_match_failed', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_class_replaced', 'dwc_parentnameusageid_added']",,heuchera,,"{'lat': 25.1941667, 'lon': -100.1152778}",,false,false,plantae; tracheophyta; equisetopsida; saxifragales; saxifragaceae; heuchera,,1.0,,fcf-uanl,1909,,plantae,,,,,,,"7 km al sur de la trinidad, montemorelos",,0.0,0.0,,,0.0,1600.0,,urn:catalog:fcf-uanl:cfnl:no disponible:39fa58e6d6ad299c1038054b42d8ae4a,saxifragales,tracheophyta,['5d0a9aa8-91f2-4fa4-b4df-554a4221dfcb\\\\urn:catalog:fcf-uanl:cfnl:nodisponible:39fa58e6d6ad299c1038054b42d8ae4a'],,5d0a9aa8-91f2-4fa4-b4df-554a4221dfcb,heuchera sp.,sp.,94,nuevo leon,3032645,accepted,genus,no aplica,4a93eba1-9dd0-4c55-b4c0-bf5e4e1b2c6c,,,,,Heuchera sp.,-100.1152778,25.1941667
,,preservedspecimen,,heuchera,no disponible,magnoliopsida,gh,368,,"bye, r.",,,north america,60.0,mexico,mex,bocoyna,7ddf754f-d193-4cc9-b351-99906754a03b,1972-07-20,2021-07-27T12:02:25.019368+00:00,0.36231884057971014,,,,,,6610b5e73b5fba109e70b9008aaa8d073c4d07c2,saxifragaceae,2402,"['geopoint_datum_missing', 'geopoint_low_precision', 'gbif_genericname_added', 'dwc_scientificnameauthorship_replaced', 'gbif_vernacularname_added', 'dwc_datasetid_replaced', 'dwc_taxonid_replaced', 'taxon_match_failed', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_class_replaced', 'dwc_parentnameusageid_added']",,heuchera,,"{'lat': 27.7427778, 'lon': -107.62}",,false,false,plantae; tracheophyta; equisetopsida; saxifragales; saxifragaceae; heuchera,,1.0,,hu,128,,plantae,,,,,,,"creel; near airstrip, southeast of creel.",,0.0,0.0,,,0.0,2286.0,,urn:catalog:hu:gh:no disponible:f81a53a75baf33c5500e23ba1a3888a6,saxifragales,tracheophyta,['be72355e-a5d6-4094-8635-0127dfb510aa\\\\urn:catalog:hu:gh:nodisponible:f81a53a75baf33c5500e23ba1a3888a6'],,be72355e-a5d6-4094-8635-0127dfb510aa,heuchera sp.,sp.,202,chihuahua,3032645,accepted,genus,no aplica,be320982-fae9-4350-8afa-4c23dec5c771,,,,,Heuchera sp.,-107.62,27.7427778
