associatedsequences,barcodeValue,basisOfRecord,bed,canonicalName,catalogNumber,class,collectionCode,collectionID,collectionName,recordedBy,vernacularName,commonnames,continent,coordinateUncertaintyInMeters,country,isoCountryCode,county,datasetID,eventDate,dateModified,dataQualityScore,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,etag,family,fieldNumber,flags,formation,genus,geologicalContextID,geoPoint,group,hasImage,hasMedia,higherClassification,highestBiostratigraphicZone,individualCount,infraspecificEpithet,institutionCode,institutionID,institutionName,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lithostratigraphicTerms,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,mediarecords,member,minimumDepthInMeters,minimumElevationInMeters,municipality,occurrenceID,order,phylum,recordIds,recordNumber,recordset,scientificName,specificEpithet,startDayOfYear,stateProvince,taxonID,taxonomicStatus,taxonRank,typeStatus,uuid,verbatimEventDate,verbatimLocality,version,waterBody,species_name,x,y
,,preservedspecimen,,heuchera wootonii,utep:herb:13845,magnoliopsida,herb,120,,collector(s): richard d. worthington,,,north america,53.0,united states,usa,lincoln county,7ddf754f-d193-4cc9-b351-99906754a03b,1980-07-24,2022-04-27T13:01:15.032991+00:00,0.36231884057971014,,,,,,4b649b4e71206d349535aa323c3df7c88a388b41,saxifragaceae,,"['geopoint_datum_error', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_order_replaced', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'idigbio_isocountrycode_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonid_added', 'dwc_parentnameusageid_added']",,heuchera,,"{'lat': 33.494457, 'lon': -105.783785}",,true,true,"plantae, tracheophyta, magnoliopsida, rosales, saxifragaceae, heuchera,",,,,utep,utep,,plantae,,,,,,,e of nogal peak at junction of crest trail 25 and forest service road 108,,,2682.0,55481f8f-90f7-4bbf-962d-df733fbf53bb,,,2682.0,,http://arctos.database.museum/guid/utep:herb:13845?seid=5205850,saxifragales,tracheophyta,['e36691ec-c4f8-4bec-b331-b48ffa82ff49\\\\http://arctos.database.museum/guid/utep:herb:13845?seid=5205850'],6254,e36691ec-c4f8-4bec-b331-b48ffa82ff49,heuchera wootonii,wootonii,206,new mexico,3032661,accepted,species,,df8fa69a-58a0-4cec-80f5-eed695fea14f,24 jul 1980,"e of nogal peak at jct crest trail 25 & fr 108 (t9s, r12e, sec 25) 8800 ft",,,Heuchera wootonii,-105.783785,33.494457
,,preservedspecimen,,heuchera wootonii,utep:herb:73951,magnoliopsida,herb,120,,collector(s): richard d. worthington,,,north america,,united states,usa,lincoln county,7ddf754f-d193-4cc9-b351-99906754a03b,2007-06-07,2022-04-27T13:01:15.032991+00:00,0.34782608695652173,,,,,,b615f82a4fc09ff36fc73951950230724bb28a6c,saxifragaceae,,"['geopoint_datum_error', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_order_replaced', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'idigbio_isocountrycode_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonid_added', 'dwc_parentnameusageid_added']",,heuchera,,"{'lat': 33.6129, 'lon': -105.2099}",,true,true,"plantae, tracheophyta, magnoliopsida, rosales, saxifragaceae, heuchera,",,,,utep,utep,,plantae,,,,,,,"capitan mountains, seufeldt canyon above forest service road 5657",,,1905.0,c479a066-e477-4bdc-a769-157900ef2cab,,,1905.0,,http://arctos.database.museum/guid/utep:herb:73951?seid=4076055,saxifragales,tracheophyta,['e36691ec-c4f8-4bec-b331-b48ffa82ff49\\\\http://arctos.database.museum/guid/utep:herb:73951?seid=4076055'],34813,e36691ec-c4f8-4bec-b331-b48ffa82ff49,heuchera wootonii,wootonii,158,new mexico,3032661,accepted,species,,c0f34c24-c56f-4daf-b3c1-5595980bbeb0,07 jun 2007,"capitan mts., seufeldt canyon above fsr 5657 (33 deg 36.774'n, 105 deg 12.594'w)(t8s, r17e, ctr. sec 13) 6250 ft.",,,Heuchera wootonii,-105.2099,33.6129
,,preservedspecimen,,heuchera,,magnoliopsida,dicots,,,r.d. worthington,,,north america,1000.0,united states,usa,lincoln,7ddf754f-d193-4cc9-b351-99906754a03b,,2018-07-13T11:28:08.613961+00:00,0.2028985507246377,,,,,,d2d1d39c8b977f19d5240c495af236cc588c35d4,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'dwc_multimedia_added', 'dwc_phylum_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'gbif_taxon_corrected', 'dwc_order_added', 'dwc_class_added']",,heuchera,,"{'lat': 33.6129, 'lon': -105.2099}",,false,false,,,,,ucr,,,plantae,,,,,,,"capitan mountains, lincoln national forest, zeufeldt canyon upstream from fsr 5657 crossing",,,,,,,1905.0,,ucr-bps-195081,saxifragales,tracheophyta,['dd1b8c0b-280f-4cd3-979a-ad7464c5c9b5\\\\ucr-bps-195081'],34815,dd1b8c0b-280f-4cd3-979a-ad7464c5c9b5,heuchera wootonii,,158,new mexico,3032645,accepted,genus,,6a7ee1e6-fed7-418d-bfc0-a4acd442c6ef,,,,,Heuchera wootonii,-105.2099,33.6129
,,preservedspecimen,,heuchera wootonii,,magnoliopsida,,3818c5b4-b6a4-11e8-b408-001a64db2964,,r.d. worthington,,,north america,,united states,usa,lincoln,7ddf754f-d193-4cc9-b351-99906754a03b,2007-06-07,2022-03-11T04:17:45.652829+00:00,0.2753623188405797,,,,,,e97641f429af02cd1753b39179dfacb8255d49fc,saxifragaceae,,"['geopoint_datum_missing', 'gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_continent_added']",,heuchera,,"{'lat': 33.6129, 'lon': -105.2099}",,false,false,organism|plantae|viridiplantae|streptophyta|embryophyta|tracheophyta|spermatophytina|magnoliopsida|myrothamnanae|saxifragales|saxifragaceae|heuchera,,,,ucr,,,plantae,,,,,,,"capitan mountains, lincoln national forest, zeufeldt canyon upstream from fsr 5657 crossing",,,,,,,1905.0,,ucr-bps-195081,saxifragales,tracheophyta,"['ba042ffa-8175-4a47-8eb1-08b4d6319ccf\\\\1630792', 'ba042ffa-8175-4a47-8eb1-08b4d6319ccf\\\\ucr-bps-195081', 'urn:uuid:2e83ae8f-62bd-4c50-9cb8-4a8a24427806']",34815,ba042ffa-8175-4a47-8eb1-08b4d6319ccf,heuchera wootonii,wootonii,158,new mexico,3032661,accepted,species,,10062b18-09a5-4dd9-bbbb-5e46c640f4bf,2007-6-7,,,,Heuchera wootonii,-105.2099,33.6129
,,preservedspecimen,,heuchera wootonii,utep:herb:16530,magnoliopsida,herb,120,,collector(s): richard d. worthington,,,north america,130.0,united states,usa,lincoln county,7ddf754f-d193-4cc9-b351-99906754a03b,1981-07-30,2022-04-27T13:01:15.032991+00:00,0.36231884057971014,,,,,,f05ee833eb8ca6187a4dd68c776ea146360d7959,saxifragaceae,,"['geopoint_datum_error', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_order_replaced', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'idigbio_isocountrycode_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonid_added', 'dwc_parentnameusageid_added']",,heuchera,,"{'lat': 33.398359, 'lon': -105.732634}",,true,true,"plantae, tracheophyta, magnoliopsida, rosales, saxifragaceae, heuchera,",,,,utep,utep,,plantae,,,,,,,"0.7 miles (by road) along forest road 127 nw of junction with state highway 532, along eagle creek",,,2408.0,b90bad73-c45e-43a2-94dd-f3045cc6d066,,,2408.0,,http://arctos.database.museum/guid/utep:herb:16530?seid=5206834,saxifragales,tracheophyta,['e36691ec-c4f8-4bec-b331-b48ffa82ff49\\\\http://arctos.database.museum/guid/utep:herb:16530?seid=5206834'],7464,e36691ec-c4f8-4bec-b331-b48ffa82ff49,heuchera wootonii,wootonii,211,new mexico,3032661,accepted,species,,5c3347fe-32ca-4277-b55d-ddb1cfdc86ef,30 jul 1981,"0.7 mi. (by forest rd 127) nw jct with sthy 532, along eagle creek (t10s, r13e, nw 1/4 sec.36) 7900 ft",,,Heuchera wootonii,-105.732634,33.398359
,,preservedspecimen,,heuchera wootonii,utep:herb:73952,magnoliopsida,herb,120,,collector(s): richard d. worthington,,,north america,,united states,usa,lincoln county,7ddf754f-d193-4cc9-b351-99906754a03b,1900-01-01/2016-05-23,2022-04-27T13:01:15.032991+00:00,0.34782608695652173,,,,,,7673bbf1fafff87e3ae6417f7580735d465c922e,saxifragaceae,,"['geopoint_datum_error', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_order_replaced', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'idigbio_isocountrycode_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonid_added', 'dwc_parentnameusageid_added']",,heuchera,,"{'lat': 33.6129, 'lon': -105.2099}",,true,true,"plantae, tracheophyta, magnoliopsida, rosales, saxifragaceae, heuchera,",,,,utep,utep,,plantae,,,,,,,"capitan mountains, zeufeldt canyon above forest service road 5657",,,1905.0,2d1c9dfb-5b11-4e3e-8438-d888fad11229,,,1905.0,,http://arctos.database.museum/guid/utep:herb:73952?seid=4076060,saxifragales,tracheophyta,['e36691ec-c4f8-4bec-b331-b48ffa82ff49\\\\http://arctos.database.museum/guid/utep:herb:73952?seid=4076060'],34815,e36691ec-c4f8-4bec-b331-b48ffa82ff49,heuchera wootonii,wootonii,1,new mexico,3032661,accepted,species,,9f5b2e6b-7f69-45da-8897-04c9ac6379f7,unknown,"capitan mts., zeufeldt canyon above fsr 5657 (33 deg 36.774'n, 105 deg 12.594'w) (t8s, r17e, sec 13, ctr) 6250 ft.",,,Heuchera wootonii,-105.2099,33.6129
,,preservedspecimen,,heuchera wootonii,utep:herb:13777,magnoliopsida,herb,120,,collector(s): charles edward freeman,,,north america,656.0,united states,usa,lincoln county,7ddf754f-d193-4cc9-b351-99906754a03b,1980-06-28,2022-04-27T13:01:15.032991+00:00,0.34782608695652173,,,,,,86334213e0224e8d18be07a7cb2f8e04bc750b75,saxifragaceae,,"['geopoint_datum_error', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_order_replaced', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'idigbio_isocountrycode_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonid_added', 'dwc_parentnameusageid_added']",,heuchera,,"{'lat': 33.39492, 'lon': -105.811038}",,true,true,"plantae, tracheophyta, magnoliopsida, rosales, saxifragaceae, heuchera,",,,,utep,utep,,plantae,,,,,,,about 2 miles w of sierra blanca ski lodge,,,3353.0,e56b86bc-6f10-4fb0-9730-6b2fd765eb1a,,,3353.0,,http://arctos.database.museum/guid/utep:herb:13777?seid=5205800,saxifragales,tracheophyta,['e36691ec-c4f8-4bec-b331-b48ffa82ff49\\\\http://arctos.database.museum/guid/utep:herb:13777?seid=5205800'],,e36691ec-c4f8-4bec-b331-b48ffa82ff49,heuchera wootonii,wootonii,180,new mexico,3032661,accepted,species,,819ee523-a7d3-4107-adc8-e518cea9e1de,28 jun 1980,"about 2.0 mi. w sierra blanca ski lodge (t10s, r11e, sec 32) 11000 ft",,,Heuchera wootonii,-105.811038,33.39492
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heuchera wootonii,-105.809432,33.374246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heuchera wootonii,-105.811377,33.390635
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heuchera wootonii,-105.2148,33.6108
