gbifID,abstract,accessRights,accrualMethod,accrualPeriodicity,accrualPolicy,alternative,audience,available,bibliographicCitation,conformsTo,contributor,coverage,created,creator,date,dateAccepted,dateCopyrighted,dateSubmitted,description,educationLevel,extent,format,hasFormat,hasPart,hasVersion,identifier,instructionalMethod,isFormatOf,isPartOf,isReferencedBy,isReplacedBy,isRequiredBy,isVersionOf,issued,language,license,mediator,medium,modified,provenance,publisher,references,relation,replaces,requires,rights,rightsHolder,source,spatial,subject,tableOfContents,temporal,title,type,valid,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,recordedByID,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,degreeOfEstablishment,pathway,georeferenceVerificationStatus,occurrenceStatus,preparations,disposition,associatedOccurrences,associatedReferences,associatedSequences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,organismScope,associatedOrganisms,previousIdentifications,organismRemarks,materialSampleID,eventID,parentEventID,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,verticalDatum,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,verbatimIdentification,identificationQualifier,typeStatus,identifiedBy,identifiedByID,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,family,subfamily,genus,genericName,subgenus,infragenericEpithet,specificEpithet,infraspecificEpithet,cultivarEpithet,taxonRank,verbatimTaxonRank,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,datasetKey,publishingCountry,lastInterpreted,elevation,elevationAccuracy,depth,depthAccuracy,distanceAboveSurface,distanceAboveSurfaceAccuracy,issue,mediaType,hasCoordinate,hasGeospatialIssues,taxonKey,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,subgenusKey,speciesKey,species,acceptedScientificName,verbatimScientificName,typifiedName,protocol,lastParsed,lastCrawled,repatriated,relativeOrganismQuantity,level0Gid,level0Name,level1Gid,level1Name,level2Gid,level2Name,level3Gid,level3Name,iucnRedListCategory,species_name,x,y
3454987883,,,,,,,,,,,,,,,,,,,,,,,,,,17592191,,,,,,,,,,CC_BY_4_0,,,2018-06-15T08:53:42Z,,,https://ngpherbaria.org/portal/collections/individual/index.php?occid=17592191,,,,http://creativecommons.org/licenses/by/3.0/,South Dakota State University,,,,,,,,,,7b4f17b9-3058-4cc3-913e-eed0ded03bcf,,SDSU,SDC,,,PRESERVED_SPECIMEN,,,,fae90ad8-941d-4cd8-85ad-03d0f5ce4b1d,0014078,4633,Richard R. Halse,,,,,,,flowering,,,,,,PRESENT,,,,,,"Salix, Fraxinus, Mimulus, Pseudotsuga, Sidalcea, Physocarpus",,Flowers greenish; flowering stems 0.9-1.2 m tall; hairs on petioles white.,,,,,,,,,,,1993-06-30T00:00:00,,,,1993,6,30,,In swales,,,,,,,,,,,,,,US,Oregon,Yamhill,,"In the Coast Range just E of Fairdale; T 2S, R 5W, Sec. 32",,146 m,,,,,,,45.35404,-123.32966,805.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collector,,1993-01-01T00:00:00,,,,86717,,,,,,,,Heuchera chlorantha Piper,,,,,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Saxifragaceae|Heuchera,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,chlorantha,,,SPECIES,,,,ACCEPTED,,,e958291a-cd9a-484f-b7bd-72d7ee03246c,US,2022-04-26T09:56:06.495Z,146.0,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_INSTITUTION,,true,false,3032680,3032680,6,7707728,220,7219248,2402,3032645,,3032680,Heuchera chlorantha,Heuchera chlorantha Piper,Heuchera chlorantha,,DWC_ARCHIVE,2022-04-26T09:56:06.495Z,2022-04-22T14:45:08.593Z,false,,USA,United States,USA.38_1,Oregon,USA.38.36_1,Yamhill,,,NE,Heuchera chlorantha piper,-123.32966,45.35404
3314612422,,,,,,,,,,,,,,,,,,,,,,,,,,84222256,,,,,,,,,,CC_BY_NC_4_0,,,2021-06-25T19:36:05Z,,,https://www.inaturalist.org/observations/84222256,,,,,Christine Beck,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/84222256,84222256,,Christine Beck,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,2021-06-23T12:34:04,19:34:04Z,,,2021,6,23,Wed Jun 23 2021 12:34:04 GMT-0700 (PDT),,,,,,,,,,,,,,,US,Oregon,,,,"OR-62, Chiloquin, OR, US",,,,,,,,42.685117,-121.971162,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185693473,,,,ry_folk,https://orcid.org/0000-0002-5333-9273,2021-06-24T13:19:07,,,More likely in that habitat in my opinion but close up of petioles and eventually flowers would be better.,163733,,,,,,,,Heuchera chlorantha Piper,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,chlorantha,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-05-27T10:37:04.338Z,,,,,,,COORDINATE_ROUNDED,StillImage,true,false,3032680,3032680,6,7707728,220,7219248,2402,3032645,,3032680,Heuchera chlorantha,Heuchera chlorantha Piper,Heuchera chlorantha,,DWC_ARCHIVE,2022-05-27T10:37:04.338Z,2022-05-27T06:33:23.798Z,false,,USA,United States,USA.38_1,Oregon,USA.38.18_1,Klamath,,,NE,Heuchera chlorantha piper,-121.971162,42.685117
3307163850,,,,,,,,,,,,,,,,,,,,,,,,,,82608951,,,,,,,,,,CC_BY_NC_4_0,,,2022-01-14T04:53:17Z,,,https://www.inaturalist.org/observations/82608951,,,,,Tom Erler,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,Coordinate uncertainty increased to 26839m at the request of the observer,,,https://www.inaturalist.org/observations/82608951,82608951,,Tom Erler,,,,,,,flowering,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,2021-06-11T15:43:11,22:43:11Z,,,2021,6,11,Fri Jun 11 2021 15:43:11 GMT-0700 (PDT),,,,,,,,,,,,,,,US,Washington,,,,"King County, US-WA, US",,,,,,,,47.547937,-122.119013,26839.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182391274,,,,Tom Erler,,2021-06-11T22:57:31,,,,163733,,,,,,,,Heuchera chlorantha Piper,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,chlorantha,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-05-27T11:13:27.334Z,,,,,,,COORDINATE_ROUNDED,StillImage,true,false,3032680,3032680,6,7707728,220,7219248,2402,3032645,,3032680,Heuchera chlorantha,Heuchera chlorantha Piper,Heuchera chlorantha,,DWC_ARCHIVE,2022-05-27T11:13:27.334Z,2022-05-27T06:33:23.798Z,false,,USA,United States,USA.48_1,Washington,USA.48.17_1,King,,,NE,Heuchera chlorantha piper,-122.119013,47.547937
3005226358,,,,,,,,,,,,,,,,,,,,,,,,,,29917932,,,,,,,,,,CC_BY_4_0,,,2020-07-20T00:22:24Z,,,https://www.inaturalist.org/observations/29917932,,,,,Ed Alverson,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/29917932,29917932,,Ed Alverson,,,,,,,no evidence of flowering,,,,,,PRESENT,,,,,,,,See also http://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&GroupBy=ungrouped&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Heuchera&Species1=chlorantha&IncludeSynonyms1=Y&State1=Washington&County1=King&Collector1=Zika&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,,,,,,,,,,,2013-07-23T13:47:00,20:47:00Z,,,2013,7,23,2013/07/23 1:47 PM PDT,,,,,,,,,,,,,,,US,Washington,,,,"Wilburton, Bellevue, WA, USA",,,,,,,,47.611544,-122.174926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64922616,,,,Ed Alverson,,2019-07-31T14:57:46,,,,163733,,,,,,,,Heuchera chlorantha Piper,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,chlorantha,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-05-27T11:06:35.135Z,,,,,,,COORDINATE_ROUNDED,StillImage,true,false,3032680,3032680,6,7707728,220,7219248,2402,3032645,,3032680,Heuchera chlorantha,Heuchera chlorantha Piper,Heuchera chlorantha,,DWC_ARCHIVE,2022-05-27T11:06:35.135Z,2022-05-27T06:33:23.798Z,false,,USA,United States,USA.48_1,Washington,USA.48.17_1,King,,,NE,Heuchera chlorantha piper,-122.174926,47.611544
2982038636,,,,,,,,,,,,,,,,,,,,,,,,,,1828958,,,,,,,,,,CC_BY_NC_4_0,,,2021-02-11T16:43:57Z,,,https://cch2.org/portal/collections/individual/index.php?occid=1828958,,,,http://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,,,eaef47cb-6ed3-4439-b974-f05e4f65165e,,HSC,,,,PRESERVED_SPECIMEN,,,,ec671a63-fd15-4a9c-af85-33684feac326,,sn,D.K. Imper,,,,,,,,,,,,,PRESENT,,,,,,,HSC-92604,,,,,,,,,,,,1992-07-13T00:00:00,,195,,1992,7,13,13 Jul 1992,Edge of spruce forest,,,,,,,,,,,,,,US,California,Del Norte,,"S of Crescent City , 600 ft. E of Hwy. 101, Sand Mine Rd.",,,,,,,,,41.740511,-124.161479,969.0,,,,,,,,kdpearso (via TRS conversion script),,DOI:10.5281/zenodo.4507032,TRS from label,auto-generated from TRS by California Phenology Network; February 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22958,,,,,,,,Heuchera chlorantha Piper,,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,chlorantha,,,SPECIES,,,,ACCEPTED,,,6958627a-e1cd-489f-b4f3-6e7760203b9d,US,2022-05-02T15:39:33.013Z,6.0,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,true,false,3032680,3032680,6,7707728,220,7219248,2402,3032645,,3032680,Heuchera chlorantha,Heuchera chlorantha Piper,Heuchera chlorantha,,DWC_ARCHIVE,2022-05-02T15:39:33.013Z,2022-05-02T15:37:15.332Z,false,,USA,United States,USA.5_1,California,USA.5.8_1,Del Norte,,,NE,Heuchera chlorantha piper,-124.161479,41.740511
2981052347,,,,,,,,,,,,,,,,,,,,,,,,,,27840736,,,,,,,,,,CC_BY_NC_4_0,,,2021-10-06T23:44:11Z,,,https://www.inaturalist.org/observations/27840736,,,,,Katie Kushneryk,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/27840736,27840736,,Katie Kushneryk,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,2019-06-24T07:28:00,14:28:00Z,,,2019,6,24,2019/06/24 7:28 AM PDT,,,,,,,,,,,,,,,CA,British Columbia,,,,"Seeley Lake, Kitimat-Stikine, British Columbia, Canada",,,,,,,,55.196649,-127.689065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125136581,,,,citizen1,,2020-08-21T05:11:15,,,,163733,,,,,,,,Heuchera chlorantha Piper,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,chlorantha,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-05-27T10:32:01.958Z,,,,,,,COORDINATE_ROUNDED,StillImage,true,false,3032680,3032680,6,7707728,220,7219248,2402,3032645,,3032680,Heuchera chlorantha,Heuchera chlorantha Piper,Heuchera chlorantha,,DWC_ARCHIVE,2022-05-27T10:32:01.958Z,2022-05-27T06:33:23.798Z,true,,CAN,Canada,CAN.2_1,British Columbia,CAN.2.15_1,Kitimat-Stikine,CAN.2.15.21_1,Kitimat-Stikine B,NE,Heuchera chlorantha piper,-127.689065,55.196649
2579316593,,,,,,,,,,,,,,,,,,,,,,,,,,39858363,,,,,,,,,,CC_BY_NC_4_0,,,2022-01-14T01:25:37Z,,,https://www.inaturalist.org/observations/39858363,,,,,Tom Erler,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/39858363,39858363,,Tom Erler,,,,,,,flowering,,,,,,PRESENT,,,,,,,,HOLD THE DOOR! (Game of thrones reference) @eralverson @ajwright @stewartwechsler @patricksowers,,,,,,,,,,,2020-03-11T15:27:42,22:27:42Z,,,2020,3,11,Wed Mar 11 2020 15:27:42 GMT-0700 (PDT),,,,,,,,,,,,,,,US,Washington,,,,"NE Second St, Bellevue, WA, US",,,,,,,,47.611488,-122.175003,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90080096,,,,Tom Erler,,2020-03-11T22:30:38,,,,163733,,,,,,,,Heuchera chlorantha Piper,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,chlorantha,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-05-27T10:59:18.796Z,,,,,,,COORDINATE_ROUNDED,StillImage,true,false,3032680,3032680,6,7707728,220,7219248,2402,3032645,,3032680,Heuchera chlorantha,Heuchera chlorantha Piper,Heuchera chlorantha,,DWC_ARCHIVE,2022-05-27T10:59:18.796Z,2022-05-27T06:33:23.798Z,false,,USA,United States,USA.48_1,Washington,USA.48.17_1,King,,,NE,Heuchera chlorantha piper,-122.175003,47.611488
2460081006,,,,,,,,,,,,,,,,,,,,,,,,,,31743342,,,,,,,,,,CC_BY_NC_4_0,,,2020-07-20T00:21:59Z,,,https://www.inaturalist.org/observations/31743342,,,,,Remington Jackson,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/31743342,31743342,,Remington Jackson,,,,,,,flower budding,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,2019-06-30T09:06:00,16:06:00Z,,,2019,6,30,2019/06/30 9:06 AM PDT,,,,,,,,,,,,,,,US,Oregon,,,,"Klamath County, OR, USA",,,,,,,,42.396297,-121.222747,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78126868,,,,ry_folk,https://orcid.org/0000-0002-5333-9273,2019-11-18T16:48:06,,,Really a tough one. But this is my best guess. Definitely not Heuchera cylindrica.,163733,,,,,,,,Heuchera chlorantha Piper,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,chlorantha,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-05-27T10:32:54.393Z,,,,,,,COORDINATE_ROUNDED,StillImage,true,false,3032680,3032680,6,7707728,220,7219248,2402,3032645,,3032680,Heuchera chlorantha,Heuchera chlorantha Piper,Heuchera chlorantha,,DWC_ARCHIVE,2022-05-27T10:32:54.393Z,2022-05-27T06:33:23.798Z,false,,USA,United States,USA.38_1,Oregon,USA.38.18_1,Klamath,,,NE,Heuchera chlorantha piper,-121.222747,42.396297
2460080995,,,,,,,,,,,,,,,,,,,,,,,,,,31746122,,,,,,,,,,CC_BY_NC_4_0,,,2020-11-01T02:04:22Z,,,https://www.inaturalist.org/observations/31746122,,,,,Remington Jackson,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/31746122,31746122,,Remington Jackson,,,,,,,flowering,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,2019-06-26T07:44:00,14:44:00Z,,,2019,6,26,2019/06/26 7:44 AM PDT,,,,,,,,,,,,,,,US,Oregon,,,,"Klamath County, OR, USA",,,,,,,,42.951992,-121.458114,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78127115,,,,ry_folk,https://orcid.org/0000-0002-5333-9273,2019-11-18T16:49:48,,,Great find. Let me know if you see this again!!!,163733,,,,,,,,Heuchera chlorantha Piper,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,chlorantha,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-05-27T11:04:30.592Z,,,,,,,COORDINATE_ROUNDED,StillImage,true,false,3032680,3032680,6,7707728,220,7219248,2402,3032645,,3032680,Heuchera chlorantha,Heuchera chlorantha Piper,Heuchera chlorantha,,DWC_ARCHIVE,2022-05-27T11:04:30.592Z,2022-05-27T06:33:23.798Z,false,,USA,United States,USA.38_1,Oregon,USA.38.18_1,Klamath,,,NE,Heuchera chlorantha piper,-121.458114,42.951992
2459999742,,,,,,,,,,,,,,,,,,,,,,,,,,27827288,,,,,,,,,,CC_BY_NC_4_0,,,2021-10-25T01:04:10Z,,,https://www.inaturalist.org/observations/27827288,,,,,Pam Borso,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/27827288,27827288,,Pam Borso,,,,,,,flowering|flower budding,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,2019-06-28T12:32:18,19:32:18Z,,,2019,6,28,Fri Jun 28 2019 12:32:18 GMT-0700 (PDT),,,,,,,,,,,,,,,US,Washington,,,,"2948 Arnie Rd, Custer, WA, US",,,,,,,,48.920038,-122.640757,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68855329,,,,Alex Wright,,2019-08-30T03:01:58,,,,163733,,,,,,,,Heuchera chlorantha Piper,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,chlorantha,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-05-27T10:32:15.163Z,,,,,,,COORDINATE_ROUNDED,StillImage,true,false,3032680,3032680,6,7707728,220,7219248,2402,3032645,,3032680,Heuchera chlorantha,Heuchera chlorantha Piper,Heuchera chlorantha,,DWC_ARCHIVE,2022-05-27T10:32:15.163Z,2022-05-27T06:33:23.798Z,false,,USA,United States,USA.48_1,Washington,USA.48.37_1,Whatcom,,,NE,Heuchera chlorantha piper,-122.640757,48.920038
