gbifID,abstract,accessRights,accrualMethod,accrualPeriodicity,accrualPolicy,alternative,audience,available,bibliographicCitation,conformsTo,contributor,coverage,created,creator,date,dateAccepted,dateCopyrighted,dateSubmitted,description,educationLevel,extent,format,hasFormat,hasPart,hasVersion,identifier,instructionalMethod,isFormatOf,isPartOf,isReferencedBy,isReplacedBy,isRequiredBy,isVersionOf,issued,language,license,mediator,medium,modified,provenance,publisher,references,relation,replaces,requires,rights,rightsHolder,source,spatial,subject,tableOfContents,temporal,title,type,valid,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,recordedByID,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,degreeOfEstablishment,pathway,georeferenceVerificationStatus,occurrenceStatus,preparations,disposition,associatedOccurrences,associatedReferences,associatedSequences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,organismScope,associatedOrganisms,previousIdentifications,organismRemarks,materialSampleID,eventID,parentEventID,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,verticalDatum,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,verbatimIdentification,identificationQualifier,typeStatus,identifiedBy,identifiedByID,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,family,subfamily,genus,genericName,subgenus,infragenericEpithet,specificEpithet,infraspecificEpithet,cultivarEpithet,taxonRank,verbatimTaxonRank,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,datasetKey,publishingCountry,lastInterpreted,elevation,elevationAccuracy,depth,depthAccuracy,distanceAboveSurface,distanceAboveSurfaceAccuracy,issue,mediaType,hasCoordinate,hasGeospatialIssues,taxonKey,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,subgenusKey,speciesKey,species,acceptedScientificName,verbatimScientificName,typifiedName,protocol,lastParsed,lastCrawled,repatriated,relativeOrganismQuantity,level0Gid,level0Name,level1Gid,level1Name,level2Gid,level2Name,level3Gid,level3Name,iucnRedListCategory,species_name,x,y
3454995907,,,,,,,,,,,,,,,,,,,,,,,,,,17592248,,,,,,,,,,CC_BY_4_0,,,2018-02-09T14:05:22Z,,,https://ngpherbaria.org/portal/collections/individual/index.php?occid=17592248,,,,http://creativecommons.org/licenses/by/3.0/,South Dakota State University,,,,,,,,,,7b4f17b9-3058-4cc3-913e-eed0ded03bcf,,SDSU,SDC,,,PRESERVED_SPECIMEN,,,,b4511f99-7a0a-4023-9b03-ce4774c1cdc7,0014082,104,Patti Happe,,,,,,,flowering,,,,,,PRESENT,,,,,,,,Flowers white.,,,,,,,,,,,1989-07-03T00:00:00,,184,,1989,7,3,,"Native range, hilly topography, moderately grazed in the past",,,,,,,,,,,,,,US,Oregon,Wallowa,,"T 2S, R 47E, Sec. 8; Clear Lake Ridge; 45.4049 -116.974",,5000 ft.,,,,,,,45.4049,-116.974,969.0,,,,,,,,,,,GeoLocate,,,,,,,,,,,,,,,,,,,,,,,,"C. A. Taylor, Jr.",,1989-12-08T00:00:00,,,,112904,,,,,,,,Heuchera cylindrica var. alpina S.Watson,,,,,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Saxifragaceae|Heuchera|Heuchera cylindrica,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,cylindrica,alpina,,VARIETY,var.,,,ACCEPTED,,,e958291a-cd9a-484f-b7bd-72d7ee03246c,US,2022-04-26T09:56:08.291Z,1524.0,,,,,,AMBIGUOUS_INSTITUTION,,true,false,3753062,3753062,6,7707728,220,7219248,2402,3032645,,3032670,Heuchera cylindrica,Heuchera cylindrica var. alpina S.Watson,Heuchera cylindrica var. alpina,,DWC_ARCHIVE,2022-04-26T09:56:08.291Z,2022-04-22T14:45:08.593Z,false,,USA,United States,USA.38_1,Oregon,USA.38.32_1,Wallowa,,,,Heuchera cylindrica var. alpina s.watson,-116.974,45.4049
3454987877,,,,,,,,,,,,,,,,,,,,,,,,,,17592198,,,,,,,,,,CC_BY_4_0,,,2018-06-15T08:53:42Z,,,https://ngpherbaria.org/portal/collections/individual/index.php?occid=17592198,,,,http://creativecommons.org/licenses/by/3.0/,South Dakota State University,,,,,,,,,,7b4f17b9-3058-4cc3-913e-eed0ded03bcf,,SDSU,SDC,,,PRESERVED_SPECIMEN,,,,ba823e3d-ee52-47f7-9f31-f65037748562,0014079,6305,Arthur Cronquist,,,,,,,flowering,,,,,,PRESENT,,,,,,,,Flowers whitish. Stems several or numerous from a branching caudex.,,,,,,,,,,,1950-05-12T00:00:00,,,,1950,5,12,,Ledges and cracks in basalt rocks along the John Day River,,,,,,,,,,,,,,US,Oregon,Wheeler,,"1 mi S of Service Creek, between Fossil and Mitchell; T 9S, R 23E",,1700 feet,,,,,,,44.783245,-120.0072,1609.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Georgia Mason,,,,,,112904,,,,,,,,Heuchera cylindrica var. alpina S.Watson,,,,,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Saxifragaceae|Heuchera|Heuchera cylindrica,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,cylindrica,alpina,,VARIETY,var.,,,ACCEPTED,,,e958291a-cd9a-484f-b7bd-72d7ee03246c,US,2022-04-26T09:56:06.497Z,518.0,0.0,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_INSTITUTION,,true,false,3753062,3753062,6,7707728,220,7219248,2402,3032645,,3032670,Heuchera cylindrica,Heuchera cylindrica var. alpina S.Watson,Heuchera cylindrica var. alpina,,DWC_ARCHIVE,2022-04-26T09:56:06.497Z,2022-04-22T14:45:08.593Z,false,,USA,United States,USA.38_1,Oregon,USA.38.35_1,Wheeler,,,,Heuchera cylindrica var. alpina s.watson,-120.0072,44.783245
3320805662,,,,,,,,,,,,,,,,,,,,,,,,,,4504702,,,,,,,,,,CC_BY_NC_4_0,,,2022-02-09T13:11:03Z,,,https://cch2.org/portal/collections/individual/index.php?occid=4504702,,,,http://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,,,3818ca8b-b6a4-11e8-b408-001a64db2964,,PUA,,,,PRESERVED_SPECIMEN,,,,e8c1e982-05b2-4cac-a91b-87ab8fd8ea9d,,,G.L. Clifton,,,,,,,Fruits Only,,,,,,PRESENT,,,,,,,66053,,,,,,,,,,,,1987-08-07T00:00:00,,219,,1987,8,7,8/7/1987,Soil Origin: Cinder Cones; Substrate: Rhyolite/Andisite; Soil Texture: Very Gravelly,,,,,,,,,,,,,,US,California,Siskiyou,,Local landmark: Cadwell Butte. Timber Mt Quad.,,1523 m,,,,,,,41.700889,-121.478222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G.L. Clifton,,,,,,48425,,,,,,,,Heuchera cylindrica var. ovalifolia (Nutt. ex Torr. & A.Gray) Wheelock,,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera|Heuchera cylindrica,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,cylindrica,ovalifolia,,VARIETY,var.,,,SYNONYM,,,677aece2-a65b-4b78-b391-0f2e21a2b7ed,US,2022-05-02T15:38:40.478Z,1523.0,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,true,false,3753029,3753062,6,7707728,220,7219248,2402,3032645,,3032670,Heuchera cylindrica,Heuchera cylindrica var. alpina S.Watson,Heuchera cylindrica var. ovalifolia,,DWC_ARCHIVE,2022-05-02T15:38:40.478Z,2022-05-02T15:36:49.533Z,false,,USA,United States,USA.5_1,California,USA.5.47_1,Siskiyou,,,,Heuchera cylindrica var. alpina s.watson,-121.478222,41.700889
3320782085,,,,,,,,,,,,,,,,,,,,,,,,,,4517404,,,,,,,,,,CC_BY_NC_4_0,,,2022-02-09T13:11:03Z,,,https://cch2.org/portal/collections/individual/index.php?occid=4517404,,,,http://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,,,3818ca8b-b6a4-11e8-b408-001a64db2964,,PUA,,,,PRESERVED_SPECIMEN,,,,fab38140-f45a-4623-b249-4f11df38bfb4,,,Gilbert Jerome Muth,,,,,,,,,,,,,PRESENT,,,,,,,30582,,,,,,,,,,,,1975-07-31T00:00:00,,212,,1975,7,31,7/31/1975,Ridge Top,,,,,,,,,,,,,,US,California,Siskiyou,,Local landmark: Kangaroo Mountain. Seiad Valley Quad.,,1919 m,,,,,,,41.916667,-123.191667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walter Overton,,,,,,22986,,,,,,,,Heuchera ovalifolia Nutt. ex Torr. & A.Gray,,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,ovalifolia,,,SPECIES,,,,SYNONYM,,,677aece2-a65b-4b78-b391-0f2e21a2b7ed,US,2022-05-02T15:38:36.749Z,1919.0,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,true,false,6447387,3753062,6,7707728,220,7219248,2402,3032645,,3032670,Heuchera cylindrica,Heuchera cylindrica var. alpina S.Watson,Heuchera ovalifolia,,DWC_ARCHIVE,2022-05-02T15:38:36.749Z,2022-05-02T15:36:49.533Z,false,,USA,United States,USA.5_1,California,USA.5.47_1,Siskiyou,,,NE,Heuchera cylindrica var. alpina s.watson,-123.191667,41.916667
3320754072,,,,,,,,,,,,,,,,,,,,,,,,,,4515602,,,,,,,,,,CC_BY_NC_4_0,,,2022-02-09T13:11:03Z,,,https://cch2.org/portal/collections/individual/index.php?occid=4515602,,,,http://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,,,3818ca8b-b6a4-11e8-b408-001a64db2964,,PUA,,,,PRESERVED_SPECIMEN,,,,2e51362b-3ae3-4194-88fe-e1bdf831f69f,,,Clifton & Ground,,,,,,,Flowers and Buds,,,,,,PRESENT,,,,,,,14870,,,,,,,,,,,,1978-06-18T00:00:00,,169,,1978,6,18,6/18/1978,Mountain or Hillside Slopes; Slope Position: Upper Third; Vertical Slope Shape: Smooth; Horizontal Slope Shape: Convex; Soil Origin: Colluvial; Substrate: Sedimentary & Metasedimentary; Soil Texture: Gravel,,,,,,,,,,,,,,US,California,Siskiyou,,Local landmark: Gunsight Peak. Fort Jones Quad.,,1829 m,,,,,,,41.737556,-122.775278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clifton & Ground,,,,,,22986,,,,,,,,Heuchera ovalifolia Nutt. ex Torr. & A.Gray,,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,ovalifolia,,,SPECIES,,,,SYNONYM,,,677aece2-a65b-4b78-b391-0f2e21a2b7ed,US,2022-05-02T15:38:29.513Z,1829.0,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,true,false,6447387,3753062,6,7707728,220,7219248,2402,3032645,,3032670,Heuchera cylindrica,Heuchera cylindrica var. alpina S.Watson,Heuchera ovalifolia,,DWC_ARCHIVE,2022-05-02T15:38:29.513Z,2022-05-02T15:36:49.533Z,false,,USA,United States,USA.5_1,California,USA.5.47_1,Siskiyou,,,NE,Heuchera cylindrica var. alpina s.watson,-122.775278,41.737556
2826515986,,,,,,,,,,,,,,,,,,,,,,,,,,54962357,,,,,,,,,,CC0_1_0,,,2020-07-31T21:06:03Z,,,https://www.inaturalist.org/observations/54962357,,,,,Morgan Stickrod,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/54962357,54962357,,Morgan Stickrod,,,,,,,flowering|flower budding,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,2020-07-24T16:50:00,23:50:00Z,,,2020,7,24,2020/07/24 4:50 PM PDT,,,,,,,,,,,,,,,US,Oregon,,,,"Harney County, OR, USA",,,,,,,,42.666722,-118.564651,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120833233,,,,Morgan Stickrod,,2020-07-31T19:47:30,,,,241014,,,,,,,,Heuchera cylindrica var. alpina S.Watson,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,cylindrica,alpina,,VARIETY,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-05-27T11:12:03.814Z,,,,,,,COORDINATE_ROUNDED,StillImage,true,false,3753062,3753062,6,7707728,220,7219248,2402,3032645,,3032670,Heuchera cylindrica,Heuchera cylindrica var. alpina S.Watson,Heuchera cylindrica alpina,,DWC_ARCHIVE,2022-05-27T11:12:03.814Z,2022-05-27T06:33:23.798Z,false,,USA,United States,USA.38_1,Oregon,USA.38.13_1,Harney,,,,Heuchera cylindrica var. alpina s.watson,-118.564651,42.666722
2823154974,,,,,,,,,,,,,,,,,,,,,,,,,,53547905,,,,,,,,,,CC_BY_NC_4_0,,,2020-07-19T17:29:25Z,,,https://www.inaturalist.org/observations/53547905,,,,,Tynan Ramm-Granberg,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/53547905,53547905,,Tynan Ramm-Granberg,,,,,,,flower budding,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,2020-07-17T13:58:00,20:58:00Z,,,2020,7,17,2020/07/17 1:58 PM PDT,,,,,,,,,,,,,,,US,Washington,,,,"Yakima County, WA, USA",,,,,,,,46.794975,-121.260064,1067.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241014,,,,,,,,Heuchera cylindrica var. alpina S.Watson,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,cylindrica,alpina,,VARIETY,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-05-27T10:49:50.636Z,,,,,,,COORDINATE_ROUNDED,StillImage,true,false,3753062,3753062,6,7707728,220,7219248,2402,3032645,,3032670,Heuchera cylindrica,Heuchera cylindrica var. alpina S.Watson,Heuchera cylindrica alpina,,DWC_ARCHIVE,2022-05-27T10:49:50.636Z,2022-05-27T06:33:23.798Z,false,,USA,United States,USA.48_1,Washington,USA.48.39_1,Yakima,,,,Heuchera cylindrica var. alpina s.watson,-121.260064,46.794975
2549550160,,,,,,,,,,,,,,,,,,,,,,,,,,http://n2t.net/ark:/65665/3f4ca1c1e-5dd5-4506-aa0e-1a50f659425f,,,,,,,,,,CC0_1_0,,,2021-02-05T12:41:00Z,,,,,,,,,,,,,,,PhysicalObject,,urn:lsid:biocol.org:col:15463,urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8,,US,US,NMNH Extant Biology,,PRESERVED_SPECIMEN,,,,http://n2t.net/ark:/65665/3f4ca1c1e-5dd5-4506-aa0e-1a50f659425f,US 3689034,1206,R. G. Stolze,,1,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1966-07-20T00:00:00,,201,201,1966,7,20,,,,,,,,,,,"North America, United States, Montana",NORTH_AMERICA,,,,US,Montana,,,"Beartooth Mountains - Carbon County. Along west fork of Rock Creek, through canyon separating Silver Run and Red Lodge Plateaus, at end of Forest Service Road No. 71; 15 miles west of Red Lodge.",,,,,,,,,45.17,-109.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heuchera ovalifolia Nutt. ex Torr. & A.Gray,,,,,,,"Plantae, Dicotyledonae, Saxifragales, Saxifragaceae, Heucheroideae",Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,ovalifolia,,,SPECIES,,,,SYNONYM,,,821cc27a-e3bb-4bc5-ac34-89ada245069d,US,2022-05-02T11:39:10.904Z,2500.0,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,StillImage,true,false,6447387,3753062,6,7707728,220,7219248,2402,3032645,,3032670,Heuchera cylindrica,Heuchera cylindrica var. alpina S.Watson,Heuchera ovalifolia,,DWC_ARCHIVE,2022-05-02T11:39:10.904Z,2022-05-02T10:15:14.266Z,false,,USA,United States,USA.27_1,Montana,USA.27.5_1,Carbon,,,NE,Heuchera cylindrica var. alpina s.watson,-109.5,45.17
2515648746,,,,,,,,,,,,,,,,,,,,,,,,,,U.1733614@BRAHMS,,,,,,,,,,CC0_1_0,,,,,,,,,,,Naturalis Biodiversity Center,,,,,,,,,Naturalis Biodiversity Center,,,,Botany,,,PRESERVED_SPECIMEN,,,,https://data.biodiversitydata.nl/naturalis/specimen/U.1733614,U.1733614,"Stolze, RG  1206 ",Stolze RG,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1966-07-20T00:00:00,,,,1966,7,20,,,,,,,,,,,,NORTH_AMERICA,,,,US,,,,"Montana, along west fork of Rock Creek, through canyon separating Silver Run and Red Lodge Plateaus, at end of Forest Service Road No. 71, 15 miles west of Red Lodge.",,,,,,,,,45.166667,-109.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heuchera ovalifolia Nutt. ex Torr. & A.Gray,,,,,,,Plantae|Magnoliopsidae|Saxifragales|Saxifragaceae,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,ovalifolia,,,SPECIES,,,ICN,SYNONYM,,,15f819bd-6612-4447-854b-14d12ee1022d,NL,2022-05-25T08:56:36.121Z,,,,,,,INSTITUTION_MATCH_NONE,StillImage,true,false,6447387,3753062,6,7707728,220,7219248,2402,3032645,,3032670,Heuchera cylindrica,Heuchera cylindrica var. alpina S.Watson,Heuchera ovalifolia Torr. & A.Gray,,DWC_ARCHIVE,2022-05-25T08:56:36.121Z,2022-05-25T08:17:24.302Z,true,,USA,United States,USA.27_1,Montana,USA.27.5_1,Carbon,,,NE,Heuchera cylindrica var. alpina s.watson,-109.5,45.166667
2515455628,,,,,,,,,,,,,,,,,,,,,,,,,,U.1733615@BRAHMS,,,,,,,,,,CC0_1_0,,,,,,,,,,,Naturalis Biodiversity Center,,,,,,,,,Naturalis Biodiversity Center,,,,Botany,,,PRESERVED_SPECIMEN,,,,https://data.biodiversitydata.nl/naturalis/specimen/U.1733615,U.1733615,"Stolze, RG  1147 ",Stolze RG,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1966-07-14T00:00:00,,,,1966,7,14,,,,,,,,,,,,NORTH_AMERICA,,,,US,,,,"Wyoming, Pine-spruce forest along Clark's Fork River, 1½ miles west of Crazy Creek, off U.S. Route 212, 11 miles southeast of Cooke City, Montana.",,,,,,,,,44.933333,-109.783333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heuchera ovalifolia Nutt. ex Torr. & A.Gray,,,,,,,Plantae|Magnoliopsidae|Saxifragales|Saxifragaceae,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,ovalifolia,,,SPECIES,,,ICN,SYNONYM,,,15f819bd-6612-4447-854b-14d12ee1022d,NL,2022-05-25T08:57:54.135Z,,,,,,,INSTITUTION_MATCH_NONE,StillImage,true,false,6447387,3753062,6,7707728,220,7219248,2402,3032645,,3032670,Heuchera cylindrica,Heuchera cylindrica var. alpina S.Watson,Heuchera ovalifolia Torr. & A.Gray,,DWC_ARCHIVE,2022-05-25T08:57:54.135Z,2022-05-25T08:17:24.302Z,true,,USA,United States,USA.51_1,Wyoming,USA.51.15_1,Park,,,NE,Heuchera cylindrica var. alpina s.watson,-109.783333,44.933333
