gbifID,abstract,accessRights,accrualMethod,accrualPeriodicity,accrualPolicy,alternative,audience,available,bibliographicCitation,conformsTo,contributor,coverage,created,creator,date,dateAccepted,dateCopyrighted,dateSubmitted,description,educationLevel,extent,format,hasFormat,hasPart,hasVersion,identifier,instructionalMethod,isFormatOf,isPartOf,isReferencedBy,isReplacedBy,isRequiredBy,isVersionOf,issued,language,license,mediator,medium,modified,provenance,publisher,references,relation,replaces,requires,rights,rightsHolder,source,spatial,subject,tableOfContents,temporal,title,type,valid,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,recordedByID,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,degreeOfEstablishment,pathway,georeferenceVerificationStatus,occurrenceStatus,preparations,disposition,associatedOccurrences,associatedReferences,associatedSequences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,organismScope,associatedOrganisms,previousIdentifications,organismRemarks,materialSampleID,eventID,parentEventID,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,verticalDatum,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,verbatimIdentification,identificationQualifier,typeStatus,identifiedBy,identifiedByID,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,family,subfamily,genus,genericName,subgenus,infragenericEpithet,specificEpithet,infraspecificEpithet,cultivarEpithet,taxonRank,verbatimTaxonRank,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,datasetKey,publishingCountry,lastInterpreted,elevation,elevationAccuracy,depth,depthAccuracy,distanceAboveSurface,distanceAboveSurfaceAccuracy,issue,mediaType,hasCoordinate,hasGeospatialIssues,taxonKey,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,subgenusKey,speciesKey,species,acceptedScientificName,verbatimScientificName,typifiedName,protocol,lastParsed,lastCrawled,repatriated,relativeOrganismQuantity,level0Gid,level0Name,level1Gid,level1Name,level2Gid,level2Name,level3Gid,level3Name,iucnRedListCategory,species_name,x,y
3759162307,,,,,,,,,,,,,,,,,,,,,,,,,,3984920,,,,,,,,,,CC0_1_0,,,2022-03-27T04:05:29Z,,,https://www.inaturalist.org/observations/3984920,,,,,Kris Hazelbaker,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,http://www.inaturalist.org/observations/3984920,3984920,,Kris Hazelbaker,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,2016-05-12T14:25:00,21:25:00Z,,,2016,5,12,2016/05/12 2:25 PM PDT,,,,,,,,,,,,,,,US,Idaho,,,,"Idaho County, US-ID, US",,,,,,,,46.021604,-116.064913,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7745941,,,,Kris Hazelbaker,,2016-08-29T03:27:49,,,,163739,,,,,,,,Heuchera grossulariifolia Rydb.,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,grossulariifolia,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-05-27T10:30:25.876Z,,,,,,,COORDINATE_ROUNDED,StillImage,true,false,3032658,3032658,6,7707728,220,7219248,2402,3032645,,3032658,Heuchera grossulariifolia,Heuchera grossulariifolia Rydb.,Heuchera grossulariifolia,,DWC_ARCHIVE,2022-05-27T10:30:25.876Z,2022-05-27T06:33:23.798Z,false,,USA,United States,USA.13_1,Idaho,USA.13.25_1,Idaho,,,NE,Heuchera grossulariifolia rydb.,-116.064913,46.021604
3743102430,,,,,,,,,,,,,,,,,,,,,,,,,,107166286,,,,,,,,,,CC_BY_NC_4_0,,,2022-03-19T03:15:12Z,,,https://www.inaturalist.org/observations/107166286,,,,,Curren Frasch,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/107166286,107166286,,Curren Frasch,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,2021-06-20T13:29:00,18:29:00Z,,,2021,6,20,2021/06/20 1:29 PM CDT,,,,,,,,,,,,,,,US,Idaho,,,,"Custer County, ID, USA",,,,,,,,43.969852,-114.973209,270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238517995,,,,ry_folk,https://orcid.org/0000-0002-5333-9273,2022-02-22T13:13:40,,,,241021,,,,,,,,Heuchera grossulariifolia var. grossulariifolia,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,grossulariifolia,grossulariifolia,,VARIETY,,,,SYNONYM,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-05-27T11:12:01.019Z,,,,,,,COORDINATE_ROUNDED,StillImage,true,false,7095906,3032658,6,7707728,220,7219248,2402,3032645,,3032658,Heuchera grossulariifolia,Heuchera grossulariifolia Rydb.,Heuchera grossulariifolia grossulariifolia,,DWC_ARCHIVE,2022-05-27T11:12:01.019Z,2022-05-27T06:33:23.798Z,false,,USA,United States,USA.13_1,Idaho,USA.13.19_1,Custer,,,,Heuchera grossulariifolia rydb.,-114.973209,43.969852
3325714260,,,,,,,,,,,,,,,,,,,,,,,,,,85962822,,,,,,,,,,CC_BY_NC_4_0,,,2021-07-06T23:06:57Z,,,https://www.inaturalist.org/observations/85962822,,,,,Drew Meyer,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/85962822,85962822,,Drew Meyer,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,2021-07-03T08:52:06,15:52:06Z,,,2021,7,3,2021-07-03 08:52:06,,,,,,,,,,,,,,,US,Idaho,,,,"Ketchum, ID 83340, USA",,,,,,,,43.957306,-114.923631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188944354,,,,ry_folk,https://orcid.org/0000-0002-5333-9273,2021-07-06T22:59:20,,,,163739,,,,,,,,Heuchera grossulariifolia Rydb.,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,grossulariifolia,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-05-27T10:37:01.478Z,,,,,,,,StillImage,true,false,3032658,3032658,6,7707728,220,7219248,2402,3032645,,3032658,Heuchera grossulariifolia,Heuchera grossulariifolia Rydb.,Heuchera grossulariifolia,,DWC_ARCHIVE,2022-05-27T10:37:01.478Z,2022-05-27T06:33:23.798Z,false,,USA,United States,USA.13_1,Idaho,USA.13.7_1,Blaine,,,NE,Heuchera grossulariifolia rydb.,-114.923631,43.957306
3026946311,,,,,,,,,,,,,,,,,,,,,,,,,,9A40E976-FC9C-4640-A37E-FF9A997B7A75,,,,,,,,,en,CC_BY_4_0,,,,,,,,,,,,,,,,,,PhysicalObject,,urn:lsid:biocol.org:col:15638,,,USF,Herb,,,PRESERVED_SPECIMEN,,,,9A40E976-FC9C-4640-A37E-FF9A997B7A75,213412,66-63,N. H. Russell,,,,,,,Flower,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1966-06-09T00:00:00,,,,1966,6,9,,Disturbed areas; various habitats; scattered ponderosa pine.,,,,,,,,,USA | Idaho | Idaho-Adams Co.,,,,,US,Idaho,Idaho-Adams Co.,,"12 mi. S of Riggins, by US 95; around Rainbow Bend Motel; Little Salmon River Gorge.","12 mi. S of Riggins, by US 95; around Rainbow Bend Motel; Little Salmon River Gorge.",,,,,,,,45.4221,-116.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335803,,,,C. Schaack,,1989-11-08T00:00:00,,,,,,,,,,,,Heuchera grossulariifolia Rydb.,,,,,,,Plantae | Dicots | Saxifragaceae,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,grossulariifolia,,,SPECIES,,,ICN,ACCEPTED,,,af1b4db0-c8ce-4a95-b700-8a6a02bed9d6,US,2022-05-27T00:30:33.348Z,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH,StillImage,true,false,3032658,3032658,6,7707728,220,7219248,2402,3032645,,3032658,Heuchera grossulariifolia,Heuchera grossulariifolia Rydb.,Heuchera grossulariifolia,,DWC_ARCHIVE,2022-05-27T00:30:33.348Z,2022-05-27T00:25:32.586Z,false,,USA,United States,USA.13_1,Idaho,USA.13.25_1,Idaho,,,NE,Heuchera grossulariifolia rydb.,-116.315,45.4221
3005091482,,,,,,,,,,,,,,,,,,,,,,,,,,55336909,,,,,,,,,,CC_BY_NC_4_0,,,2020-12-13T16:49:23Z,,,https://www.inaturalist.org/observations/55336909,,,,,Remington Jackson,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/55336909,55336909,,Remington Jackson,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,2020-08-01T09:18:47,15:18:47Z,,,2020,8,1,Sat Aug 01 2020 09:18:47 GMT-0600 (MDT),,,,,,,,,,,,,,,US,Idaho,,,,"Custer County, US-ID, US",,,,,,,,44.017219,-114.602358,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145972976,,,,Alex Wright,,2020-12-13T06:39:53,,,,241021,,,,,,,,Heuchera grossulariifolia var. grossulariifolia,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,grossulariifolia,grossulariifolia,,VARIETY,,,,SYNONYM,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-05-27T11:03:48.258Z,,,,,,,COORDINATE_ROUNDED,StillImage,true,false,7095906,3032658,6,7707728,220,7219248,2402,3032645,,3032658,Heuchera grossulariifolia,Heuchera grossulariifolia Rydb.,Heuchera grossulariifolia grossulariifolia,,DWC_ARCHIVE,2022-05-27T11:03:48.258Z,2022-05-27T06:33:23.798Z,false,,USA,United States,USA.13_1,Idaho,USA.13.19_1,Custer,,,,Heuchera grossulariifolia rydb.,-114.602358,44.017219
2859436764,,,,,,,,,,,,,,,,,,,,,,,,,,12222033,,,,,,,,,,CC0_1_0,,,2004-12-20T00:00:00Z,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12222033,,,,http://creativecommons.org/publicdomain/zero/1.0/,Carnegie Museum of Natural History,,,,,,,,,,a3883acd-bc7d-40f2-a6e4-372a3435e5d1,,CM,Botany,,,PRESERVED_SPECIMEN,,,,16A14E9A-3C31-4448-8B0D-52C2B13F0CAD,CM507617,17946,"Isaac, B.L.; Isaac, J.A.; Chuey, C.F.",,,,,,,"fl,fr",,,,,,PRESENT,,,,,,,,,,,,,,,,,,,2004-07-29T00:00:00,,211,,2004,7,29,,Mixed conifer forest with open meadows,,,,,,,,,,,,,,US,Montana,Beaverhead,,"S of Dewey along FR 187 in Quartz Hill Gulch, Beaverhead Deerlodge National Forest",,5840 ft,,,,,,,45.757777999057154,-112.86166700000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B.L. Isaac 2004,,,,,,86727,,,,,,,,Heuchera grossulariifolia Rydb.,,,,,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Saxifragaceae|Heuchera,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,grossulariifolia,,,SPECIES,,,,ACCEPTED,,,f3f03cbf-1a01-4739-ae15-c1355b8c2dbf,US,2022-04-26T18:34:14.266Z,1780.0,,,,,,COORDINATE_ROUNDED;COORDINATE_REPROJECTED;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,,true,false,3032658,3032658,6,7707728,220,7219248,2402,3032645,,3032658,Heuchera grossulariifolia,Heuchera grossulariifolia Rydb.,Heuchera grossulariifolia,,DWC_ARCHIVE,2022-04-26T18:34:14.266Z,2022-04-21T17:35:16.972Z,false,,USA,United States,USA.27_1,Montana,USA.27.1_1,Beaverhead,,,NE,Heuchera grossulariifolia rydb.,-112.86166700000001,45.757777999057154
2859434441,,,,,,,,,,,,,,,,,,,,,,,,,,12215866,,,,,,,,,,CC0_1_0,,,1997-05-06T00:00:00Z,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12215866,,,,http://creativecommons.org/publicdomain/zero/1.0/,Carnegie Museum of Natural History,,,,,,,,,,a3883acd-bc7d-40f2-a6e4-372a3435e5d1,,CM,Botany,,,PRESERVED_SPECIMEN,,,,E437B9F5-303A-4148-9C80-C82E135A6902,CM263884,80-465,"Utech, F.H.",,,,,,,"fl,fr",,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1980-07-26T00:00:00,,208,,1980,7,26,26 Jul 1980,dry hillside & road cut outcrop,,,,,,,,,,,,,,US,Idaho,Bonner,,ca 4.5 km NNE of Priest Lake (city) on Idaho Hwy 57,,,,,,,,,48.625809,-116.84156,1375.0,,,,,,,,David Newbury,,,GEOLocate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86727,,,,,,,,Heuchera grossulariifolia Rydb.,,,,,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Saxifragaceae|Heuchera,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,grossulariifolia,,,SPECIES,,,,ACCEPTED,,,f3f03cbf-1a01-4739-ae15-c1355b8c2dbf,US,2022-04-26T18:34:12.840Z,,,,,,,INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,,true,false,3032658,3032658,6,7707728,220,7219248,2402,3032645,,3032658,Heuchera grossulariifolia,Heuchera grossulariifolia Rydb.,Heuchera grossulariifolia,,DWC_ARCHIVE,2022-04-26T18:34:12.840Z,2022-04-21T17:35:16.972Z,false,,USA,United States,USA.13_1,Idaho,USA.13.9_1,Bonner,,,NE,Heuchera grossulariifolia rydb.,-116.84156,48.625809
2818769045,,,,,,,,,,,,,,,,,,,,,,,,,,52869076,,,,,,,,,,CC_BY_NC_4_0,,,2020-07-17T15:58:13Z,,,https://www.inaturalist.org/observations/52869076,,,,,Erica S-S,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/52869076,52869076,,Erica S-S,,,,,,,flowering|flower budding,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,2020-07-12T15:06:56,21:06:56Z,,,2020,7,12,Sun Jul 12 2020 15:06:56 GMT-0600 (MDT),,,,,,,,,,,,,,,US,Montana,,,,"Bitterroot National Forest, Hamilton, MT, US",,,,,,,,46.271738,-114.27157,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116687326,,,,ry_folk,https://orcid.org/0000-0002-5333-9273,2020-07-12T22:39:07,,,,163739,,,,,,,,Heuchera grossulariifolia Rydb.,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,grossulariifolia,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-05-27T11:29:49.824Z,,,,,,,COORDINATE_ROUNDED,StillImage,true,false,3032658,3032658,6,7707728,220,7219248,2402,3032645,,3032658,Heuchera grossulariifolia,Heuchera grossulariifolia Rydb.,Heuchera grossulariifolia,,DWC_ARCHIVE,2022-05-27T11:29:49.824Z,2022-05-27T06:33:23.798Z,false,,USA,United States,USA.27_1,Montana,USA.27.41_1,Ravalli,,,NE,Heuchera grossulariifolia rydb.,-114.27157,46.271738
2813953822,,,,,,,,,,,,,,,,,,,,,,,,,,51835058,,,,,,,,,,CC_BY_NC_4_0,,,2020-08-18T17:51:23Z,,,https://www.inaturalist.org/observations/51835058,,,,,Remington Jackson,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/51835058,51835058,,Remington Jackson,,,,,,,flowering|fruiting,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,2020-07-03T12:01:00,19:01:00Z,,,2020,7,3,2020/07/03 12:01 PM PDT,,,,,,,,,,,,,,,US,Idaho,,,,"Garden Valley, ID 83622, USA",,,,,,,,44.067456,-115.940711,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114793878,,,,ry_folk,https://orcid.org/0000-0002-5333-9273,2020-07-04T13:16:55,,,It does look like H. cylindrica. It is passing into fruit so many petals have fallen off (H. cylindrica is mostly apetalous). The other thing is H. cylindrica has elongate oval leaves. This one has more rounded leaves with pretty deep lobes.,163739,,,,,,,,Heuchera grossulariifolia Rydb.,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,grossulariifolia,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-05-27T11:11:14.955Z,,,,,,,COORDINATE_ROUNDED,StillImage,true,false,3032658,3032658,6,7707728,220,7219248,2402,3032645,,3032658,Heuchera grossulariifolia,Heuchera grossulariifolia Rydb.,Heuchera grossulariifolia,,DWC_ARCHIVE,2022-05-27T11:11:14.955Z,2022-05-27T06:33:23.798Z,false,,USA,United States,USA.13_1,Idaho,USA.13.8_1,Boise,,,NE,Heuchera grossulariifolia rydb.,-115.940711,44.067456
2634056664,,,,,,,,,,,,,,,,,,,,,,,,,,47365481,,,,,,,,,,CC_BY_4_0,,,2021-12-03T22:53:27Z,,,https://www.inaturalist.org/observations/47365481,,,,,marek,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/47365481,47365481,,marek,,,,,,,fruiting,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,2020-05-25T09:19:37,16:19:37Z,,,2020,5,25,Mon May 25 2020 09:19:37 GMT-0700 (PDT),,,,,,,,,,,,,,,US,Idaho,,,,"Snake River Natl Recreation, Riggins, ID, US",,,,,,,,45.572292,-116.488013,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105762424,,,,ry_folk,https://orcid.org/0000-0002-5333-9273,2020-05-26T04:07:58,,,Flowers out of focus so I'm going purely on leaves.,241021,,,,,,,,Heuchera grossulariifolia var. grossulariifolia,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,grossulariifolia,grossulariifolia,,VARIETY,,,,SYNONYM,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-05-27T11:29:53.887Z,,,,,,,COORDINATE_ROUNDED,StillImage,true,false,7095906,3032658,6,7707728,220,7219248,2402,3032645,,3032658,Heuchera grossulariifolia,Heuchera grossulariifolia Rydb.,Heuchera grossulariifolia grossulariifolia,,DWC_ARCHIVE,2022-05-27T11:29:53.887Z,2022-05-27T06:33:23.798Z,false,,USA,United States,USA.13_1,Idaho,USA.13.25_1,Idaho,,,,Heuchera grossulariifolia rydb.,-116.488013,45.572292
