gbifID,abstract,accessRights,accrualMethod,accrualPeriodicity,accrualPolicy,alternative,audience,available,bibliographicCitation,conformsTo,contributor,coverage,created,creator,date,dateAccepted,dateCopyrighted,dateSubmitted,description,educationLevel,extent,format,hasFormat,hasPart,hasVersion,identifier,instructionalMethod,isFormatOf,isPartOf,isReferencedBy,isReplacedBy,isRequiredBy,isVersionOf,issued,language,license,mediator,medium,modified,provenance,publisher,references,relation,replaces,requires,rights,rightsHolder,source,spatial,subject,tableOfContents,temporal,title,type,valid,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,recordedByID,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,degreeOfEstablishment,pathway,georeferenceVerificationStatus,occurrenceStatus,preparations,disposition,associatedOccurrences,associatedReferences,associatedSequences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,organismScope,associatedOrganisms,previousIdentifications,organismRemarks,materialSampleID,eventID,parentEventID,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,verticalDatum,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,verbatimIdentification,identificationQualifier,typeStatus,identifiedBy,identifiedByID,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,family,subfamily,genus,genericName,subgenus,infragenericEpithet,specificEpithet,infraspecificEpithet,cultivarEpithet,taxonRank,verbatimTaxonRank,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,datasetKey,publishingCountry,lastInterpreted,elevation,elevationAccuracy,depth,depthAccuracy,distanceAboveSurface,distanceAboveSurfaceAccuracy,issue,mediaType,hasCoordinate,hasGeospatialIssues,taxonKey,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,subgenusKey,speciesKey,species,acceptedScientificName,verbatimScientificName,typifiedName,protocol,lastParsed,lastCrawled,repatriated,relativeOrganismQuantity,level0Gid,level0Name,level1Gid,level1Name,level2Gid,level2Name,level3Gid,level3Name,iucnRedListCategory,species_name,x,y
441762374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC0_1_0,,,,,,,,,,,,,,,,,,,,,,,UWBM,Plants,,,PRESERVED_SPECIMEN,,,,,159064,,Wendy McClure,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,2005-07-10T00:00:00,,,,2005,7,10,,,,,,,,,,,,,,,,US,Idaho,Clearwater,,Clearwater National Forest. 0.2 miles northeast of Mush Saddle. Forest Service Road 711.,,,,,,,,,47.511594,-115.728455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ben Legler,,2006-01-19T00:00:00,,,,,,,,,,,,Heuchera grossulariifolia var. tenuifolia (Wheelock) C.L.Hitchc.,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,grossulariifolia,tenuifolia,,VARIETY,,,,ACCEPTED,,,8310f570-f762-11e1-a439-00145eb45e9a,US,2022-04-27T10:31:09.760Z,1612.0,0.0,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,,true,false,3752638,3752638,6,7707728,220,7219248,2402,3032645,,3032658,Heuchera grossulariifolia,Heuchera grossulariifolia var. tenuifolia (Wheelock) C.L.Hitchc.,Heuchera grossulariifolia var. tenuifolia,,DIGIR,2022-04-27T10:31:09.760Z,2022-04-22T05:22:54.468Z,false,,USA,United States,USA.13_1,Idaho,USA.13.40_1,Shoshone,,,,Heuchera grossulariifolia var. tenuifolia (wheelock) c.l.hitchc.,-115.728455,47.511594
441762372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC0_1_0,,,,,,,,,,,,,,,,,,,,,,,UWBM,Plants,,,PRESERVED_SPECIMEN,,,,,159005,,Don Knoke,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,2005-07-09T00:00:00,,,,2005,7,9,,,,,,,,,,,,,,,,US,Idaho,Clearwater,,Clearwater National Forest. Hidden Creek Camp.,,,,,,,,,47.67363,-115.364753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ben Legler,,2006-01-19T00:00:00,,,,,,,,,,,,Heuchera grossulariifolia var. tenuifolia (Wheelock) C.L.Hitchc.,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,grossulariifolia,tenuifolia,,VARIETY,,,,ACCEPTED,,,8310f570-f762-11e1-a439-00145eb45e9a,US,2022-04-27T10:31:09.695Z,1040.0,0.0,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,,true,false,3752638,3752638,6,7707728,220,7219248,2402,3032645,,3032658,Heuchera grossulariifolia,Heuchera grossulariifolia var. tenuifolia (Wheelock) C.L.Hitchc.,Heuchera grossulariifolia var. tenuifolia,,DIGIR,2022-04-27T10:31:09.695Z,2022-04-22T05:22:54.468Z,false,,USA,United States,USA.27_1,Montana,USA.27.45_1,Sanders,,,,Heuchera grossulariifolia var. tenuifolia (wheelock) c.l.hitchc.,-115.364753,47.67363
441762369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC0_1_0,,,,,,,,,,,,,,,,,,,,,,,UWBM,Plants,,,PRESERVED_SPECIMEN,,,,,158964,,Don Knoke,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,2005-07-08T00:00:00,,,,2005,7,8,,,,,,,,,,,,,,,,US,Idaho,Clearwater,,Clearwater National Forest. .25 mile downtrail from Heart Lake.,,,,,,,,,47.537613,-116.050163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ben Legler,,2006-01-19T00:00:00,,,,,,,,,,,,Heuchera grossulariifolia var. tenuifolia (Wheelock) C.L.Hitchc.,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,grossulariifolia,tenuifolia,,VARIETY,,,,ACCEPTED,,,8310f570-f762-11e1-a439-00145eb45e9a,US,2022-04-27T10:31:11.667Z,1743.0,0.0,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,,true,false,3752638,3752638,6,7707728,220,7219248,2402,3032645,,3032658,Heuchera grossulariifolia,Heuchera grossulariifolia var. tenuifolia (Wheelock) C.L.Hitchc.,Heuchera grossulariifolia var. tenuifolia,,DIGIR,2022-04-27T10:31:11.667Z,2022-04-22T05:22:54.468Z,false,,USA,United States,USA.13_1,Idaho,USA.13.40_1,Shoshone,,,,Heuchera grossulariifolia var. tenuifolia (wheelock) c.l.hitchc.,-116.050163,47.537613
441762368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC0_1_0,,,,,,,,,,,,,,,,,,,,,,,UWBM,Plants,,,PRESERVED_SPECIMEN,,,,,158880,,Mary Johanson,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,2005-07-08T00:00:00,,,,2005,7,8,,,,,,,,,,,,,,,,US,Idaho,Clearwater,,"Clearwater National Forest. Hoodoo Pass, South Trailhead parking lot.",,,,,,,,,47.558263,-115.108513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ben Legler,,2006-01-19T00:00:00,,,,,,,,,,,,Heuchera grossulariifolia var. tenuifolia (Wheelock) C.L.Hitchc.,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,grossulariifolia,tenuifolia,,VARIETY,,,,ACCEPTED,,,8310f570-f762-11e1-a439-00145eb45e9a,US,2022-04-27T10:31:11.681Z,1827.0,0.0,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,,true,false,3752638,3752638,6,7707728,220,7219248,2402,3032645,,3032658,Heuchera grossulariifolia,Heuchera grossulariifolia var. tenuifolia (Wheelock) C.L.Hitchc.,Heuchera grossulariifolia var. tenuifolia,,DIGIR,2022-04-27T10:31:11.681Z,2022-04-22T05:22:54.468Z,false,,USA,United States,USA.27_1,Montana,USA.27.45_1,Sanders,,,,Heuchera grossulariifolia var. tenuifolia (wheelock) c.l.hitchc.,-115.108513,47.558263
441762003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC0_1_0,,,,,,,,,,,,,,,,,,,,,,,UWBM,Plants,,,PRESERVED_SPECIMEN,,,,,88036,,C. L. Hitchcock,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1944-05-31T00:00:00,,,,1944,5,31,,,,,,,,,,,,,,,,US,Idaho,Boise,,Above Payette River 5 miles north of Banks.,,,,,,,,,44.095861,-116.091474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B. G. Shipes,,2004-07-10T00:00:00,,,,,,,,,,,,Heuchera grossulariifolia var. tenuifolia (Wheelock) C.L.Hitchc.,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,grossulariifolia,tenuifolia,,VARIETY,,,,ACCEPTED,,,8310f570-f762-11e1-a439-00145eb45e9a,US,2022-04-27T10:31:09.727Z,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,,true,false,3752638,3752638,6,7707728,220,7219248,2402,3032645,,3032658,Heuchera grossulariifolia,Heuchera grossulariifolia var. tenuifolia (Wheelock) C.L.Hitchc.,Heuchera grossulariifolia var. tenuifolia,,DIGIR,2022-04-27T10:31:09.727Z,2022-04-22T05:22:54.468Z,false,,USA,United States,USA.13_1,Idaho,USA.13.8_1,Boise,,,,Heuchera grossulariifolia var. tenuifolia (wheelock) c.l.hitchc.,-116.091474,44.095861
441762000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC0_1_0,,,,,,,,,,,,,,,,,,,,,,,UWBM,Plants,,,PRESERVED_SPECIMEN,,,,,88029,,G. N. Jones,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1930-05-18T00:00:00,,,,1930,5,18,,,,,,,,,,,,,,,,US,Idaho,Idaho,,"Getta Creek, Snake River Canyon.",,,,,,,,,45.747303,-116.542478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B. G. Shipes,,2004-07-10T00:00:00,,,,,,,,,,,,Heuchera grossulariifolia var. tenuifolia (Wheelock) C.L.Hitchc.,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,grossulariifolia,tenuifolia,,VARIETY,,,,ACCEPTED,,,8310f570-f762-11e1-a439-00145eb45e9a,US,2022-04-27T10:31:11.719Z,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,,true,false,3752638,3752638,6,7707728,220,7219248,2402,3032645,,3032658,Heuchera grossulariifolia,Heuchera grossulariifolia var. tenuifolia (Wheelock) C.L.Hitchc.,Heuchera grossulariifolia var. tenuifolia,,DIGIR,2022-04-27T10:31:11.719Z,2022-04-22T05:22:54.468Z,false,,USA,United States,USA.13_1,Idaho,USA.13.25_1,Idaho,,,,Heuchera grossulariifolia var. tenuifolia (wheelock) c.l.hitchc.,-116.542478,45.747303
441761999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC0_1_0,,,,,,,,,,,,,,,,,,,,,,,UWBM,Plants,,,PRESERVED_SPECIMEN,,,,,88022,,R. C. Rollins,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1936-05-31T00:00:00,,,,1936,5,31,,,,,,,,,,,,,,,,US,Idaho,Idaho,,"On Meadow Creek, above Selway Falls, Nez Perce National Forest.",,,,,,,,,45.481973,-115.931284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B. G. Shipes,,2004-07-10T00:00:00,,,,,,,,,,,,Heuchera grossulariifolia var. tenuifolia (Wheelock) C.L.Hitchc.,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,grossulariifolia,tenuifolia,,VARIETY,,,,ACCEPTED,,,8310f570-f762-11e1-a439-00145eb45e9a,US,2022-04-27T10:31:09.705Z,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,,true,false,3752638,3752638,6,7707728,220,7219248,2402,3032645,,3032658,Heuchera grossulariifolia,Heuchera grossulariifolia var. tenuifolia (Wheelock) C.L.Hitchc.,Heuchera grossulariifolia var. tenuifolia,,DIGIR,2022-04-27T10:31:09.705Z,2022-04-22T05:22:54.468Z,false,,USA,United States,USA.13_1,Idaho,USA.13.25_1,Idaho,,,,Heuchera grossulariifolia var. tenuifolia (wheelock) c.l.hitchc.,-115.931284,45.481973
441761997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC0_1_0,,,,,,,,,,,,,,,,,,,,,,,UWBM,Plants,,,PRESERVED_SPECIMEN,,,,,88016,,C. L. Hitchcock,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1944-06-04T00:00:00,,,,1944,6,4,,,,,,,,,,,,,,,,US,Idaho,Elmore,,"About 4 miles north of Pine, Boise National Forest, north side of Dog Creek.",,,,,,,,,43.530492,-115.314391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B. G. Shipes,,2004-07-10T00:00:00,,,,,,,,,,,,Heuchera grossulariifolia var. tenuifolia (Wheelock) C.L.Hitchc.,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,grossulariifolia,tenuifolia,,VARIETY,,,,ACCEPTED,,,8310f570-f762-11e1-a439-00145eb45e9a,US,2022-04-27T10:31:09.758Z,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,,true,false,3752638,3752638,6,7707728,220,7219248,2402,3032645,,3032658,Heuchera grossulariifolia,Heuchera grossulariifolia var. tenuifolia (Wheelock) C.L.Hitchc.,Heuchera grossulariifolia var. tenuifolia,,DIGIR,2022-04-27T10:31:09.758Z,2022-04-22T05:22:54.468Z,false,,USA,United States,USA.13_1,Idaho,USA.13.20_1,Elmore,,,,Heuchera grossulariifolia var. tenuifolia (wheelock) c.l.hitchc.,-115.314391,43.530492
441761996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC0_1_0,,,,,,,,,,,,,,,,,,,,,,,UWBM,Plants,,,PRESERVED_SPECIMEN,,,,,88014,,F. W. Pennell,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1937-07-15T00:00:00,,,,1937,7,15,,,,,,,,,,,,,,,,US,Idaho,Idaho,,"Rocky Ridge, Lolo Trail, Bitterroot Mountains.",,,,,,,,,46.44611,-115.51111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B. G. Shipes,,2004-07-10T00:00:00,,,,,,,,,,,,Heuchera grossulariifolia var. tenuifolia (Wheelock) C.L.Hitchc.,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,grossulariifolia,tenuifolia,,VARIETY,,,,ACCEPTED,,,8310f570-f762-11e1-a439-00145eb45e9a,US,2022-04-27T10:31:09.727Z,1921.0,0.0,,,,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,,true,false,3752638,3752638,6,7707728,220,7219248,2402,3032645,,3032658,Heuchera grossulariifolia,Heuchera grossulariifolia var. tenuifolia (Wheelock) C.L.Hitchc.,Heuchera grossulariifolia var. tenuifolia,,DIGIR,2022-04-27T10:31:09.727Z,2022-04-22T05:22:54.468Z,false,,USA,United States,USA.13_1,Idaho,USA.13.25_1,Idaho,,,,Heuchera grossulariifolia var. tenuifolia (wheelock) c.l.hitchc.,-115.51111,46.44611
441761995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC0_1_0,,,,,,,,,,,,,,,,,,,,,,,UWBM,Plants,,,PRESERVED_SPECIMEN,,,,,88012,,C.  Leo Hitchcock,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1957-07-02T00:00:00,,,,1957,7,2,,,,,,,,,,,,,,,,US,Idaho,Custer,,In Pass Creek Gorge 10 miles north of Leslie.,,,,,,,,,44.013853,-113.455335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B. G. Shipes,,2004-07-12T00:00:00,,,,,,,,,,,,Heuchera grossulariifolia var. tenuifolia (Wheelock) C.L.Hitchc.,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,grossulariifolia,tenuifolia,,VARIETY,,,,ACCEPTED,,,8310f570-f762-11e1-a439-00145eb45e9a,US,2022-04-27T10:31:09.692Z,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,,true,false,3752638,3752638,6,7707728,220,7219248,2402,3032645,,3032658,Heuchera grossulariifolia,Heuchera grossulariifolia var. tenuifolia (Wheelock) C.L.Hitchc.,Heuchera grossulariifolia var. tenuifolia,,DIGIR,2022-04-27T10:31:09.692Z,2022-04-22T05:22:54.468Z,false,,USA,United States,USA.13_1,Idaho,USA.13.19_1,Custer,,,,Heuchera grossulariifolia var. tenuifolia (wheelock) c.l.hitchc.,-113.455335,44.013853
