gbifID,abstract,accessRights,accrualMethod,accrualPeriodicity,accrualPolicy,alternative,audience,available,bibliographicCitation,conformsTo,contributor,coverage,created,creator,date,dateAccepted,dateCopyrighted,dateSubmitted,description,educationLevel,extent,format,hasFormat,hasPart,hasVersion,identifier,instructionalMethod,isFormatOf,isPartOf,isReferencedBy,isReplacedBy,isRequiredBy,isVersionOf,issued,language,license,mediator,medium,modified,provenance,publisher,references,relation,replaces,requires,rights,rightsHolder,source,spatial,subject,tableOfContents,temporal,title,type,valid,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,recordedByID,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,degreeOfEstablishment,pathway,georeferenceVerificationStatus,occurrenceStatus,preparations,disposition,associatedOccurrences,associatedReferences,associatedSequences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,organismScope,associatedOrganisms,previousIdentifications,organismRemarks,materialSampleID,eventID,parentEventID,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,verticalDatum,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,verbatimIdentification,identificationQualifier,typeStatus,identifiedBy,identifiedByID,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,family,subfamily,genus,genericName,subgenus,infragenericEpithet,specificEpithet,infraspecificEpithet,cultivarEpithet,taxonRank,verbatimTaxonRank,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,datasetKey,publishingCountry,lastInterpreted,elevation,elevationAccuracy,depth,depthAccuracy,distanceAboveSurface,distanceAboveSurfaceAccuracy,issue,mediaType,hasCoordinate,hasGeospatialIssues,taxonKey,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,subgenusKey,speciesKey,species,acceptedScientificName,verbatimScientificName,typifiedName,protocol,lastParsed,lastCrawled,repatriated,relativeOrganismQuantity,level0Gid,level0Name,level1Gid,level1Name,level2Gid,level2Name,level3Gid,level3Name,iucnRedListCategory,species_name,x,y
3320775272,,,,,,,,,,,,,,,,,,,,,,,,,,4517033,,,,,,,,,,CC_BY_NC_4_0,,,2022-02-09T13:11:03Z,,,https://cch2.org/portal/collections/individual/index.php?occid=4517033,,,,http://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,,,3818ca8b-b6a4-11e8-b408-001a64db2964,,PUA,,,,PRESERVED_SPECIMEN,,,,7197fa81-73da-4b74-8cc5-e4b8e5cae76e,,,L.E. Eighme,,,,,,,,,,,,,PRESENT,,,,,,,1407,,,,,,,,,,,,1950-07-03T00:00:00,,184,,1950,7,3,7/3/1950,Cliff or Bluff Side; Soil Texture: Very Cobbly,,,,,,,,,,,,,,US,California,Glenn,,Local landmark: Mt. St. John. Stonyford Quad.,,1890 m,,,,,,,39.433333,-122.695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L.E. Eighme,,,,,,48436,,,,,,,,Heuchera micrantha var. hartwegii (S.Watson ex Wheelock) Rosend.,,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera|Heuchera micrantha,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,micrantha,hartwegii,,VARIETY,var.,,,ACCEPTED,,,677aece2-a65b-4b78-b391-0f2e21a2b7ed,US,2022-05-02T15:38:35.296Z,1890.0,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,true,false,3755340,3755340,6,7707728,220,7219248,2402,3032645,,8365087,Heuchera micrantha,Heuchera micrantha var. hartwegii (S.Watson ex Wheelock) Rosend.,Heuchera micrantha var. hartwegii,,DWC_ARCHIVE,2022-05-02T15:38:35.296Z,2022-05-02T15:36:49.533Z,false,,USA,United States,USA.5_1,California,USA.5.11_1,Glenn,,,,Heuchera micrantha var. hartwegii (s.watson ex wheelock) rosend.,-122.695,39.433333
2460000712,,,,,,,,,,,,,,,,,,,,,,,,,,28459666,,,,,,,,,,CC_BY_NC_4_0,,,2020-07-29T16:47:53Z,,,https://www.inaturalist.org/observations/28459666,,,,,Remington Jackson,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/28459666,28459666,,Remington Jackson,,,,,,,flowering|flower budding,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,2019-06-08T09:40:00,16:40:00Z,,,2019,6,8,2019/06/08 9:40 AM PDT,,,,,,,,,,,,,,,US,Oregon,,,,"Tillamook County, OR, USA",,,,,,,,45.744508,-123.960889,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80759622,,,,ry_folk,https://orcid.org/0000-0002-5333-9273,2019-12-16T13:40:27,,,Yep!!!,241023,,,,,,,,Heuchera micrantha var. hartwegii (S.Watson ex Wheelock) Rosend.,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,micrantha,hartwegii,,VARIETY,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-05-27T10:32:10.537Z,,,,,,,,StillImage,true,false,3755340,3755340,6,7707728,220,7219248,2402,3032645,,8365087,Heuchera micrantha,Heuchera micrantha var. hartwegii (S.Watson ex Wheelock) Rosend.,Heuchera micrantha hartwegii,,DWC_ARCHIVE,2022-05-27T10:32:10.537Z,2022-05-27T06:33:23.798Z,false,,USA,United States,USA.38_1,Oregon,USA.38.29_1,Tillamook,,,,Heuchera micrantha var. hartwegii (s.watson ex wheelock) rosend.,-123.960889,45.744508
2430544836,,,,,,,,,,,,,,,,,,,,,,,,,,963210,,,,,,,,,,CC_BY_NC_4_0,,,2022-03-04T14:33:47Z,,,https://cch2.org/portal/collections/individual/index.php?occid=963210,,,,http://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,POM,,,PRESERVED_SPECIMEN,,,,76fa3297-e7ab-46d6-adc6-ff01c79376fc,RSA0063101,41289,L. S. Rose,,,,,,,fruits,,,,,,PRESENT,herbarium sheet,,,,,"Oxalis oregana, Trientalis europaea and latifolia, Hieracium albiflorum",POM accession: 263666,,,,,,,,,,,,1941-07-02T00:00:00,,183,,1941,7,2,,"Moist shady bank, in forest of Sequoia sempervirens and Pasania densiflora.",,,,,,,,,,,,,,US,California,San Mateo,,Kings Mountain.,,1968ft.,,,,,,,37.440557,-122.323502,4000.0,,,,,,,,San Jose S.U. A,,,Geolocate (copied from POM132205),Thu Apr 11 10:25:51 2013; georef from 2006-2015 archive backup file,,,,,,,,,,,,,,,,,,,,,,,Ryan Folk,,2015-07-01T00:00:00,,,,48436,,,,,,,,Heuchera micrantha var. hartwegii (S.Watson ex Wheelock) Rosend.,,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera|Heuchera micrantha,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,micrantha,hartwegii,,VARIETY,var.,,,ACCEPTED,,,9781ce05-2379-4a10-ab3b-c91346510df8,US,2022-05-02T18:08:16.683Z,600.0,,,,,,INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,,true,false,3755340,3755340,6,7707728,220,7219248,2402,3032645,,8365087,Heuchera micrantha,Heuchera micrantha var. hartwegii (S.Watson ex Wheelock) Rosend.,Heuchera micrantha var. hartwegii,,DWC_ARCHIVE,2022-05-02T18:08:16.683Z,2022-05-02T17:46:00.182Z,false,,USA,United States,USA.5_1,California,USA.5.41_1,San Mateo,,,,Heuchera micrantha var. hartwegii (s.watson ex wheelock) rosend.,-122.323502,37.440557
2430523783,,,,,,,,,,,,,,,,,,,,,,,,,,920946,,,,,,,,,,CC_BY_NC_4_0,,,2022-03-04T14:33:47Z,,,https://cch2.org/portal/collections/individual/index.php?occid=920946,,,,http://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,RSA,,,PRESERVED_SPECIMEN,,,,62e294cb-51d8-41ef-9689-879c451a93e1,RSA0066163,S5225,F. R. Fosberg,,,,,,,flowers & fruits,,,,,,PRESENT,herbarium sheet,,,,,,RSA accession: 467313,,,,,,,,,,,,1931-06-04T00:00:00,,155,,1931,6,4,,Shady ravine.,,,,,,,,,,,,,,US,California,Santa Cruz,,Near Glenwood. Santa Cruz Mts.,,,,,,,,,37.1092,-121.98652,3079.0,,,,,,,,UCSanta Cruz C,,,GoogleMaps via BerkeleyMapper (copied from POM358925),Wed Aug 28 17:55:45 2013; georef from 2006-2015 archive backup file,,,,,,,,,,,,,,,,,,,,,,,Ryan Folk,,2015-07-01T00:00:00,,,,48436,,,,,,,,Heuchera micrantha var. hartwegii (S.Watson ex Wheelock) Rosend.,,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera|Heuchera micrantha,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,micrantha,hartwegii,,VARIETY,var.,,,ACCEPTED,,,9781ce05-2379-4a10-ab3b-c91346510df8,US,2022-05-02T18:07:23.875Z,,,,,,,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,true,false,3755340,3755340,6,7707728,220,7219248,2402,3032645,,8365087,Heuchera micrantha,Heuchera micrantha var. hartwegii (S.Watson ex Wheelock) Rosend.,Heuchera micrantha var. hartwegii,,DWC_ARCHIVE,2022-05-02T18:07:23.875Z,2022-05-02T17:46:00.182Z,false,,USA,United States,USA.5_1,California,USA.5.44_1,Santa Cruz,,,,Heuchera micrantha var. hartwegii (s.watson ex wheelock) rosend.,-121.98652,37.1092
2430485776,,,,,,,,,,,,,,,,,,,,,,,,,,767417,,,,,,,,,,CC_BY_NC_4_0,,,2022-03-04T14:33:47Z,,,https://cch2.org/portal/collections/individual/index.php?occid=767417,,,,http://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,RSA,,,PRESERVED_SPECIMEN,,,,3d8a1629-aef5-4dbb-9386-a8e9a6a8361e,RSA0063148,7995,John H. Thomas,,,,,,,fruits,,,,,,PRESENT,herbarium sheet,,,,,,RSA accession: 132412,Growing on shaded embankment. Petals white.,,,,,,,,,,,1959-06-11T00:00:00,,162,,1959,6,11,,"Redwood, tanbark oak, douglas fir forest.",,,,,,,,,,,,,,US,California,Santa Cruz,,"Along Hwy 9, 1 mile NW of Ben Lomond.",,500ft.,,,,,,,37.125,-122.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryan Folk,,2015-07-01T00:00:00,,,,48436,,,,,,,,Heuchera micrantha var. hartwegii (S.Watson ex Wheelock) Rosend.,,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera|Heuchera micrantha,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,micrantha,hartwegii,,VARIETY,var.,,,ACCEPTED,,,9781ce05-2379-4a10-ab3b-c91346510df8,US,2022-05-02T18:07:31.384Z,152.0,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,true,false,3755340,3755340,6,7707728,220,7219248,2402,3032645,,8365087,Heuchera micrantha,Heuchera micrantha var. hartwegii (S.Watson ex Wheelock) Rosend.,Heuchera micrantha var. hartwegii,,DWC_ARCHIVE,2022-05-02T18:07:31.384Z,2022-05-02T17:46:00.182Z,false,,USA,United States,USA.5_1,California,USA.5.44_1,Santa Cruz,,,,Heuchera micrantha var. hartwegii (s.watson ex wheelock) rosend.,-122.1,37.125
2430480619,,,,,,,,,,,,,,,,,,,,,,,,,,755672,,,,,,,,,,CC_BY_NC_4_0,,,2022-03-04T14:33:47Z,,,https://cch2.org/portal/collections/individual/index.php?occid=755672,,,,http://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,RSA,,,PRESERVED_SPECIMEN,,,,37ea8a33-2286-4498-a054-62660392cb5f,RSA0063139,3159,John H. Thomas,,,,,,,flowers,,,,,,PRESENT,herbarium sheet,,,,,,RSA accession: 195442,Common locally from horizontal root stocks.,,,,,,,,,,,1953-05-23T00:00:00,,143,,1953,5,23,,On side of steep slope in Redwood Forest.,,,,,,,,,,,,,,US,California,Santa Cruz,,Near summit of Santa Cruz - Los Gatos Hwy. State Hwy 17.,,1800ft.,,,,,,,37.141667,-121.986667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryan Folk,,2015-07-01T00:00:00,,,,48436,,,,,,,,Heuchera micrantha var. hartwegii (S.Watson ex Wheelock) Rosend.,,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera|Heuchera micrantha,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,micrantha,hartwegii,,VARIETY,var.,,,ACCEPTED,,,9781ce05-2379-4a10-ab3b-c91346510df8,US,2022-05-02T18:07:31.183Z,549.0,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,true,false,3755340,3755340,6,7707728,220,7219248,2402,3032645,,8365087,Heuchera micrantha,Heuchera micrantha var. hartwegii (S.Watson ex Wheelock) Rosend.,Heuchera micrantha var. hartwegii,,DWC_ARCHIVE,2022-05-02T18:07:31.183Z,2022-05-02T17:46:00.182Z,false,,USA,United States,USA.5_1,California,USA.5.44_1,Santa Cruz,,,,Heuchera micrantha var. hartwegii (s.watson ex wheelock) rosend.,-121.986667,37.141667
2430430451,,,,,,,,,,,,,,,,,,,,,,,,,,959356,,,,,,,,,,CC_BY_NC_4_0,,,2022-03-04T14:33:47Z,,,https://cch2.org/portal/collections/individual/index.php?occid=959356,,,,http://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,POM,,,PRESERVED_SPECIMEN,,,,75280595-a538-4e2d-8829-117aa7fdb94c,RSA0063144,4762,A. D. E. Elmer,,,,,,,fruits,,,,,,PRESENT,herbarium sheet,,,,,,POM accession: 141783,,,,,,,,,,,,,,,,,,,1903-07,,,,,,,,,,,,,,,US,California,San Mateo,,Pilarcitos Stone Dam.,,,,,,,,,37.54821,-122.42252,150.0,,,,,,,,San Jose S.U. A,,,GoogleMaps via BerkeleyMapper (copied from CAS141511),Thu Apr 11 18:48:51 2013; georef from 2006-2015 archive backup file,,,,,,,,,,,,,,,,,,,,,,,Ryan Folk,,2015-07-01T00:00:00,,,,48436,,,,,,,,Heuchera micrantha var. hartwegii (S.Watson ex Wheelock) Rosend.,,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera|Heuchera micrantha,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,micrantha,hartwegii,,VARIETY,var.,,,ACCEPTED,,,9781ce05-2379-4a10-ab3b-c91346510df8,US,2022-05-02T18:06:38.615Z,,,,,,,RECORDED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,,true,false,3755340,3755340,6,7707728,220,7219248,2402,3032645,,8365087,Heuchera micrantha,Heuchera micrantha var. hartwegii (S.Watson ex Wheelock) Rosend.,Heuchera micrantha var. hartwegii,,DWC_ARCHIVE,2022-05-02T18:06:38.615Z,2022-05-02T17:46:00.182Z,false,,USA,United States,USA.5_1,California,USA.5.41_1,San Mateo,,,,Heuchera micrantha var. hartwegii (s.watson ex wheelock) rosend.,-122.42252,37.54821
2430429285,,,,,,,,,,,,,,,,,,,,,,,,,,957591,,,,,,,,,,CC_BY_NC_4_0,,,2022-03-04T14:33:47Z,,,https://cch2.org/portal/collections/individual/index.php?occid=957591,,,,http://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,RSA,,,PRESERVED_SPECIMEN,,,,74578ecc-3dab-4129-9ef2-72872885edeb,RSA0066157,s.n.,Misses Patterson; Wiltz,,,,,,,fruits,,,,,,PRESENT,herbarium sheet,,,,,,RSA accession: 6360,,,,,,,,,,,,1907-06-12T00:00:00,,163,,1907,6,12,,In woods.,,,,,,,,,,,,,,US,California,Monterey,,Near Pacific Grove.,,,,,,,,,36.61966,-121.91923,1648.0,,,,,,,,UCSanta Cruz H,,,GoogleMaps via BerkeleyMapper,Fri May 17 13:56:28 2013; georef from 2006-2015 archive backup file,,,,,,,,,,,,,,,,,,,,,,,Ryan Folk,,2015-07-01T00:00:00,,,,48436,,,,,,,,Heuchera micrantha var. hartwegii (S.Watson ex Wheelock) Rosend.,,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera|Heuchera micrantha,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,micrantha,hartwegii,,VARIETY,var.,,,ACCEPTED,,,9781ce05-2379-4a10-ab3b-c91346510df8,US,2022-05-02T18:06:32.799Z,,,,,,,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,true,false,3755340,3755340,6,7707728,220,7219248,2402,3032645,,8365087,Heuchera micrantha,Heuchera micrantha var. hartwegii (S.Watson ex Wheelock) Rosend.,Heuchera micrantha var. hartwegii,,DWC_ARCHIVE,2022-05-02T18:06:32.799Z,2022-05-02T17:46:00.182Z,false,,USA,United States,USA.5_1,California,USA.5.27_1,Monterey,,,,Heuchera micrantha var. hartwegii (s.watson ex wheelock) rosend.,-121.91923,36.61966
2430425229,,,,,,,,,,,,,,,,,,,,,,,,,,956913,,,,,,,,,,CC_BY_NC_4_0,,,2022-03-04T14:33:47Z,,,https://cch2.org/portal/collections/individual/index.php?occid=956913,,,,http://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,POM,,,PRESERVED_SPECIMEN,,,,74035bec-1706-4565-a86f-9b65b4303df3,RSA0063138,s.n.,Marcus E. Jones,,,,,,,flowers,,,,,,PRESENT,herbarium sheet,,,,,,POM accession: 68639,,,,,,,,,,,,1924-04-25T00:00:00,,116,,1924,4,25,,,,,,,,,,,,,,,,US,California,Sonoma,,Cloverdale.,,,,,,,,,38.8048,-123.0132,3000.0,,,,,,,,UCRiverside A,,,Geolocate (copied from GH365020),Sat Nov 26 08:34:44 2016; georef from 2015-2018 archive backup file,,,,,,,,,,,,,,,,,,,,,,,Ryan Folk,,2015-07-01T00:00:00,,,,48436,,,,,,,,Heuchera micrantha var. hartwegii (S.Watson ex Wheelock) Rosend.,,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera|Heuchera micrantha,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,micrantha,hartwegii,,VARIETY,var.,,,ACCEPTED,,,9781ce05-2379-4a10-ab3b-c91346510df8,US,2022-05-02T18:07:14.298Z,,,,,,,INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,,true,false,3755340,3755340,6,7707728,220,7219248,2402,3032645,,8365087,Heuchera micrantha,Heuchera micrantha var. hartwegii (S.Watson ex Wheelock) Rosend.,Heuchera micrantha var. hartwegii,,DWC_ARCHIVE,2022-05-02T18:07:14.298Z,2022-05-02T17:46:00.182Z,false,,USA,United States,USA.5_1,California,USA.5.49_1,Sonoma,,,,Heuchera micrantha var. hartwegii (s.watson ex wheelock) rosend.,-123.0132,38.8048
2430417500,,,,,,,,,,,,,,,,,,,,,,,,,,929483,,,,,,,,,,CC_BY_NC_4_0,,,2022-03-04T14:33:47Z,,,https://cch2.org/portal/collections/individual/index.php?occid=929483,,,,http://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,POM,,,PRESERVED_SPECIMEN,,,,67015b35-e884-4a52-b9f8-fb2247341017,RSA0063135,513,H. F. Copeland,,,,,,,flowers & fruits,,,,,,PRESENT,herbarium sheet,,,,,,POM accession: 181776,,,,,,,,,,,,1929-05-18T00:00:00,,138,,1929,5,18,,,,,,,,,,,,,,,,US,California,Alameda,,Hills back of Oakland.,,,,,,,,,37.7981,-122.1625,6250.0,,,,,,,,San Jose S.U. A,,,GoogleMaps via BerkeleyMapper (copied from JEPS19887),Wed Nov 28 14:00:00 2012; georef from 2006-2015 archive backup file,,,,,,,,,,,,,,,,,,,,,,,Ryan Folk,,2015-07-01T00:00:00,,,,48436,,,,,,,,Heuchera micrantha var. hartwegii (S.Watson ex Wheelock) Rosend.,,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera|Heuchera micrantha,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,micrantha,hartwegii,,VARIETY,var.,,,ACCEPTED,,,9781ce05-2379-4a10-ab3b-c91346510df8,US,2022-05-02T18:07:16.041Z,,,,,,,INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,,true,false,3755340,3755340,6,7707728,220,7219248,2402,3032645,,8365087,Heuchera micrantha,Heuchera micrantha var. hartwegii (S.Watson ex Wheelock) Rosend.,Heuchera micrantha var. hartwegii,,DWC_ARCHIVE,2022-05-02T18:07:16.041Z,2022-05-02T17:46:00.182Z,false,,USA,United States,USA.5_1,California,USA.5.1_1,Alameda,,,,Heuchera micrantha var. hartwegii (s.watson ex wheelock) rosend.,-122.1625,37.7981
