gbifID,abstract,accessRights,accrualMethod,accrualPeriodicity,accrualPolicy,alternative,audience,available,bibliographicCitation,conformsTo,contributor,coverage,created,creator,date,dateAccepted,dateCopyrighted,dateSubmitted,description,educationLevel,extent,format,hasFormat,hasPart,hasVersion,identifier,instructionalMethod,isFormatOf,isPartOf,isReferencedBy,isReplacedBy,isRequiredBy,isVersionOf,issued,language,license,mediator,medium,modified,provenance,publisher,references,relation,replaces,requires,rights,rightsHolder,source,spatial,subject,tableOfContents,temporal,title,type,valid,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,recordedByID,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,degreeOfEstablishment,pathway,georeferenceVerificationStatus,occurrenceStatus,preparations,disposition,associatedOccurrences,associatedReferences,associatedSequences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,organismScope,associatedOrganisms,previousIdentifications,organismRemarks,materialSampleID,eventID,parentEventID,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,verticalDatum,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,verbatimIdentification,identificationQualifier,typeStatus,identifiedBy,identifiedByID,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,family,subfamily,genus,genericName,subgenus,infragenericEpithet,specificEpithet,infraspecificEpithet,cultivarEpithet,taxonRank,verbatimTaxonRank,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,datasetKey,publishingCountry,lastInterpreted,elevation,elevationAccuracy,depth,depthAccuracy,distanceAboveSurface,distanceAboveSurfaceAccuracy,issue,mediaType,hasCoordinate,hasGeospatialIssues,taxonKey,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,subgenusKey,speciesKey,species,acceptedScientificName,verbatimScientificName,typifiedName,protocol,lastParsed,lastCrawled,repatriated,relativeOrganismQuantity,level0Gid,level0Name,level1Gid,level1Name,level2Gid,level2Name,level3Gid,level3Name,iucnRedListCategory,species_name,x,y
3773792139,,,,,,,,,,,,,,,,,,,,,,,,,,115739230,,,,,,,,,,CC_BY_4_0,,,2022-05-09T21:10:37Z,,,https://www.inaturalist.org/observations/115739230,,,,,Andrew Tree,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/115739230,115739230,,Andrew Tree,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,2022-05-06T06:08:00,12:08:00Z,,,2022,5,6,2022/05/06 6:08 AM,,,,,,,,,,,,,,,US,New Mexico,,,,"Grant County, NM, USA",,,,,,,,32.852335,-108.294208,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257448477,,,,Andrew Tree,,2022-05-06T14:57:58,,,,163742,,,,,,,,Heuchera novomexicana Wheelock,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,novomexicana,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-05-27T11:15:56.125Z,,,,,,,COORDINATE_ROUNDED,StillImage,true,false,3032676,3032676,6,7707728,220,7219248,2402,3032645,,3032676,Heuchera novomexicana,Heuchera novomexicana Wheelock,Heuchera novomexicana,,DWC_ARCHIVE,2022-05-27T11:15:56.125Z,2022-05-27T06:33:23.798Z,false,,USA,United States,USA.32_1,New Mexico,USA.32.10_1,Grant,,,NE,Heuchera novomexicana wheelock,-108.294208,32.852335
3760338274,,,,,,,,,,,,,,,,,,,,,,,,,,111799106,,,,,,,,,,CC_BY_4_0,,,2022-04-17T16:39:55Z,,,https://www.inaturalist.org/observations/111799106,,,,,Andrew Tree,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/111799106,111799106,,Andrew Tree,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,2022-04-17T07:18:00,14:18:00Z,,,2022,4,17,2022/04/17 7:18 AM MST,,,,,,,,,,,,,,,US,New Mexico,,,,"Grant County, NM, USA",,,,,,,,32.851998,-108.294115,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250048419,,,,Andrew Tree,,2022-04-17T16:33:03,,,,163742,,,,,,,,Heuchera novomexicana Wheelock,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,novomexicana,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-05-27T11:13:21.211Z,,,,,,,COORDINATE_ROUNDED,StillImage,true,false,3032676,3032676,6,7707728,220,7219248,2402,3032645,,3032676,Heuchera novomexicana,Heuchera novomexicana Wheelock,Heuchera novomexicana,,DWC_ARCHIVE,2022-05-27T11:13:21.211Z,2022-05-27T06:33:23.798Z,false,,USA,United States,USA.32_1,New Mexico,USA.32.10_1,Grant,,,NE,Heuchera novomexicana wheelock,-108.294115,32.851998
3455192597,,,,,,,,,,,,,,,,,,,,,,,,,,30210691,,,,,,,,,,CC_BY_NC_4_0,,,2022-01-12T03:27:06Z,,,https://www.inaturalist.org/observations/30210691,,,,,Dwayne Estes,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/30210691,30210691,,Dwayne Estes,,,,,,,flowering|fruiting,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,2019-07-27T18:07:19,00:07:19Z,,,2019,7,27,Sat Jul 27 2019 18:07:19 GMT-0600 (MDT),,,,,,,,,,,,,,,US,New Mexico,,,,"Grant County, US-NM, US",,,,,,,,32.927253,-108.161964,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65838256,,,,ry_folk,https://orcid.org/0000-0002-5333-9273,2019-08-07T15:01:13,,,,163742,,,,,,,,Heuchera novomexicana Wheelock,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,novomexicana,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-05-27T10:32:24.095Z,,,,,,,COORDINATE_ROUNDED,StillImage,true,false,3032676,3032676,6,7707728,220,7219248,2402,3032645,,3032676,Heuchera novomexicana,Heuchera novomexicana Wheelock,Heuchera novomexicana,,DWC_ARCHIVE,2022-05-27T10:32:24.095Z,2022-05-27T06:33:23.798Z,false,,USA,United States,USA.32_1,New Mexico,USA.32.10_1,Grant,,,NE,Heuchera novomexicana wheelock,-108.161964,32.927253
3413526283,,http://vertnet.org/resources/norms.html,,,,,,,,,,,,,,,,,,,,,,,,http://arctos.database.museum/guid/UTEP:Herb:29561?seid=5210111,,,,,,,,,,CC0_1_0,,,2022-04-23T09:40:00.025Z,,,http://arctos.database.museum/guid/UTEP:Herb:29561,,,,,,,,,,,,,,UTEP,120,,UTEP,Herb,,,PRESERVED_SPECIMEN,,,,http://arctos.database.museum/guid/UTEP:Herb:29561?seid=5210111,UTEP:Herb:29561,13224,Collector(s): Richard D. Worthington,,,,,,,,,,,,accepted,PRESENT,whole organism,,,,,,collector number=13224,,http://arctos.database.museum/guid/UTEP:Herb:29561,,,,"[{""scientific_name"""":""""Heuchera novomexicana"""",""""nature_of_id"""":""""features"""",""""accepted_id_fg"""":1,""""made_date"""":null,""""short_citation"""":null,""""publication_id"""":null,""""identification_remarks"""":""""Former nature_of_id: expert."""",""""idby"""":""""Richard D. Worthington"""",""""concept_label"""":null}]""",,,,,,1985-06-09T00:00:00,1985-06-09,,160,1985,6,9,09 JUN 1985,"annotated by p. j. alexander, 2006",,,,,,The locality is placed at Wrights Camp Recreation Area along with Iron Creek Spring at the listed elevation and TRS.,,,"North America, United States, New Mexico, Grant County",NORTH_AMERICA,,,,US,New Mexico,Grant County,,"Wright's Cabin Recreation Area, Iron Creek Spring","New Mexico, Grant Co., Wright's Cabin Rec. Area, Iron Creek Spring (T16S, R9W, Centr. Sec.16) ca. 7500 Ft",,,,,,Elan Guinn de la Rosa,"T16S, R9W, Centr. Sec.16, Black Range",32.913273,-107.780603,320.0,,,decimal degrees,,"POLYGON((-107.777184837029 32.9133490425531,-107.777232938775 32.9127851057672,-107.777410548353 32.9122399201645,-107.777710838129 32.91173443651,-107.778122266532 32.9112880795131,-107.778629021843 32.9109180014599,-107.779211629938 32.9106384232075,-107.77984770264 32.9104600878416,-107.780512797915 32.9103898479704,-107.781181358874 32.9104304024924,-107.781827695559 32.910580192937,-107.782426971811 32.910833463353,-107.782956159381 32.9111804814442,-107.783394922647 32.9116079124627,-107.783726399985 32.9120993315093,-107.783937851779 32.9126358545756,-107.784021150176 32.9131968641011,-107.783973091712 32.9137608011851,-107.783795520784 32.914305994025,-107.783495259145 32.914811490754,-107.783083844077 32.9152578646723,-107.782577085274 32.9156279609176,-107.781994457389 32.9159075558633,-107.781358351612 32.9160859038822,-107.780693215013 32.9161561504399,-107.780024610771 32.9161155956198,-107.779378235436 32.9159657979381,-107.778778931048 32.9157125144475,-107.778249730141 32.9153654794349,-107.777810970368 32.9149380302242,-107.777479512821 32.9144465944844,-107.777268094101 32.9139100587651,-107.777184837029 32.9133490425531))",,,Elan Guinn de la Rosa,2021-07-24 00:00:00,MaNIS georeferencing guidelines,GeoLocate,,,,,,,,,,,,,,,,,,,,,,A,,Richard D. Worthington,,,,features,Former nature_of_id: expert.,,,,,,,,,Heuchera novomexicana Wheelock,,,,,,,"Plantae, Tracheophyta, Magnoliopsida, Rosales, Saxifragaceae, Heuchera,",Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,novomexicana,,,SPECIES,,,ICBN,ACCEPTED,,,1a9d08bb-9e2c-4540-8f7f-3205846b6ddc,US,2022-05-06T19:45:28.873Z,2286.0,8.0,,,,,FOOTPRINT_WKT_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,true,false,3032676,3032676,6,7707728,220,7219248,2402,3032645,,3032676,Heuchera novomexicana,Heuchera novomexicana Wheelock,Heuchera novomexicana,,DWC_ARCHIVE,2022-05-06T19:45:28.873Z,2022-05-06T19:44:29.920Z,false,,USA,United States,USA.32_1,New Mexico,USA.32.10_1,Grant,,,NE,Heuchera novomexicana wheelock,-107.780603,32.913273
3335383577,,,,,,,,,,,,,,,,,,,,,,,,,,88873584,,,,,,,,,,CC_BY_4_0,,,2021-08-02T23:00:26Z,,,https://www.inaturalist.org/observations/88873584,,,,,Andrew Tree,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/88873584,88873584,,Andrew Tree,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,2021-07-27T07:57:00,14:57:00Z,,,2021,7,27,2021/07/27 7:57 AM MST,,,,,,,,,,,,,,,US,New Mexico,,,,"Sierra County, NM, USA",,,,,,,,32.930526,-107.768901,401.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195351791,,,,Andrew Tree,,2021-07-30T14:53:48,,,does this look right? @ry_folk Thanks for any help,163742,,,,,,,,Heuchera novomexicana Wheelock,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,novomexicana,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-05-27T10:37:13.251Z,,,,,,,COORDINATE_ROUNDED,StillImage,true,false,3032676,3032676,6,7707728,220,7219248,2402,3032645,,3032676,Heuchera novomexicana,Heuchera novomexicana Wheelock,Heuchera novomexicana,,DWC_ARCHIVE,2022-05-27T10:37:13.251Z,2022-05-27T06:33:23.798Z,false,,USA,United States,USA.32_1,New Mexico,USA.32.28_1,Sierra,,,NE,Heuchera novomexicana wheelock,-107.768901,32.930526
2641492439,,,,,,,,,,,,,,,,,,,,,,,,,,44811052,,,,,,,,,,CC_BY_NC_4_0,,,2020-07-17T13:44:54Z,,,https://www.inaturalist.org/observations/44811052,,,,,bobgriffis,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/44811052,44811052,,bobgriffis,,,,,,,flowering,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,2020-05-03T11:29:18,17:29:18Z,,,2020,5,3,2020-05-03 11:29:18 AM MDT,,,,,,,,,,,,,,,US,New Mexico,,,,"Catron County, US-NM, US",,,,,,,,33.270331,-108.259367,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109825985,,,,Keith Kutsko,,2020-06-13T02:03:46,,,"I think, not American anyway, https://wnmu.edu/academic/nspages/gilaflora/heuchera_novomexicana.html",163742,,,,,,,,Heuchera novomexicana Wheelock,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,novomexicana,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-05-27T10:33:34.223Z,,,,,,,COORDINATE_ROUNDED,StillImage,true,false,3032676,3032676,6,7707728,220,7219248,2402,3032645,,3032676,Heuchera novomexicana,Heuchera novomexicana Wheelock,Heuchera novomexicana,,DWC_ARCHIVE,2022-05-27T10:33:34.223Z,2022-05-27T06:33:23.798Z,false,,USA,United States,USA.32_1,New Mexico,USA.32.2_1,Catron,,,NE,Heuchera novomexicana wheelock,-108.259367,33.270331
2563571837,,,,,,,,,,,,,,,,,,,,,,,,,,37903024,,,,,,,,,,CC_BY_NC_4_0,,,2020-07-17T13:45:04Z,,,https://www.inaturalist.org/observations/37903024,,,,,rwr,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/37903024,37903024,,rwr,,,,,,,no evidence of flowering,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,2019-11-25T14:42:00,00:42:00Z,,,2019,11,25,2019/11/25 2:42 PM HST,,,,,,,,,,,,,,,US,New Mexico,,,,"Catron County, NM, USA",,,,,,,,33.223678,-108.241692,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84794010,,,,ry_folk,https://orcid.org/0000-0002-5333-9273,2020-01-24T15:27:03,,,"Slightly variegated, larger leaves.",163742,,,,,,,,Heuchera novomexicana Wheelock,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,novomexicana,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-05-27T10:52:47.514Z,,,,,,,COORDINATE_ROUNDED,StillImage,true,false,3032676,3032676,6,7707728,220,7219248,2402,3032645,,3032676,Heuchera novomexicana,Heuchera novomexicana Wheelock,Heuchera novomexicana,,DWC_ARCHIVE,2022-05-27T10:52:47.514Z,2022-05-27T06:33:23.798Z,false,,USA,United States,USA.32_1,New Mexico,USA.32.2_1,Catron,,,NE,Heuchera novomexicana wheelock,-108.241692,33.223678
2242388150,,Public Domain,,,,,,,,,,,,,,,,,,,,,,,,3198430,,,,,,,,,,CC0_1_0,,,2022-02-04T09:34:00Z,,,https://intermountainbiota.org/portal/collections/individual/index.php?occid=3198430,,,,http://creativecommons.org/publicdomain/zero/1.0/,Public Domain,,,,,,,,,,ca77be98-2a59-4aa9-bfc1-5ea615f2e6b7,,DBG,KHD,,,PRESERVED_SPECIMEN,,,,bd1e57f6-2de7-4d9d-8224-8f5c6f812016,KHD00034020,4888,Loraine Yeatts; Dick Yeatts,,,,,,,Flower,,,,,,PRESENT,,,,,,,38863,"Flowers white, only plants seen in bloom.",,,,,,,,,,,2003-05-21T00:00:00,,141,,2003,5,21,,"In Pyroclastic flows, associated with Quercus gambellii, Apocynum cannabinum, Oenothera caespitosa, Erigeron colo-mexicana, Fragariasp., Thalictrum sp.",,,,,,,,,,,,,,US,New Mexico,Catron,,"Along a trail on steep North facing slope against a boulder in dense aspen forest.In pyroclastic volcanics, in the Apache National Forest, Brushy Mountains, Pueblo Creek ca. 0.5 miles downstream from Pueblo Park.",,,,,,,,,33.578649,-108.968557,,,,,,,,,,,,Terrain Navigator,Certainty Code: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356620,,,,,,,,Heuchera novomexicana Wheelock,,,,,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Saxifragaceae|Heuchera,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,novomexicana,,,SPECIES,,,,ACCEPTED,,,89c53edb-0fac-4118-bdc0-d70ca50953dc,US,2022-05-19T19:15:57.012Z,1951.0,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,true,false,3032676,3032676,6,7707728,220,7219248,2402,3032645,,3032676,Heuchera novomexicana,Heuchera novomexicana Wheelock,Heuchera novomexicana,,DWC_ARCHIVE,2022-05-19T19:15:57.012Z,2022-05-19T19:13:47.673Z,false,,USA,United States,USA.32_1,New Mexico,USA.32.2_1,Catron,,,NE,Heuchera novomexicana wheelock,-108.968557,33.578649
1986919377,,,,,,,,,,,,,,,,,,,,,,,,,,213332,,,,,,,,,,CC0_1_0,,,2022-03-03T09:13:39Z,,,https://intermountainbiota.org/portal/collections/individual/index.php?occid=213332,,,,http://creativecommons.org/publicdomain/zero/1.0/,Utah State University,,,,,,,,,http://grbio.org/institution/utah-state-university,06bf658d-f555-4c9c-ab93-fc2d7db7086e,,Utah State University,UTC,,,PRESERVED_SPECIMEN,,,,USU:UTC:140903,UTC00140903,1356,Leila M. Shultz; John S. Shultz,,,,,,,flower & fruit,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1974-09-01T00:00:00,,244,,1974,9,1,01 September 1974,Shaded areas at base of boulders,,,,,,,,,,,,,,US,New Mexico,Sierra,,"Lincoln National Forest; Mimbres Lake, Black Mts",,9900 ft,,,,,,,33.0698,-107.8343,969.0,,,,,,,,Piep,,,GeoLocate,,,,,,,,,,,,,,,,,,,,,,,,Ryan Folk,,,,,Studies in Heuchera,356620,,,,,,,,Heuchera novomexicana Wheelock,,,,,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Saxifragaceae|Heuchera,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,novomexicana,,,SPECIES,,,,ACCEPTED,,,7827f68d-c981-4023-bace-288a03434044,US,2022-05-06T15:39:35.253Z,3018.0,,,,,,COLLECTION_MATCH_FUZZY,StillImage,true,false,3032676,3032676,6,7707728,220,7219248,2402,3032645,,3032676,Heuchera novomexicana,Heuchera novomexicana Wheelock,Heuchera novomexicana,,DWC_ARCHIVE,2022-05-06T15:39:35.253Z,2022-05-06T15:29:17.572Z,false,,USA,United States,USA.32_1,New Mexico,USA.32.10_1,Grant,,,NE,Heuchera novomexicana wheelock,-107.8343,33.0698
1986910292,,,,,,,,,,,,,,,,,,,,,,,,,,205921,,,,,,,,,,CC0_1_0,,,2022-03-03T09:13:39Z,,,https://intermountainbiota.org/portal/collections/individual/index.php?occid=205921,,,,http://creativecommons.org/publicdomain/zero/1.0/,Utah State University,,,,,,,,,http://grbio.org/institution/utah-state-university,06bf658d-f555-4c9c-ab93-fc2d7db7086e,,Utah State University,UTC,,,PRESERVED_SPECIMEN,,,,USU:UTC:115288,UTC00115288,118,Jim Mitchel,,,,,,,flower & fruit,,,,,,PRESENT,,,,,,"Pinus ponderosa, Pseudotsuga menziesii",,,,,,,,,,,,,1952-06-15T00:00:00,,167,,1952,6,15,15 June 1952,Moist shaded sites in deep humus; assoc w/ Douglas Fir & Ponderosa Pine,,,,,,,,,,,,,,US,New Mexico,Grant,,E of Redstone on Signal Pk,,7800 ft.,,,,,,,32.924474,-108.179087,785.0,,,,,,,,Piep,,,GeoLocate,,,,,,,,,,,,,,,,,,,,,,,,Ryan Folk,,,,,Studies in Heuchera,356620,,,,,,,,Heuchera novomexicana Wheelock,,,,,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Saxifragaceae|Heuchera,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,novomexicana,,,SPECIES,,,,ACCEPTED,,,7827f68d-c981-4023-bace-288a03434044,US,2022-05-06T15:39:28.403Z,2377.0,,,,,,COLLECTION_MATCH_FUZZY,StillImage,true,false,3032676,3032676,6,7707728,220,7219248,2402,3032645,,3032676,Heuchera novomexicana,Heuchera novomexicana Wheelock,Heuchera novomexicana,,DWC_ARCHIVE,2022-05-06T15:39:28.403Z,2022-05-06T15:29:17.572Z,false,,USA,United States,USA.32_1,New Mexico,USA.32.10_1,Grant,,,NE,Heuchera novomexicana wheelock,-108.179087,32.924474
