gbifID,abstract,accessRights,accrualMethod,accrualPeriodicity,accrualPolicy,alternative,audience,available,bibliographicCitation,conformsTo,contributor,coverage,created,creator,date,dateAccepted,dateCopyrighted,dateSubmitted,description,educationLevel,extent,format,hasFormat,hasPart,hasVersion,identifier,instructionalMethod,isFormatOf,isPartOf,isReferencedBy,isReplacedBy,isRequiredBy,isVersionOf,issued,language,license,mediator,medium,modified,provenance,publisher,references,relation,replaces,requires,rights,rightsHolder,source,spatial,subject,tableOfContents,temporal,title,type,valid,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,recordedByID,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,degreeOfEstablishment,pathway,georeferenceVerificationStatus,occurrenceStatus,preparations,disposition,associatedOccurrences,associatedReferences,associatedSequences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,organismScope,associatedOrganisms,previousIdentifications,organismRemarks,materialSampleID,eventID,parentEventID,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,verticalDatum,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,verbatimIdentification,identificationQualifier,typeStatus,identifiedBy,identifiedByID,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,family,subfamily,genus,genericName,subgenus,infragenericEpithet,specificEpithet,infraspecificEpithet,cultivarEpithet,taxonRank,verbatimTaxonRank,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,datasetKey,publishingCountry,lastInterpreted,elevation,elevationAccuracy,depth,depthAccuracy,distanceAboveSurface,distanceAboveSurfaceAccuracy,issue,mediaType,hasCoordinate,hasGeospatialIssues,taxonKey,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,subgenusKey,speciesKey,species,acceptedScientificName,verbatimScientificName,typifiedName,protocol,lastParsed,lastCrawled,repatriated,relativeOrganismQuantity,level0Gid,level0Name,level1Gid,level1Name,level2Gid,level2Name,level3Gid,level3Name,iucnRedListCategory,species_name,x,y
3783624210,,,,,,,,,,,,,,,,,,,,,,,,,,3413306,,,,,,,,,,CC0_1_0,,,2020-11-24T17:45:03Z,,,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=3413306,,,,http://creativecommons.org/publicdomain/zero/1.0/,Colorado Mesa University,,,,,,,,,,ac7b0f18-a698-4d9e-a342-ad715b459e6d,,MESA,,,,PRESERVED_SPECIMEN,,,,737ba16e-c647-45e3-9d0f-a7417e2e0f1f,MESA01472,07271978-36,Joann Young,,,,,,,Phenology: Flowering and Fruiting.,,,,,,PRESENT,,,,,,,Mesa 177,,,,,,,,,,,,1978-07-27T00:00:00,,208,,1978,7,27,,Wet ground along stream,,,,,,,,,,,,,,US,Colorado,Ouray,,Yankee Boy Basin,,,,,,,,,37.99611,-107.77694,301.0,,,,,,,,Stephen Stern,,,GeoLocate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86743,,,,,,,,"Heuchera nivalis Rosend., Butters & Lakela",,,,,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Saxifragaceae|Heuchera,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,nivalis,,,SPECIES,,,,SYNONYM,,,53b690a5-1d43-4368-8ace-75dbad510e1c,US,2022-05-25T22:59:13.383Z,3333.0,,,,,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,StillImage,true,false,3755254,7649261,6,7707728,220,7219248,2402,3032645,,3032666,Heuchera parvifolia,Heuchera parvifolia var. nivalis (Rosend.Butters & Lakela) Á.Löve.D.Löve & B.M.Kapoor,Heuchera nivalis,,DWC_ARCHIVE,2022-05-25T22:59:13.383Z,2022-05-25T22:58:59.399Z,false,,USA,United States,USA.6_1,Colorado,USA.6.47_1,Ouray,,,NE,Heuchera parvifolia var. nivalis (rosend.butters & lakela) á.löve.d.löve & b.m.kapoor,-107.77694,37.99611
3776195616,,,,,,,,,,,,,,,,,,,,,,,,,,3030870,,,,,,,,,,CC_BY_4_0,,,2018-10-07T13:23:05Z,,,https://soroherbaria.org/portal/collections/individual/index.php?occid=3030870,,,,http://creativecommons.org/licenses/by-nc/3.0/,,,,,,,,,,,dcc3c0d4-53b3-4be4-9de7-a6c1d63736c5,,RMBL,,,,PRESERVED_SPECIMEN,,,,5d6bde7f-b570-42ff-8fa9-1643dfc0f6d6,RMBL0004325,1023,"Seagrist, Randy; Taylor, Kevin J.",,,,,,,Flower,,,,,,PRESENT,,,,,,,,"Label: Plants of Buffalo Peaks.; Herbaceous, terrestrial, light green stems, green leaves.",,,,,,,,,,,1995-07-21T00:00:00,,202,,1995,7,21,,Bristlecone pine grove mixed with spruce-fir krummholz.,,,,,,,,,,,,,,US,Colorado,Park,,"Buffalo Peaks Wilderness Area, San Isabel and Pike National Forest, NE-facing slope on extreme NE edge of Bighorn Point of the Great Plateau, 10.5 mi. N of Buena Vista.",,12200ft.,,,,,,,39.002839,-106.080661,500.0,,,,,,,,C.F. Williams,,,GeoLocate,"Great Plateau NE of East Buffalo Peak; Bighorn Point on NE edge of plateau, lower elevation extension.",,,,,,,,,,,,,,,,,,,,,,,"Seagrist, Randy",,1995-01-01T00:00:00,,,,86752,,,,,,,,Heuchera parvifolia var. nivalis (Rosend.Butters & Lakela) Á.Löve.D.Löve & B.M.Kapoor,,,,,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Saxifragaceae|Heuchera|Heuchera parvifolia,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,parvifolia,nivalis,,VARIETY,var.,,,ACCEPTED,,,e82092b5-e2b0-4db8-8cca-22e11272af6b,US,2022-05-20T12:55:21.756Z,3721.0,,,,,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,StillImage,true,false,7649261,7649261,6,7707728,220,7219248,2402,3032645,,3032666,Heuchera parvifolia,Heuchera parvifolia var. nivalis (Rosend.Butters & Lakela) Á.Löve.D.Löve & B.M.Kapoor,Heuchera parvifolia var. nivalis,,DWC_ARCHIVE,2022-05-20T12:55:21.756Z,2022-05-20T12:55:07.678Z,false,,USA,United States,USA.6_1,Colorado,USA.6.48_1,Park,,,,Heuchera parvifolia var. nivalis (rosend.butters & lakela) á.löve.d.löve & b.m.kapoor,-106.080661,39.002839
3776195599,,,,,,,,,,,,,,,,,,,,,,,,,,3030871,,,,,,,,,,CC_BY_4_0,,,2018-04-10T10:02:01Z,,,https://soroherbaria.org/portal/collections/individual/index.php?occid=3030871,,,,http://creativecommons.org/licenses/by-nc/3.0/,,,,,,,,,,,dcc3c0d4-53b3-4be4-9de7-a6c1d63736c5,,RMBL,,,,PRESERVED_SPECIMEN,,,,b3b82629-e6cf-4cb0-b7d4-1ada1c7dd13e,RMBL0003825,s.n.,"Pelton, John F.",,,,,,,Flower,,,,,,PRESENT,,,,,,,,Label: Plants of the Gunnison Basin.,,,,,,,,,,,1957-07-13T00:00:00,,194,,1957,7,13,,Exposed alpine fellfield.,,,,,,,,,,,,,,US,Colorado,Gunnison,,"Just W of Cumberland Pass, about 5 mi S of Tincup, and 2 mi E of the Continental Divide.",,12000ft.,,,,,,,38.686884,-106.489258,500.0,,,,,,,,C.F. Williams,,,GeoLocate,,,,,,,,,,,,,,,,,,,,,,,,unknown,,,"Colorado Flora Western Slope, 3rd ed.",,Pencilled on sheet.,86752,,,,,,,,Heuchera parvifolia var. nivalis (Rosend.Butters & Lakela) Á.Löve.D.Löve & B.M.Kapoor,,,,,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Saxifragaceae|Heuchera|Heuchera parvifolia,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,parvifolia,nivalis,,VARIETY,var.,,,ACCEPTED,,,e82092b5-e2b0-4db8-8cca-22e11272af6b,US,2022-05-20T12:55:21.752Z,3658.0,,,,,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,StillImage,true,false,7649261,7649261,6,7707728,220,7219248,2402,3032645,,3032666,Heuchera parvifolia,Heuchera parvifolia var. nivalis (Rosend.Butters & Lakela) Á.Löve.D.Löve & B.M.Kapoor,Heuchera parvifolia var. nivalis,,DWC_ARCHIVE,2022-05-20T12:55:21.752Z,2022-05-20T12:55:07.678Z,false,,USA,United States,USA.6_1,Colorado,USA.6.27_1,Gunnison,,,,Heuchera parvifolia var. nivalis (rosend.butters & lakela) á.löve.d.löve & b.m.kapoor,-106.489258,38.686884
3776195575,,,,,,,,,,,,,,,,,,,,,,,,,,3030868,,,,,,,,,,CC_BY_4_0,,,2018-10-07T13:23:05Z,,,https://soroherbaria.org/portal/collections/individual/index.php?occid=3030868,,,,http://creativecommons.org/licenses/by-nc/3.0/,,,,,,,,,,,dcc3c0d4-53b3-4be4-9de7-a6c1d63736c5,,RMBL,,,,PRESERVED_SPECIMEN,,,,ac0e0ee1-9b6f-4dfe-a1e5-783563651a74,RMBL0003824,55-C-226,"Barclay, Harriet G.",,,,,,,Flower,,,,,,PRESENT,,,,,,,,Label: Herbarium of University of Tulsa.,,,,,,,,,,,1955-07-11T00:00:00,,192,,1955,7,11,,,,,,,,,,,,,,,,US,Colorado,Gunnison,,W-facing slope below Cumberland Pass.,,11800ft.,,,,,,,38.68464,-106.489601,750.0,,,,,,,,C.F. Williams,,,GeoLocate,,,,,,,,,,,,,,,,,,,,,,,,unknown,,,"Colorado Flora Western Slope, 3rd ed.",,Pencilled on sheet.,86752,,,,,,,,Heuchera parvifolia var. nivalis (Rosend.Butters & Lakela) Á.Löve.D.Löve & B.M.Kapoor,,,,,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Saxifragaceae|Heuchera|Heuchera parvifolia,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,parvifolia,nivalis,,VARIETY,var.,,,ACCEPTED,,,e82092b5-e2b0-4db8-8cca-22e11272af6b,US,2022-05-20T12:55:21.741Z,3597.0,,,,,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,StillImage,true,false,7649261,7649261,6,7707728,220,7219248,2402,3032645,,3032666,Heuchera parvifolia,Heuchera parvifolia var. nivalis (Rosend.Butters & Lakela) Á.Löve.D.Löve & B.M.Kapoor,Heuchera parvifolia var. nivalis,,DWC_ARCHIVE,2022-05-20T12:55:21.741Z,2022-05-20T12:55:07.678Z,false,,USA,United States,USA.6_1,Colorado,USA.6.27_1,Gunnison,,,,Heuchera parvifolia var. nivalis (rosend.butters & lakela) á.löve.d.löve & b.m.kapoor,-106.489601,38.68464
3776195573,,,,,,,,,,,,,,,,,,,,,,,,,,3030869,,,,,,,,,,CC_BY_4_0,,,2018-10-07T13:23:05Z,,,https://soroherbaria.org/portal/collections/individual/index.php?occid=3030869,,,,http://creativecommons.org/licenses/by-nc/3.0/,,,,,,,,,,,dcc3c0d4-53b3-4be4-9de7-a6c1d63736c5,,RMBL,,,,PRESERVED_SPECIMEN,,,,815107f0-40d8-40f8-9242-b0d10b06aeb4,RMBL0004326,1011,"Seagrist, Randy; Taylor, Kevin J.",,,,,,,Flower,,,,,,PRESENT,,,,,,,,"Label: Plants of Buffalo Peaks.; Herbaceous, terrestrial, light green stems, green leaves, white petals.",,,,,,,,,,,1995-07-21T00:00:00,,202,,1995,7,21,,Streamside boulders along snowmelt stream.,,,,,,,,,,,,,,US,Colorado,Park,,"Buffalo Peaks Wilderness Area, San Isabel and Pike National Forest, Bighorn Point of the Great Plateau, 10.5 mi. N of Buena Vista.",,12400ft.,,,,,,,39.003273,-106.081776,500.0,,,,,,,,C.F. Williams,,,GeoLocate,"Great Plateau NE of East Buffalo Peak; Bighorn Point on NE edge of plateau, lower elevation extension.",,,,,,,,,,,,,,,,,,,,,,,"Seagrist, Randy",,1995-01-01T00:00:00,,,,86752,,,,,,,,Heuchera parvifolia var. nivalis (Rosend.Butters & Lakela) Á.Löve.D.Löve & B.M.Kapoor,,,,,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Saxifragaceae|Heuchera|Heuchera parvifolia,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,parvifolia,nivalis,,VARIETY,var.,,,ACCEPTED,,,e82092b5-e2b0-4db8-8cca-22e11272af6b,US,2022-05-20T12:55:21.740Z,3780.0,,,,,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,StillImage,true,false,7649261,7649261,6,7707728,220,7219248,2402,3032645,,3032666,Heuchera parvifolia,Heuchera parvifolia var. nivalis (Rosend.Butters & Lakela) Á.Löve.D.Löve & B.M.Kapoor,Heuchera parvifolia var. nivalis,,DWC_ARCHIVE,2022-05-20T12:55:21.740Z,2022-05-20T12:55:07.678Z,false,,USA,United States,USA.6_1,Colorado,USA.6.48_1,Park,,,,Heuchera parvifolia var. nivalis (rosend.butters & lakela) á.löve.d.löve & b.m.kapoor,-106.081776,39.003273
3776195472,,,,,,,,,,,,,,,,,,,,,,,,,,3030867,,,,,,,,,,CC_BY_4_0,,,2018-10-07T13:23:05Z,,,https://soroherbaria.org/portal/collections/individual/index.php?occid=3030867,,,,http://creativecommons.org/licenses/by-nc/3.0/,,,,,,,,,,,dcc3c0d4-53b3-4be4-9de7-a6c1d63736c5,,RMBL,,,,PRESERVED_SPECIMEN,,,,15cb4355-3385-4fc3-a16c-dce8da391938,RMBL0003823,s.n.,"Opperman, Hal",,,,,,,Flower,,,,,,PRESENT,,,,,,"with Potentilla, Geum, Trifolium, Polygonaceae, Caryophyllaceae, Salix, Saxifraga.",,Abundant.,,,,,,,,,,,1958-07-07T00:00:00,,188,,1958,7,7,,Alpine meadow.,,,,,,,,,,,,,,US,Colorado,Gunnison,,Above Cumberland Pass.,,12000-12500ft.,,,,,,,38.693918,-106.476813,500.0,,,,,,,,C.F. Williams,,,GeoLocate,,,,,,,,,,,,,,,,,,,,,,,,unknown,,,"Colorado Flora Western Slope, 3rd ed.",,Pencilled on sheet.,86752,,,,,,,,Heuchera parvifolia var. nivalis (Rosend.Butters & Lakela) Á.Löve.D.Löve & B.M.Kapoor,,,,,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Saxifragaceae|Heuchera|Heuchera parvifolia,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,parvifolia,nivalis,,VARIETY,var.,,,ACCEPTED,,,e82092b5-e2b0-4db8-8cca-22e11272af6b,US,2022-05-20T12:55:21.707Z,3734.0,76.0,,,,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,StillImage,true,false,7649261,7649261,6,7707728,220,7219248,2402,3032645,,3032666,Heuchera parvifolia,Heuchera parvifolia var. nivalis (Rosend.Butters & Lakela) Á.Löve.D.Löve & B.M.Kapoor,Heuchera parvifolia var. nivalis,,DWC_ARCHIVE,2022-05-20T12:55:21.707Z,2022-05-20T12:55:07.678Z,false,,USA,United States,USA.6_1,Colorado,USA.6.27_1,Gunnison,,,,Heuchera parvifolia var. nivalis (rosend.butters & lakela) á.löve.d.löve & b.m.kapoor,-106.476813,38.693918
3314417025,,,,,,,,,,,,,,,,,,,,,,,,,,83838126,,,,,,,,,,CC_BY_NC_4_0,,,2021-06-22T18:43:47Z,,,https://www.inaturalist.org/observations/83838126,,,,,Sue,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/83838126,83838126,,Sue,,,,,,,,,,,,,PRESENT,,,,,,,,M. Walter Pesman Trail,,,,,,,,,,,2021-06-18T12:18:00,18:18:00Z,,,2021,6,18,2021/06/18 12:18 PM MDT,,,,,,,,,,,,,,,US,Colorado,,,,"Clear Creek County, CO, USA",,,,,,,,39.635348,-105.60364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184754207,,,,Sue,,2021-06-20T20:14:08,,,,241031,,,,,,,,Heuchera parvifolia var. nivalis (Rosend.Butters & Lakela) Á.Löve.D.Löve & B.M.Kapoor,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,parvifolia,nivalis,,VARIETY,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-05-27T10:36:54.139Z,,,,,,,COORDINATE_ROUNDED,StillImage,true,false,7649261,7649261,6,7707728,220,7219248,2402,3032645,,3032666,Heuchera parvifolia,Heuchera parvifolia var. nivalis (Rosend.Butters & Lakela) Á.Löve.D.Löve & B.M.Kapoor,Heuchera parvifolia nivalis,,DWC_ARCHIVE,2022-05-27T10:36:54.139Z,2022-05-27T06:33:23.798Z,false,,USA,United States,USA.6_1,Colorado,USA.6.11_1,Clear Creek,,,,Heuchera parvifolia var. nivalis (rosend.butters & lakela) á.löve.d.löve & b.m.kapoor,-105.60364,39.635348
2573347848,,,,,,,,,,,,,,,,,,,,,,,,,,12453,,,,,,,,,,CC_BY_4_0,,,2015-07-20T00:00:00Z,,,https://botanydb.colorado.edu:443/collections/individual/index.php?occid=12453,,,,http://creativecommons.org/licenses/by-nc-sa/3.0/,,,,,,,,,,,f5da8b4f-e389-4436-b71d-1c3e0a4baacc,,COLO,V,,,PRESERVED_SPECIMEN,,,,e03314b4-7289-440c-9640-0d7815f2d3bc,00735027,123,Lee Vierling,,,,,,,Flr,,,,,,PRESENT,,,,,,,445344,Original ID: Heuchera parviflora Nuttall.,,,,,,,,,,,1990-07-13T00:00:00,,194,,1990,7,13,13 July 1990,Alpine meadow on carbonate soil. 12 degree S facing slope.,,,,,,,,,,,,,,US,Colorado,Lake/Park,,0.25 mi NE of Weston Pass summit.,,12400 ft,,,,,,,39.134452,-106.178289,1000.0,,,,,,,,Todd Fielder*,,Mapstedi,National Geographic TOPO!,"I placed point .2mi ~NE of pass, NE is in a different county and point is on border.Point appears to be on border of sec 35/36 from F.S. maps,CV 4 will include exact point. TF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6882,,,,,,,,Heuchera parvifolia var. nivalis (Rosend.Butters & Lakela) Á.Löve.D.Löve & B.M.Kapoor,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,parvifolia,nivalis,,VARIETY,,,,ACCEPTED,,,7c5e863f-3f70-4933-b05d-fc57c66dd3f3,US,2022-04-26T09:40:58.724Z,3780.0,,,,,,COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION,StillImage,true,false,7649261,7649261,6,7707728,220,7219248,2402,3032645,,3032666,Heuchera parvifolia,Heuchera parvifolia var. nivalis (Rosend.Butters & Lakela) Á.Löve.D.Löve & B.M.Kapoor,Heuchera parvifolia var. nivalis,,DWC_ARCHIVE,2022-04-26T09:40:58.724Z,2022-04-24T16:33:18.309Z,false,,USA,United States,USA.6_1,Colorado,USA.6.35_1,Lake,,,,Heuchera parvifolia var. nivalis (rosend.butters & lakela) á.löve.d.löve & b.m.kapoor,-106.178289,39.134452
2573347105,,,,,,,,,,,,,,,,,,,,,,,,,,12480,,,,,,,,,,CC_BY_4_0,,,2015-07-20T00:00:00Z,,,https://botanydb.colorado.edu:443/collections/individual/index.php?occid=12480,,,,http://creativecommons.org/licenses/by-nc-sa/3.0/,,,,,,,,,,,f5da8b4f-e389-4436-b71d-1c3e0a4baacc,,COLO,V,,,PRESERVED_SPECIMEN,,,,5e1868b6-05a2-46fd-9909-b0ff2bdf1e3e,00735290,119,Tim Hogan; E. K. Arapkiles,,,,,,,Flr,,,,,,PRESENT,,,,,,,439835,,,,,,,,,,,,1986-07-22T00:00:00,,203,,1986,7,22,22 July 1986,Tundra slopes; fellfield with game trails.,,,,,,,,,,,,,,US,Colorado,Eagle,,"Gore Range, Eagles Nest Wilderness Area, central Colorado. N of Red Buffalo Pass.",,3700 m,,,,,,,39.626972,-106.17652,1000.0,,,,,,,,Ryan Allen*,,Mapstedi,National Geographic Topo!,I plotted the UTM north of the Red Buffalo Pass along the Gore Range between the 12120 and 12160 ft contour lines. RA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6882,,,,,,,,Heuchera parvifolia var. nivalis (Rosend.Butters & Lakela) Á.Löve.D.Löve & B.M.Kapoor,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,parvifolia,nivalis,,VARIETY,,,,ACCEPTED,,,7c5e863f-3f70-4933-b05d-fc57c66dd3f3,US,2022-04-26T09:41:01.511Z,3700.0,,,,,,COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION,StillImage,true,false,7649261,7649261,6,7707728,220,7219248,2402,3032645,,3032666,Heuchera parvifolia,Heuchera parvifolia var. nivalis (Rosend.Butters & Lakela) Á.Löve.D.Löve & B.M.Kapoor,Heuchera parvifolia var. nivalis,,DWC_ARCHIVE,2022-04-26T09:41:01.511Z,2022-04-24T16:33:18.309Z,false,,USA,United States,USA.6_1,Colorado,USA.6.20_1,Eagle,,,,Heuchera parvifolia var. nivalis (rosend.butters & lakela) á.löve.d.löve & b.m.kapoor,-106.17652,39.626972
2573346828,,,,,,,,,,,,,,,,,,,,,,,,,,12472,,,,,,,,,,CC_BY_4_0,,,2019-11-26T14:35:52Z,,,https://botanydb.colorado.edu:443/collections/individual/index.php?occid=12472,,,,http://creativecommons.org/licenses/by-nc-sa/3.0/,,,,,,,,,,,f5da8b4f-e389-4436-b71d-1c3e0a4baacc,,COLO,V,,,PRESERVED_SPECIMEN,,,,d28dece7-0ac6-43df-a37c-e6f31919141d,00735217,3250,G. S. Dodds; W. W. Robbins,,,,,,,Flr,,,,,,PRESENT,,,,,,,38156,"Heuchera nivalis n. sp., det. by C. O. Rosendahl, F.K. Butters & O. Lakela, 1933. Original ID: Heuchera parvifolia Nutt. Plants of High Altitudes.",,,,,,,,,,,,,,,,,,18-22 July 1907,Collected at timber line and above.,,,,,,,,,,,,,,US,Colorado,Boulder,,Bald Mt.,,11500 ft,,,,,,,39.994423,-105.610848,1000.0,,,,,,,,Ryan Allen*,,Mapstedi,National Geographic TOPO!,There are 4 Bald Mountains in Boulder County but only one is close to the elevation given. I plotted the UTM at the Bald Mountain at 11340 ft. RA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6882,,,,,,,,Heuchera parvifolia var. nivalis (Rosend.Butters & Lakela) Á.Löve.D.Löve & B.M.Kapoor,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,parvifolia,nivalis,,VARIETY,,,,ACCEPTED,,,7c5e863f-3f70-4933-b05d-fc57c66dd3f3,US,2022-04-26T09:40:58.747Z,3505.0,,,,,,COORDINATE_ROUNDED;RECORDED_DATE_INVALID;AMBIGUOUS_INSTITUTION,StillImage,true,false,7649261,7649261,6,7707728,220,7219248,2402,3032645,,3032666,Heuchera parvifolia,Heuchera parvifolia var. nivalis (Rosend.Butters & Lakela) Á.Löve.D.Löve & B.M.Kapoor,Heuchera parvifolia var. nivalis,,DWC_ARCHIVE,2022-04-26T09:40:58.747Z,2022-04-24T16:33:18.309Z,false,,USA,United States,USA.6_1,Colorado,USA.6.7_1,Boulder,,,,Heuchera parvifolia var. nivalis (rosend.butters & lakela) á.löve.d.löve & b.m.kapoor,-105.610848,39.994423
