gbifID,abstract,accessRights,accrualMethod,accrualPeriodicity,accrualPolicy,alternative,audience,available,bibliographicCitation,conformsTo,contributor,coverage,created,creator,date,dateAccepted,dateCopyrighted,dateSubmitted,description,educationLevel,extent,format,hasFormat,hasPart,hasVersion,identifier,instructionalMethod,isFormatOf,isPartOf,isReferencedBy,isReplacedBy,isRequiredBy,isVersionOf,issued,language,license,mediator,medium,modified,provenance,publisher,references,relation,replaces,requires,rights,rightsHolder,source,spatial,subject,tableOfContents,temporal,title,type,valid,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,recordedByID,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,degreeOfEstablishment,pathway,georeferenceVerificationStatus,occurrenceStatus,preparations,disposition,associatedOccurrences,associatedReferences,associatedSequences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,organismScope,associatedOrganisms,previousIdentifications,organismRemarks,materialSampleID,eventID,parentEventID,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,verticalDatum,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,verbatimIdentification,identificationQualifier,typeStatus,identifiedBy,identifiedByID,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,family,subfamily,genus,genericName,subgenus,infragenericEpithet,specificEpithet,infraspecificEpithet,cultivarEpithet,taxonRank,verbatimTaxonRank,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,datasetKey,publishingCountry,lastInterpreted,elevation,elevationAccuracy,depth,depthAccuracy,distanceAboveSurface,distanceAboveSurfaceAccuracy,issue,mediaType,hasCoordinate,hasGeospatialIssues,taxonKey,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,subgenusKey,speciesKey,species,acceptedScientificName,verbatimScientificName,typifiedName,protocol,lastParsed,lastCrawled,repatriated,relativeOrganismQuantity,level0Gid,level0Name,level1Gid,level1Name,level2Gid,level2Name,level3Gid,level3Name,iucnRedListCategory,species_name,x,y
3320771034,,,,,,,,,,,,,,,,,,,,,,,,,,4526073,,,,,,,,,,CC_BY_NC_4_0,,,2022-02-09T13:11:03Z,,,https://cch2.org/portal/collections/individual/index.php?occid=4526073,,,,http://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,,,3818ca8b-b6a4-11e8-b408-001a64db2964,,PUA,,,,PRESERVED_SPECIMEN,,,,62942336-975d-41b8-a297-23845150e122,,,G.L. Clifton,,,,,,,Flowers and Buds,,,,,,PRESENT,,,,,,,58823,,,,,,,,,,,,1983-07-05T00:00:00,,186,,1983,7,5,7/5/1983,Crevice; Slope Position: Lower Third; Vertical Slope Shape: Smooth; Horizontal Slope Shape: Smooth; Soil Origin: Colluvial; Soil Texture: Very Cobbly,,,,,,,,,,,,,,US,Nevada,Nye,,Local landmark: 'pine Creek. Mt. Jefferson Quad.,,3084 m,,,,,,,16.898139,-38.804639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G.L. Clifton,,,,,,48452,,,,,,,,Heuchera parvifolia var. utahensis (Rydb.) Garrett,,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera|Heuchera parvifolia,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,parvifolia,utahensis,,VARIETY,var.,,,ACCEPTED,,,677aece2-a65b-4b78-b391-0f2e21a2b7ed,US,2022-05-02T15:38:34.565Z,3084.0,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_COORDINATE_MISMATCH;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,true,true,3754976,3754976,6,7707728,220,7219248,2402,3032645,,3032666,Heuchera parvifolia,Heuchera parvifolia var. utahensis (Rydb.) Garrett,Heuchera parvifolia var. utahensis,,DWC_ARCHIVE,2022-05-02T15:38:34.565Z,2022-05-02T15:36:49.533Z,false,,,,,,,,,,,Heuchera parvifolia var. utahensis (rydb.) garrett,-38.804639,16.898139
3320770893,,,,,,,,,,,,,,,,,,,,,,,,,,4526250,,,,,,,,,,CC_BY_NC_4_0,,,2022-02-09T13:11:03Z,,,https://cch2.org/portal/collections/individual/index.php?occid=4526250,,,,http://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,,,3818ca8b-b6a4-11e8-b408-001a64db2964,,PUA,,,,PRESERVED_SPECIMEN,,,,bb0d87e8-ad1a-4be5-9729-1c5a8fbf1bcf,,,G.L. Clifton,,,,,,,Flowers and Buds,,,,,,PRESENT,,,,,,,56323,,,,,,,,,,,,1983-07-07T00:00:00,,188,,1983,7,7,7/7/1983,Crevice; Slope Position: Lower Third; Vertical Slope Shape: Smooth; Horizontal Slope Shape: Smooth; Soil Origin: Colluvial; Substrate: Limestone/Dolomite/Marble; Soil Texture: Very Gravelly,,,,,,,,,,,,,,US,Nevada,White Pine,,Local landmark: Stella Lake. Sacramento Pass Quad.,,3169 m,,,,,,,39.005639,-114.319167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G.L. Clifton,,,,,,48452,,,,,,,,Heuchera parvifolia var. utahensis (Rydb.) Garrett,,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera|Heuchera parvifolia,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,parvifolia,utahensis,,VARIETY,var.,,,ACCEPTED,,,677aece2-a65b-4b78-b391-0f2e21a2b7ed,US,2022-05-02T15:38:34.550Z,3169.0,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,true,false,3754976,3754976,6,7707728,220,7219248,2402,3032645,,3032666,Heuchera parvifolia,Heuchera parvifolia var. utahensis (Rydb.) Garrett,Heuchera parvifolia var. utahensis,,DWC_ARCHIVE,2022-05-02T15:38:34.550Z,2022-05-02T15:36:49.533Z,false,,USA,United States,USA.29_1,Nevada,USA.29.17_1,White Pine,,,,Heuchera parvifolia var. utahensis (rydb.) garrett,-114.319167,39.005639
3320754378,,,,,,,,,,,,,,,,,,,,,,,,,,4525035,,,,,,,,,,CC_BY_NC_4_0,,,2022-02-09T13:11:03Z,,,https://cch2.org/portal/collections/individual/index.php?occid=4525035,,,,http://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,,,3818ca8b-b6a4-11e8-b408-001a64db2964,,PUA,,,,PRESERVED_SPECIMEN,,,,f4b405f3-6f6f-453b-918f-b57dd0c5a5b0,,,G.L. Clifton,,,,,,,Flowers and Buds,,,,,,PRESENT,,,,,,,58059,,,,,,,,,,,,1981-06-13T00:00:00,,164,,1981,6,13,6/13/1981,Rock Outcrops; Aspect: North; Slope Position: Lower Third; Vertical Slope Shape: Smooth; Horizontal Slope Shape: Smooth; Soil Origin: Colluvial; Substrate: Undifferentiated; Soil Texture: Very Gravelly,,,,,,,,,,,,,,US,Nevada,Elko,,Local landmark: Tomas Creek. Lamoille Quad.,,2609 m,,,,,,,40.6375,-115.405361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G.L. Clifton,,,,,,48452,,,,,,,,Heuchera parvifolia var. utahensis (Rydb.) Garrett,,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera|Heuchera parvifolia,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,parvifolia,utahensis,,VARIETY,var.,,,ACCEPTED,,,677aece2-a65b-4b78-b391-0f2e21a2b7ed,US,2022-05-02T15:38:29.595Z,2609.0,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,true,false,3754976,3754976,6,7707728,220,7219248,2402,3032645,,3032666,Heuchera parvifolia,Heuchera parvifolia var. utahensis (Rydb.) Garrett,Heuchera parvifolia var. utahensis,,DWC_ARCHIVE,2022-05-02T15:38:29.595Z,2022-05-02T15:36:49.533Z,false,,USA,United States,USA.29_1,Nevada,USA.29.5_1,Elko,,,,Heuchera parvifolia var. utahensis (rydb.) garrett,-115.405361,40.6375
2234675567,,,,,,,,,,,,,,,,,,,,,,,,,,9882154,,,,,,,,,,CC_BY_4_0,,,2022-03-07T14:35:43Z,,,https://sernecportal.org/portal/collections/individual/index.php?occid=9882154,,,,http://creativecommons.org/licenses/by-nc/3.0/,,,,,,,,,,,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,,NCU,Vascular Plants,,,PRESERVED_SPECIMEN,,,,e1959ac4-7926-4376-b6bc-b1c80122ce12,NCU00197681,3456,"Holmgren, Noel H.; Jensen, Earl",,,,,,,,,,,,,PRESENT,,,,,,,NCU Accession #: 465281,Frequent,,,,,,,,,,,1969-06-07T00:00:00,,158,,1969,6,7,,on sagebrush hillside,,,,,,,,,,,,,,US,Idaho,Oneida,,"Blue Spring Hills, Idaho Highway 37, 9 miles west of Malad City.",,5000 fet,,,,,,,42.165,-112.4138,1000.0,,,,,,,,,,,GeoLocate,[TRS on original label],,,,,,,,,,,,,,,,,,,,,,,"Holmgren, Noel H.; Jensen, Earl",,1969-01-01T00:00:00,,,,49545,,,,,,,,Heuchera parvifolia var. utahensis (Rydb.) Garrett,,,,,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Saxifragaceae|Heuchera|Heuchera parvifolia,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,parvifolia,utahensis,,VARIETY,var.,,,ACCEPTED,,,27b4ff4b-29c3-4017-9c48-3750861392f7,US,2022-05-06T13:00:42.270Z,1524.0,,,,,,INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,,true,false,3754976,3754976,6,7707728,220,7219248,2402,3032645,,3032666,Heuchera parvifolia,Heuchera parvifolia var. utahensis (Rydb.) Garrett,Heuchera parvifolia var. utahensis,,DWC_ARCHIVE,2022-05-06T13:00:42.270Z,2022-05-06T12:51:20.083Z,false,,USA,United States,USA.13_1,Idaho,USA.13.36_1,Oneida,,,,Heuchera parvifolia var. utahensis (rydb.) garrett,-112.4138,42.165
2234675097,,,,,,,,,,,,,,,,,,,,,,,,,,9737867,,,,,,,,,,CC_BY_4_0,,,2022-03-07T14:35:43Z,,,https://sernecportal.org/portal/collections/individual/index.php?occid=9737867,,,,http://creativecommons.org/licenses/by-nc/3.0/,,,,,,,,,,,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,,NCU,Vascular Plants,,,PRESERVED_SPECIMEN,,,,747c5637-7bda-4357-b58d-797704a91302,NCU00196865,1958,"Holmgren, Noel H.; Reveal, James L.; LaFrance, Charles",,,,,,,,,,,,,PRESENT,,,,,,,NCU Accession #: 273964,Frequent,,,,,,,,,,,1965-06-19T00:00:00,,170,,1965,6,19,,on steep rocky slope in pinon-juniper woodland,,,,,,,,,,,,,,US,Utah,Carbon,,"Tavaputs Plateau, near head of Jack Creek",,6840 feet,,,,,,,39.64158,-110.252709,5000.0,,,,,,,,,,,GeoLocate,[TRS on original label],,,,,,,,,,,,,,,,,,,,,,,"Holmgren, Noel H.; Reveal, James L.; LaFrance, Charles",,1965-01-01T00:00:00,,,,49545,,,,,,,,Heuchera parvifolia var. utahensis (Rydb.) Garrett,,,,,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Saxifragaceae|Heuchera|Heuchera parvifolia,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,parvifolia,utahensis,,VARIETY,var.,,,ACCEPTED,,,27b4ff4b-29c3-4017-9c48-3750861392f7,US,2022-05-06T13:00:42.160Z,2085.0,,,,,,INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,,true,false,3754976,3754976,6,7707728,220,7219248,2402,3032645,,3032666,Heuchera parvifolia,Heuchera parvifolia var. utahensis (Rydb.) Garrett,Heuchera parvifolia var. utahensis,,DWC_ARCHIVE,2022-05-06T13:00:42.160Z,2022-05-06T12:51:20.083Z,false,,USA,United States,USA.45_1,Utah,USA.45.4_1,Carbon,,,,Heuchera parvifolia var. utahensis (rydb.) garrett,-110.252709,39.64158
2234672300,,,,,,,,,,,,,,,,,,,,,,,,,,9737715,,,,,,,,,,CC_BY_4_0,,,2022-03-07T14:35:43Z,,,https://sernecportal.org/portal/collections/individual/index.php?occid=9737715,,,,http://creativecommons.org/licenses/by-nc/3.0/,,,,,,,,,,,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,,NCU,Vascular Plants,,,PRESERVED_SPECIMEN,,,,3c1dee72-9014-4311-b082-34c3786650e6,NCU00196862,1828,"Gentry, Johnnie L., Jr.; Davidse, Gerrit",,,,,,,,,,,,,PRESENT,,,,,,with Hackelia jessicae,NCU Accession #: 337944,Petals cream,,,,,,,,,,,1967-08-07T00:00:00,,219,,1967,8,7,,In seepage from spring,,,,,,,,,,,,,,US,Nevada,Elko,,"Ruby Mountains, south of Harrison Pass",,9000 feet,,,,,,,40.2616,-115.5185,1000.0,,,,,,,,,,,GeoLocate,[TRS on original label],,,,,,,,,,,,,,,,,,,,,,,"Gentry, Johnnie L., Jr.; Davidse, Gerrit",,1967-01-01T00:00:00,,,[original label taxon; verbatim taxon =] Heuchera parviflora Nutt. ex Torr. & Gray var. utahensis (Rydb.) Cronq.,49545,,,,,,,,Heuchera parvifolia var. utahensis (Rydb.) Garrett,,,,,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Saxifragaceae|Heuchera|Heuchera parvifolia,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,parvifolia,utahensis,,VARIETY,var.,,,ACCEPTED,,,27b4ff4b-29c3-4017-9c48-3750861392f7,US,2022-05-06T13:00:42.022Z,2743.0,,,,,,INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,,true,false,3754976,3754976,6,7707728,220,7219248,2402,3032645,,3032666,Heuchera parvifolia,Heuchera parvifolia var. utahensis (Rydb.) Garrett,Heuchera parvifolia var. utahensis,,DWC_ARCHIVE,2022-05-06T13:00:42.022Z,2022-05-06T12:51:20.083Z,false,,USA,United States,USA.29_1,Nevada,USA.29.5_1,Elko,,,,Heuchera parvifolia var. utahensis (rydb.) garrett,-115.5185,40.2616
1931356872,,,,,,,,,,,,,,,,,,,,,,,,,,fe05154b-d811-4ec7-b6f5-21e3cc9fe72a,,,,,,,,,en,CC0_1_0,,,,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=39930,,,,,The New York Botanical Garden,,,,,,,PhysicalObject,,http://biocol.org/urn:lsid:biocol.org:col:15556,http://biocol.org/urn:lsid:biocol.org:col:15556,,NY,NY,Vascular plants,,PRESERVED_SPECIMEN,,,,fe05154b-d811-4ec7-b6f5-21e3cc9fe72a,773588,6218,N. H. Holmgren,,,,,,,,,,,,,PRESENT,sheet,,,,,,,,,,,,,,,,,,1972-07-13T00:00:00,,19,19,1972,7,13,13 Jul 1972,Among rocks at base of Pinus flexilis tree,,,,,,,,,,NORTH_AMERICA,,,,US,Idaho,Cassia Co.,,"Cache Peak Range (Albion Mountains), northwest slope of peak to the northwest of Mount Independence, 9.5 airline miles east of Oakley",,8600 ft,,,,,,,42.22177,-113.6958,,,,,,,,,,,TRS Conversion Calculator,Label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heuchera parvifolia var. utahensis (Rydb.) Garrett,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,parvifolia,utahensis,,VARIETY,,,ICN,ACCEPTED,,,d415c253-4d61-4459-9d25-4015b9084fb0,US,2022-05-25T17:46:59.348Z,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY,StillImage,true,false,3754976,3754976,6,7707728,220,7219248,2402,3032645,,3032666,Heuchera parvifolia,Heuchera parvifolia var. utahensis (Rydb.) Garrett,Heuchera parvifolia var. utahensis (Rydb.) Garrett,,DWC_ARCHIVE,2022-05-25T17:46:59.348Z,2022-05-25T16:59:57.172Z,false,,USA,United States,USA.13_1,Idaho,USA.13.16_1,Cassia,,,,Heuchera parvifolia var. utahensis (rydb.) garrett,-113.6958,42.22177
1931230218,,,,,,,,,,,,,,,,,,,,,,,,,,f4f0fa06-757a-4724-8307-bede45e76ef6,,,,,,,,,en,CC0_1_0,,,,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=39941,,,,,The New York Botanical Garden,,,,,,,PhysicalObject,,http://biocol.org/urn:lsid:biocol.org:col:15556,http://biocol.org/urn:lsid:biocol.org:col:15556,,NY,NY,Vascular plants,,PRESERVED_SPECIMEN,,,,f4f0fa06-757a-4724-8307-bede45e76ef6,773650,1958,N. H. Holmgren,,,,,,,,,,,,,PRESENT,sheet,,,,,,,,,,,,,,,,,,1965-06-19T00:00:00,,17,17,1965,6,19,19 Jun 1965,On steep rocky slope,,,,,,,,,,NORTH_AMERICA,,,,US,Utah,Carbon Co.,,"Tavaputs Plateau, near head of Jack Creek",,6840 ft,,,,,,,39.86064,-110.3762,,,,,,,,,,2007-08-27,TRS Conversion Calculator,Label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heuchera parvifolia var. utahensis (Rydb.) Garrett,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,parvifolia,utahensis,,VARIETY,,,ICN,ACCEPTED,,,d415c253-4d61-4459-9d25-4015b9084fb0,US,2022-05-25T17:46:58.551Z,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY,StillImage,true,false,3754976,3754976,6,7707728,220,7219248,2402,3032645,,3032666,Heuchera parvifolia,Heuchera parvifolia var. utahensis (Rydb.) Garrett,Heuchera parvifolia var. utahensis (Rydb.) Garrett,,DWC_ARCHIVE,2022-05-25T17:46:58.551Z,2022-05-25T16:59:57.172Z,false,,USA,United States,USA.45_1,Utah,USA.45.7_1,Duchesne,,,,Heuchera parvifolia var. utahensis (rydb.) garrett,-110.3762,39.86064
1931184777,,,,,,,,,,,,,,,,,,,,,,,,,,f1cdc9c1-892c-4adf-a397-01351c21769d,,,,,,,,,en,CC0_1_0,,,,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=39929,,,,,The New York Botanical Garden,,,,,,,PhysicalObject,,http://biocol.org/urn:lsid:biocol.org:col:15556,http://biocol.org/urn:lsid:biocol.org:col:15556,,NY,NY,Vascular plants,,PRESERVED_SPECIMEN,,,,f1cdc9c1-892c-4adf-a397-01351c21769d,773586,3781,N. H. Holmgren,,,,,,,,,,,,,PRESENT,sheet,,,,,,,,,,,,,,,,,,1969-08-03T00:00:00,,21,21,1969,8,3,03 Aug 1969,At edges of loose rock,,,,,,,,,,NORTH_AMERICA,,,,US,Idaho,Cassia Co.,,"Black Pine Mountains, about 10 airline miles northeast of Strevell. Black Pine Peak.",,9350 ft,,,,,,,42.12074,-113.1307,,,,,,,,,,,TRS Conversion Calculator,Label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heuchera parvifolia var. utahensis (Rydb.) Garrett,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,parvifolia,utahensis,,VARIETY,,,ICN,ACCEPTED,,,d415c253-4d61-4459-9d25-4015b9084fb0,US,2022-05-25T17:46:57.200Z,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY,StillImage,true,false,3754976,3754976,6,7707728,220,7219248,2402,3032645,,3032666,Heuchera parvifolia,Heuchera parvifolia var. utahensis (Rydb.) Garrett,Heuchera parvifolia var. utahensis (Rydb.) Garrett,,DWC_ARCHIVE,2022-05-25T17:46:57.200Z,2022-05-25T16:59:57.172Z,false,,USA,United States,USA.13_1,Idaho,USA.13.16_1,Cassia,,,,Heuchera parvifolia var. utahensis (rydb.) garrett,-113.1307,42.12074
1930777132,,,,,,,,,,,,,,,,,,,,,,,,,,d4f11815-ba1e-4286-a141-e58ebbce55e4,,,,,,,,,en,CC0_1_0,,,,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=39944,,,,,The New York Botanical Garden,,,,,,,PhysicalObject,,http://biocol.org/urn:lsid:biocol.org:col:15556,http://biocol.org/urn:lsid:biocol.org:col:15556,,NY,NY,Vascular plants,,PRESERVED_SPECIMEN,,,,d4f11815-ba1e-4286-a141-e58ebbce55e4,783271,811578,M. J. Williams,,,,,,,,,,,,,PRESENT,sheet,,,,,,,,,,,,,,,,,,1981-07-25T00:00:00,,20,20,1981,7,25,25 Jul 1981,Rocky limestone slopes,,,,,,,,,,NORTH_AMERICA,,,,US,Nevada,Elko Co.,,"Near Cass House Peak, southern end of the Ruby Mountains",,10300 ft,,,,,,,40.20336,-115.5375,,,,,,,,,,2007-08-27,TRS Conversion Calculator,Label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heuchera parvifolia var. utahensis (Rydb.) Garrett,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,parvifolia,utahensis,,VARIETY,,,ICN,ACCEPTED,,,d415c253-4d61-4459-9d25-4015b9084fb0,US,2022-05-25T17:47:04.367Z,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY,StillImage,true,false,3754976,3754976,6,7707728,220,7219248,2402,3032645,,3032666,Heuchera parvifolia,Heuchera parvifolia var. utahensis (Rydb.) Garrett,Heuchera parvifolia var. utahensis (Rydb.) Garrett,,DWC_ARCHIVE,2022-05-25T17:47:04.367Z,2022-05-25T16:59:57.172Z,false,,USA,United States,USA.29_1,Nevada,USA.29.5_1,Elko,,,,Heuchera parvifolia var. utahensis (rydb.) garrett,-115.5375,40.20336
