gbifID,abstract,accessRights,accrualMethod,accrualPeriodicity,accrualPolicy,alternative,audience,available,bibliographicCitation,conformsTo,contributor,coverage,created,creator,date,dateAccepted,dateCopyrighted,dateSubmitted,description,educationLevel,extent,format,hasFormat,hasPart,hasVersion,identifier,instructionalMethod,isFormatOf,isPartOf,isReferencedBy,isReplacedBy,isRequiredBy,isVersionOf,issued,language,license,mediator,medium,modified,provenance,publisher,references,relation,replaces,requires,rights,rightsHolder,source,spatial,subject,tableOfContents,temporal,title,type,valid,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,recordedByID,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,degreeOfEstablishment,pathway,georeferenceVerificationStatus,occurrenceStatus,preparations,disposition,associatedOccurrences,associatedReferences,associatedSequences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,organismScope,associatedOrganisms,previousIdentifications,organismRemarks,materialSampleID,eventID,parentEventID,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,verticalDatum,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,verbatimIdentification,identificationQualifier,typeStatus,identifiedBy,identifiedByID,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,family,subfamily,genus,genericName,subgenus,infragenericEpithet,specificEpithet,infraspecificEpithet,cultivarEpithet,taxonRank,verbatimTaxonRank,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,datasetKey,publishingCountry,lastInterpreted,elevation,elevationAccuracy,depth,depthAccuracy,distanceAboveSurface,distanceAboveSurfaceAccuracy,issue,mediaType,hasCoordinate,hasGeospatialIssues,taxonKey,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,subgenusKey,speciesKey,species,acceptedScientificName,verbatimScientificName,typifiedName,protocol,lastParsed,lastCrawled,repatriated,relativeOrganismQuantity,level0Gid,level0Name,level1Gid,level1Name,level2Gid,level2Name,level3Gid,level3Name,iucnRedListCategory,species_name,x,y
3784189309,,,,,,,,,,,,,,,,,,,,,,,,,,29384726,,,,,,,,,,CC_BY_4_0,,,2022-05-25T16:51:51Z,,,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=29384726,,,,http://creativecommons.org/licenses/by/3.0/,Deaver Herbarium,,,,,,,,,,17a53c97-835b-409e-8a9a-c9a7307a4965,,ASC,,,,PRESERVED_SPECIMEN,,,,34a96ba9-1e6d-49b3-ba96-e9a272891001,ASC00125566,27454,Wendy C. Hodgson; Matt King,,,,,,,Flowers,,,,,,PRESENT,,,,,,"Acer grandidentatum, Pseudostuga menziesii, Berberis repens, Pinus ponderosa, Hieraceum fendleri, Fragaria, Thalictrum fendleri, Poa pratense, Pachystigma myrsinites.",,"Local, occasional herbaceous perennial, flowers white-pink.",,,,,,,,,,,2012-08-27T00:00:00,,,,2012,8,27,,"Riparian Ponderosa Pine community, rocky slope",,,,,,,,,,,,,,US,Arizona,Gila,,"See Canyon, through the Mogollon Rim",,,,,,,,,34.365686,-111.023426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15316,,,,,,,,Heuchera versicolor Greene,,,,,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Saxifragaceae|Heuchera,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,versicolor,,,SPECIES,,,,SYNONYM,,,e5d9d04e-ffd1-4395-9b10-76034f0c619c,US,2022-05-26T15:06:28.039Z,2256.0,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,true,false,6447219,3754487,6,7707728,220,7219248,2402,3032645,,3032671,Heuchera rubescens,Heuchera rubescens var. versicolor (Greene) M.G.Stewart,Heuchera versicolor,,DWC_ARCHIVE,2022-05-26T15:06:28.039Z,2022-05-26T15:02:55.849Z,false,,USA,United States,USA.3_1,Arizona,USA.3.4_1,Gila,,,NE,Heuchera rubescens var. versicolor (greene) m.g.stewart,-111.023426,34.365686
3320790581,,,,,,,,,,,,,,,,,,,,,,,,,,4523144,,,,,,,,,,CC_BY_NC_4_0,,,2022-02-09T13:11:03Z,,,https://cch2.org/portal/collections/individual/index.php?occid=4523144,,,,http://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,,,3818ca8b-b6a4-11e8-b408-001a64db2964,,PUA,,,,PRESERVED_SPECIMEN,,,,3266250e-32be-4f50-a465-96de9d69329a,,,G.L. Clifton,,,,,,,Flowers and Fruits,,,,,,PRESENT,,,,,,,60168,,,,,,,,,,,,1984-08-30T00:00:00,,243,,1984,8,30,8/30/1984,Cliff or Bluff Side; Slope Position: Upland Flats; Vertical Slope Shape: Smooth; Horizontal Slope Shape: Smooth; Soil Origin: Colluvial; Substrate: Metavolcanic Rocks; Soil Texture: Very Gravelly,,,,,,,,,,,,,,US,Arizona,Gila,,Local landmark: Mogollon Rim. Woods Canyon Quad.,,2292 m,,,,,,,34.304306,-110.911583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G.L. Clifton,,,,,,23003,,,,,,,,Heuchera versicolor Greene,,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,versicolor,,,SPECIES,,,,SYNONYM,,,677aece2-a65b-4b78-b391-0f2e21a2b7ed,US,2022-05-02T15:38:38.035Z,2292.0,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,true,false,6447219,3754487,6,7707728,220,7219248,2402,3032645,,3032671,Heuchera rubescens,Heuchera rubescens var. versicolor (Greene) M.G.Stewart,Heuchera versicolor,,DWC_ARCHIVE,2022-05-02T15:38:38.035Z,2022-05-02T15:36:49.533Z,false,,USA,United States,USA.3_1,Arizona,USA.3.3_1,Coconino,,,NE,Heuchera rubescens var. versicolor (greene) m.g.stewart,-110.911583,34.304306
3320758280,,,,,,,,,,,,,,,,,,,,,,,,,,4525761,,,,,,,,,,CC_BY_NC_4_0,,,2022-02-09T13:11:03Z,,,https://cch2.org/portal/collections/individual/index.php?occid=4525761,,,,http://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,,,3818ca8b-b6a4-11e8-b408-001a64db2964,,PUA,,,,PRESERVED_SPECIMEN,,,,2e8069e2-f6bb-4cc2-aa24-ba961ccea80e,,,G.L. Clifton,,,,,,,Flowers Only,,,,,,PRESENT,,,,,,,57858,,,,,,,,,,,,1982-06-18T00:00:00,,169,,1982,6,18,6/18/1982,Rock Outcrops; Slope Position: Upper Third; Vertical Slope Shape: Smooth; Horizontal Slope Shape: Smooth; Soil Origin: Colluvial; Soil Texture: Very Gravelly,,,,,,,,,,,,,,US,Arizona,Cochise,,Local landmark: Anita Park. Chiricahua Peak Quad.,,2901 m,,,,,,,31.854111,-109.287806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G.L. Clifton,,,,,,23003,,,,,,,,Heuchera versicolor Greene,,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,versicolor,,,SPECIES,,,,SYNONYM,,,677aece2-a65b-4b78-b391-0f2e21a2b7ed,US,2022-05-02T15:38:31.658Z,2901.0,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,true,false,6447219,3754487,6,7707728,220,7219248,2402,3032645,,3032671,Heuchera rubescens,Heuchera rubescens var. versicolor (Greene) M.G.Stewart,Heuchera versicolor,,DWC_ARCHIVE,2022-05-02T15:38:31.658Z,2022-05-02T15:36:49.533Z,false,,USA,United States,USA.3_1,Arizona,USA.3.2_1,Cochise,,,NE,Heuchera rubescens var. versicolor (greene) m.g.stewart,-109.287806,31.854111
3308406653,,,,,,,,,"Sánchez-Cordero Dávila V., S. Magallón, G. Salazar Chávez y D. Gernandt. 2020. Digitalización y Sistematización de las Colecciones Biológicas Nacionales del Instituto de Biología, UNAM. Universidad Nacional Autónoma de México. Instituto de Biología. Bases de datos SNIB-CONABIO (plantas vasculares), proyecto KE002. Ciudad de México",,,,,,,,,,,,,,,,,urn:catalog:IBUNAM:MEXU:623935:c0e28ed5fb9cd56b8ba72acfd5804cc0,,,,,,,,,es,CC_BY_4_0,,,2021-04-08T00:00:00Z,,,,,,,,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),,,,,,,Event,,20,5250,c0e28ed5fb9cd56b8ba72acfd5804cc0,IBUNAM,MEXU,"Digitalización y Sistematización de las Colecciones Biológicas Nacionales del Instituto de Biología, UNAM","Instituto de Biología, Universidad Nacional Autónoma de México",PRESERVED_SPECIMEN,,,,urn:catalog:IBUNAM:MEXU:623935:c0e28ed5fb9cd56b8ba72acfd5804cc0,623935,,Richard Spellenberg; R. Soreng; R. Corral,,1,,,,,,,,,,,PRESENT,Herborizado,,,,,,,,,,,,,,,,,8009,1985-04-26T00:00:00,,115,,1985,4,26,,,,,,,,,538871,,,,,,,MX,Chihuahua,OCAMPO,,"Parque Nacional 'Cascada de Basaseachic'. In the barranca at the base of the falls, near Río Candameña on a steep N slope near moist seep.",,,,,,,,,28.183,-108.20833,60.0,,,grados minutos segundos,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018001,,,,,,,,,,784cdf10c16e9bfa6f09d9115d5ee8fd,71729,,,,,,,Heuchera versicolor Greene,Heuchera versicolor,Heuchera,,"The Plant List, 2013",,1905,Plantae; Tracheophyta; Equisetopsida; Saxifragales; Saxifragaceae; Heuchera,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,versicolor,,,SPECIES,,,,SYNONYM,taxonomicStatus: Aceptado,,8016518a-f762-11e1-a439-00145eb45e9a,MX,2022-04-26T10:15:04.817Z,1570.0,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;DIFFERENT_OWNER_INSTITUTION,,true,false,6447219,3754487,6,7707728,220,7219248,2402,3032645,,3032671,Heuchera rubescens,Heuchera rubescens var. versicolor (Greene) M.G.Stewart,Heuchera versicolor,,DWC_ARCHIVE,2022-04-26T10:15:04.817Z,2021-07-16T22:12:21.795Z,false,,MEX,Mexico,MEX.6_1,Chihuahua,MEX.6.51_1,Ocampo,,,NE,Heuchera rubescens var. versicolor (greene) m.g.stewart,-108.20833,28.183
3125270975,,,,,,,,,,,,,,,,,,,,,,,,,,1989629,,,,,,,,,,CC_BY_NC_4_0,,,2022-04-25T14:51:31Z,,,https://cch2.org/portal/collections/individual/index.php?occid=1989629,,,,http://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,,,0945030a-f625-4b95-9f48-e5cb7d6eb879,,SD,,,,PRESERVED_SPECIMEN,,,,DE317787-90E9-412C-B991-DA00433C98C9,,10010,Wendy C. Hodgson; Denise Daup,,,,,,,FL,,,,,,PRESENT,,,,,,"Locally common hanging off rock ledge, with Trifolium pinetorm.",SD202985,,,,,,,,,,,,1996-07-19T00:00:00,,201,,1996,7,19,7/19/1996,,,,,,,,,,,,,,,US,Arizona,Cochise,,"Chiricahua Mountains, Chiricahua Wilderness Area, at helispot, just south and above Anita Park.",,,,,,,,,31.85083,-109.28722,,,,,,,,,n/a,,,Coordinates from label,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23003,,,,,,,,Heuchera versicolor Greene,,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,versicolor,,,SPECIES,,,,SYNONYM,,,9b7d1acf-b22f-4a1f-b6e8-f1ddd744dc07,US,2022-05-02T15:59:50.251Z,2921.0,,,,,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,true,false,6447219,3754487,6,7707728,220,7219248,2402,3032645,,3032671,Heuchera rubescens,Heuchera rubescens var. versicolor (Greene) M.G.Stewart,Heuchera versicolor,,DWC_ARCHIVE,2022-05-02T15:59:50.251Z,2022-05-02T15:54:20.043Z,false,,USA,United States,USA.3_1,Arizona,USA.3.2_1,Cochise,,,NE,Heuchera rubescens var. versicolor (greene) m.g.stewart,-109.28722,31.85083
3125270974,,,,,,,,,,,,,,,,,,,,,,,,,,1989610,,,,,,,,,,CC_BY_NC_4_0,,,2022-04-25T14:51:01Z,,,https://cch2.org/portal/collections/individual/index.php?occid=1989610,,,,http://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,,,0945030a-f625-4b95-9f48-e5cb7d6eb879,,SD,,,,PRESERVED_SPECIMEN,,,,7D3E730C-F910-46FF-AAC4-0D76491436A6,,25605,Reid Moran,,,,,,,VEG,,,,,,PRESENT,,,,,,,SD100308,Common,,,,,,,,,,,1978-05-05T00:00:00,,125,,1978,5,5,5/5/1978,in shaded rock crevices,,,,,,,,,,,,,,MX,Baja California,Unknown,,"Sierra San Pedro Martir, near summit of El Picacho del Diablo, highest peak in Baja Cfa. (3095 m)",,,,,,,,,30.99167,-115.375,,,,,,,,,n/a,,,Coordinates from label,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48465,,,,,,,,Heuchera rubescens var. versicolor (Greene) M.G.Stewart,,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera|Heuchera rubescens,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,rubescens,versicolor,,VARIETY,var.,,,ACCEPTED,,,9b7d1acf-b22f-4a1f-b6e8-f1ddd744dc07,US,2022-05-02T15:59:50.251Z,3050.0,,,,,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,true,false,3754487,3754487,6,7707728,220,7219248,2402,3032645,,3032671,Heuchera rubescens,Heuchera rubescens var. versicolor (Greene) M.G.Stewart,Heuchera rubescens var. versicolor,,DWC_ARCHIVE,2022-05-02T15:59:50.251Z,2022-05-02T15:54:20.043Z,true,,MEX,Mexico,MEX.3_1,Baja California,MEX.3.2_1,Mexicali,,,,Heuchera rubescens var. versicolor (greene) m.g.stewart,-115.375,30.99167
3125268978,,,,,,,,,,,,,,,,,,,,,,,,,,1989628,,,,,,,,,,CC_BY_NC_4_0,,,2022-04-25T14:51:28Z,,,https://cch2.org/portal/collections/individual/index.php?occid=1989628,,,,http://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,,,0945030a-f625-4b95-9f48-e5cb7d6eb879,,SD,,,,PRESERVED_SPECIMEN,,,,8D48D628-3F1A-4330-B1AA-34DDD392FE84,,15976,"Jon Rebman; M. A. Kessler, V. Marshall, & M. Dykens",,,,,,,FFL,,,,,,PRESENT,,,,,,"Conifer Forest with Pinus jeffreyi, Abies concolor, Eriogonum wrightii var. oresbium, and Symphoricarpos",SD192044,"Woody perennial, flowers pinkish; common",,,,,,,,,,,2008-09-30T00:00:00,,274,,2008,9,30,9/30/2008,,,,,,,,,,,,,,,MX,Baja California,Unknown,,Sierra San Pedro Martir: southeast of Vallecitos and approximately 3 miles south of the Observatory; up a canyon with an intermittent stream en route to Pedro's Dome,,,,,,,,,31.00412,-115.44537,,,,,,,,,n/a,,,Coordinates from label,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48465,,,,,,,,Heuchera rubescens var. versicolor (Greene) M.G.Stewart,,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera|Heuchera rubescens,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,rubescens,versicolor,,VARIETY,var.,,,ACCEPTED,,,9b7d1acf-b22f-4a1f-b6e8-f1ddd744dc07,US,2022-05-02T15:59:50.294Z,2430.0,,,,,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,true,false,3754487,3754487,6,7707728,220,7219248,2402,3032645,,3032671,Heuchera rubescens,Heuchera rubescens var. versicolor (Greene) M.G.Stewart,Heuchera rubescens var. versicolor,,DWC_ARCHIVE,2022-05-02T15:59:50.294Z,2022-05-02T15:54:20.043Z,true,,MEX,Mexico,MEX.3_1,Baja California,MEX.3.2_1,Mexicali,,,,Heuchera rubescens var. versicolor (greene) m.g.stewart,-115.44537,31.00412
3125266007,,,,,,,,,,,,,,,,,,,,,,,,,,1989613,,,,,,,,,,CC_BY_NC_4_0,,,2022-04-25T14:51:05Z,,,https://cch2.org/portal/collections/individual/index.php?occid=1989613,,,,http://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,,,0945030a-f625-4b95-9f48-e5cb7d6eb879,,SD,,,,PRESERVED_SPECIMEN,,,,0010E6E4-D706-456B-94A6-B858E92546C6,,4134,D. F. Howe,,,,,,,FR,,,,,,PRESENT,,,,,,,SD114028,,,,,,,,,,,,1965-09-11T00:00:00,,254,,1965,9,11,9/11/1965,,,,,,,,,,,,,,,MX,Baja California,Unknown,,Vicinity of Cantiles,,,,,,,,,32.26498,-115.88217,,,,,,,,,n/a,,,Coordinates from label,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48465,,,,,,,,Heuchera rubescens var. versicolor (Greene) M.G.Stewart,,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera|Heuchera rubescens,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,rubescens,versicolor,,VARIETY,var.,,,ACCEPTED,,,9b7d1acf-b22f-4a1f-b6e8-f1ddd744dc07,US,2022-05-02T15:59:50.596Z,1524.0,,,,,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,true,false,3754487,3754487,6,7707728,220,7219248,2402,3032645,,3032671,Heuchera rubescens,Heuchera rubescens var. versicolor (Greene) M.G.Stewart,Heuchera rubescens var. versicolor,,DWC_ARCHIVE,2022-05-02T15:59:50.596Z,2022-05-02T15:54:20.043Z,true,,MEX,Mexico,MEX.3_1,Baja California,MEX.3.4_1,Tecate,,,,Heuchera rubescens var. versicolor (greene) m.g.stewart,-115.88217,32.26498
3125264011,,,,,,,,,,,,,,,,,,,,,,,,,,1989633,,,,,,,,,,CC_BY_NC_4_0,,,2022-04-25T14:51:38Z,,,https://cch2.org/portal/collections/individual/index.php?occid=1989633,,,,http://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,,,0945030a-f625-4b95-9f48-e5cb7d6eb879,,SD,,,,PRESERVED_SPECIMEN,,,,E41948E0-3723-4E7E-8A74-99A27D376CD7,,25238,Jon Rebman; Eli Wehncke,,,,,,,FFL,,,,,,PRESENT,,,,,,"Desert/Chaparral Scrub with Vauquelinia californica, Bernardia incana, Garrya grisea, Prunus ilicifolia, Gutierrezia californica, Berberis higginsiae, Rhamnus insula, and Dalea bicolor var. orcuttiana",SD225320,"Herbaceous perennial growing on cliff walls, flowers white with green lobes and aginf pink; uncommon",,,,,,,,,,,2012-10-06T00:00:00,,280,,2012,10,6,10/6/2012,,,,,,,,,,,,,,,MX,Baja California,Ensenada,,"Sierra de La Libertad: south of Bahia de Los Angeles; along the trail between Campo Las Blancas and Campo San Joaquin on the high eastern side of the Sierra; on the steep, north-facing slopes on the north end of Mesa Encino",,,,,,,,,28.55998,-113.5731,,,,,,,,,n/a,,,Coordinates from label,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48465,,,,,,,,Heuchera rubescens var. versicolor (Greene) M.G.Stewart,,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera|Heuchera rubescens,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,rubescens,versicolor,,VARIETY,var.,,,ACCEPTED,,,9b7d1acf-b22f-4a1f-b6e8-f1ddd744dc07,US,2022-05-02T15:59:51.568Z,1540.0,,,,,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,true,false,3754487,3754487,6,7707728,220,7219248,2402,3032645,,3032671,Heuchera rubescens,Heuchera rubescens var. versicolor (Greene) M.G.Stewart,Heuchera rubescens var. versicolor,,DWC_ARCHIVE,2022-05-02T15:59:51.568Z,2022-05-02T15:54:20.043Z,true,,MEX,Mexico,MEX.3_1,Baja California,MEX.3.1_1,Ensenada,,,,Heuchera rubescens var. versicolor (greene) m.g.stewart,-113.5731,28.55998
3125257962,,,,,,,,,,,,,,,,,,,,,,,,,,1989609,,,,,,,,,,CC_BY_NC_4_0,,,2022-04-25T14:52:15Z,,,https://cch2.org/portal/collections/individual/index.php?occid=1989609,,,,http://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,,,0945030a-f625-4b95-9f48-e5cb7d6eb879,,SD,,,,PRESERVED_SPECIMEN,,,,6BCBE014-1CF1-464B-BCC4-F0AC00E17E89,,24446,Reid Moran,,,,,,,FL,,,,,,PRESENT,,,,,,,SD97869,Common,,,,,,,,,,,1977-08-10T00:00:00,,222,,1977,8,10,8/10/1977,,,,,,,,,,,,,,,MX,Baja California,Unknown,,"Sierra San Pedro Martir, La Vibora, Arroyo la Grulla 4 km SW of La Grulla, on north-facing cliffs",,,,,,,,,30.86667,-115.50833,,,,,,,,,n/a,,,Coordinates from label,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48465,,,,,,,,Heuchera rubescens var. versicolor (Greene) M.G.Stewart,,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera|Heuchera rubescens,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,rubescens,versicolor,,VARIETY,var.,,,ACCEPTED,,,9b7d1acf-b22f-4a1f-b6e8-f1ddd744dc07,US,2022-05-02T15:59:49.511Z,1900.0,,,,,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,true,false,3754487,3754487,6,7707728,220,7219248,2402,3032645,,3032671,Heuchera rubescens,Heuchera rubescens var. versicolor (Greene) M.G.Stewart,Heuchera rubescens var. versicolor,,DWC_ARCHIVE,2022-05-02T15:59:49.511Z,2022-05-02T15:54:20.043Z,true,,MEX,Mexico,MEX.3_1,Baja California,MEX.3.1_1,Ensenada,,,,Heuchera rubescens var. versicolor (greene) m.g.stewart,-115.50833,30.86667
