gbifID,abstract,accessRights,accrualMethod,accrualPeriodicity,accrualPolicy,alternative,audience,available,bibliographicCitation,conformsTo,contributor,coverage,created,creator,date,dateAccepted,dateCopyrighted,dateSubmitted,description,educationLevel,extent,format,hasFormat,hasPart,hasVersion,identifier,instructionalMethod,isFormatOf,isPartOf,isReferencedBy,isReplacedBy,isRequiredBy,isVersionOf,issued,language,license,mediator,medium,modified,provenance,publisher,references,relation,replaces,requires,rights,rightsHolder,source,spatial,subject,tableOfContents,temporal,title,type,valid,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,recordedByID,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,degreeOfEstablishment,pathway,georeferenceVerificationStatus,occurrenceStatus,preparations,disposition,associatedOccurrences,associatedReferences,associatedSequences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,organismScope,associatedOrganisms,previousIdentifications,organismRemarks,materialSampleID,eventID,parentEventID,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,verticalDatum,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,verbatimIdentification,identificationQualifier,typeStatus,identifiedBy,identifiedByID,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,family,subfamily,genus,genericName,subgenus,infragenericEpithet,specificEpithet,infraspecificEpithet,cultivarEpithet,taxonRank,verbatimTaxonRank,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,datasetKey,publishingCountry,lastInterpreted,elevation,elevationAccuracy,depth,depthAccuracy,distanceAboveSurface,distanceAboveSurfaceAccuracy,issue,mediaType,hasCoordinate,hasGeospatialIssues,taxonKey,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,subgenusKey,speciesKey,species,acceptedScientificName,verbatimScientificName,typifiedName,protocol,lastParsed,lastCrawled,repatriated,relativeOrganismQuantity,level0Gid,level0Name,level1Gid,level1Name,level2Gid,level2Name,level3Gid,level3Name,iucnRedListCategory,species_name,x,y
3776335841,,,,,,,,,,,,,,,,,,,,,,,,,,S:VascularPlants:S22-1392,,,,,,,,,,CC0_1_0,,,2022-04-07T07:15:05Z,,,,,,,,,,,,,,,PhysicalObject,,urn:lsid:biocol.org:col:15668,,,S,VascularPlants,,,PRESERVED_SPECIMEN,,,,S:VascularPlants:S22-1392,S22-1392,15147,Göran Odelvik & Thomas Strid,,,,,,,,,,,,,PRESENT,dried on sheet,,,,,,,,,,,,Heuchera sanguinea,,,,,15147,2021-06-03T00:00:00,,,,2021,6,3,,,,,,,,,,,Europe; Sweden; Uppland; Hammarby,EUROPE,,,,SE,Uppland,,,"Uppland: Hammarby sn, 1350 m SO om Hammarby kyrka, Brunnby-Vik, 700 m S-SSO om Vik, strax O om Virastigen, fornminne, tät skogsdunge.","Uppland: Hammarby sn, 1350 m SO om Hammarby kyrka, Brunnby-Vik, 700 m S-SSO om Vik, strax O om Virastigen, fornminne, tät skogsdunge.",,,,,,,,59.52898,17.94106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heuchera sanguinea Engelm.,,,,,,,Plantae;Magnoliophyta;Saxifragales;Saxifragaceae;Heuchera,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,sanguinea,,,SPECIES,,,,ACCEPTED,,,0943f690-fde5-11dd-83f4-b8a03c50a862,SE,2022-05-20T21:34:59.384Z,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH,,true,false,3032653,3032653,6,7707728,220,7219248,2402,3032645,,3032653,Heuchera sanguinea,Heuchera sanguinea Engelm.,Heuchera sanguinea Engelm.,,DWC_ARCHIVE,2022-05-20T21:34:59.384Z,2022-05-20T21:08:59.198Z,false,,SWE,Sweden,SWE.15_1,Stockholm,SWE.15.23_1,Upplands-Väsby,,,NE,Heuchera sanguinea engelm.,17.94106,59.52898
3773501445,,,,,,,,,,,,,,,,,,,,,,,,,,113922368,,,,,,,,,,CC_BY_NC_4_0,,,2022-05-06T22:50:31Z,,,https://www.inaturalist.org/observations/113922368,,,,,southwestwanderer,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/113922368,113922368,,southwestwanderer,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,2022-04-29T11:32:00,18:32:00Z,,,2022,4,29,2022/04/29 11:32 AM,,,,,,,,,,,,,,,US,Arizona,,,,"Pima County, AZ, USA",,,,,,,,31.79865,-110.808933,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254238542,,,,southwestwanderer,,2022-04-30T19:19:54,,,,48384,,,,,,,,Heuchera sanguinea Engelm.,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,sanguinea,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-05-27T10:39:12.896Z,,,,,,,COORDINATE_ROUNDED,StillImage,true,false,3032653,3032653,6,7707728,220,7219248,2402,3032645,,3032653,Heuchera sanguinea,Heuchera sanguinea Engelm.,Heuchera sanguinea,,DWC_ARCHIVE,2022-05-27T10:39:12.896Z,2022-05-27T06:33:23.798Z,false,,USA,United States,USA.3_1,Arizona,USA.3.11_1,Pima,,,NE,Heuchera sanguinea engelm.,-110.808933,31.79865
3773363765,,,,,,,,,,,,,,,,,,,,,,,,,,116550622,,,,,,,,,,CC_BY_4_0,,,2022-05-11T13:52:43Z,,,https://www.inaturalist.org/observations/116550622,,,,,er-birds,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/116550622,116550622,,er-birds,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,2022-04-29T15:01:00,22:01:00Z,,,2022,4,29,2022/04/29 3:01 PM,,,,,,,,,,,,,,,US,Arizona,,,,"Pima County, AZ, USA",,,,,,,,32.349182,-110.745115,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259243968,,,,er-birds,,2022-05-11T13:07:40,,,,48384,,,,,,,,Heuchera sanguinea Engelm.,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,sanguinea,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-05-27T10:40:04.273Z,,,,,,,COORDINATE_ROUNDED,StillImage,true,false,3032653,3032653,6,7707728,220,7219248,2402,3032645,,3032653,Heuchera sanguinea,Heuchera sanguinea Engelm.,Heuchera sanguinea,,DWC_ARCHIVE,2022-05-27T10:40:04.273Z,2022-05-27T06:33:23.798Z,false,,USA,United States,USA.3_1,Arizona,USA.3.11_1,Pima,,,NE,Heuchera sanguinea engelm.,-110.745115,32.349182
3772731953,,,,,,,,,,,,,,,,,,,,,,,,,,116479404,,,,,,,,,,CC_BY_NC_4_0,,,2022-05-10T21:57:37Z,,,https://www.inaturalist.org/observations/116479404,,,,,marthaplw,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/116479404,116479404,,marthaplw,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,2022-05-07T13:55:04,20:55:04Z,,,2022,5,7,2022-05-07 13:55:04-07:00,,,,,,,,,,,,,,,US,Arizona,,,,"Coronado National Forest, Tucson, AZ, US",,,,,,,,32.416875,-110.798438,5005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259079179,,,,marthaplw,,2022-05-10T21:56:59,,,,48384,,,,,,,,Heuchera sanguinea Engelm.,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,sanguinea,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-05-27T11:07:22.595Z,,,,,,,COORDINATE_ROUNDED,StillImage,true,false,3032653,3032653,6,7707728,220,7219248,2402,3032645,,3032653,Heuchera sanguinea,Heuchera sanguinea Engelm.,Heuchera sanguinea,,DWC_ARCHIVE,2022-05-27T11:07:22.595Z,2022-05-27T06:33:23.798Z,false,,USA,United States,USA.3_1,Arizona,USA.3.11_1,Pima,,,NE,Heuchera sanguinea engelm.,-110.798438,32.416875
3767303721,,Free usage,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:artportalen.se:sighting:98769611,,,,,,,,,sv,CC0_1_0,,,2022-02-25T19:55:32Z,,,,,,,,Charlotte Wigermo,,,,,,,,,,,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,SLU Artdatabanken,Artportalen,Artportalen,SLU Artdatabanken,PRESERVED_SPECIMEN,,,,urn:lsid:artportalen.se:sighting:98769611,98769611,,"Charlotte Wigermo, Åke Svensson",,,,,,,,,,,,,PRESENT,,,,,,,,B24036,,,,,,,,,,,2020-09-12T00:00:00,,256,256,2020,9,12,2020-09-12,Ruderatmark mellan åker och växthus,,,,,,,urn:lsid:artportalen.se:site:5335563,,,EUROPE,,,,SE,Skåne,Skåne,Trelleborg,"Stora Slågarp kyrka, 550 m NNO., Sk",,,,,,,,,55.45691,13.16585,10.0,,,,EPSG:3857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Torbjörn Tyler,,,,Unvalidated,,urn:lsid:dyntaxa.se:Taxon:223339,,urn:lsid:dyntaxa.se:Taxon:223339,urn:lsid:dyntaxa.se:Taxon:1005832,,,,,Heuchera sanguinea Engelm.,,,,,,,Biota | Plantae | Viridiplantae | Streptophyta | Embryophyta | Tracheophyta | Euphyllophytina | Spermatophytae | Angiospermae | Magnoliopsida | Saxifragales | Saxifragaceae | Heuchera,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,sanguinea,,,SPECIES,,blodalunrot,,ACCEPTED,valid,,38b4c89f-584c-41bb-bd8f-cd1def33e92f,SE,2022-05-21T09:30:19.947Z,,,,,,,INSTITUTION_MATCH_NONE,,true,false,3032653,3032653,6,7707728,220,7219248,2402,3032645,,3032653,Heuchera sanguinea,Heuchera sanguinea Engelm.,Heuchera sanguinea,,DWC_ARCHIVE,2022-05-21T09:30:19.947Z,2022-05-21T03:07:57.761Z,false,,SWE,Sweden,SWE.13_1,Skåne,SWE.13.31_1,Trelleborg,,,NE,Heuchera sanguinea engelm.,13.16585,55.45691
3764168721,,,,,,,,,,,,,,,,,,,,,,,,,,112629277,,,,,,,,,,CC_BY_NC_4_0,,,2022-04-24T04:40:12Z,,,https://www.inaturalist.org/observations/112629277,,,,,baddayfishing,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/112629277,112629277,,baddayfishing,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,2022-04-23T15:52:34,22:52:34Z,,,2022,4,23,2022-04-23 15:52:34-07:00,,,,,,,,,,,,,,,US,Arizona,,,,"Coronado National Forest, Tubac, AZ, US",,,,,,,,31.514844,-111.2224,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251945600,,,,baddayfishing,,2022-04-24T04:37:07,,,,48384,,,,,,,,Heuchera sanguinea Engelm.,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,sanguinea,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-05-27T10:38:57.298Z,,,,,,,COORDINATE_ROUNDED,StillImage,true,false,3032653,3032653,6,7707728,220,7219248,2402,3032645,,3032653,Heuchera sanguinea,Heuchera sanguinea Engelm.,Heuchera sanguinea,,DWC_ARCHIVE,2022-05-27T10:38:57.298Z,2022-05-27T06:33:23.798Z,false,,USA,United States,USA.3_1,Arizona,USA.3.13_1,Santa Cruz,,,NE,Heuchera sanguinea engelm.,-111.2224,31.514844
3760055534,,,,,,,,,,,,,,,,,,,,,,,,,,110062887,,,,,,,,,,CC_BY_NC_4_0,,,2022-04-02T02:41:41Z,,,https://www.inaturalist.org/observations/110062887,,,,,kanayo,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/110062887,110062887,,kanayo,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,2019-10-02T10:59:00,10:59:00Z,,,2019,10,2,2019/10/02 10:59 AM UTC,,,,,,,,,,,,,,,US,Arizona,,,,アメリカ合衆国 〒85615 アリゾナ州 ハーフォード,,,,,,,,31.416478,-110.275631,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245864763,,,,kanayo,,2022-04-01T03:17:40,,,,48384,,,,,,,,Heuchera sanguinea Engelm.,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,sanguinea,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-05-27T10:52:47.723Z,,,,,,,COORDINATE_ROUNDED,StillImage,true,false,3032653,3032653,6,7707728,220,7219248,2402,3032645,,3032653,Heuchera sanguinea,Heuchera sanguinea Engelm.,Heuchera sanguinea,,DWC_ARCHIVE,2022-05-27T10:52:47.723Z,2022-05-27T06:33:23.798Z,false,,USA,United States,USA.3_1,Arizona,USA.3.2_1,Cochise,,,NE,Heuchera sanguinea engelm.,-110.275631,31.416478
3760051481,,,,,,,,,,,,,,,,,,,,,,,,,,110051504,,,,,,,,,,CC_BY_NC_4_0,,,2022-04-01T01:52:52Z,,,https://www.inaturalist.org/observations/110051504,,,,,Jenna Marvin,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/110051504,110051504,,Jenna Marvin,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,2022-03-31T09:11:14,16:11:14Z,,,2022,3,31,2022-03-31 09:11:14,,,,,,,,,,,,,,,US,Arizona,,,,"Tucson, AZ 85748, USA",,,,,,,,32.215208,-110.665912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245838857,,,,Jenna Marvin,,2022-04-01T00:22:48,,,,48384,,,,,,,,Heuchera sanguinea Engelm.,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,sanguinea,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-05-27T10:38:42.638Z,,,,,,,COORDINATE_ROUNDED,StillImage,true,false,3032653,3032653,6,7707728,220,7219248,2402,3032645,,3032653,Heuchera sanguinea,Heuchera sanguinea Engelm.,Heuchera sanguinea,,DWC_ARCHIVE,2022-05-27T10:38:42.638Z,2022-05-27T06:33:23.798Z,false,,USA,United States,USA.3_1,Arizona,USA.3.11_1,Pima,,,NE,Heuchera sanguinea engelm.,-110.665912,32.215208
3760045512,,,,,,,,,,,,,,,,,,,,,,,,,,110062888,,,,,,,,,,CC_BY_NC_4_0,,,2022-04-02T02:41:22Z,,,https://www.inaturalist.org/observations/110062888,,,,,kanayo,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/110062888,110062888,,kanayo,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,2019-10-02T11:27:00,11:27:00Z,,,2019,10,2,2019/10/02 11:27 AM UTC,,,,,,,,,,,,,,,US,Arizona,,,,アメリカ合衆国 〒85615 アリゾナ州 ハーフォード,,,,,,,,31.416478,-110.275631,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245864764,,,,kanayo,,2022-04-01T03:17:40,,,,48384,,,,,,,,Heuchera sanguinea Engelm.,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,sanguinea,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-05-27T10:38:20.215Z,,,,,,,COORDINATE_ROUNDED,StillImage,true,false,3032653,3032653,6,7707728,220,7219248,2402,3032645,,3032653,Heuchera sanguinea,Heuchera sanguinea Engelm.,Heuchera sanguinea,,DWC_ARCHIVE,2022-05-27T10:38:20.215Z,2022-05-27T06:33:23.798Z,false,,USA,United States,USA.3_1,Arizona,USA.3.2_1,Cochise,,,NE,Heuchera sanguinea engelm.,-110.275631,31.416478
3759928440,,,,,,,,,,,,,,,,,,,,,,,,,,110016345,,,,,,,,,,CC_BY_NC_4_0,,,2022-03-31T19:41:31Z,,,https://www.inaturalist.org/observations/110016345,,,,,Gabriel Leon,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/110016345,110016345,,Gabriel Leon,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,2022-03-31T08:56:57,15:56:57Z,,,2022,3,31,Thu Mar 31 2022 08:56:57 GMT-0700 (MST),,,,,,,,,,,,,,,US,Arizona,,,,"Saguaro National Park, Vail, AZ, US",,,,,,,,32.215702,-110.666157,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245755845,,,,Gabriel Leon,,2022-03-31T16:33:51,,,,48384,,,,,,,,Heuchera sanguinea Engelm.,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,sanguinea,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-05-27T10:38:25.220Z,,,,,,,COORDINATE_ROUNDED,StillImage,true,false,3032653,3032653,6,7707728,220,7219248,2402,3032645,,3032653,Heuchera sanguinea,Heuchera sanguinea Engelm.,Heuchera sanguinea,,DWC_ARCHIVE,2022-05-27T10:38:25.220Z,2022-05-27T06:33:23.798Z,false,,USA,United States,USA.3_1,Arizona,USA.3.11_1,Pima,,,NE,Heuchera sanguinea engelm.,-110.666157,32.215702
