associatedsequences,barcodeValue,basisOfRecord,bed,canonicalName,catalogNumber,class,collectionCode,collectionID,collectionName,recordedBy,vernacularName,commonnames,continent,coordinateUncertaintyInMeters,country,isoCountryCode,county,datasetID,eventDate,dateModified,dataQualityScore,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,etag,family,fieldNumber,flags,formation,genus,geologicalContextID,geoPoint,group,hasImage,hasMedia,higherClassification,highestBiostratigraphicZone,individualCount,infraspecificEpithet,institutionCode,institutionID,institutionName,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lithostratigraphicTerms,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,mediarecords,member,minimumDepthInMeters,minimumElevationInMeters,municipality,occurrenceID,order,phylum,recordIds,recordNumber,recordset,scientificName,specificEpithet,startDayOfYear,stateProvince,taxonID,taxonomicStatus,taxonRank,typeStatus,uuid,verbatimEventDate,verbatimLocality,version,waterBody,species_name,x,y
,,preservedspecimen,,heuchera alpestris,,magnoliopsida,rsa,3818e1d3-b6a4-11e8-b408-001a64db2964,,m. b. dunkle,,,north america,850.0,united states,usa,san bernardino,7ddf754f-d193-4cc9-b351-99906754a03b,1933-09-03,2022-01-11T02:46:27.708845+00:00,0.30434782608695654,,,,,,cb5c6b1c9887b644c9c289399b733cf765a6df78,saxifragaceae,,"['dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_taxonomicstatus_added', 'dwc_continent_added', 'gbif_reference_added']",,heuchera,,"{'lat': 34.099152, 'lon': -116.824873}",,false,false,organism|plantae|viridiplantae|streptophyta|embryophyta|tracheophyta|spermatophytina|magnoliopsida|myrothamnanae|saxifragales|saxifragaceae|heuchera,,,,rsa,,,plantae,,,,,,,san gorgonio peak.,,,,,,,3506.0,,466827f5-ad2b-4ad4-b3bd-45db6f57d510,saxifragales,tracheophyta,"['urn:uuid:aa067b58-5421-4650-8d5c-48664976df8e', 'a4e6033a-d1eb-46d3-869d-7c0328f09aa7\\\\786094', 'urn:uuid:b36fa2b7-4936-48fc-85c7-d1a0d9abe54d', 'a4e6033a-d1eb-46d3-869d-7c0328f09aa7\\\\466827f5-ad2b-4ad4-b3bd-45db6f57d510', 'a4e6033a-d1eb-46d3-869d-7c0328f09aa7\\\\18786367']",3791,a4e6033a-d1eb-46d3-869d-7c0328f09aa7,heuchera alpestris,alpestris,246,california,3032677,accepted,species,,5d14e93e-9e80-4f2c-bf1e-34bbc5bb3bc0,,,,,Heuchera alpestris,-116.824873,34.099152
,,preservedspecimen,,heuchera,,magnoliopsida,dicots,,,d.h. wilken,,,north america,1000.0,united states,usa,san bernardino,7ddf754f-d193-4cc9-b351-99906754a03b,,2018-07-13T11:28:08.613961+00:00,0.2028985507246377,,,,,,0df69e952c73ece33e910edc0cacc22e939f7637,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'dwc_multimedia_added', 'dwc_phylum_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'gbif_taxon_corrected', 'dwc_order_added', 'dwc_class_added']",,heuchera,,"{'lat': 34.10056, 'lon': -116.8425}",,false,false,,,,,ucr,,,plantae,,,,,,,slope of mt. san gorgonio,,,,,,,3354.0,,ucr-bps-9226,saxifragales,tracheophyta,['dd1b8c0b-280f-4cd3-979a-ad7464c5c9b5\\\\ucr-bps-9226'],427,dd1b8c0b-280f-4cd3-979a-ad7464c5c9b5,heuchera alpestris,,215,california,3032645,accepted,genus,,55ff0ca7-71c7-4e24-b33d-8a3851cb63db,,,,,Heuchera alpestris,-116.8425,34.10056
,,preservedspecimen,,heuchera,,magnoliopsida,dicots,,,g.r. ballmer,,,north america,1000.0,united states,usa,san bernardino,7ddf754f-d193-4cc9-b351-99906754a03b,,2018-07-13T11:28:08.613961+00:00,0.2028985507246377,,,,,,af2400e20884def8ea6a8ee5754453ab23db97d8,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'dwc_multimedia_added', 'dwc_phylum_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'gbif_taxon_corrected', 'dwc_order_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 34.10139, 'lon': -116.82528}",,false,false,,,,,ucr,,,plantae,,,,,,,n slope of mt. san gorgonio near the summit,,,,,,,3354.0,,ucr-bps-49195,saxifragales,tracheophyta,['dd1b8c0b-280f-4cd3-979a-ad7464c5c9b5\\\\ucr-bps-49195'],s.n.,dd1b8c0b-280f-4cd3-979a-ad7464c5c9b5,heuchera alpestris,,235,california,3032645,accepted,genus,,3a5b005a-7f2e-4e21-ba83-d5c0b642582a,,,,,Heuchera alpestris,-116.82528,34.10139
,,preservedspecimen,,heuchera,,magnoliopsida,dicots,,,sarah j. de groot,,,north america,1000.0,united states,usa,san bernardino,7ddf754f-d193-4cc9-b351-99906754a03b,,2018-07-13T11:28:08.613961+00:00,0.2028985507246377,,,,,,dfb66b2ccb3e8db9f7184aecf9a647379e26e493,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'dwc_multimedia_added', 'dwc_phylum_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'gbif_taxon_corrected', 'dwc_order_added', 'dwc_class_added']",,heuchera,,"{'lat': 34.20586, 'lon': -116.82367}",,false,false,,,,,ucr,,,plantae,,,,,,,west ridge of sugarloaf mountain,,,,,,,2748.0,,ucr-bps-238296,saxifragales,tracheophyta,['dd1b8c0b-280f-4cd3-979a-ad7464c5c9b5\\\\ucr-bps-238296'],6227,dd1b8c0b-280f-4cd3-979a-ad7464c5c9b5,heuchera alpestris,,203,california,3032645,accepted,genus,,15a74f52-17ca-4c02-b255-dd08d6249d69,,,,,Heuchera alpestris,-116.82367,34.20586
,,preservedspecimen,,heuchera alpestris,csla016628,magnoliopsida,,9a7f2f77-3288-4d40-8baa-2f55b8450b7f,,dieter. h. wilken; richard m. straw; yimuo chi,,,north america,200.0,united states,usa,san bernardino,7ddf754f-d193-4cc9-b351-99906754a03b,1965-08-03,2021-12-17T12:37:05.139305+00:00,0.3188405797101449,,,,,,36664f619f378352cbde51846a8c83d150cb0d85,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_continent_added']",,heuchera,,"{'lat': 34.1144, 'lon': -116.8539}",,true,true,organism|plantae|viridiplantae|streptophyta|embryophyta|tracheophyta|spermatophytina|magnoliopsida|myrothamnanae|saxifragales|saxifragaceae|heuchera,,,,csla,,,plantae,,,,,,,"summit of mt. charleston [charlton peak], san bernardino mtns.",,,,7ad370a3-8a89-4ff8-90e2-b4a2764ac5dd,,,244.0,,f27c8a59-2751-4811-b9dd-ab48b95d2c19,saxifragales,tracheophyta,"['urn:uuid:f27c8a59-2751-4811-b9dd-ab48b95d2c19', '7fbf76b1-6bd6-4217-a5bc-1d89e45f6a68\\\\f27c8a59-2751-4811-b9dd-ab48b95d2c19', '7fbf76b1-6bd6-4217-a5bc-1d89e45f6a68\\\\3720209']",433,7fbf76b1-6bd6-4217-a5bc-1d89e45f6a68,heuchera alpestris,alpestris,215,california,3032677,accepted,species,,698edb3b-092a-4edf-b784-185e870fbd59,3 aug 1965,,,,Heuchera alpestris,-116.8539,34.1144
,,preservedspecimen,,heuchera alpestris,,magnoliopsida,,0945030a-f625-4b95-9f48-e5cb7d6eb879,,reid moran,,,north america,,united states,usa,san bernardino,7ddf754f-d193-4cc9-b351-99906754a03b,1967-11-12,2022-03-11T04:19:19.137588+00:00,0.2898550724637681,,,,,,d51096bd3abe88069463f88dc6ef97c330cd1faa,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_continent_added']",,heuchera,,"{'lat': 34.1001, 'lon': -116.8279}",,false,false,organism|plantae|viridiplantae|streptophyta|embryophyta|tracheophyta|spermatophytina|magnoliopsida|myrothamnanae|saxifragales|saxifragaceae|heuchera,,,,sd,,,plantae,,,,,,,near the summit of mt. san gorgonio,,,,,,,3450.0,,2e74b269-1e56-4844-94fc-d841f9553dd5,saxifragales,tracheophyta,"['d82fa49b-915e-4aa8-acc6-51df3d431884\\\\2e74b269-1e56-4844-94fc-d841f9553dd5', 'urn:uuid:1dd14dab-d422-448a-8e78-2edfc2a89fb9', 'd82fa49b-915e-4aa8-acc6-51df3d431884\\\\{2e74b269-1e56-4844-94fc-d841f9553dd5}', 'd82fa49b-915e-4aa8-acc6-51df3d431884\\\\545245']",14650,d82fa49b-915e-4aa8-acc6-51df3d431884,heuchera alpestris,alpestris,316,california,3032677,accepted,species,,4ddae584-027a-4ad0-b527-eb8b910579dd,11/12/1967,,,,Heuchera alpestris,-116.8279,34.1001
,,preservedspecimen,,heuchera alpestris,ucr0048500,magnoliopsida,,3818c5b4-b6a4-11e8-b408-001a64db2964,,"sarah j. de groot; duncan s. bell, tom kerrins-torres",,,north america,,united states,usa,san bernardino,7ddf754f-d193-4cc9-b351-99906754a03b,2009-07-22,2022-03-11T04:17:45.652829+00:00,0.2898550724637681,,,,,,9550627a160bebb001deb81d7b7f17b0ac4b7d8b,saxifragaceae,,"['geopoint_datum_missing', 'gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_continent_added']",,heuchera,,"{'lat': 34.20586, 'lon': -116.82367}",,true,true,organism|plantae|viridiplantae|streptophyta|embryophyta|tracheophyta|spermatophytina|magnoliopsida|myrothamnanae|saxifragales|saxifragaceae|heuchera,,,,ucr,,,plantae,,,,,,,west ridge of sugarloaf mountain,,,,17118b56-43f8-4cc1-a9dd-36d8507a57ce,,,2748.0,,ucr-bps-238296,saxifragales,tracheophyta,"['ba042ffa-8175-4a47-8eb1-08b4d6319ccf\\\\1657440', 'urn:uuid:76a81aa9-78ea-4805-b263-f52e55089b0e', 'ba042ffa-8175-4a47-8eb1-08b4d6319ccf\\\\ucr-bps-238296']",6227,ba042ffa-8175-4a47-8eb1-08b4d6319ccf,heuchera alpestris,alpestris,203,california,3032677,accepted,species,,7281fd53-d450-4495-b31a-babe4d7debea,2009-7-22,,,,Heuchera alpestris,-116.82367,34.20586
,,preservedspecimen,,heuchera alpestris,csla016641,magnoliopsida,,9a7f2f77-3288-4d40-8baa-2f55b8450b7f,,dieter h. wilken,,,north america,100.0,united states,usa,san bernardino,7ddf754f-d193-4cc9-b351-99906754a03b,1966-09-04,2021-12-17T12:37:05.139305+00:00,0.30434782608695654,,,,,,add47e218ba6cd3b431277dbb07eed4c564acdff,saxifragaceae,,"['geopoint_low_precision', 'gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_continent_added']",,heuchera,,"{'lat': 34.13, 'lon': -116.8942}",,true,true,organism|plantae|viridiplantae|streptophyta|embryophyta|tracheophyta|spermatophytina|magnoliopsida|myrothamnanae|saxifragales|saxifragaceae|heuchera,,,,csla,,,plantae,,,,,,,"trail fk. springs north of anderson pk., san bernardino mtns.",,,,a27f36a8-d61a-4a77-a844-2a3103eab1d6,,,152.0,,3621dc8a-7f1f-4bd8-91f5-88eac0ee9453,saxifragales,tracheophyta,"['7fbf76b1-6bd6-4217-a5bc-1d89e45f6a68\\\\3621dc8a-7f1f-4bd8-91f5-88eac0ee9453', 'urn:uuid:3621dc8a-7f1f-4bd8-91f5-88eac0ee9453', '7fbf76b1-6bd6-4217-a5bc-1d89e45f6a68\\\\3720222']",1128,7fbf76b1-6bd6-4217-a5bc-1d89e45f6a68,heuchera alpestris,alpestris,247,california,3032677,accepted,species,,3cbb3060-2a31-47aa-a442-d5ae73c316ce,4 sep 1966,,,,Heuchera alpestris,-116.8942,34.13
,,preservedspecimen,,heuchera alpestris,ucr0048501,magnoliopsida,,3818c5b4-b6a4-11e8-b408-001a64db2964,,dieter h. wilken; r.m. straw,,,north america,,united states,usa,san bernardino,7ddf754f-d193-4cc9-b351-99906754a03b,1965-08-03,2022-03-11T04:17:45.652829+00:00,0.2898550724637681,,,,,,2faeff6c76013788d06b5a754a8a639326e3f8de,saxifragaceae,,"['geopoint_datum_missing', 'gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_continent_added']",,heuchera,,"{'lat': 34.10056, 'lon': -116.8425}",,true,true,organism|plantae|viridiplantae|streptophyta|embryophyta|tracheophyta|spermatophytina|magnoliopsida|myrothamnanae|saxifragales|saxifragaceae|heuchera,,,,ucr,,,plantae,,,,,,,slope of mt. san gorgonio,,,,59543422-b042-45b5-a283-f26c70c132b9,,,3354.0,,ucr-bps-9226,saxifragales,tracheophyta,"['ba042ffa-8175-4a47-8eb1-08b4d6319ccf\\\\ucr-bps-9226', 'ba042ffa-8175-4a47-8eb1-08b4d6319ccf\\\\1500886', 'urn:uuid:9442483a-8d12-4734-aaf0-910ce7530bca']",427,ba042ffa-8175-4a47-8eb1-08b4d6319ccf,heuchera alpestris,alpestris,215,california,3032677,accepted,species,,a2cc3e95-d0e7-4f3b-91e1-9d344b1a8dc5,1965-8-3,,,,Heuchera alpestris,-116.8425,34.10056
,,preservedspecimen,,heuchera alpestris,csla016640,magnoliopsida,,9a7f2f77-3288-4d40-8baa-2f55b8450b7f,,dieter h. wilken; richard m. straw,,,north america,800.0,united states,usa,san bernardino,7ddf754f-d193-4cc9-b351-99906754a03b,1965-08-03,2021-12-17T12:37:05.139305+00:00,0.30434782608695654,,,,,,c04e246e3ad144cc1e9688bd0e3173dcb1f1c5d3,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_continent_added']",,heuchera,,"{'lat': 34.099, 'lon': -116.825}",,true,true,organism|plantae|viridiplantae|streptophyta|embryophyta|tracheophyta|spermatophytina|magnoliopsida|myrothamnanae|saxifragales|saxifragaceae|heuchera,,,,csla,,,plantae,,,,,,,"slopes of mt. san gorgonio, san bernardino mtns.",,,,aaa4c027-1642-4d8a-8c56-2406b59c5384,,,,,2f149d39-9a5d-4383-9ab2-69951ecf6b90,saxifragales,tracheophyta,"['7fbf76b1-6bd6-4217-a5bc-1d89e45f6a68\\\\2f149d39-9a5d-4383-9ab2-69951ecf6b90', '7fbf76b1-6bd6-4217-a5bc-1d89e45f6a68\\\\3720221', 'urn:uuid:2f149d39-9a5d-4383-9ab2-69951ecf6b90']",426,7fbf76b1-6bd6-4217-a5bc-1d89e45f6a68,heuchera alpestris,alpestris,215,california,3032677,accepted,species,,079db4c8-440c-4808-9d51-e341a983c30c,3 aug 1965,,,,Heuchera alpestris,-116.825,34.099
