associatedsequences,barcodeValue,basisOfRecord,bed,canonicalName,catalogNumber,class,collectionCode,collectionID,collectionName,recordedBy,vernacularName,commonnames,continent,coordinateUncertaintyInMeters,country,isoCountryCode,county,datasetID,eventDate,dateModified,dataQualityScore,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,etag,family,fieldNumber,flags,formation,genus,geologicalContextID,geoPoint,group,hasImage,hasMedia,higherClassification,highestBiostratigraphicZone,individualCount,infraspecificEpithet,institutionCode,institutionID,institutionName,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lithostratigraphicTerms,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,mediarecords,member,minimumDepthInMeters,minimumElevationInMeters,municipality,occurrenceID,order,phylum,recordIds,recordNumber,recordset,scientificName,specificEpithet,startDayOfYear,stateProvince,taxonID,taxonomicStatus,taxonRank,typeStatus,uuid,verbatimEventDate,verbatimLocality,version,waterBody,species_name,x,y
,,preservedspecimen,,heuchera cylindrica,94181,magnoliopsida,vascular,,,r. k. moseley,,,north america,800.0,united states,usa,cassia,de8934f4-a136-481c-a87a-b0b202b80a31,1986-07-26,2021-09-19T20:34:52.838472+00:00,0.2463768115942029,,,,,,1e1602870b0fa65e12677474e4205de69757d041,saxifragaceae,,"['dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_taxonremarks_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 42.30836595263318, 'lon': -113.65778003792975}",,true,true,saxifragaceae,,,alpina,id,,,plantae,,,,,,,"proposed mt. harrison rna, sawtooth nf, ca 8 miles sw of albion, albion mtns.",,,,3d66e0f8-add4-4670-b119-36e85237adbd,,,2744.0,,c85c7d67-83a7-4b29-be02-e853f122c7ef,saxifragales,tracheophyta,"['0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\c85c7d67-83a7-4b29-be02-e853f122c7ef', '0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\879540', '0a4d80df-53e1-4b0e-964a-f64ca01dc1db']",860,0fd6e726-6828-4f62-ba8d-6ec316fe0b52,heuchera cylindrica var. alpina,cylindrica,207,idaho,7734821,doubtful,species,,a711818d-ba7c-4511-a59d-ee9cc02f9d11,,,,,Heuchera cylindrica alpina,-113.65778003792975,42.30836595263318
,,preservedspecimen,,heuchera cylindrica,64687,magnoliopsida,vascular,,,"d. henderson, p. jackson",,,north america,413.0,united states,usa,lemhi,de8934f4-a136-481c-a87a-b0b202b80a31,1973-07-05,2021-09-19T20:34:52.838472+00:00,0.2318840579710145,,,,,,5f19c7ccc2af5653e36fb05fa68d3b3e57763c50,saxifragaceae,,"['dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_taxonremarks_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 44.589616, 'lon': -113.453313}",,true,true,saxifragaceae,,,alpina,id,,,plantae,,,,,,,"east slope lemhi range, salmon national forest. ca 100 yds above stream, middle fork little timber creek, ca 1 mile downstream from timber creek reservoir.",,,,e4ac4b9e-b849-4942-949f-70ac874f1a8a,,,,,63a4228a-8908-42d1-91eb-5d909630e8c2,saxifragales,tracheophyta,"['0e2426ef-8aba-40a9-9077-4e129310019b', '0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\879544', '0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\63a4228a-8908-42d1-91eb-5d909630e8c2']",976,0fd6e726-6828-4f62-ba8d-6ec316fe0b52,heuchera cylindrica var. alpina,cylindrica,186,idaho,7734821,doubtful,species,,f6709297-d48a-4875-8c42-6c730222b6bd,,,,,Heuchera cylindrica alpina,-113.453313,44.589616
,,preservedspecimen,,heuchera cylindrica,106295,magnoliopsida,vascular,,,"robert moseley, susan bernatas",,,north america,1000.0,united states,usa,custer,de8934f4-a136-481c-a87a-b0b202b80a31,1991-07-23,2021-09-19T20:34:52.838472+00:00,0.2608695652173913,,,,,,c907ea1b15ff85d095765ed232efaca1184cd6cc,saxifragaceae,,"['dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_order_added', 'dwc_taxonremarks_added', 'dwc_kingdom_added', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_phylum_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 43.786708, 'lon': -114.158975}",,true,true,saxifragaceae,,,alpina,id,,,plantae,,,,,,,"kane lake cirque, pioneer mountains, challis nf, ca 12 miles ne of ketchum.",,,3171.0,18f8855b-2899-4929-8a9c-408ab9b3c3fc,,,2829.0,,f1abb0f9-d8ca-4ef3-bcf3-6e3e4ba469d4,saxifragales,tracheophyta,"['0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\879543', '0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\f1abb0f9-d8ca-4ef3-bcf3-6e3e4ba469d4', '5738160f-19f4-4ea0-ba7e-17e91971f124']",2239,0fd6e726-6828-4f62-ba8d-6ec316fe0b52,heuchera cylindrica var. alpina,cylindrica,204,idaho,7734821,doubtful,species,,de3ce0e1-f702-4ba5-81ff-83e5c78c9bd0,,,,,Heuchera cylindrica alpina,-114.158975,43.786708
,,preservedspecimen,,heuchera cylindrica,70207,magnoliopsida,vascular,,,porter p. lowry ii,,,north america,805.0,united states,usa,beaverhead,de8934f4-a136-481c-a87a-b0b202b80a31,1979-08-24,2021-09-19T20:36:48.123276+00:00,0.2463768115942029,,,,,,2f992318b5e3d2cb5f8f82b23c6a23093d3080d4,saxifragaceae,,"['dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_taxonremarks_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 44.571861703691695, 'lon': -111.73195342601103}",,true,true,saxifragaceae,,,ovalifolia,mont,,,plantae,,,,,,,summit of sheep mtn.,,,,da3ba0a4-713b-4a95-9923-54a0900cd229,,,2952.0,,ff9eaaac-b5c3-4de1-9a4a-dd54995202a6,saxifragales,tracheophyta,"['9b725e43-93c9-423b-adf8-a11d08a83d13\\\\ff9eaaac-b5c3-4de1-9a4a-dd54995202a6', 'a241d5f8-44c3-4718-a7b5-96c3c567b447', '9b725e43-93c9-423b-adf8-a11d08a83d13\\\\1783318']",3019,9b725e43-93c9-423b-adf8-a11d08a83d13,heuchera cylindrica var. ovalifolia,cylindrica,236,montana,7734821,doubtful,species,,efd0302a-64be-434f-bb0f-5e7da93c9e4f,,,,,Heuchera cylindrica alpina,-111.73195342601103,44.571861703691695
,,preservedspecimen,,heuchera cylindrica,14919,magnoliopsida,vascular,,,william h. baker,,,north america,1000.0,united states,usa,owyhee,de8934f4-a136-481c-a87a-b0b202b80a31,1951-07-21,2021-09-19T20:34:52.838472+00:00,0.2318840579710145,,,,,,f8820c2386495bbb0d29e48ef5c91bcfa3960474,saxifragaceae,,"['dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_taxonremarks_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 43.035833, 'lon': -116.7225}",,true,true,saxifragaceae,,,alpina,id,,,plantae,,,,,,,new york summit; silver city range.,,,,8692b3a1-a5a2-4961-8981-a5583b1d34bd,,,,,acd89914-5f4d-4345-b084-5461f89fa2cb,saxifragales,tracheophyta,"['ad192f46-24f5-41e4-a741-54d37e433be2', '0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\879536', '0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\acd89914-5f4d-4345-b084-5461f89fa2cb']",8109,0fd6e726-6828-4f62-ba8d-6ec316fe0b52,heuchera cylindrica var. alpina,cylindrica,202,idaho,7734821,doubtful,species,,a9c3a696-852d-4f2b-8f50-dfb502d8840b,,,,,Heuchera cylindrica alpina,-116.7225,43.035833
,,preservedspecimen,,heuchera cylindrica,25867,magnoliopsida,vascular,,,j. h. christ,,,north america,1500.0,united states,usa,custer,de8934f4-a136-481c-a87a-b0b202b80a31,1948-07-04,2021-09-19T20:34:52.838472+00:00,0.2318840579710145,,,,,,1f10766fe7cae531afaaa541e88c77d06d245481,saxifragaceae,,"['dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_taxonremarks_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 44.312754, 'lon': -114.714752}",,true,true,saxifragaceae,,,alpina,id,,,plantae,,,,,,,"cliffs along river, 4 miles up yankee fork of salmon river from sunbeam, id.",,,,cc7e3721-6afd-44db-9c9f-07e05b2fa23d,,,,,a7c69129-db55-482f-b36b-6e762136aef9,saxifragales,tracheophyta,"['0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\a7c69129-db55-482f-b36b-6e762136aef9', 'ceca5172-8d12-4e27-8f1e-80af8e4104af', '0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\879564']",17684,0fd6e726-6828-4f62-ba8d-6ec316fe0b52,heuchera cylindrica var. alpina,cylindrica,186,idaho,7734821,doubtful,species,,7dfebb71-a8e9-4965-93e9-30f50698e19d,,,,,Heuchera cylindrica alpina,-114.714752,44.312754
,,preservedspecimen,,heuchera cylindrica,85054,magnoliopsida,vascular,,,"a. f. cholewa, d. m. henderson",,,north america,800.0,united states,usa,owyhee,de8934f4-a136-481c-a87a-b0b202b80a31,1985-07-15,2021-09-19T20:34:52.838472+00:00,0.2463768115942029,,,,,,26ef604bf195ba34bc5b7c837a1cb83283cd52a2,saxifragaceae,,"['dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_taxonremarks_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 43.002734146532475, 'lon': -116.70018021794887}",,true,true,saxifragaceae,,,alpina,id,,,plantae,,,,,,,"silver city range, war eagle mtn., below summit.",,,,62835792-dfa4-4497-a6ba-82403b746c3b,,,2424.0,,40a63424-cf1b-49cd-9b93-2479bcf5c928,saxifragales,tracheophyta,"['0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\40a63424-cf1b-49cd-9b93-2479bcf5c928', '0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\879573', '1571151c-ebac-4429-8366-99b7ebe05cdb']",1201,0fd6e726-6828-4f62-ba8d-6ec316fe0b52,heuchera cylindrica var. alpina,cylindrica,196,idaho,7734821,doubtful,species,,888ad01a-9e1f-4701-a6c2-635c98db92d8,,,,,Heuchera cylindrica alpina,-116.70018021794887,43.002734146532475
,,preservedspecimen,,heuchera cylindrica,349640,magnoliopsida,vascular,,,kathleen whitson,,,north america,,united states,usa,ferry,de8934f4-a136-481c-a87a-b0b202b80a31,1999-07-10,2021-09-19T20:33:48.370392+00:00,0.2028985507246377,,,,,,77ce44ce71087291e46bab8d2a49a292f332c430,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_taxonremarks_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 48.827533, 'lon': -118.833067}",,false,false,saxifragaceae,,,alpina,wtu,,,plantae,,,,,,,colville national forest: bodie mtn. summit.,,,,,,,,,59e6a88e-4bcc-445e-8d04-257739ea327d,saxifragales,tracheophyta,"['8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\59e6a88e-4bcc-445e-8d04-257739ea327d', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\22393', 'cdadc399-de17-4711-b8a5-4a5ee23e8ba3']",99-11,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera cylindrica var. alpina,cylindrica,191,washington,7734821,doubtful,species,,7da50bd8-829e-4244-95dc-54643887e0f0,,,,,Heuchera cylindrica alpina,-118.833067,48.827533
,,preservedspecimen,,heuchera cylindrica,10519jwt,magnoliopsida,vascular,,,j. william thompson,,,north america,10000.0,united states,usa,blaine,de8934f4-a136-481c-a87a-b0b202b80a31,1937-08-02,2021-09-19T20:33:48.370392+00:00,0.2463768115942029,,,,,,6047d60a150bf5563451e6971b0fccb1bb591fda,saxifragaceae,,"['dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_taxonremarks_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 43.842563, 'lon': -114.50491}",,false,false,saxifragaceae,,,alpina,wtu,,,plantae,,,,,,,"at head of boulder creek, sawtooth national forest, sawtooth mountains.",,,,,,,2744.0,,3310d0cb-8124-44d7-9e19-695a54ca342f,saxifragales,tracheophyta,"['8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\82718', '00b0b6b1-fe4d-4190-bf1d-79259a19ce2e', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\3310d0cb-8124-44d7-9e19-695a54ca342f']",14075,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera cylindrica var. alpina,cylindrica,214,idaho,7734821,doubtful,species,,4d4df1fa-7e32-4ed5-9b5c-e282ec089f48,,,,,Heuchera cylindrica alpina,-114.50491,43.842563
,,preservedspecimen,,heuchera cylindrica,9889jwt,magnoliopsida,vascular,,,j. william thompson,,,north america,1039.0,united states,usa,harney,de8934f4-a136-481c-a87a-b0b202b80a31,1935-07-16,2021-09-19T20:33:48.370392+00:00,0.2463768115942029,,,,,,864501dde80604696bed17aa4b4cdc85248df659,saxifragaceae,,"['dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_taxonremarks_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 42.684197, 'lon': -118.576247}",,false,false,saxifragaceae,,,alpina,wtu,,,plantae,,,,,,,"head of blitzen gorge, steens mountains.",,,,,,,2591.0,,d5493f5c-508c-4247-8bc1-67aed023211f,saxifragales,tracheophyta,"['1b74fab7-34fe-4105-a0e6-77b5c394bc10', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\82737', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\d5493f5c-508c-4247-8bc1-67aed023211f']",12150,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera cylindrica var. alpina,cylindrica,197,oregon,7734821,doubtful,species,,72fe3372-b03f-47fc-bf85-924e5fe72056,,,,,Heuchera cylindrica alpina,-118.576247,42.684197
