associatedsequences,barcodeValue,basisOfRecord,bed,canonicalName,catalogNumber,class,collectionCode,collectionID,collectionName,recordedBy,vernacularName,commonnames,continent,coordinateUncertaintyInMeters,country,isoCountryCode,county,datasetID,eventDate,dateModified,dataQualityScore,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,etag,family,fieldNumber,flags,formation,genus,geologicalContextID,geoPoint,group,hasImage,hasMedia,higherClassification,highestBiostratigraphicZone,individualCount,infraspecificEpithet,institutionCode,institutionID,institutionName,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lithostratigraphicTerms,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,mediarecords,member,minimumDepthInMeters,minimumElevationInMeters,municipality,occurrenceID,order,phylum,recordIds,recordNumber,recordset,scientificName,specificEpithet,startDayOfYear,stateProvince,taxonID,taxonomicStatus,taxonRank,typeStatus,uuid,verbatimEventDate,verbatimLocality,version,waterBody,species_name,x,y
,,preservedspecimen,,heuchera grossulariifolia,28807,magnoliopsida,vascular,,,g. n. jones,,,north america,10000.0,united states,usa,idaho,7ddf754f-d193-4cc9-b351-99906754a03b,1930-05-18,2021-09-19T20:33:48.370392+00:00,0.2318840579710145,,,,,,b11a192b64c7c9d1c75e9a52da01fb700be21740,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 45.747303, 'lon': -116.542478}",,false,false,saxifragaceae,,,tenuifolia,wtu,,,plantae,,,,,,,"getta creek, snake river canyon.",,,,,,,,,5110b168-29dc-41e9-8aca-854be688630f,saxifragales,tracheophyta,"['8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\5110b168-29dc-41e9-8aca-854be688630f', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\82849', '2c038ba1-78f8-4d2a-9f44-07e672df22c9']",2691,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera grossulariifolia var. tenuifolia,grossulariifolia,138,idaho,3032658,accepted,species,,1f0ad208-4c9a-4945-bf85-7853ccd261bf,,,,,Heuchera grossulariifolia tenuifolia,-116.542478,45.747303
,,preservedspecimen,,heuchera grossulariifolia,369317,magnoliopsida,vascular,,,"mary johanson, robert goff, doug williams, joe johanson, jessie johanson, nomi odano, julia odano, ben legler, david giblin",,,north america,500.0,united states,usa,shoshone,7ddf754f-d193-4cc9-b351-99906754a03b,2005-07-08,2021-09-19T20:33:48.370392+00:00,0.2463768115942029,,,,,,00bc9000bb5a85bd53b2d767ab66ac18c3efa2c6,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_phylum_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 46.97483, 'lon': -115.02681}",,false,false,saxifragaceae,,,tenuifolia,wtu,,,plantae,,,,,,,"clearwater national forest. hoodoo pass, south trailhead parking lot.",,,,,,,1827.0,,4a7501e9-7ff7-401b-9b4b-e5544da0fd3c,saxifragales,tracheophyta,"['8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\4a7501e9-7ff7-401b-9b4b-e5544da0fd3c', 'bb2df1c8-f94b-4bce-b5a3-d0edaf09cae2', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\152888']",05-13,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera grossulariifolia var. tenuifolia,grossulariifolia,189,idaho,3032658,accepted,species,,ad356606-1ce9-4e67-bdc4-13606df6f476,,,,,Heuchera grossulariifolia tenuifolia,-115.02681,46.97483
,,preservedspecimen,,heuchera grossulariifolia,302241,magnoliopsida,vascular,,,william h. baker,,,north america,5000.0,united states,usa,adams,7ddf754f-d193-4cc9-b351-99906754a03b,1965-06-18,2021-09-19T20:33:48.370392+00:00,0.2318840579710145,,,,,,c6059a176319c272ba5aab08e0b50c6f8e73b0ba,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 45.21459, 'lon': -116.315078}",,false,false,saxifragaceae,,,tenuifolia,wtu,,,plantae,,,,,,,"rocky cliffs, about 1 mile south of the mouth of fall creek, little salmon river canyon.",,,,,,,,,3e6b564a-6389-47d6-8c70-10985e21df90,saxifragales,tracheophyta,"['8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\3e6b564a-6389-47d6-8c70-10985e21df90', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\82573', '4c23ac22-f1fe-4e59-b9e8-5842f31ca3be']",16833,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera grossulariifolia var. tenuifolia,grossulariifolia,169,idaho,3032658,accepted,species,,e178ba10-625a-4f52-b0b4-9d783d263cfc,,,,,Heuchera grossulariifolia tenuifolia,-116.315078,45.21459
,,preservedspecimen,,heuchera grossulariifolia,30421,magnoliopsida,vascular,,,d. knoke,,,north america,,united states,usa,clearwater,7ddf754f-d193-4cc9-b351-99906754a03b,2005-07-08,2021-09-19T20:33:45.892790+00:00,0.21739130434782608,,,,,,b41fc12ea466b88b4e8cc042eebdb94dfd59156f,saxifragaceae,,"['geopoint_datum_missing', 'dwc_country_replaced', 'dwc_multimedia_added', 'dwc_phylum_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_taxon_corrected', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_taxonid_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_taxonomicstatus_added', 'dwc_order_added', 'idigbio_isocountrycode_added', 'gbif_reference_added', 'dwc_class_added', 'dwc_kingdom_added']",,heuchera,,"{'lat': 46.954283, 'lon': -114.966833}",,true,true,saxifragaceae,,,tenuifolia,srp,,,plantae,,,,,,,.25 mi down trail from heart lake.,,,,b4a83e0a-0c9d-406b-a2df-64bf0df57ba6,,,1743.0,,e567ec61-7a07-4a7c-a6fb-384eda566a60,saxifragales,tracheophyta,"['f84d528a-7d08-467e-b532-ace707316f1d\\\\2052266', 'f84d528a-7d08-467e-b532-ace707316f1d\\\\e567ec61-7a07-4a7c-a6fb-384eda566a60', 'd75162bb-2dfe-474f-a6ce-f963e6ed5684']",828,f84d528a-7d08-467e-b532-ace707316f1d,heuchera grossulariifolia var. tenuifolia,grossulariifolia,189,idaho,3032658,accepted,species,,3e7e5888-4dc1-4a1e-a7c9-592d0b0cebbf,,,,,Heuchera grossulariifolia tenuifolia,-114.966833,46.954283
,,preservedspecimen,,heuchera grossulariifolia,302234,magnoliopsida,vascular,,,william h. baker,,,north america,1000.0,united states,usa,valley,7ddf754f-d193-4cc9-b351-99906754a03b,1954-07-19,2021-09-19T20:33:48.370392+00:00,0.2318840579710145,,,,,,aea39c5107e0d11ea934f05eb8965d1c4ae6636d,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 44.96488, 'lon': -115.197712}",,false,false,saxifragaceae,,,tenuifolia,wtu,,,plantae,,,,,,,south fork of the salmon river at south fork camp; 23 miles east of cascade.,,,,,,,,,24c431ac-7c7a-44db-b8f0-5fcc9549b523,saxifragales,tracheophyta,"['8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\24c431ac-7c7a-44db-b8f0-5fcc9549b523', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\82819', 'a3447e22-ef7a-4e97-a218-a96f9fb26bf0']",11927,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera grossulariifolia var. tenuifolia,grossulariifolia,200,idaho,3032658,accepted,species,,c7e0a300-2760-4db5-8446-3a9a180af03a,,,,,Heuchera grossulariifolia tenuifolia,-115.197712,44.96488
,,preservedspecimen,,heuchera grossulariifolia,5653jwt,magnoliopsida,vascular,,,"r. c. rollins, l. constance",,,north america,10000.0,united states,usa,idaho,7ddf754f-d193-4cc9-b351-99906754a03b,1936-05-31,2021-09-19T20:33:48.370392+00:00,0.2318840579710145,,,,,,4c0aee5bbaedabad6e255b02a17960df04c1188c,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 45.481973, 'lon': -115.931284}",,false,false,saxifragaceae,,,tenuifolia,wtu,,,plantae,,,,,,,"on meadow creek, above selway falls, nez perce national forest.",,,,,,,,,4dc3fa18-8f3d-4745-9cad-d873d2dd156e,saxifragales,tracheophyta,"['8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\82842', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\4dc3fa18-8f3d-4745-9cad-d873d2dd156e', '5eceb23b-868b-441b-92ed-b264d2244b5a']",1637,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera grossulariifolia var. tenuifolia,grossulariifolia,152,idaho,3032658,accepted,species,,07579374-871f-49af-beae-62f21247ea38,,,,,Heuchera grossulariifolia tenuifolia,-115.931284,45.481973
,,preservedspecimen,,heuchera grossulariifolia,16918jwt,magnoliopsida,vascular,,,fred g. meyer,,,north america,10000.0,united states,usa,idaho,7ddf754f-d193-4cc9-b351-99906754a03b,1937-06-06,2021-09-19T20:33:48.370392+00:00,0.21739130434782608,,,,,,560ce009343795fd63d6abbb34dd04342285976a,saxifragaceae,,"['geopoint_low_precision', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 46.0225, 'lon': -115.89}",,false,false,saxifragaceae,,,tenuifolia,wtu,,,plantae,,,,,,,three devil's camp along the middle fork of the clearwater river.,,,,,,,,,f6fa3d34-8a48-4dde-9c2f-28b8977a1115,saxifragales,tracheophyta,"['8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\f6fa3d34-8a48-4dde-9c2f-28b8977a1115', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\82566', 'f46e4b29-e950-48d8-8b87-3ee50f9e9d47']",913,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera grossulariifolia var. tenuifolia,grossulariifolia,157,idaho,3032658,accepted,species,,5027b1a2-020f-405f-88fc-b83145e5b1c4,,,,,Heuchera grossulariifolia tenuifolia,-115.89,46.0225
,,preservedspecimen,,heuchera grossulariifolia,296058,magnoliopsida,vascular,,,william h. baker,,,north america,10000.0,united states,usa,valley,7ddf754f-d193-4cc9-b351-99906754a03b,1954-07-06,2021-09-19T20:33:48.370392+00:00,0.2318840579710145,,,,,,11b8418348a20dd4c7f8a01e4ef27f370cc67df0,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 44.830321, 'lon': -114.906532}",,false,false,saxifragaceae,,,tenuifolia,wtu,,,plantae,,,,,,,"along the south fork of the salmon river, 1 mile north of poverty flat, boise national forest.",,,,,,,,,8d77b441-8210-49f8-9ff8-1bfedd9316db,saxifragales,tracheophyta,"['6ddb9358-5b33-47d0-b403-9b762c16ccd9', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\8d77b441-8210-49f8-9ff8-1bfedd9316db', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\82571']",11688,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera grossulariifolia var. tenuifolia,grossulariifolia,187,idaho,3032658,accepted,species,,b4d5cf3c-74b7-41e3-8acb-9db52b64ff0d,,,,,Heuchera grossulariifolia tenuifolia,-114.906532,44.830321
,,preservedspecimen,,heuchera grossulariifolia,31486,magnoliopsida,vascular,,,"w. mcclure, s. bagshaw, b. legler, d. knoke",,,north america,,united states,usa,clearwater,7ddf754f-d193-4cc9-b351-99906754a03b,2005-07-10,2021-09-19T20:33:45.892790+00:00,0.21739130434782608,,,,,,0ff36a0838db4e80a21f119e900fc3fbc53170b9,saxifragaceae,,"['geopoint_datum_missing', 'dwc_country_replaced', 'dwc_multimedia_added', 'dwc_phylum_added', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_taxon_corrected', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_taxonid_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_order_added', 'idigbio_isocountrycode_added', 'gbif_reference_added', 'dwc_class_added', 'dwc_kingdom_added']",,heuchera,,"{'lat': 46.756217, 'lon': -115.365333}",,true,true,saxifragaceae,,,tenuifolia,srp,,,plantae,,,,,,,.2 mi ne of mush saddle fs rd. 711.,,,,ffe1ef86-c8be-436e-805a-77c374806802,,,1612.0,,1c85d4a6-8d73-4d54-83e1-e285f4f54a95,saxifragales,tracheophyta,"['f84d528a-7d08-467e-b532-ace707316f1d\\\\1c85d4a6-8d73-4d54-83e1-e285f4f54a95', 'aae99b41-510b-40b1-8b83-1dac2a509e0d', 'f84d528a-7d08-467e-b532-ace707316f1d\\\\2052276']",05-17,f84d528a-7d08-467e-b532-ace707316f1d,heuchera grossulariifolia var. tenuifolia,grossulariifolia,191,idaho,3032658,accepted,species,,8c511368-3f50-4cb5-adba-a4f79b9f4e02,,,,,Heuchera grossulariifolia tenuifolia,-115.365333,46.756217
,,preservedspecimen,,heuchera grossulariifolia,5654jwt,magnoliopsida,vascular,,,"l. a. dillon, l. constance, r. c. rollins",,,north america,1000.0,united states,usa,idaho,7ddf754f-d193-4cc9-b351-99906754a03b,1936-05-16,2021-09-19T20:33:48.370392+00:00,0.2463768115942029,,,,,,75bb13ee97eff7860ad8d8cdbfc6de1bc1864c07,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_phylum_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 45.343792, 'lon': -116.342416}",,false,false,saxifragaceae,,,tenuifolia,wtu,,,plantae,,,,,,,"opposite willow creek, 2 miles north of sheep creek, snake river canyon.",,,,,,,381.0,,f8c7e28c-cf93-4ac5-8b69-ad2ee5ccd527,saxifragales,tracheophyta,"['8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\f8c7e28c-cf93-4ac5-8b69-ad2ee5ccd527', '2a12c9a5-b7f9-4894-a828-378d01abe4d3', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\82574']",1586,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera grossulariifolia var. tenuifolia,grossulariifolia,137,idaho,3032658,accepted,species,,363dde8b-b673-4f09-8a04-02555d026ab7,,,,,Heuchera grossulariifolia tenuifolia,-116.342416,45.343792
