associatedsequences,barcodeValue,basisOfRecord,bed,canonicalName,catalogNumber,class,collectionCode,collectionID,collectionName,recordedBy,vernacularName,commonnames,continent,coordinateUncertaintyInMeters,country,isoCountryCode,county,datasetID,eventDate,dateModified,dataQualityScore,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,etag,family,fieldNumber,flags,formation,genus,geologicalContextID,geoPoint,group,hasImage,hasMedia,higherClassification,highestBiostratigraphicZone,individualCount,infraspecificEpithet,institutionCode,institutionID,institutionName,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lithostratigraphicTerms,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,mediarecords,member,minimumDepthInMeters,minimumElevationInMeters,municipality,occurrenceID,order,phylum,recordIds,recordNumber,recordset,scientificName,specificEpithet,startDayOfYear,stateProvince,taxonID,taxonomicStatus,taxonRank,typeStatus,uuid,verbatimEventDate,verbatimLocality,version,waterBody,species_name,x,y
,,preservedspecimen,,heuchera longipetala,3599880,magnoliopsida,mo,http://biocol.org/urn:lsid:biocol.org:col:15859,,george b. hinton|james c. hinton,,,north america,,mexico,mex,uruapan,7ddf754f-d193-4cc9-b351-99906754a03b,,2016-03-09T09:12:45.040858+00:00,0.21739130434782608,,,,,,560389b06fd88bf5285571d55b99c222d04be995,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'dwc_multimedia_added', 'dwc_phylum_added', 'dwc_taxonid_replaced', 'idigbio_isocountrycode_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_continent_replaced', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_canonicalname_added', 'gbif_reference_added', 'gbif_vernacularname_added', 'dwc_order_added', 'dwc_class_added']",,heuchera,,"{'lat': 19.3, 'lon': -102.35}",,false,false,,,,,mo,,,plantae,,,,,,,tancítaro,,,,,,,3450.0,,urn:catalog:mo:tropicos:3599880,saxifragales,tracheophyta,['5386d272-06c6-4027-b5d5-d588c2afe5e5\\\\urn:catalog:mo:tropicos:3599880'],hinton 15571,5386d272-06c6-4027-b5d5-d588c2afe5e5,heuchera longipetala moc. ex ser.,longipetala,297,michoacán,3755546,accepted,species,,26592438-72ec-4f27-aea5-48f62c302cfa,,,,,Heuchera longipetala,-102.35,19.3
,,preservedspecimen,,heuchera longipetala,3614178,magnoliopsida,mo,http://biocol.org/urn:lsid:biocol.org:col:15859,,george b. hinton,,,north america,,mexico,mex,temascaltepec,7ddf754f-d193-4cc9-b351-99906754a03b,,2016-03-09T09:12:45.040858+00:00,0.21739130434782608,,,,,,8ee64640d812f5ecd6bc2ab47bb2e9894b87f941,saxifragaceae,8,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'dwc_multimedia_added', 'dwc_phylum_added', 'dwc_taxonid_replaced', 'idigbio_isocountrycode_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_continent_replaced', 'gbif_taxon_corrected', 'dwc_order_added', 'dwc_scientificnameauthorship_replaced', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_canonicalname_added', 'gbif_reference_added', 'gbif_vernacularname_added', 'dwc_class_added']",,heuchera,,"{'lat': 19.0166667, 'lon': -100.0333333}",,false,false,,,1.0,,mo,,,plantae,,,,,,,el crucero.,,,,,,,,,urn:catalog:mo:tropicos:3614178,saxifragales,tracheophyta,['5386d272-06c6-4027-b5d5-d588c2afe5e5\\\\urn:catalog:mo:tropicos:3614178'],hinton 522,5386d272-06c6-4027-b5d5-d588c2afe5e5,heuchera longipetala moc. ex ser.,longipetala,110,méxico,3755546,accepted,species,,401a090a-99d9-41e4-b22d-a6819a4e335b,,,,,Heuchera longipetala,-100.0333333,19.0166667
,,preservedspecimen,,heuchera longipetala,,magnoliopsida,botany,botany,,m. sessé & j. m. mociño,,,north america,,mexico,mex,,7ddf754f-d193-4cc9-b351-99906754a03b,,2020-07-24T21:12:11.132435+00:00,0.15942028985507245,,,,,,c9fd785172eb6dc5fafcc8ddad9c8a6023604c60,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'gbif_vernacularname_added', 'gbif_reference_added', 'gbif_canonicalname_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'dwc_order_added', 'dwc_datasetid_replaced', 'dwc_class_replaced', 'dwc_phylum_replaced']",,heuchera,,"{'lat': 23.0, 'lon': -102.0}",,true,true,plantae spermatophyta dicotyledoneae saxifragaceae,,,,f,f,,plantae,,,,,,,,,,,7d16f8bd-f6a2-482a-9e8b-dc8470227d2f,,,,,2282feb7-1eeb-4db5-9acc-f6f21e923fae,saxifragales,tracheophyta,['205fa34c-2fcb-4492-b992-972b18560f6f\\\\2282feb7-1eeb-4db5-9acc-f6f21e923fae'],,205fa34c-2fcb-4492-b992-972b18560f6f,heuchera longipetala moc. ex ser.,longipetala,,,3755546,accepted,species,type [status unknown],c97031d3-2f16-4ad0-903c-3f11c6bab006,,,,,Heuchera longipetala,-102.0,23.0
,,preservedspecimen,,heuchera longipetala,3619407,magnoliopsida,mo,http://biocol.org/urn:lsid:biocol.org:col:15859,,george b. hinton,,,north america,,mexico,mex,temascaltepec,7ddf754f-d193-4cc9-b351-99906754a03b,,2016-03-09T09:12:45.040858+00:00,0.2028985507246377,,,,,,0133d86c4029f7e95c1738adfadcf3408bd77e01,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'dwc_multimedia_added', 'dwc_phylum_added', 'dwc_taxonid_replaced', 'idigbio_isocountrycode_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_continent_replaced', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_canonicalname_added', 'gbif_reference_added', 'gbif_vernacularname_added', 'dwc_order_added', 'dwc_class_added']",,heuchera,,"{'lat': 18.99, 'lon': -99.99}",,false,false,,,,,mo,,,plantae,,,,,,,sierrita,,,,,,,,,urn:catalog:mo:tropicos:3619407,saxifragales,tracheophyta,['5386d272-06c6-4027-b5d5-d588c2afe5e5\\\\urn:catalog:mo:tropicos:3619407'],hinton 8942,5386d272-06c6-4027-b5d5-d588c2afe5e5,heuchera longipetala moc. ex ser.,longipetala,284,méxico,3755546,accepted,species,,7e9a0b53-3ac4-45a6-9343-76a924ca7475,,,,,Heuchera longipetala,-99.99,18.99
,,preservedspecimen,,heuchera longipetala,3617332,magnoliopsida,mo,http://biocol.org/urn:lsid:biocol.org:col:15859,,george b. hinton,,,north america,,mexico,mex,temascaltepec,7ddf754f-d193-4cc9-b351-99906754a03b,,2016-03-09T09:12:45.040858+00:00,0.2318840579710145,,,,,,1ecafb1ed187e8745a53465aee6d9fd3375fb47d,saxifragaceae,2878,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'dwc_multimedia_added', 'dwc_phylum_added', 'dwc_taxonid_replaced', 'idigbio_isocountrycode_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_continent_replaced', 'gbif_taxon_corrected', 'dwc_order_added', 'dwc_scientificnameauthorship_replaced', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_canonicalname_added', 'gbif_reference_added', 'gbif_vernacularname_added', 'dwc_class_added']",,heuchera,,"{'lat': 19.0166667, 'lon': -100.0333333}",,false,false,,,1.0,,mo,,,plantae,,,,,,,el crucero.,,,,,,,2830.0,,urn:catalog:mo:tropicos:3617332,saxifragales,tracheophyta,['5386d272-06c6-4027-b5d5-d588c2afe5e5\\\\urn:catalog:mo:tropicos:3617332'],hinton 877,5386d272-06c6-4027-b5d5-d588c2afe5e5,heuchera longipetala moc. ex ser.,longipetala,167,méxico,3755546,accepted,species,,d77b9ded-cc94-41ed-ae62-1e7df60086cd,,,,,Heuchera longipetala,-100.0333333,19.0166667
,,preservedspecimen,,heuchera longipetala,no disponible,magnoliopsida,encb,546,,hugh h. iltis; robert koeppen; frank iltis,,,north america,90.0,mexico,mex,tapalpa,7ddf754f-d193-4cc9-b351-99906754a03b,1960-08-07,2021-07-16T16:45:25.358539+00:00,0.36231884057971014,,,,,,8b52133378d06945ca57e188c47d09da4999261d,saxifragaceae,750,"['geopoint_datum_missing', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'gbif_vernacularname_added', 'dwc_datasetid_replaced', 'dwc_taxonid_replaced', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_class_replaced', 'dwc_parentnameusageid_added']",,heuchera,,"{'lat': 19.9569444, 'lon': -103.6861111}",,false,false,plantae; tracheophyta; equisetopsida; saxifragales; saxifragaceae; heuchera,,1.0,,encb-ipn,2028,,plantae,,,,,,,cerro de talcozagua (on sierra de tapala) 2-3 km e. of tapala,,0.0,0.0,,,0.0,2000.0,,urn:catalog:encb-ipn:encb:no disponible:4bcc501eed25e672b4bc45025a865b72,saxifragales,tracheophyta,['9401f7e8-7d41-4c57-a5da-8839be046935\\\\urn:catalog:encb-ipn:encb:nodisponible:4bcc501eed25e672b4bc45025a865b72'],,9401f7e8-7d41-4c57-a5da-8839be046935,heuchera longipetala,longipetala,220,jalisco,3755546,accepted,species,no aplica,4d7fbc43-460e-4924-8da1-7df6e2441a5b,,,,,Heuchera longipetala,-103.6861111,19.9569444
,,preservedspecimen,,heuchera longipetala,3987,magnoliopsida,zea,212,,paul sorensen; penny matekaitis,,,north america,90.0,mexico,mex,cuautitlan de garcia barragan,7ddf754f-d193-4cc9-b351-99906754a03b,1980-01-06,2021-07-27T12:06:45.100148+00:00,0.36231884057971014,,,,,,846c24dd2c5803042a84be6eaf0549947a0d9b77,saxifragaceae,7891,"['geopoint_datum_missing', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'gbif_vernacularname_added', 'dwc_datasetid_replaced', 'dwc_taxonid_replaced', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_class_replaced', 'dwc_parentnameusageid_added']",,heuchera,,"{'lat': 19.5583333, 'lon': -104.2208333}",,false,false,plantae; tracheophyta; equisetopsida; saxifragales; saxifragaceae; heuchera,,1.0,,imecbio-udg,57,,plantae,,,,,,,"rincón de manantlán, 13 km al s de el chante",,0.0,0.0,,,0.0,2250.0,,urn:catalog:imecbio-udg:zea:3987:40a3298cf9067b90f59dd4cde5dbe70c,saxifragales,tracheophyta,['0ed6268e-7449-414c-a93c-57ea68f8ab3e\\\\urn:catalog:imecbio-udg:zea:3987:40a3298cf9067b90f59dd4cde5dbe70c'],,0ed6268e-7449-414c-a93c-57ea68f8ab3e,heuchera longipetala,longipetala,6,jalisco,3755546,accepted,species,no aplica,9280fd87-3517-415c-b64e-6f80904dcd88,,,,,Heuchera longipetala,-104.2208333,19.5583333
,,preservedspecimen,,heuchera longipetala,no disponible,magnoliopsida,encb,546,,pringle,,,north america,90.0,mexico,mex,tepoztlan,7ddf754f-d193-4cc9-b351-99906754a03b,1899-02-05,2021-07-16T16:45:25.358539+00:00,0.36231884057971014,,,,,,9d9244b2e18459667448571538beca60f48fddc4,saxifragaceae,8044,"['geopoint_datum_missing', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'gbif_vernacularname_added', 'dwc_datasetid_replaced', 'dwc_taxonid_replaced', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_class_replaced', 'dwc_parentnameusageid_added']",,heuchera,,"{'lat': 18.975, 'lon': -99.0925}",,false,false,plantae; tracheophyta; equisetopsida; saxifragales; saxifragaceae; heuchera,,1.0,,encb-ipn,2028,,plantae,,,,,,,"sierra de tepoztlán, cerca de la estación el parque",,0.0,0.0,,,0.0,2250.0,,urn:catalog:encb-ipn:encb:no disponible:7e4a0dfbb448b2ee9077fa9e206dcac9,saxifragales,tracheophyta,['9401f7e8-7d41-4c57-a5da-8839be046935\\\\urn:catalog:encb-ipn:encb:nodisponible:7e4a0dfbb448b2ee9077fa9e206dcac9'],,9401f7e8-7d41-4c57-a5da-8839be046935,heuchera longipetala,longipetala,36,morelos,3755546,accepted,species,no aplica,5b0eac42-434f-4d01-b248-f2caa3cc9f13,,,,,Heuchera longipetala,-99.0925,18.975
,,preservedspecimen,,heuchera longipetala,3614361,magnoliopsida,mo,http://biocol.org/urn:lsid:biocol.org:col:15859,,george b. hinton,,,north america,,mexico,mex,temascaltepec,7ddf754f-d193-4cc9-b351-99906754a03b,,2016-03-09T09:12:45.040858+00:00,0.21739130434782608,,,,,,a54e44abf6622309833cafe31fa06a00110f6238,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'dwc_multimedia_added', 'dwc_phylum_added', 'dwc_taxonid_replaced', 'idigbio_isocountrycode_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_continent_replaced', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_canonicalname_added', 'gbif_reference_added', 'gbif_vernacularname_added', 'dwc_order_added', 'dwc_class_added']",,heuchera,,"{'lat': 19.05, 'lon': -99.87}",,false,false,,,,,mo,,,plantae,,,,,,,cajones,,,,,,,2460.0,,urn:catalog:mo:tropicos:3614361,saxifragales,tracheophyta,['5386d272-06c6-4027-b5d5-d588c2afe5e5\\\\urn:catalog:mo:tropicos:3614361'],hinton 3518,5386d272-06c6-4027-b5d5-d588c2afe5e5,heuchera longipetala moc. ex ser.,longipetala,81,méxico,3755546,accepted,species,,62d1437a-3f57-46d8-a863-99d9b735ed4d,,,,,Heuchera longipetala,-99.87,19.05
,,preservedspecimen,,heuchera longipetala,no disponible,magnoliopsida,encb,546,,hugh h. iltis; matekaitis,,,north america,90.0,mexico,mex,autlan de navarro,7ddf754f-d193-4cc9-b351-99906754a03b,1980-06-06,2021-07-16T16:45:25.358539+00:00,0.36231884057971014,,,,,,049956d3d207806addab7141221d41f097375808,saxifragaceae,7891,"['geopoint_datum_missing', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'gbif_vernacularname_added', 'dwc_datasetid_replaced', 'dwc_taxonid_replaced', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_class_replaced', 'dwc_parentnameusageid_added']",,heuchera,,"{'lat': 19.5591667, 'lon': -104.1986111}",,false,false,plantae; tracheophyta; equisetopsida; saxifragales; saxifragaceae; heuchera,,1.0,,encb-ipn,2028,,plantae,,,,,,,17.5 km s of el chante,,0.0,0.0,,,0.0,1550.0,,urn:catalog:encb-ipn:encb:no disponible:7c0cc7ffcfd3daa516883e6b089ffe1b,saxifragales,tracheophyta,['9401f7e8-7d41-4c57-a5da-8839be046935\\\\urn:catalog:encb-ipn:encb:nodisponible:7c0cc7ffcfd3daa516883e6b089ffe1b'],,9401f7e8-7d41-4c57-a5da-8839be046935,heuchera longipetala,longipetala,158,jalisco,3755546,accepted,species,no aplica,1dc3b4e2-9ad3-4e01-bde9-a25198ad12f6,,,,,Heuchera longipetala,-104.1986111,19.5591667
