associatedsequences,barcodeValue,basisOfRecord,bed,canonicalName,catalogNumber,class,collectionCode,collectionID,collectionName,recordedBy,vernacularName,commonnames,continent,coordinateUncertaintyInMeters,country,isoCountryCode,county,datasetID,eventDate,dateModified,dataQualityScore,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,etag,family,fieldNumber,flags,formation,genus,geologicalContextID,geoPoint,group,hasImage,hasMedia,higherClassification,highestBiostratigraphicZone,individualCount,infraspecificEpithet,institutionCode,institutionID,institutionName,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lithostratigraphicTerms,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,mediarecords,member,minimumDepthInMeters,minimumElevationInMeters,municipality,occurrenceID,order,phylum,recordIds,recordNumber,recordset,scientificName,specificEpithet,startDayOfYear,stateProvince,taxonID,taxonomicStatus,taxonRank,typeStatus,uuid,verbatimEventDate,verbatimLocality,version,waterBody,species_name,x,y
,,preservedspecimen,,heuchera villosa,conn00166146,magnoliopsida,conn,,,r. bruce ledin,,,north america,,united states,usa,,7ddf754f-d193-4cc9-b351-99906754a03b,1948-09-18,2014-09-12T19:26:58.893000+00:00,0.17391304347826086,,,,,,b3985a504623e5ae20789c88ad3a11f9e44a130b,saxifragaceae,,"['geopoint_datum_missing', 'geopoint_low_precision', 'dwc_taxonrank_added', 'dwc_phylum_added', 'dwc_scientificnameauthorship_added', 'dwc_kingdom_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_order_replaced', 'dwc_taxonomicstatus_added', 'dwc_continent_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'gbif_reference_added', 'dwc_class_added', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'gbif_vernacularname_added', 'gbif_taxon_corrected', 'dwc_multimedia_added', 'dwc_datasetid_replaced']",,heuchera,,"{'lat': 37.80777, 'lon': -79.15}",,true,true,plantae; dicotyledonae; rosales; saxifragaceae,,,,uconn,,,plantae,,,,,,,blue ridge mountains south of roanoke,,,,87b0289f-656d-460e-8f59-53c4e69c0f5a,,,,blue ridge mountains,urn:catalog:uconn:conn:conn00166146,saxifragales,tracheophyta,['e70af26a-fb9e-43ab-96a0-d62a2df37e6d\\\\urn:catalog:uconn:conn:conn00166146'],,e70af26a-fb9e-43ab-96a0-d62a2df37e6d,heuchera villosa michx.,villosa,262,virginia,3032655,accepted,species,,74652f05-d047-49a3-89d4-ca500a358da8,18-sep-48,,,,Heuchera villosa,-79.15,37.80777
,,preservedspecimen,,heuchera villosa,02921369,magnoliopsida,ny,http://biocol.org/urn:lsid:biocol.org:col:15556,,k. g. spellman,,,north america,,united states,usa,bronx co.,7ddf754f-d193-4cc9-b351-99906754a03b,2017-08-04,2021-08-21T02:58:27.774336+00:00,0.30434782608695654,,,,,,249583afedc591d2df958ea294c01f7b7788b483,saxifragaceae,,"['dwc_country_replaced', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_phylum_replaced', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 40.862289, 'lon': -73.877023}",,false,false,,,,macrorhiza,ny,http://biocol.org/urn:lsid:biocol.org:col:15556,,plantae,,,,,,,new york botanical garden,,,,,,,,new york city,b58eb52e-ccb3-447a-b968-8ae1aa9fcd4d,saxifragales,tracheophyta,['36d35b23-113e-4633-90ec-19d265a3b5f6\\\\b58eb52e-ccb3-447a-b968-8ae1aa9fcd4d'],4,36d35b23-113e-4633-90ec-19d265a3b5f6,heuchera villosa var. macrorhiza (small) rosend.,villosa,216,new york,3032655,accepted,species,,75e0cb46-8a9c-41a0-829d-5f878ee7d4af,04 aug 2017,,,,Heuchera villosa,-73.877023,40.862289
,,preservedspecimen,,heuchera villosa,conn00166144,magnoliopsida,conn,,,,,,north america,5000.0,united states,usa,buncombe county,7ddf754f-d193-4cc9-b351-99906754a03b,1896-08-19,2014-09-09T01:32:49.830000+00:00,0.2028985507246377,,,,,,226fec6d84c833f2edb8aef9f4be4b747c9558ac,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'dwc_phylum_added', 'dwc_scientificnameauthorship_added', 'dwc_kingdom_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_order_replaced', 'dwc_taxonomicstatus_added', 'dwc_continent_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'gbif_reference_added', 'dwc_class_added', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'gbif_vernacularname_added', 'gbif_taxon_corrected', 'dwc_multimedia_added', 'dwc_datasetid_replaced']",,heuchera,,"{'lat': 35.55805, 'lon': -82.53333}",,true,true,plantae; dicotyledonae; rosales; saxifragaceae,,,,uconn,,,plantae,,,,,,,biltmore,,,,fe20bae5-c0c6-42ff-82e8-fa9a0aeb8012,,,,biltmore,urn:catalog:uconn:conn:conn00166144,saxifragales,tracheophyta,['e70af26a-fb9e-43ab-96a0-d62a2df37e6d\\\\urn:catalog:uconn:conn:conn00166144'],,e70af26a-fb9e-43ab-96a0-d62a2df37e6d,heuchera villosa michx.,villosa,232,north carolina,3032655,accepted,species,,0268f2f8-7c9b-47da-b68f-8238349979fa,19 aug 1896,,,,Heuchera villosa,-82.53333,35.55805
,,preservedspecimen,,heuchera villosa,000132903,magnoliopsida,fsu,,,r.  kral,,,north america,,united states,usa,hickman,7ddf754f-d193-4cc9-b351-99906754a03b,1981-07-23,2017-01-08T07:08:27.062554+00:00,0.2318840579710145,,,,,,61963aa43f696691540971671a70f860ef76cf29,saxifragaceae,,"['dwc_taxonrank_added', 'dwc_multimedia_added', 'gbif_reference_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'dwc_scientificnameauthorship_replaced', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'gbif_vernacularname_added', 'gbif_taxon_corrected', 'dwc_order_added', 'dwc_class_added']",,heuchera,,"{'lat': 35.8038839147, 'lon': -87.4734171896}",,false,false,,,,,fsu,http://biocol.org/urn:lsid:biocol.org:col:15666,,plantae,,,,,,,limestone bluffs along mill creek ca. 1 mi. e. tn 48 bridge n of [nunnelly],,,,,,,,,urn:uuid:5726b312-f54b-4dc2-9ff2-76827bb02767,saxifragales,tracheophyta,['b2b294ed-1742-4479-b0c8-a8891fccd7eb\\\\urn:uuid:5726b312-f54b-4dc2-9ff2-76827bb02767'],67417,b2b294ed-1742-4479-b0c8-a8891fccd7eb,heuchera villosa,villosa,204,tennessee,3032655,accepted,species,,06901bbb-82c3-481b-92b2-9098dbd10c84,,,,,Heuchera villosa,-87.4734171896,35.8038839147
,,preservedspecimen,,heuchera villosa,101136209,magnoliopsida,mo,http://biocol.org/urn:lsid:biocol.org:col:15859,,zack irick,,,north america,,united states,usa,hamilton,7ddf754f-d193-4cc9-b351-99906754a03b,,2019-07-13T21:07:03.051928+00:00,0.2318840579710145,,,,,,3506dadafc58d6158f41f01d35c039fa43713812,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'dwc_datasetid_added', 'dwc_multimedia_added', 'dwc_phylum_added', 'dwc_taxonid_replaced', 'idigbio_isocountrycode_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_parentnameusageid_added', 'dwc_scientificnameauthorship_added', 'gbif_canonicalname_added', 'gbif_reference_added', 'gbif_vernacularname_added', 'dwc_order_added', 'dwc_class_added']",,heuchera,,"{'lat': 35.3122167, 'lon': -85.1829667}",,false,false,,,1.0,villosa,mo,,,plantae,,,,,,,"in the vicinity of the cliffline above board camp creek, south of the wooden stairs. plants collected on a lower gorge sloe in rocky woods.",,,,,,,,,urn:catalog:mo:tropicos:101136209,saxifragales,tracheophyta,['5386d272-06c6-4027-b5d5-d588c2afe5e5\\\\urn:catalog:mo:tropicos:101136209'],irick s.n.,5386d272-06c6-4027-b5d5-d588c2afe5e5,heuchera villosa var. villosa,villosa,225,tennessee,3032655,accepted,species,,2b25ea06-1302-47a3-bfac-e01e9243f778,,,,,Heuchera villosa,-85.1829667,35.3122167
,,preservedspecimen,,heuchera villosa,,magnoliopsida,,1d328472-3b59-43d8-834c-385410415424,,frosty levy; elaine walker,,,north america,,united states,usa,unicoi,7ddf754f-d193-4cc9-b351-99906754a03b,2011-10-08,2021-11-03T12:43:59.236263+00:00,0.2463768115942029,,,,,,eff5c21d3ca420c4eaf854802daf3b31090c99d5,saxifragaceae,,"['geopoint_datum_missing', 'dwc_multimedia_added', 'gbif_reference_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_class_added']",,heuchera,,"{'lat': 36.05246, 'lon': -82.57445}",,false,false,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera villosa,,,villosa,etsu,,,plantae,,,,,,,"0.25 mi ene of jct of flint cr and rocky fk, mid s slope outcrop, elev. 2800 ft",,,,,,,,flag pond,7d8f1347-dc9c-471b-8993-3222278c1e57,saxifragales,tracheophyta,"['urn:uuid:7d8f1347-dc9c-471b-8993-3222278c1e57', '21b563bc-70c2-46d5-bce8-2489db2db3d8\\\\7d8f1347-dc9c-471b-8993-3222278c1e57', '21b563bc-70c2-46d5-bce8-2489db2db3d8\\\\20492291']",,21b563bc-70c2-46d5-bce8-2489db2db3d8,heuchera villosa var. villosa,villosa,281,tennessee,3032655,accepted,species,,addf89f2-76f1-4471-9fac-f59b934f872e,2011-10-8,,,,Heuchera villosa,-82.57445,36.05246
,,preservedspecimen,,heuchera villosa,4181,magnoliopsida,,3858a568-5677-4954-8d69-4c684a767b01,,"crafton, w. m.",,,north america,4676.0,united states,usa,buncombe,7ddf754f-d193-4cc9-b351-99906754a03b,1935-07-15,2021-12-17T14:20:39.287946+00:00,0.21739130434782608,,,,,,39760aff22db2c1bb1d058cd1e6b12639d6d8eb0,saxifragaceae,,"['geopoint_datum_missing', 'dwc_country_replaced', 'gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 35.490562, 'lon': -82.621311}",,false,false,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,,unca,,,plantae,,,,,,,bent creek experimental forest.,,,,,,,,,bd95573d-e7a5-4ac6-a33c-71db1016a72c,saxifragales,tracheophyta,"['de67ccab-7d04-43b9-8083-81e45f628505\\\\bd95573d-e7a5-4ac6-a33c-71db1016a72c', 'urn:uuid:bd95573d-e7a5-4ac6-a33c-71db1016a72c', 'de67ccab-7d04-43b9-8083-81e45f628505\\\\7143378']",,de67ccab-7d04-43b9-8083-81e45f628505,heuchera villosa,villosa,196,north carolina,3032655,accepted,species,,955621d5-29a7-441f-934f-02a62db20dbb,,,,,Heuchera villosa,-82.621311,35.490562
,,preservedspecimen,,heuchera villosa,ind-0046577,magnoliopsida,,28be2df2-5062-4277-a5d8-fdd890b9b10b,,charles c. deam,,,north america,620.0,united states,usa,harrison,7ddf754f-d193-4cc9-b351-99906754a03b,1922-05-11,2021-12-17T14:42:25.629739+00:00,0.2753623188405797,,,,,,6ee6a69ab8ad6c7a00337d6a3181b633968b2d78,saxifragaceae,,"['geopoint_datum_missing', 'gbif_reference_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_class_added']",,heuchera,,"{'lat': 38.018128, 'lon': -86.111555}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera villosa,,,villosa,ind,,,plantae,,,,,,,bank of the ohio river about 2 1/4 mi. southwest of laconia,,,,eb0a74f2-3954-4d0f-970e-1b62011b2c74,,,,,7d317fb5-916a-4af2-bd8b-f6a8b1bcd4e0,saxifragales,tracheophyta,"['0dab1fc7-ca99-456b-9985-76edbac003e0\\\\7d317fb5-916a-4af2-bd8b-f6a8b1bcd4e0', '0dab1fc7-ca99-456b-9985-76edbac003e0\\\\10372670', 'urn:uuid:7d317fb5-916a-4af2-bd8b-f6a8b1bcd4e0']",35549,0dab1fc7-ca99-456b-9985-76edbac003e0,heuchera villosa var. villosa,villosa,131,indiana,3032655,accepted,species,,e257e109-45a1-438c-ab88-ee5bd478f459,may 11 1922,,,,Heuchera villosa,-86.111555,38.018128
,,preservedspecimen,,heuchera villosa,ind-0046584,magnoliopsida,,28be2df2-5062-4277-a5d8-fdd890b9b10b,,george s. ramseur,,,north america,1800.0,united states,usa,watauga,7ddf754f-d193-4cc9-b351-99906754a03b,1957-08-05,2021-12-17T14:42:25.629739+00:00,0.2753623188405797,,,,,,d4c79764bfdcbe6f8cc75938ec18b0ba9345f1ee,saxifragaceae,,"['geopoint_datum_missing', 'gbif_reference_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_class_added']",,heuchera,,"{'lat': 36.112556, 'lon': -81.810641}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera villosa,,,villosa,ind,,,plantae,,,,,,,"calloway peak, near summit",,,,5db1a878-d59c-4e6e-b77b-d91ad0955ac0,,,,,1cf597a6-3a77-4c7f-8b1c-9fd071b98caa,saxifragales,tracheophyta,"['0dab1fc7-ca99-456b-9985-76edbac003e0\\\\1cf597a6-3a77-4c7f-8b1c-9fd071b98caa', '0dab1fc7-ca99-456b-9985-76edbac003e0\\\\10372734', 'urn:uuid:1cf597a6-3a77-4c7f-8b1c-9fd071b98caa']",3943,0dab1fc7-ca99-456b-9985-76edbac003e0,heuchera villosa var. villosa,villosa,217,north carolina,3032655,accepted,species,,e9736aa1-1284-4157-baec-56a43a6333f9,"august 5, 1957",,,,Heuchera villosa,-81.810641,36.112556
,,preservedspecimen,,heuchera villosa,mem021391,magnoliopsida,,fbad47d8-6a83-4e5c-bbfc-625c2516f81a,,dwayne estes; matt valente,,,north america,,united states,usa,bibb,7ddf754f-d193-4cc9-b351-99906754a03b,2006-10-09,2022-02-07T13:50:24.163846+00:00,0.2463768115942029,,,,,,76813a94e914b4d6bfe6450939a343bdcc77e80e,saxifragaceae,,"['geopoint_datum_missing', 'dwc_multimedia_added', 'gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_class_added']",,heuchera,,"{'lat': 33.0475, 'lon': -87.0917}",,false,false,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,,mem,,,plantae,,,,,,,pratt creek,,,,,,,,,40c84751-eef2-46af-a264-34eff6ac51e0,saxifragales,tracheophyta,"['1d17fdad-d338-4ae0-9232-dbf18eaf9f66\\\\40c84751-eef2-46af-a264-34eff6ac51e0', '1d17fdad-d338-4ae0-9232-dbf18eaf9f66\\\\28481564']",09588,1d17fdad-d338-4ae0-9232-dbf18eaf9f66,heuchera villosa,villosa,282,alabama,3032655,accepted,species,,3493cbf1-e38f-4bc1-81fb-92f92dfb5eac,10/09/2006,,,,Heuchera villosa,-87.0917,33.0475
