Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
6.82283E-13,0.000000001,0,0.992329913,0,0
1.24349E-12,0.000000003,0,0.990736129,0,0
3.32286E-12,0.00000001,0,0.987249726,0,0
7.86881E-12,0.000000026,0.000000001,0.984560215,0,0
2.95691E-11,0.000000102,0.000000004,0.980476143,0,0
6.16591E-11,0.000000253,0.000000008,0.977089352,0,0
1.72313E-10,0.000001015,0.000000022,0.970514992,0,0
3.34186E-10,0.00000252,0.000000042,0.964637912,0,0
1.02013E-9,0.000010001,0.000000129,0.952883753,0,0
1.92017E-9,0.000025118,0.000000242,0.942424544,0,0
3.01615E-9,0.000050207,0.00000038,0.932363781,0,0
4.4665E-9,0.000100401,0.000000563,0.91911545,0,0
8.38986E-9,0.000250783,0.000001058,0.895806355,0,0
1.24183E-8,0.000500405,0.000001566,0.871600757,0,0
1.99912E-8,0.001001553,0.000002521,0.840621576,0,0
3.44608E-8,0.002502507,0.000004346,0.785436796,0,0
5.63713E-8,0.005003365,0.000007109,0.729953183,0,0
9.48754E-8,0.010006366,0.000011964,0.662217352,0,0
2.05057E-7,0.025017291,0.000025859,0.558322542,0,0
3.63096E-7,0.050000093,0.000045788,0.468273732,0,0
6.33563E-7,0.100027139,0.000079894,0.367566491,0,0
1.10725E-6,0.200107031,0.000139623,0.249526845,0,0
1.73291E-6,0.300077203,0.000218508,0.176910051,0,0
2.5527E-6,0.4000614,0.000321862,0.129694193,0,0
3.69004E-6,0.500042561,0.000465233,0.097220839,0,0
5.1567E-6,0.600504222,0.000650087,0.074409802,0,0
7.20092E-6,0.70043097,0.000907677,0.057774679,0,0
8.21374E-6,0.750648707,0.001035277,0.05129993,0,0
9.58392E-6,0.800020449,0.001207874,0.045721685,0,0
1.33519E-5,0.900697783,0.001682355,0.036856261,0,0
1.75129E-5,1.000148739,0.002206068,0.030381512,0,0
2.27162E-5,1.10074181,0.002860576,0.025301325,0,0
2.99982E-5,1.202922017,0.003775854,0.021416476,0,0
1.14408E-4,1.311210906,0.014324087,0.019125411,0,0
2.0158E-4,1.40906786,0.025100285,0.018527742,0,0
2.40726E-4,1.521995962,0.029901225,0.018029684,0,0
3.23705E-4,1.756900688,0.039999635,0.017232792,0,0
4.80244E-4,2.036119675,0.058764897,0.016535512,0,0
5.08802E-4,2.285725967,0.062148596,0.016037454,0,0
5.35976E-4,2.545705105,0.065356944,0.015539396,0,0
5.73572E-4,2.767570505,0.069777693,0.01514095,0,0
7.06145E-4,3.02972735,0.085200215,0.014742504,0,0
8.18229E-4,3.331621724,0.098039703,0.014344058,0,0
8.5959E-4,3.584266879,0.102732014,0.014045224,0,0
1.05091E-3,3.783862995,0.124121608,0.013846001,0,0
1.07576E-3,4.104322976,0.126861953,0.013547166,0,0
1.16243E-3,4.332862264,0.136352419,0.013347943,0,0
1.23926E-3,4.577876676,0.144680519,0.01314872,0,0
1.26187E-3,4.830029721,0.147115194,0.012949497,0,0
1.43103E-3,5.111790742,0.165116818,0.012750274,0,0
1.43383E-3,5.25517391,0.16541175,0.012650662,0,0
1.56667E-3,5.55763741,0.179275941,0.012451439,0,0
1.64237E-3,5.883271175,0.187074036,0.012252216,0,0
1.64673E-3,6.047944378,0.18752091,0.012152605,0,0
1.66047E-3,6.379004424,0.188927633,0.011953382,0,0
1.66283E-3,6.545287393,0.189168597,0.01185377,0,0
1.81919E-3,6.905006106,0.205000128,0.011654547,0,0
1.87507E-3,7.092512801,0.210582403,0.011554936,0,0
1.88156E-3,7.280668874,0.211228603,0.011455324,0,0
1.92371E-3,7.665290365,0.215409839,0.011256101,0,0
1.99504E-3,7.864794283,0.222435912,0.01115649,0,0
2.02423E-3,8.067217399,0.225293116,0.011056878,0,0
2.03793E-3,8.27101054,0.226630425,0.010957267,0,0
2.18063E-3,8.703933242,0.240422629,0.010758044,0.025641026,0
2.25445E-3,8.929378069,0.247461121,0.010658432,0.025641026,0
2.38941E-3,9.168319557,0.260161165,0.010558821,0.025641026,0
2.39539E-3,9.407858211,0.260718105,0.010459209,0.025641026,0
2.40618E-3,9.648475724,0.261723231,0.010359598,0.051282051,0
2.54627E-3,9.903102929,0.274652013,0.010259986,0.051282051,0
2.62723E-3,10.16582597,0.282019741,0.010160375,0.051282051,0
2.71501E-3,10.437327401,0.289924094,0.010060763,0.051282051,0
2.74543E-3,10.711870589,0.292642643,0.009961152,0.051282051,0
2.8034E-3,10.992210919,0.297795011,0.00986154,0.051282051,0
2.83253E-3,11.275464406,0.300369974,0.009761928,0.051282051,0
3.08186E-3,11.583650366,0.322025303,0.009662317,0.051282051,0
3.14969E-3,11.898619671,0.327800167,0.009562705,0.051282051,0
