Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.69963E-12,0.000000001,0,0.99880597,0,0
2.11827E-12,0.000000003,0,0.998109453,0,0
4.47451E-12,0.00000001,0,0.995820896,0,0
7.39644E-12,0.000000025,0.000000001,0.993333333,0,0
1.70768E-11,0.0000001,0.000000002,0.987164179,0,0
3.15114E-11,0.000000251,0.000000003,0.980895522,0,0
8.03542E-11,0.000001003,0.000000008,0.967064677,0,0
2.08449E-10,0.00000251,0.00000002,0.956218905,0,0
6.60465E-10,0.000010012,0.000000063,0.938308458,0,0
1.20972E-9,0.000025023,0.000000115,0.922487562,0,0
1.94158E-9,0.000050044,0.000000184,0.906567164,0,0
3.0577E-9,0.000100197,0.00000029,0.886368159,0,0
6.13833E-9,0.000250454,0.000000583,0.852935323,0,0
1.09331E-8,0.000500352,0.000001038,0.823781095,0,0
2.11589E-8,0.001001212,0.000002009,0.792238806,0,0
5.057E-8,0.002503439,0.0000048,0.747562189,0,0
9.68204E-8,0.005001273,0.000009191,0.713432836,0,0
1.5319E-7,0.010004515,0.000014542,0.673631841,0,0
2.781E-7,0.025020843,0.000026399,0.602487562,0,0
4.19397E-7,0.050019162,0.000039812,0.531343284,0,0
6.24085E-7,0.100010945,0.000059241,0.435323383,0,0
9.77096E-7,0.200062873,0.000092749,0.308557214,0,0
1.40138E-6,0.30000446,0.000133021,0.22358209,0,0
1.91536E-6,0.400137477,0.000181804,0.162487562,0,0
2.513E-6,0.500151663,0.000238524,0.116915423,0,0
3.28575E-6,0.600133084,0.00031186,0.082189055,0,0
4.38004E-6,0.700071855,0.000415701,0.0560199,0,0
5.04779E-6,0.750282243,0.00047906,0.045373134,0,0
5.75624E-6,0.800358968,0.000546277,0.036119403,0,0
7.93077E-6,0.900135621,0.000752566,0.021293532,0,0
1.43621E-4,1.006409397,0.013541064,0.013233831,0,0
2.43609E-4,1.109545615,0.022859877,0.012736318,0,0
3.36692E-4,1.223281406,0.031456011,0.012338308,0,0
3.89509E-4,1.333836378,0.036299986,0.012039801,0,0
4.15338E-4,1.415810799,0.038659954,0.011840796,0,0
4.77898E-4,1.507512912,0.044352084,0.011641791,0,0
6.22103E-4,1.791732249,0.057344927,0.011144279,0,0
7.32582E-4,2.005432248,0.0671793,0.010845771,0,0
8.43511E-4,2.321772725,0.076950668,0.010447761,0,0
9.74514E-4,2.508552062,0.088358451,0.010248756,0,0
1.13186E-3,2.840040426,0.101874234,0.009950249,0.019607843,0
1.14938E-3,3.069551027,0.1033662,0.009751244,0.019607843,0
1.25034E-3,3.310654313,0.111918734,0.009552239,0.019607843,0
1.36451E-3,3.583382638,0.121491763,0.009353234,0.019607843,0
1.49346E-3,3.876696152,0.132179981,0.009154229,0.019607843,0
1.579E-3,4.034596452,0.139198298,0.009054726,0.019607843,0
1.66745E-3,4.362383918,0.146395688,0.008855721,0.019607843,0
1.95645E-3,4.558029012,0.169495039,0.008756219,0.019607843,0
