Predictor variable,Categorical,Sample average
BIOCLIM_1,false,58.4375
BIOCLIM_12,false,1079.0
BIOCLIM_17,false,57.9375
BIOCLIM_7,false,296.25
GTOPO30_ELEVATION,false,1656.5625
GTOPO30_SLOPE_reduced,false,8.53125
ISRICSOILGRIDS_new_average_coarsefragmentpercent_reduced,false,27.34375
ISRICSOILGRIDS_new_average_phx10percent_reduced,false,57.4375
ISRICSOILGRIDS_new_average_sandpercent_reduced,false,55.125
ISRICSOILGRIDS_new_average_soilorganiccarboncontent_reduced,false,62.28125
LandCover_1_Needleleaf,false,85.8125
LandCover_6_Herbaceous,false,3.84375
mask,true,50.0
