Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.49227E-13,0.000000001,0,0.992210905,0,0
6.37074E-13,0.000000003,0,0.989514679,0,0
1.4006E-12,0.00000001,0,0.982224885,0,0
2.45674E-12,0.000000025,0,0.97463551,0,0
6.5617E-12,0.0000001,0,0.957359696,0,0
1.51871E-11,0.000000251,0,0.942879968,0,0
4.94857E-11,0.000001001,0.000000001,0.91831436,0,0
9.52343E-11,0.000002508,0.000000003,0.897143998,0,0
2.864E-10,0.000010027,0.000000008,0.855901738,0,0
5.52534E-10,0.000025002,0.000000015,0.819852207,0,0
9.81986E-10,0.000050036,0.000000026,0.786399041,0,0
1.82183E-9,0.00010003,0.000000048,0.749650489,0,0
4.0969E-9,0.000250088,0.000000109,0.697423607,0,0
6.955E-9,0.000500179,0.000000185,0.651687637,0,0
1.08316E-8,0.001001077,0.000000288,0.594467745,0,0
2.06301E-8,0.002501605,0.000000548,0.495406431,0,0
4.24058E-8,0.005003473,0.000001127,0.412222888,0,0
8.42252E-8,0.010007657,0.000002238,0.331136409,0,0
2.3123E-7,0.025007152,0.000006145,0.225384462,0,0
5.52971E-7,0.050026434,0.000014694,0.156281206,0,0
1.46655E-6,0.100064163,0.00003897,0.101158378,0,0
4.4625E-6,0.200085478,0.000118576,0.062013182,0,0
8.34539E-6,0.300094997,0.000221739,0.04613541,0,0
1.29113E-5,0.400075723,0.000343036,0.036548832,0,0
1.92051E-5,0.501160688,0.000510212,0.030057919,0,0
2.67386E-5,0.602359333,0.000710279,0.02576393,0,0
3.62998E-5,0.700910947,0.000964137,0.022668264,0,0
3.99245E-5,0.750482577,0.001060359,0.021370082,0,0
4.19102E-5,0.803714012,0.00111307,0.020071899,0,0
5.24834E-5,0.903261631,0.001393682,0.017974835,0,0
6.14648E-5,1.005375165,0.001631984,0.016177352,0,0
6.78645E-5,1.102572183,0.001801752,0.014679449,0,0
7.37487E-5,1.202087064,0.001957822,0.013281406,0,0
8.19624E-5,1.304699502,0.002175634,0.011983223,0,0
9.17957E-5,1.408212392,0.002436335,0.010784901,0,0
1.0096E-4,1.505721434,0.00267925,0.009786299,0,0
1.34465E-4,1.751185945,0.003566792,0.007689235,0,0
2.04185E-4,2.00912177,0.005411148,0.006091472,0,0
2.84377E-4,2.255059081,0.007528338,0.00509287,0,0
6.18485E-4,2.558157554,0.01630081,0.004393849,0,0
8.84633E-4,2.784319672,0.023233388,0.004094268,0,0
9.59991E-4,3.068987521,0.025187409,0.003794687,0,0
1.02589E-3,3.268035575,0.026893087,0.003594967,0,0
1.60785E-3,3.568828086,0.04182597,0.003395247,0,0
1.67473E-3,3.898122554,0.043527262,0.003195526,0,0
1.99218E-3,4.097340576,0.05156179,0.003095666,0,0
2.0054E-3,4.297880832,0.051894975,0.002995806,0,0
2.33007E-3,4.530888079,0.060039589,0.002895946,0,0
2.46281E-3,4.777168611,0.063349121,0.002796085,0,0
2.8061E-3,5.057778339,0.071854743,0.002696225,0,0
3.13104E-3,5.370882132,0.079834515,0.002596365,0,0
3.52087E-3,5.722968934,0.089317345,0.002496505,0,0
4.08718E-3,6.131687359,0.102919461,0.002396645,0,0
4.61204E-3,6.592891059,0.115344221,0.002296785,0,0
5.71207E-3,7.164097621,0.140829559,0.002196924,0,0
8.30685E-3,7.994782504,0.198074603,0.002097064,0,0
1.20845E-2,9.203234535,0.274667117,0.001997204,0,0
1.2164E-2,10.419638256,0.276198141,0.001897344,0,0
1.83516E-2,12.254793616,0.385938268,0.001797484,0,0
2.01437E-2,14.269160561,0.414495903,0.001697623,0,0
2.14254E-2,16.411699011,0.434101978,0.001597763,0,0
2.49922E-2,18.910923105,0.485275895,0.001497903,0.066666667,0
3.79111E-2,22.702035355,0.634840298,0.001398043,0.066666667,0
3.8237E-2,26.525731477,0.637988415,0.001298183,0.133333333,0
4.22272E-2,30.74845403,0.67440898,0.001198322,0.2,0
4.29127E-2,35.039724776,0.680286081,0.001098462,0.266666667,0
4.61683E-2,39.656559276,0.706782741,0.000998602,0.333333333,0
5.39983E-2,45.056390374,0.761862926,0.000898742,0.4,0
5.42127E-2,50.477657159,0.763215535,0.000798882,0.466666667,0
5.93672E-2,56.414377725,0.79352535,0.000699021,0.533333333,0
6.05553E-2,62.469912405,0.799942483,0.000599161,0.6,0
6.32918E-2,68.799089547,0.813973468,0.000499301,0.666666667,0
6.58827E-2,75.387361907,0.826350418,0.000399441,0.733333333,0
7.75492E-2,83.142282602,0.872639279,0.000299581,0.8,0
8.24045E-2,91.382731444,0.888055531,0.00019972,0.866666667,0
8.61727E-2,100,0.898721939,0.00009986,0.933333333,0
8.61727E-2,100,0.898721939,0.00009986,1,0
