Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
7.81472E-10,0.000000078,0.000000227,1,0,0
9.50219E-10,0.000000173,0.000000276,0.999901633,0,0
1.41285E-9,0.000000314,0.00000041,0.999803266,0,0
1.65782E-9,0.000001083,0.000000481,0.99931143,0,0
2.22623E-9,0.000002643,0.000000646,0.998524493,0,0
3.30245E-9,0.000010196,0.000000958,0.995868582,0,0
4.33582E-9,0.000025194,0.000001258,0.991933897,0,0
5.18147E-9,0.000050432,0.000001504,0.986720441,0,0
6.65272E-9,0.000100387,0.000001931,0.978457604,0,0
9.7295E-9,0.000250572,0.000002824,0.960456423,0,0
1.32213E-8,0.000500349,0.000003837,0.939110761,0,0
1.95735E-8,0.00100161,0.00000568,0.908813693,0,0
3.86166E-8,0.002502767,0.000011207,0.856875861,0,0
5.87971E-8,0.005001117,0.000017064,0.806807004,0,0
8.56139E-8,0.010001783,0.000024846,0.738441865,0,0
1.45682E-7,0.025001544,0.000042278,0.609679323,0,0
2.15007E-7,0.050000471,0.000062396,0.47314578,0,0
3.50591E-7,0.100031235,0.000101742,0.292838875,0,0
8.17527E-7,0.200005108,0.00023723,0.100826284,0,0
5.67256E-6,0.300488405,0.001644909,0.033543183,0,0
1.41569E-4,0.403253798,0.04025281,0.032362778,0,0
2.05122E-4,0.505267108,0.057792291,0.031772575,0,0
2.88E-4,0.625433652,0.080184252,0.03128074,0,0
2.9894E-4,0.713957478,0.083100011,0.030985638,0,0
3.34905E-4,0.777651337,0.092620582,0.030788904,0,0
3.39037E-4,0.811554995,0.093707829,0.030690537,0,0
3.83673E-4,0.922664401,0.105372479,0.030395436,0,0
4.29618E-4,1.005358381,0.117222054,0.030198702,0,0
5.46626E-4,1.150568923,0.146695676,0.0299036,0,0
5.76342E-4,1.208203127,0.154023055,0.029805233,0,0
6.05985E-4,1.327812438,0.161269738,0.029608499,0,0
7.02688E-4,1.460844393,0.184481117,0.029411765,0,0
7.47865E-4,1.535630871,0.195103565,0.029313398,0,0
7.68245E-4,1.762309077,0.199850232,0.029018296,0,0
8.32699E-4,2.080446518,0.214678228,0.028624828,0.006024096,0
8.96919E-4,2.256401724,0.229179282,0.028428094,0.012048193,0
1.00766E-3,2.550354713,0.253558227,0.028132992,0.018072289,0
1.05921E-3,2.761498886,0.264642521,0.027936258,0.018072289,0
1.1995E-3,3.101057607,0.293981876,0.027641157,0.018072289,0
1.20968E-3,3.342559912,0.296063438,0.027444423,0.018072289,0
1.26451E-3,3.590039264,0.307175523,0.027247688,0.018072289,0
1.26629E-3,3.843274106,0.307535215,0.027050954,0.018072289,0
1.30147E-3,4.102472151,0.314568126,0.02685422,0.024096386,0
1.38531E-3,4.377720826,0.33104378,0.026657486,0.024096386,0
1.38754E-3,4.516474799,0.33147735,0.026559119,0.030120482,0
1.46552E-3,4.805291659,0.346436353,0.026362384,0.036144578,0
1.47699E-3,5.099863156,0.348608594,0.02616565,0.036144578,0
1.4967E-3,5.397294266,0.352324778,0.025968916,0.036144578,0
1.5029E-3,5.54758473,0.353489372,0.025870549,0.042168675,0
1.52775E-3,5.853022019,0.358134061,0.025673815,0.042168675,0
1.56461E-3,6.009483388,0.364964605,0.025575448,0.048192771,0
1.6425E-3,6.330618192,0.379157372,0.025378713,0.048192771,0
1.66924E-3,6.662894491,0.383956909,0.025181979,0.048192771,0
1.67641E-3,6.830534997,0.385236777,0.025083612,0.048192771,0
1.69976E-3,7.16984447,0.389389974,0.024886878,0.048192771,0
1.72718E-3,7.342562344,0.394229076,0.024788511,0.048192771,0
1.72988E-3,7.515550028,0.394703227,0.024690144,0.048192771,0
1.76146E-3,7.867691768,0.40022577,0.024493409,0.048192771,0
1.76767E-3,8.044458647,0.401305724,0.024395042,0.048192771,0
1.82716E-3,8.404944449,0.411554447,0.024198308,0.054216867,0
1.82842E-3,8.587786714,0.411769199,0.024099941,0.054216867,0
1.86117E-3,8.773903737,0.41733317,0.024001574,0.054216867,0
1.9166E-3,9.155056972,0.426631543,0.02380484,0.054216867,0
1.92134E-3,9.347190864,0.427419302,0.023706473,0.054216867,0
1.93991E-3,9.541181671,0.430496668,0.023608105,0.054216867,0
1.95977E-3,9.932058402,0.433769346,0.023411371,0.06626506,0
