Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.21284E-9,0.000000521,0.000017648,1,0,0
5.38164E-8,0.000005903,0.000182177,0.99990018,0,0
1.07028E-7,0.000016606,0.000362273,0.999800359,0,0
1.15094E-7,0.000028115,0.000389572,0.999700539,0,0
1.21084E-7,0.000051895,0.000409841,0.999500898,0,0
1.42864E-7,0.000105597,0.000483544,0.999101617,0,0
1.74964E-7,0.000251996,0.00059216,0.998203234,0,0
1.97061E-7,0.000509813,0.000666922,0.99680575,0,0
2.4481E-7,0.001005899,0.000828451,0.994609703,0,0
3.15144E-7,0.002507166,0.001066339,0.989319225,0,0
4.0082E-7,0.005013757,0.001356044,0.982331803,0,0
5.21946E-7,0.010021583,0.001765469,0.971451388,0,0
7.86254E-7,0.025023676,0.002658297,0.948592533,0,0
1.09753E-6,0.050002987,0.00370875,0.922040327,0,0
1.62164E-6,0.100038904,0.005474964,0.884707526,0,0
2.50203E-6,0.200127962,0.008434773,0.835895388,0,0
3.34058E-6,0.300265549,0.011245723,0.801557197,0,0
4.06162E-6,0.400190672,0.01365638,0.774406069,0,0
4.79855E-6,0.500328896,0.016114094,0.751846676,0,0
5.58544E-6,0.600088394,0.018731676,0.732681174,0,0
6.24687E-6,0.700405002,0.020926512,0.715811539,0,0
6.53058E-6,0.7501581,0.021866435,0.708025554,0,0
6.79675E-6,0.800111475,0.022747451,0.70053903,0,0
7.42306E-6,0.900030833,0.024817369,0.686464364,0,0
8.15915E-6,1.000464589,0.027244532,0.673587542,0,0
8.8222E-6,1.100877173,0.029425642,0.661808744,0,0
9.45176E-6,1.200401163,0.031492091,0.650928329,0,0
1.00766E-5,1.300053954,0.033538518,0.640746656,0,0
1.06517E-5,1.400204161,0.035418647,0.631064085,0,0
1.12489E-5,1.500784705,0.037366754,0.621880615,0,0
1.29108E-5,1.751067893,0.042767504,0.601217808,0,0
1.46005E-5,2.001084023,0.048227834,0.583050509,0,0
1.60496E-5,2.251055107,0.052885688,0.566779796,0,0
1.76573E-5,2.500798181,0.058026572,0.552006389,0.025641026,0
1.92144E-5,2.750077107,0.062979048,0.538530645,0.051282051,0
2.08494E-5,3.001538428,0.068151312,0.525953284,0.051282051,0
2.23685E-5,3.251876453,0.072931553,0.514374127,0.051282051,0
2.38775E-5,3.501294445,0.07765543,0.503593532,0.051282051,0
2.56615E-5,3.751716189,0.083209487,0.493511679,0.051282051,0
2.71648E-5,4.002254053,0.087863463,0.484028748,0.051282051,0
2.8675E-5,4.250220796,0.092515156,0.475144739,0.051282051,0
3.00144E-5,4.500284948,0.096620645,0.466660012,0.051282051,0
3.1429E-5,4.752352007,0.100936847,0.458474745,0.076923077,0
3.26816E-5,5.002901459,0.104741374,0.45068876,0.076923077,0
3.40079E-5,5.253026365,0.108752115,0.443202236,0.076923077,0
3.55013E-5,5.503197391,0.113246689,0.436015173,0.076923077,0
3.73005E-5,5.75076956,0.118631716,0.429227391,0.076923077,0
3.89094E-5,6.002419539,0.123419216,0.422639249,0.102564103,0
4.0285E-5,6.251868453,0.127491968,0.416350569,0.102564103,0
4.1743E-5,6.501548441,0.131788165,0.410261529,0.102564103,0
4.32576E-5,6.752217581,0.136228777,0.40437213,0.102564103,0
4.48126E-5,7.003576378,0.140763863,0.398682372,0.102564103,0
4.62713E-5,7.254568558,0.14499683,0.393192254,0.102564103,0
4.74357E-5,7.50295684,0.148360649,0.387901777,0.102564103,0
4.88169E-5,7.753375448,0.152333508,0.38271112,0.102564103,0
5.01669E-5,8.001076395,0.156198899,0.377720104,0.102564103,0
5.17167E-5,8.250835126,0.160614378,0.372828908,0.102564103,0
5.34073E-5,8.50408516,0.165405003,0.368037532,0.102564103,0
5.48359E-5,8.75312847,0.169431597,0.363445798,0.102564103,0
5.65495E-5,9.003824595,0.174236046,0.358953883,0.102564103,0
5.8171E-5,9.25076695,0.178756676,0.354661609,0.102564103,0
5.97243E-5,9.504073995,0.183064062,0.350369335,0.102564103,0
6.09881E-5,9.751621624,0.186552021,0.346276702,0.102564103,0
6.26521E-5,10.005538652,0.191121641,0.342184069,0.102564103,0
6.39775E-5,10.25248024,0.194742985,0.338291076,0.102564103,0
6.5298E-5,10.504360801,0.1983347,0.334398083,0.102564103,0
6.67684E-5,10.755678756,0.202315669,0.330604911,0.102564103,0
6.82838E-5,11.005546989,0.206397372,0.326911559,0.102564103,0
7.01073E-5,11.254645253,0.211281679,0.323318028,0.102564103,0
7.18629E-5,11.503443247,0.215955402,0.319824316,0.102564103,0
7.34008E-5,11.750566186,0.220026919,0.316430425,0.128205128,0
7.46329E-5,12.002359307,0.223273552,0.313036534,0.128205128,0
7.62469E-5,12.251361031,0.227506159,0.309742464,0.128205128,0
7.78272E-5,12.506298608,0.231628006,0.306448393,0.128205128,0
7.92822E-5,12.757822905,0.235403727,0.303254143,0.128205128,0
8.04633E-5,13.005526056,0.238454822,0.300159713,0.128205128,0
8.21274E-5,13.25774973,0.242733267,0.297065282,0.128205128,0
8.35681E-5,13.50622018,0.24641778,0.294070673,0.128205128,0
8.45456E-5,13.750112749,0.24890732,0.291175883,0.128205128,0
8.59233E-5,14.006159557,0.252402472,0.288181274,0.128205128,0
8.71113E-5,14.257011453,0.255403188,0.285286484,0.153846154,0
