Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.17208E-5,0.00117208,0.020864696,1,0,0
1.59389E-5,0.002765973,0.02826658,0.99964986,0,0
1.94852E-5,0.006542661,0.034446158,0.99894958,0,0
2.00198E-5,0.010534998,0.035374251,0.9982493,0,0
2.42106E-5,0.026538457,0.04261943,0.995798319,0,0
2.80919E-5,0.052789149,0.049280962,0.992296919,0,0
3.18303E-5,0.101333081,0.055653273,0.986694678,0,0
3.67486E-5,0.201072213,0.063971984,0.976540616,0,0
3.98704E-5,0.30046698,0.069213963,0.967436975,0,0
4.30114E-5,0.404170219,0.074458699,0.958683473,0,0
4.52265E-5,0.501127532,0.078139555,0.950980392,0,0
4.72837E-5,0.60332538,0.081544967,0.943277311,0,0
4.965E-5,0.700358073,0.085446381,0.93627451,0,0
5.03364E-5,0.750414697,0.086574955,0.932773109,0,0
5.19413E-5,0.801675463,0.08920835,0.929271709,0,0
5.32539E-5,0.901888398,0.091356498,0.922619048,0,0
5.54048E-5,1.005470624,0.094865764,0.915966387,0,0
5.63832E-5,1.100687133,0.096457367,0.910014006,0,0
5.86801E-5,1.204423958,0.100183224,0.903711485,0,0
6.00374E-5,1.305049358,0.102377607,0.897759104,0,0
6.23688E-5,1.402901799,0.106134597,0.892156863,0,0
6.38587E-5,1.503883795,0.108527132,0.886554622,0,0
6.69447E-5,1.752772927,0.113462563,0.8732493,0,0
7.01791E-5,2.006733277,0.118606059,0.860294118,0,0
7.45005E-5,2.253070361,0.125431426,0.848389356,0,0
7.74914E-5,2.50431495,0.130124526,0.836834734,0,0
8.06014E-5,2.750357233,0.134977732,0.825980392,0,0
8.42861E-5,3.006113208,0.14069269,0.81512605,0,0
8.69908E-5,3.25427095,0.144863714,0.804971989,0,0
9.13763E-5,3.504741965,0.151583749,0.795168067,0,0
9.55304E-5,3.757518342,0.157900328,0.785714286,0,0
9.81656E-5,4.009393012,0.161883038,0.776610644,0,0
1.01122E-4,4.258792955,0.166328896,0.767857143,0,0
1.03316E-4,4.504072958,0.169611961,0.759453782,0,0
1.06122E-4,4.755557036,0.173794277,0.75105042,0,0
1.10386E-4,5.005197192,0.180107841,0.742997199,0,0
1.13604E-4,5.251342968,0.184840401,0.735294118,0,0
1.16926E-4,5.504842774,0.189697181,0.727591036,0,0
1.19281E-4,5.752894655,0.193123381,0.720238095,0,0
1.2165E-4,6.005753467,0.196554594,0.712885154,0,0
1.23291E-4,6.250720232,0.198923204,0.705882353,0,0
1.25147E-4,6.5116606,0.201593018,0.698529412,0,0
1.28242E-4,6.752905129,0.206025677,0.691876751,0,0
1.30709E-4,7.011271144,0.209541435,0.68487395,0,0
1.32976E-4,7.261907506,0.212758316,0.678221289,0,0
1.35096E-4,7.503526019,0.215755739,0.671918768,0,0
1.38178E-4,7.762758797,0.22009123,0.665266106,0,0
1.40352E-4,8.013026674,0.223135894,0.658963585,0,0
1.43395E-4,8.25428507,0.227377568,0.653011204,0,0
1.46235E-4,8.501098608,0.231315031,0.647058824,0,0
1.48115E-4,8.751113235,0.233910321,0.641106443,0,0
1.50497E-4,9.005084341,0.237185442,0.635154062,0,0
1.53357E-4,9.263525544,0.241100626,0.629201681,0,0
1.56942E-4,9.511314903,0.245979176,0.62359944,0,0
1.60403E-4,9.765033688,0.250659653,0.617997199,0,0
1.62338E-4,10.007024197,0.253262843,0.612745098,0,0
1.64392E-4,10.252319233,0.256016593,0.607492997,0,0
1.67633E-4,10.501591189,0.260342439,0.602240896,0,0
1.70481E-4,10.755480836,0.2641229,0.596988796,0.038461538,0
1.73554E-4,11.014056283,0.268179494,0.591736695,0.038461538,0
