Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.52052E-4,0.015205226,0.004198398,1,0,0
3.62209E-4,0.051426088,0.009972138,0.987341772,0,0
4.71948E-4,0.134841739,0.012973748,0.962025316,0,0
5.49663E-4,0.241767191,0.015093932,0.936708861,0,0
6.64968E-4,0.365647787,0.018231207,0.911392405,0,0
6.86982E-4,0.43434599,0.018829042,0.898734177,0,0
6.87819E-4,0.50312785,0.018851754,0.886075949,0,0
7.44196E-4,0.648683017,0.020381109,0.860759494,0,0
8.23749E-4,0.731057953,0.022535077,0.848101266,0,0
8.30081E-4,0.814066099,0.022706321,0.835443038,0,0
8.47327E-4,0.983428519,0.023172564,0.810126582,0,0
8.84134E-4,1.071841908,0.024166881,0.797468354,0,0
9.10513E-4,1.162893204,0.024878882,0.784810127,0,0
1.13506E-3,1.276398729,0.030918539,0.772151899,0,0
1.15562E-3,1.391960252,0.031469681,0.759493671,0,0
1.20247E-3,1.512207313,0.03272454,0.746835443,0,0
1.29465E-3,1.766267412,0.035188433,0.721518987,0,0
1.35107E-3,2.031902456,0.036693601,0.696202532,0,0
1.51178E-3,2.327060328,0.040967626,0.670886076,0,0
1.86329E-3,2.68414631,0.050250166,0.64556962,0,0
1.91667E-3,2.875813468,0.051651918,0.632911392,0,0
2.12054E-3,3.0878673,0.056986419,0.620253165,0,0
2.14161E-3,3.302028569,0.05753615,0.607594937,0,0
2.16416E-3,3.51844426,0.058123867,0.594936709,0,0
2.26593E-3,3.971283796,0.060772604,0.569620253,0,0
2.33413E-3,4.204697238,0.062543318,0.556962025,0,0
2.34969E-3,4.439666396,0.06294677,0.544303797,0,0
2.45593E-3,4.685258988,0.065697165,0.53164557,0,0
2.49E-3,4.934259485,0.066577756,0.518987342,0,0
2.543E-3,5.188559097,0.067945381,0.506329114,0,0
2.8704E-3,5.475599539,0.076350992,0.493670886,0,0
3.05999E-3,5.781598855,0.081183637,0.481012658,0,0
3.09794E-3,6.09139239,0.082147748,0.46835443,0,0
3.14526E-3,6.405918821,0.083348959,0.455696203,0,0
3.17222E-3,6.723140478,0.084032306,0.443037975,0,0
3.17729E-3,7.040869194,0.084160809,0.430379747,0,0
3.21901E-3,7.362769915,0.085217425,0.417721519,0,0
3.37523E-3,7.700292553,0.089163069,0.405063291,0,0
3.58563E-3,8.058855947,0.094450472,0.392405063,0,0
3.61686E-3,8.420542377,0.09523265,0.379746835,0,0
3.75117E-3,8.795659605,0.098588758,0.367088608,0,0
3.75574E-3,9.171233633,0.098702685,0.35443038,0,0
3.89629E-3,9.560862847,0.102201044,0.341772152,0,0
4.23698E-3,9.984560974,0.110624609,0.329113924,0,0
4.43411E-3,10.427971598,0.115462398,0.316455696,0,0
4.51505E-3,10.879476982,0.117441362,0.303797468,0,0
4.64011E-3,11.343488029,0.120489981,0.291139241,0,0
4.72596E-3,11.816083626,0.122576616,0.278481013,0,0
5.57278E-3,12.373361333,0.142896759,0.265822785,0,0
7.14521E-3,13.08788196,0.179388509,0.253164557,0,0
7.39917E-3,13.827799381,0.185134903,0.240506329,0,0
7.77855E-3,14.605654088,0.193643903,0.227848101,0,0
8.59065E-3,15.464719198,0.211561188,0.215189873,0,0
2.74475E-2,18.209469823,0.532082567,0.202531646,0,0
2.79787E-2,21.007340853,0.538909833,0.189873418,0,0
3.55946E-2,24.566804637,0.626520388,0.17721519,0,0
3.78399E-2,28.35079905,0.649017441,0.164556962,0.125,0
3.9704E-2,32.321199486,0.666661462,0.151898734,0.125,0
4.08472E-2,36.405914616,0.67704012,0.139240506,0.125,0
4.21791E-2,40.623825047,0.688726046,0.126582278,0.25,0
4.37654E-2,45.000360992,0.702092734,0.113924051,0.375,0
5.03026E-2,50.030623061,0.751386771,0.101265823,0.375,0
5.11586E-2,55.146486085,0.75720611,0.088607595,0.375,0
6.23115E-2,61.377638484,0.821673523,0.075949367,0.5,0
6.44552E-2,67.823161644,0.831943484,0.063291139,0.625,0
7.68554E-2,75.508699128,0.880753538,0.050632911,0.625,0
8.125E-2,83.633694396,0.894406592,0.037974684,0.75,0
8.17034E-2,91.804034838,0.895723181,0.025316456,0.875,0
8.19597E-2,100,0.896459917,0.012658228,0.875,0
8.19597E-2,100,0.896459917,0,0.875,0
