Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.18425E-8,0.000002184,0.000064174,1,0,0
2.35019E-8,0.000004534,0.000069049,0.999900596,0,0
3.43061E-8,0.000010851,0.000100791,0.999701789,0,0
5.18264E-8,0.000028577,0.000152262,0.999304175,0,0
6.19123E-8,0.0000521,0.00018189,0.998906561,0,0
7.41067E-8,0.000101317,0.000217712,0.998210736,0,0
1.02858E-7,0.000258316,0.000302167,0.996520875,0,0
1.27115E-7,0.000504531,0.000373411,0.9944334,0,0
1.53067E-7,0.00101453,0.000449631,0.990854871,0,0
2.27165E-7,0.002512631,0.000667221,0.982902584,0,0
3.10242E-7,0.005016281,0.000911118,0.973658052,0,0
4.40263E-7,0.01000046,0.001292719,0.960337972,0,0
7.15468E-7,0.02500666,0.00209994,0.935089463,0,0
1.09829E-6,0.050043858,0.003221719,0.907455268,0,0
1.69079E-6,0.10003051,0.004955455,0.871570577,0,0
2.68453E-6,0.200103729,0.007856495,0.826043738,0,0
3.55718E-6,0.300125968,0.010397059,0.794234592,0,0
4.32011E-6,0.400364657,0.012612886,0.768986083,0,0
5.11266E-6,0.500508571,0.014909447,0.747813121,0,0
5.95942E-6,0.600034919,0.01735722,0.729821074,0,0
6.63528E-6,0.700575144,0.019306579,0.713916501,0,0
6.95384E-6,0.750188504,0.020224075,0.70666004,0,0
7.31069E-6,0.80006985,0.021250801,0.699701789,0,0
7.92621E-6,0.900369122,0.02301925,0.686580517,0,0
8.50381E-6,1.000366178,0.02467585,0.67445328,0,0
9.07664E-6,1.100831611,0.026315988,0.663121272,0,0
9.67238E-6,1.200394767,0.028018808,0.652584493,0,0
1.03525E-5,1.300441618,0.029959049,0.642644135,0,0
1.09264E-5,1.400027059,0.031593514,0.633300199,0,0
1.14707E-5,1.500606592,0.033140868,0.624353877,0.011904762,0
1.28372E-5,1.750046383,0.037015153,0.60387674,0.011904762,0
1.41997E-5,2.001366,0.040862408,0.585387674,0.023809524,0
1.554E-5,2.251445124,0.044631971,0.568687873,0.023809524,0
1.69365E-5,2.500125285,0.048544018,0.553479125,0.023809524,0
1.83445E-5,2.750525723,0.052471927,0.539363817,0.023809524,0
1.97301E-5,3.000565078,0.05632162,0.526242545,0.023809524,0
2.11035E-5,3.251452051,0.060121948,0.514015905,0.023809524,0
2.25439E-5,3.50051506,0.0640911,0.502683897,0.023809524,0
2.38246E-5,3.750039262,0.067606118,0.49194831,0.023809524,0
2.51286E-5,4.001563702,0.071171703,0.481709742,0.023809524,0
2.6319E-5,4.251564091,0.074414659,0.472067594,0.023809524,0
2.76078E-5,4.501926513,0.077912951,0.462823062,0.023809524,0
2.8665E-5,4.752707246,0.080772695,0.453976143,0.023809524,0
3.0028E-5,5.002628299,0.084446627,0.445526839,0.023809524,0
3.15371E-5,5.251649478,0.088496967,0.437475149,0.023809524,0
3.30127E-5,5.500094603,0.092440253,0.429821074,0.023809524,0
3.44134E-5,5.753172831,0.096167677,0.422365805,0.023809524,0
3.54813E-5,6.001407488,0.098999168,0.415308151,0.023809524,0
3.68966E-5,6.251110754,0.102738147,0.408449304,0.023809524,0
3.81702E-5,6.50224845,0.106089493,0.401789264,0.023809524,0
3.94262E-5,6.75053102,0.10938212,0.395427435,0.023809524,0
4.09014E-5,7.003960555,0.113234083,0.38916501,0.023809524,0
4.2369E-5,7.253969287,0.117049588,0.383200795,0.023809524,0
4.36996E-5,7.503665166,0.120494583,0.377435388,0.035714286,0
4.49389E-5,7.752068388,0.123691236,0.371868787,0.035714286,0
4.60438E-5,8.002533901,0.126531463,0.36640159,0.035714286,0
4.75319E-5,8.250287415,0.130342167,0.361133201,0.035714286,0
4.91094E-5,8.501696727,0.134363692,0.355964215,0.047619048,0
5.02319E-5,8.754722352,0.137213872,0.350894632,0.05952381,0
5.15362E-5,9.003940589,0.140513859,0.346023857,0.05952381,0
5.30801E-5,9.255196207,0.144403843,0.341252485,0.05952381,0
5.41935E-5,9.501951901,0.147198312,0.33667992,0.05952381,0
5.53218E-5,9.753835372,0.15002075,0.332107356,0.071428571,0
5.65192E-5,10.000101565,0.153005765,0.327733598,0.071428571,0
5.7975E-5,10.251987248,0.156621001,0.323359841,0.071428571,0
5.99202E-5,10.505794068,0.161427276,0.319085487,0.071428571,0
6.12711E-5,10.754231887,0.164749259,0.31500994,0.071428571,0
6.24744E-5,11.001736113,0.16769694,0.311033797,0.071428571,0
6.3662E-5,11.253948973,0.170596048,0.307057654,0.071428571,0
6.51496E-5,11.504855432,0.174213323,0.303180915,0.071428571,0
6.66345E-5,11.754897106,0.177808214,0.299403579,0.071428571,0
6.77305E-5,12.003424171,0.180451619,0.295725646,0.071428571,0
6.90136E-5,12.256594542,0.183535392,0.292047714,0.071428571,0
7.04277E-5,12.500948004,0.186920695,0.288568588,0.071428571,0
7.21603E-5,12.750306073,0.191049249,0.285089463,0.071428571,0
7.39316E-5,13.006118638,0.195248257,0.281610338,0.071428571,0
7.50368E-5,13.251865154,0.19785732,0.27833002,0.071428571,0
7.68523E-5,13.50247966,0.202124817,0.275049702,0.071428571,0
7.83959E-5,13.751145832,0.20573518,0.271868787,0.083333333,0
7.98613E-5,14.003926925,0.209147488,0.268687873,0.095238095,0
8.14383E-5,14.253739211,0.212803459,0.265606362,0.095238095,0
8.26827E-5,14.508096003,0.215676431,0.262524851,0.107142857,0
8.40512E-5,14.758082254,0.21882365,0.259542744,0.107142857,0
8.55365E-5,15.004217687,0.222225329,0.25666004,0.107142857,0
8.66045E-5,15.25390205,0.224662,0.253777336,0.119047619,0
8.81726E-5,15.507492491,0.22822604,0.250894632,0.119047619,0
8.91137E-5,15.755867369,0.230357189,0.248111332,0.119047619,0
9.05416E-5,16.007510351,0.233579346,0.245328032,0.119047619,0
9.21105E-5,16.254226412,0.237104229,0.242644135,0.119047619,0
