Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.61836E-13,0.000000001,0,0.993227589,0,0
9.7625E-13,0.000000003,0.000000001,0.989841383,0,0
2.86311E-12,0.00000001,0.000000002,0.982534308,0,0
6.78052E-12,0.000000025,0.000000005,0.976653003,0,0
2.5529E-11,0.000000102,0.000000019,0.96702905,0,0
5.89248E-11,0.000000252,0.000000045,0.960613081,0,0
2.20327E-10,0.000001004,0.000000167,0.949206915,0,0
4.75974E-10,0.000002523,0.000000362,0.941365176,0,0
1.68598E-9,0.000010043,0.000001281,0.928176796,0,0
3.77537E-9,0.000025239,0.000002868,0.9181964,0,0
7.39903E-9,0.000050157,0.000005621,0.910176439,0,0
1.38352E-8,0.000100377,0.000010511,0.901800036,0,0
2.8425E-8,0.000252528,0.000021596,0.88914632,0,0
4.4112E-8,0.000504221,0.000033514,0.876849047,0,0
6.26778E-8,0.001006108,0.000047619,0.86009624,0,0
1.01835E-7,0.002502613,0.000077367,0.827838175,0,0
1.6449E-7,0.005004256,0.000124966,0.793797897,0,0
2.93788E-7,0.010018439,0.000223184,0.754232757,0,0
5.82634E-7,0.025021722,0.000442566,0.69256817,0,0
1.00116E-6,0.05001699,0.000760358,0.635180895,0,0
1.86932E-6,0.100003973,0.001419235,0.570664766,0,0
3.67963E-6,0.200104891,0.002791744,0.504544644,0,0
5.39409E-6,0.300356724,0.004089851,0.464801283,0,0
7.10945E-6,0.400099041,0.005386945,0.435929424,0,0
9.19236E-6,0.500251764,0.006959689,0.413829977,0,0
1.1212E-5,0.600531381,0.008482267,0.396186063,0,0
1.35252E-5,0.700186185,0.010223359,0.381750134,0,0
1.48073E-5,0.75123724,0.011186983,0.375334165,0,0
1.56593E-5,0.800006386,0.011826856,0.369631082,0,0
1.79501E-5,0.900386897,0.013545282,0.358937801,0,0
2.04915E-5,1.00009805,0.015448143,0.349670291,0,0
2.28876E-5,1.102066404,0.01723883,0.341293887,0,0
2.43825E-5,1.201002381,0.018354404,0.33380859,0,0
2.65157E-5,1.302599296,0.019944081,0.326679736,0,0
2.85443E-5,1.402316627,0.021453472,0.320263768,0,0
3.06852E-5,1.500489129,0.023043864,0.314382463,0,0
3.60707E-5,1.751048388,0.027033065,0.301015862,0,0
4.13919E-5,2.003532913,0.030958692,0.289431474,0,0
4.55935E-5,2.252727161,0.034047181,0.279272857,0,0
5.01574E-5,2.50158588,0.037390803,0.270005347,0,0
5.47639E-5,2.752661462,0.040753885,0.261450722,0,0
5.92843E-5,3.00358089,0.044042729,0.253608982,0,0
6.57068E-5,3.251658009,0.048696049,0.246480128,0,0
6.88879E-5,3.500264725,0.050992453,0.239885938,0,0
7.35937E-5,3.756027617,0.054379368,0.23346997,0,0
7.95158E-5,4.001673249,0.058624547,0.227766886,0,0
8.38005E-5,4.254968313,0.061684101,0.222242025,0,0
8.92644E-5,4.507217208,0.065571249,0.217073605,0,0
9.34379E-5,4.753893394,0.068529496,0.212261629,0,0
9.78022E-5,5.001971122,0.07161301,0.207627874,0,0
1.0356E-4,5.254373604,0.075665314,0.20317234,0,0
1.08978E-4,5.509931994,0.07946253,0.198895028,0,0
1.14319E-4,5.755151474,0.083190604,0.194974158,0,0
1.19124E-4,6.000107128,0.086531495,0.19123151,0,0
1.25955E-4,6.257741493,0.091259847,0.187488861,0,0
1.30564E-4,6.501718802,0.094436241,0.184102655,0,0
1.36501E-4,6.755202126,0.09851216,0.18071645,0,0
1.41474E-4,7.005325641,0.101911964,0.177508466,0,0
1.47306E-4,7.251137658,0.105881904,0.174478703,0,0
1.53243E-4,7.505416761,0.109905995,0.17144894,0,0
1.57794E-4,7.753719201,0.112978287,0.168597398,0,0
1.62553E-4,8.009985966,0.116179989,0.165745856,0,0
1.66926E-4,8.257446041,0.119111399,0.163072536,0,0
1.7138E-4,8.511318136,0.122087436,0.160399216,0,0
1.77437E-4,8.75662388,0.126118045,0.157904117,0,0
1.84938E-4,9.008971395,0.131084246,0.155409018,0,0
1.90807E-4,9.253895615,0.134950147,0.15309214,0,0
1.96021E-4,9.50613096,0.138370108,0.150775263,0,0
2.02787E-4,9.764927441,0.142788209,0.148458385,0,0
2.07081E-4,10.010739395,0.145580106,0.146319729,0,0
2.13654E-4,10.264051952,0.149836466,0.144181073,0,0
2.19189E-4,10.502323404,0.153404227,0.142220638,0,0
2.25701E-4,10.768890291,0.15758244,0.140081982,0,0
2.3223E-4,11.02077806,0.161750732,0.138121547,0,0
2.38003E-4,11.255999126,0.165419692,0.136339333,0,0
2.42424E-4,11.520235932,0.168218269,0.134378899,0,0
2.47664E-4,11.765596234,0.171523013,0.132596685,0,0
2.53634E-4,12.016423143,0.175272395,0.130814472,0,0
2.62867E-4,12.275130642,0.181037582,0.129032258,0,0
2.70173E-4,12.516204493,0.185570914,0.127428266,0,0
2.75381E-4,12.761937026,0.188786915,0.125824274,0,0
2.80038E-4,13.012279899,0.191652011,0.124220282,0,0
2.86605E-4,13.267243201,0.195675117,0.122616289,0,0
2.92119E-4,13.52795341,0.199037721,0.121012297,0,0
2.96573E-4,13.764052467,0.201743336,0.119586526,0,0
3.05592E-4,14.004738693,0.207194601,0.118160756,0,0
3.1155E-4,14.251755185,0.21077576,0.116734985,0,0
3.14875E-4,14.502599628,0.212766664,0.115309214,0,0
3.19398E-4,14.755899461,0.215467354,0.113883443,0,0
3.23511E-4,15.013112154,0.217915236,0.112457672,0,0
3.28298E-4,15.273116091,0.220754594,0.111031902,0,0
3.41267E-4,15.507801049,0.228394793,0.109784352,0,0
3.48E-4,15.784520717,0.232331876,0.108358581,0,0
3.54346E-4,16.030034326,0.236024238,0.107111032,0,0
3.60348E-4,16.280564022,0.23950039,0.105863482,0,0
3.65392E-4,16.534865431,0.242409072,0.104615933,0,0
3.68627E-4,16.755303796,0.244269055,0.103546605,0,0
3.72435E-4,17.015058451,0.246452263,0.102299055,0,0
3.82749E-4,17.279384336,0.252333978,0.101051506,0,0
3.89002E-4,17.511299201,0.255877739,0.099982178,0,0
3.97856E-4,17.786420706,0.260866428,0.098734628,0,0
4.09418E-4,18.029526245,0.267330789,0.0976653,0,0
4.22884E-4,18.279123602,0.274788506,0.096595972,0,0
4.33054E-4,18.535485158,0.280370697,0.095526644,0,0
4.35026E-4,18.752562786,0.281447729,0.094635537,0,0
4.39439E-4,19.015253533,0.283853188,0.093566209,0,0
4.44842E-4,19.280990818,0.286786571,0.092496881,0,0
4.49355E-4,19.504321481,0.289227901,0.091605774,0,0
4.58639E-4,19.777519605,0.294223843,0.090536446,0,0
4.6579E-4,20.008974612,0.298047925,0.08964534,0,0
4.68431E-4,20.289362081,0.299455251,0.088576011,0,0
4.75319E-4,20.526052058,0.303111687,0.087684905,0,0
4.89571E-4,20.767164642,0.310617317,0.086793798,0,0
4.92318E-4,21.012895053,0.312054318,0.085902691,0,0
4.97857E-4,21.260579227,0.314943536,0.085011584,0,0
5.03319E-4,21.511546251,0.317780267,0.084120478,0,0
5.05955E-4,21.763888975,0.319145151,0.083229371,0,0
5.15366E-4,22.019239328,0.323995951,0.082338264,0,0
5.20678E-4,22.27896884,0.326718996,0.081447157,0,0
5.32167E-4,22.542566666,0.332570279,0.080556051,0,0
5.38439E-4,22.756603533,0.33574325,0.079843165,0,0
5.5222E-4,23.030024994,0.342662125,0.078952058,0,0
5.60563E-4,23.252655645,0.346815683,0.078239173,0,0
5.70061E-4,23.535905437,0.351512195,0.077348066,0,0
5.75233E-4,23.765253077,0.354055153,0.076635181,0,0
5.80148E-4,24.054014173,0.356462635,0.075744074,0,0
5.83855E-4,24.286888186,0.358272726,0.075031189,0,0
5.9057E-4,24.522143444,0.361538327,0.074318303,0,0
5.98839E-4,24.760513407,0.365537,0.073605418,0,0
6.14961E-4,25.002321851,0.373261107,0.072892533,0,0
6.19341E-4,25.310773803,0.375343052,0.072001426,0.066666667,0
6.24576E-4,25.55966745,0.377822579,0.07128854,0.066666667,0
6.33083E-4,25.81136747,0.381831216,0.070575655,0.133333333,0
6.41805E-4,26.003553478,0.385914128,0.070040991,0.133333333,0
6.4681E-4,26.261304633,0.38824453,0.069328106,0.133333333,0
6.47265E-4,26.520128699,0.388456299,0.06861522,0.133333333,0
6.59661E-4,26.782446949,0.394188519,0.067902335,0.133333333,0
6.65761E-4,27.048270738,0.396990019,0.067189449,0.133333333,0
6.734E-4,27.316347244,0.400479404,0.066476564,0.133333333,0
6.81708E-4,27.51988315,0.40425192,0.0659419,0.133333333,0
6.89488E-4,27.794124897,0.407762907,0.065229014,0.133333333,0
6.96711E-4,28.002250179,0.411003984,0.06469435,0.133333333,0
7.05782E-4,28.282981804,0.415049498,0.063981465,0.133333333,0
7.13837E-4,28.567071968,0.418618203,0.06326858,0.133333333,0
7.22661E-4,28.782525407,0.422502981,0.062733916,0.133333333,0
7.34372E-4,29.000906382,0.427618238,0.062199251,0.133333333,0
7.47572E-4,29.297860954,0.433330166,0.061486366,0.133333333,0
7.53656E-4,29.523061145,0.435943229,0.060951702,0.133333333,0
7.57E-4,29.825332956,0.437374795,0.060238817,0.133333333,0
7.59108E-4,30.052806582,0.438274918,0.059704153,0.133333333,0
7.84743E-4,30.287347213,0.449109736,0.059169489,0.133333333,0
7.87265E-4,30.52316754,0.450164014,0.058634824,0.133333333,0
7.96838E-4,30.761212472,0.454148652,0.05810016,0.133333333,0
7.97846E-4,31.00044482,0.454566563,0.057565496,0.133333333,0
8.03605E-4,31.320616366,0.456947864,0.056852611,0.133333333,0
8.09497E-4,31.562751312,0.459373325,0.056317947,0.133333333,0
8.26292E-4,31.808082549,0.466228113,0.055783283,0.133333333,0
8.4316E-4,32.05931381,0.473025402,0.055248619,0.133333333,0
8.51826E-4,32.314072686,0.476483598,0.054713955,0.133333333,0
8.57529E-4,32.570541111,0.478746916,0.054179291,0.133333333,0
8.69328E-4,32.83002834,0.483398859,0.053644627,0.133333333,0
8.72418E-4,33.004290359,0.484610096,0.053288184,0.133333333,0
8.80645E-4,33.267929692,0.48782167,0.05275352,0.133333333,0
8.86598E-4,33.533667844,0.490132849,0.052218856,0.133333333,0
8.90505E-4,33.800616988,0.491644001,0.051684192,0.133333333,0
8.95167E-4,34.06889932,0.493441572,0.051149528,0.133333333,0
9.10341E-4,34.340557596,0.499247984,0.050614864,0.133333333,0
9.17471E-4,34.523532973,0.501953432,0.050258421,0.133333333,0
9.22893E-4,34.799884185,0.504000611,0.049723757,0.133333333,0
9.27226E-4,35.077390166,0.505630879,0.049189093,0.133333333,0
9.33146E-4,35.263890646,0.507849368,0.04883265,0.133333333,0
9.42563E-4,35.545362379,0.511358037,0.048297986,0.133333333,0
9.66917E-4,35.832230893,0.520316379,0.047763322,0.133333333,0
9.7246E-4,36.02669993,0.522332214,0.047406879,0.133333333,0
9.82665E-4,36.320371705,0.526021378,0.046872215,0.133333333,0
9.88318E-4,36.517846686,0.528053074,0.046515773,0.133333333,0
9.91607E-4,36.815149419,0.529230914,0.045981109,0.133333333,0
9.9567E-4,37.013941507,0.530681721,0.045624666,0.133333333,0
1.0061E-3,37.314300552,0.534384711,0.045090002,0.133333333,0
1.01382E-3,37.517055586,0.537108924,0.044733559,0.133333333,0
1.04809E-3,37.82967301,0.549005811,0.044198895,0.133333333,0
1.05385E-3,38.040072762,0.550973634,0.043842452,0.133333333,0
1.05595E-3,38.251165747,0.551689758,0.04348601,0.133333333,0
1.06477E-3,38.569566392,0.554683903,0.042951346,0.133333333,0
1.06749E-3,38.782815025,0.555604686,0.042594903,0.133333333,0
1.07461E-3,39.104501076,0.558002662,0.042060239,0.133333333,0
1.07861E-3,39.320155535,0.559341838,0.041703796,0.133333333,0
1.08267E-3,39.536478583,0.560701184,0.041347353,0.133333333,0
1.12044E-3,39.756961137,0.573126706,0.040990911,0.133333333,0
1.13522E-3,40.096680099,0.577894664,0.040456247,0.133333333,0
1.1461E-3,40.325478102,0.581370464,0.040099804,0.133333333,0
1.1508E-3,40.555363665,0.582861098,0.039743361,0.133333333,0
1.15736E-3,40.786798451,0.584934531,0.039386919,0.133333333,0
1.16088E-3,41.018883884,0.586043719,0.039030476,0.133333333,0
1.16978E-3,41.251976994,0.588833937,0.038674033,0.133333333,0
1.17621E-3,41.604684919,0.590838507,0.038139369,0.133333333,0
1.18487E-3,41.841581906,0.593520289,0.037782926,0.133333333,0
1.18764E-3,42.079074412,0.594375274,0.037426484,0.133333333,0
1.20075E-3,42.319030572,0.598395109,0.037070041,0.133333333,0
1.21185E-3,42.560945247,0.601768887,0.036713598,0.133333333,0
1.21484E-3,42.80364666,0.602671374,0.036357156,0.133333333,0
1.22862E-3,43.049225344,0.606810601,0.036000713,0.133333333,0
