Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.43388E-7,0.000014339,0.000294357,1,0,0
1.45695E-7,0.000028908,0.000299093,0.999901264,0,0
1.84969E-7,0.000064786,0.000379703,0.999703791,0,0
2.00318E-7,0.00010441,0.000411204,0.999506319,0,0
2.31493E-7,0.000258354,0.000475182,0.998815166,0,0
2.93886E-7,0.000520325,0.000603217,0.997827804,0,0
3.42043E-7,0.001010677,0.000702029,0.996346761,0,0
4.33923E-7,0.002511625,0.000890524,0.992496051,0,0
5.44736E-7,0.005032457,0.001117813,0.987460506,0,0
6.91608E-7,0.010032304,0.001418986,0.979561611,0,0
9.74735E-7,0.025005807,0.001999302,0.961986572,0,0
1.28824E-6,0.050032931,0.002641495,0.939968404,0,0
1.90506E-6,0.100116175,0.003903789,0.909261453,0,0
2.6606E-6,0.200065249,0.005447782,0.866311216,0,0
3.2409E-6,0.300061387,0.006632041,0.833037125,0,0
3.82175E-6,0.400358099,0.007816014,0.804897314,0,0
4.36502E-6,0.500122136,0.00892212,0.780904423,0,0
4.91016E-6,0.60002129,0.010030784,0.759577409,0,0
5.35774E-6,0.700143336,0.010940103,0.740323855,0,0
5.57342E-6,0.750421059,0.011378,0.731240126,0,0
5.80169E-6,0.800437091,0.011841228,0.722551343,0,0
6.26438E-6,0.900567055,0.012779518,0.706161137,0,0
6.68324E-6,1.000143175,0.013628158,0.690955766,0,0
7.08479E-6,1.100584245,0.014441047,0.676540284,0,0
7.53269E-6,1.200068249,0.015346951,0.663112164,0,0
7.93817E-6,1.30077704,0.016166373,0.650276461,0.006493506,0
8.45421E-6,1.400480228,0.0172082,0.638230648,0.006493506,0
8.85583E-6,1.500729817,0.018018286,0.626777251,0.006493506,0
9.84092E-6,1.75076932,0.020002392,0.600315956,0.006493506,0
1.10251E-5,2.000875345,0.022382256,0.576619273,0.006493506,0
1.20984E-5,2.250270679,0.024534224,0.555292259,0.012987013,0
1.31401E-5,2.501217458,0.026618311,0.53564376,0.012987013,0
1.41942E-5,2.750280045,0.02872255,0.517575039,0.012987013,0
1.54931E-5,3.001445246,0.031309484,0.500888626,0.012987013,0
1.67597E-5,3.250974037,0.033825237,0.485584518,0.012987013,0
1.80131E-5,3.501538073,0.036308503,0.471366509,0.019480519,0
1.9225E-5,3.750893728,0.038703534,0.458135861,0.019480519,0
2.06294E-5,4.000924301,0.04147123,0.445695103,0.019480519,0
2.20307E-5,4.250744721,0.044225225,0.43414297,0.019480519,0
2.338E-5,4.500787751,0.046869415,0.423281991,0.019480519,0
2.45725E-5,4.750248203,0.04920004,0.413013428,0.019480519,0
2.60458E-5,5.000123216,0.052071992,0.403238547,0.019480519,0
2.73577E-5,5.250737355,0.054621811,0.393957346,0.019480519,0
2.86647E-5,5.502785811,0.057155221,0.38507109,0.019480519,0
2.97475E-5,5.751289425,0.059248985,0.376678515,0.032467532,0
3.13289E-5,6.001669483,0.062298671,0.368582148,0.038961039,0
3.26291E-5,6.250865735,0.064798529,0.360880727,0.038961039,0
3.39963E-5,6.500171748,0.067419981,0.353475513,0.045454545,0
3.54206E-5,6.752944065,0.070143252,0.346267773,0.045454545,0
3.68294E-5,7.001867798,0.072828962,0.339454976,0.045454545,0
3.81101E-5,7.253427681,0.075263741,0.332839652,0.045454545,0
3.95028E-5,7.501887665,0.07790434,0.326520537,0.051948052,0
4.09965E-5,7.751148221,0.080727932,0.320398894,0.058441558,0
4.24274E-5,8.001045213,0.08342451,0.314474724,0.058441558,0
4.37035E-5,8.250858745,0.08582299,0.308748025,0.058441558,0
4.50458E-5,8.500370871,0.08833894,0.303218799,0.058441558,0
4.67893E-5,8.753664838,0.091596658,0.29778831,0.058441558,0
4.83054E-5,9.00075069,0.094419873,0.292654028,0.058441558,0
4.98551E-5,9.250648842,0.097296624,0.287618483,0.064935065,0
5.15316E-5,9.504193788,0.100398568,0.282681675,0.064935065,0
5.30293E-5,9.755269669,0.103160634,0.277942338,0.071428571,0
5.46335E-5,10.002831138,0.106109676,0.273400474,0.071428571,0
5.63789E-5,10.25213698,0.109307322,0.268957346,0.071428571,0
5.78407E-5,10.503565799,0.111976655,0.264612954,0.071428571,0
5.93083E-5,10.755487705,0.114648351,0.260367299,0.084415584,0
6.07354E-5,11.001303602,0.117238743,0.256319115,0.084415584,0
6.2501E-5,11.254210145,0.120433004,0.252270932,0.084415584,0
6.36591E-5,11.500365802,0.122522061,0.248420221,0.090909091,0
6.51247E-5,11.751799498,0.125158481,0.24456951,0.090909091,0
6.67759E-5,12.002117409,0.12811932,0.240817536,0.090909091,0
