Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.67533E-5,0.003675328,0.007433945,1,0,0
3.83399E-5,0.007509314,0.00775361,0.99850075,0,0
4.07974E-5,0.011589057,0.008248558,0.997001499,0,0
4.36856E-5,0.028831787,0.008829907,0.991004498,0,0
4.70724E-5,0.051889908,0.009511196,0.983508246,0,0
5.37155E-5,0.103116002,0.010846157,0.968515742,0,0
6.20274E-5,0.20753005,0.012513959,0.941529235,0,0
6.60932E-5,0.303513323,0.013328729,0.91904048,0,0
7.02661E-5,0.405850379,0.014164279,0.896551724,0,0
7.24244E-5,0.505573659,0.014596152,0.875562219,0,0
7.57175E-5,0.624646517,0.015254757,0.851574213,0,0
7.80059E-5,0.701728724,0.015712156,0.836581709,0,0
7.97658E-5,0.756714585,0.016063762,0.826086957,0,0
8.03443E-5,0.804631889,0.016179318,0.817091454,0,0
8.27329E-5,0.902461771,0.016656302,0.79910045,0,0
8.51722E-5,1.003872749,0.017143159,0.781109445,0,0
8.76624E-5,1.107878735,0.017639938,0.763118441,0,0
9.21287E-5,1.206925709,0.018530285,0.746626687,0,0
9.47543E-5,1.300391179,0.019053324,0.731634183,0,0
9.8138E-5,1.406705681,0.019726982,0.715142429,0,0
9.8138E-5,1.504843721,0.019726982,0.700149925,0,0
1.06541E-4,1.759891269,0.021397789,0.662668666,0,0
1.20062E-4,2.008050589,0.024080499,0.629685157,0,0
1.46162E-4,2.2542198,0.029238053,0.6011994,0,0
2.1667E-4,2.510677696,0.043035226,0.578710645,0,0
2.91925E-4,2.763261573,0.057545067,0.563718141,0,0
3.51965E-4,3.028178884,0.068963346,0.551724138,0,0
3.75462E-4,3.281517753,0.07339408,0.541229385,0,0
4.14134E-4,3.517649115,0.080640598,0.532233883,0,0
4.53056E-4,3.778291877,0.087876896,0.523238381,0,0
4.76935E-4,4.011408444,0.092288126,0.515742129,0,0
4.95825E-4,4.255599076,0.095762584,0.508245877,0,0
5.28095E-4,4.51253871,0.101667239,0.500749625,0,0
5.45995E-4,4.782373962,0.104926045,0.493253373,0,0
5.70226E-4,5.0058722,0.109318497,0.487256372,0,0
5.8695E-4,5.296450808,0.112337388,0.47976012,0,0
6.03652E-4,5.534812654,0.115342304,0.473763118,0,0
6.10779E-4,5.778034844,0.116621465,0.467766117,0,0
6.21328E-4,6.025098798,0.118511212,0.461769115,0,0
6.39035E-4,6.277093551,0.121674479,0.455772114,0,0
6.53837E-4,6.537079961,0.124310061,0.449775112,0,0
