Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.82273E-5,0.005822726,0.141780268,1,0,0
6.81354E-5,0.059218075,0.163820771,0.996889043,0,0
7.95549E-5,0.142122524,0.188521901,0.992741099,0,0
9.26847E-5,0.477565958,0.21602216,0.978223298,0.010638298,0
1.07745E-4,1.016642988,0.246419826,0.958174905,0.010638298,0
1.24977E-4,1.89109886,0.279759506,0.930176288,0.021276596,0
1.44649E-4,3.030361023,0.316017878,0.898721051,0.021276596,0
1.67049E-4,4.479088196,0.355089478,0.864154857,0.031914894,0
1.92496E-4,6.352584916,0.396773664,0.825440719,0.042553191,0
2.21333E-4,8.819418729,0.440764239,0.78119599,0.074468085,0
2.53933E-4,11.98774291,0.48664342,0.731766333,0.127659574,0
2.90695E-4,15.876586418,0.533881975,0.678880055,0.159574468,0
3.3205E-4,21.316715598,0.581847235,0.614241272,0.244680851,0
3.78458E-4,29.788634049,0.629820276,0.526097477,0.29787234,0
4.30406E-4,44.705055778,0.677022851,0.389906671,0.425531915,0
4.88412E-4,64.251271682,0.722653525,0.232976149,0.617021277,0
5.53021E-4,82.915055333,0.765931159,0.100933287,0.85106383,0
6.24804E-4,93.650831405,0.80614239,0.03387487,0.946808511,0
7.04358E-4,98.282335844,0.842688505,0.008295887,0.978723404,0
7.92302E-4,99.277231519,0.875126288,0.003456619,0.989361702,0
8.89272E-4,100,0.903197398,0.000345662,1,0
