species_name,x,y
Brewerimitella ovalis,-124.0675,44.4269
Brewerimitella ovalis,-124.3472,43.3456
Brewerimitella ovalis,-123.73333,48.43333
Brewerimitella ovalis,-123.7325,41.76806
Brewerimitella ovalis,-122.0975,44.1542
Brewerimitella ovalis,-124.0592,42.36
Brewerimitella ovalis,-124.71957,48.86185
Brewerimitella ovalis,-122.3624,44.0193
Brewerimitella ovalis,-123.3777,43.9263
Brewerimitella ovalis,-122.1369,44.3953
Brewerimitella ovalis,-124.0667,44.8083
Brewerimitella ovalis,-124.3289,43.3257
Brewerimitella ovalis,-123.4159,44.5362
Brewerimitella ovalis,-122.176,45.5553
Brewerimitella ovalis,-122.4812,44.1322
Brewerimitella ovalis,-122.2708,42.8036
Brewerimitella ovalis,-123.929,43.4822
Brewerimitella ovalis,-122.0182,43.9433
Brewerimitella ovalis,-122.88348,47.74381
Brewerimitella ovalis,-122.593,43.9653
Brewerimitella ovalis,-123.55,48.45
Brewerimitella ovalis,-122.612,43.8586
Brewerimitella ovalis,-123.70778,41.54278
Brewerimitella ovalis,-122.244,45.5396
Brewerimitella ovalis,-124.1736,43.6772
Brewerimitella ovalis,-122.05,49.2
Brewerimitella ovalis,-124.0678,44.14
Brewerimitella ovalis,-123.5071,44.4693
Brewerimitella ovalis,-124.26667,48.48333
Brewerimitella ovalis,-124.2127,43.2961
Brewerimitella ovalis,-124.2168,43.4564
Brewerimitella ovalis,-123.5025,44.4669
Brewerimitella ovalis,-124.20056,41.61115
Brewerimitella ovalis,-123.9573,44.0772
Brewerimitella ovalis,-122.615,44.1202
Brewerimitella ovalis,-124.3289,43.3403
Brewerimitella ovalis,-123.462,44.1219
Brewerimitella ovalis,-122.3292,44.1722
Brewerimitella ovalis,-124.0718,44.3134
Brewerimitella ovalis,-122.0609,43.9216
Brewerimitella ovalis,-123.55,48.48333
Brewerimitella ovalis,-123.4383,42.1782
Brewerimitella ovalis,-123.0105,45.0348
Brewerimitella ovalis,-123.09667,47.13056
Brewerimitella ovalis,-123.35,48.41667
Brewerimitella ovalis,-125.93333,49.3
Brewerimitella ovalis,-121.4908,46.20255
Brewerimitella ovalis,-122.7343783,38.0230132
Brewerimitella ovalis,-123.8438505,41.87474419
Brewerimitella ovalis,-123.95,49.2
Brewerimitella ovalis,-122.9117,42.4514
Brewerimitella ovalis,-122.0324,44.3975
Brewerimitella ovalis,-123.9372,40.0171
Brewerimitella ovalis,-121.813,44.257
Brewerimitella ovalis,-122.8294,43.9429
Brewerimitella ovalis,-124.33333,49.08333
Brewerimitella ovalis,-123.7932,43.1965
Brewerimitella ovalis,-123.55,44.5044
Brewerimitella ovalis,-124.4961,42.7458
Brewerimitella ovalis,-124.05829,47.46702
Brewerimitella ovalis,-122.3344,44.2033
Brewerimitella ovalis,-121.8433,44.2468
Brewerimitella ovalis,-122.651,44.867
Brewerimitella ovalis,-122.6074,43.2203
Brewerimitella ovalis,-123.4333,44.7069
Brewerimitella ovalis,-123.21435,47.47218
Brewerimitella ovalis,-123.92583,47.0575
Brewerimitella ovalis,-123.9234,43.0806
Brewerimitella ovalis,-123.67417,47.56611
Brewerimitella ovalis,-122.08333,44.81666
Brewerimitella ovalis,-123.74556,47.48889
Brewerimitella ovalis,-124.31667,49.1
Brewerimitella ovalis,-121.9005,44.4673
Brewerimitella ovalis,-121.9304,44.1613
Brewerimitella ovalis,-122.6273,43.3218
Brewerimitella ovalis,-123.13875,47.32155
Brewerimitella ovalis,-123.2698,43.2591
Brewerimitella ovalis,-124.0544,44.1059
Brewerimitella ovalis,-122.2369,44.232
Brewerimitella ovalis,-124.1678,42.1452
Brewerimitella ovalis,-123.5962,44.8385
Brewerimitella ovalis,-123.4828,43.2614
Brewerimitella ovalis,-124.34052,47.75031
Brewerimitella ovalis,-123.11194,47.22232
Brewerimitella ovalis,-123.46784,47.99538
Brewerimitella ovalis,-123.81,39.36
Brewerimitella ovalis,-123.5439,44.049
Brewerimitella ovalis,-121.9967,44.3499
Brewerimitella ovalis,-122.2107,44.2045
Brewerimitella ovalis,-123.6891432,38.99646492
Brewerimitella ovalis,-122.861,43.6886
Brewerimitella ovalis,-123.7169,42.8275
Brewerimitella ovalis,-123.803622,39.42425558
Brewerimitella ovalis,-123.4222,42.7364
Brewerimitella ovalis,-125.86667,49.33333
Brewerimitella ovalis,-122.55,42.9471
Brewerimitella ovalis,-121.9619,44.6037
Brewerimitella ovalis,-124.0564,44.7206
Brewerimitella ovalis,-123.8039413,41.97509312
Brewerimitella ovalis,-124.35318,47.75015
Brewerimitella ovalis,-123.6418,42.557
Brewerimitella ovalis,-123.7643294,39.31181808
Brewerimitella ovalis,-121.9581,44.7786
Brewerimitella ovalis,-123.5913,42.0266
Brewerimitella ovalis,-122.4446,43.9119
Brewerimitella ovalis,-122.2524,44.2045
Brewerimitella ovalis,-123.0583,43.7978
Brewerimitella ovalis,-122.0028,44.6476
Brewerimitella ovalis,-122.4163,44.3974
Brewerimitella ovalis,-122.34,44.1547
Brewerimitella ovalis,-122.7161278,38.01435354
