species_name,x,y
Elmera racemosa,-121.50206,46.90381
Elmera racemosa,-121.25527,46.79466
Elmera racemosa,-122.93083,47.65222
Elmera racemosa,-123.13556,47.81833
Elmera racemosa,-123.13222,47.81833
Elmera racemosa,-123.35667,47.87694
Elmera racemosa,-120.87702,47.37245
Elmera racemosa,-120.84134,48.57287
Elmera racemosa,-121.66444,46.91936
Elmera racemosa,-121.4225,48.21139
Elmera racemosa,-123.66667,47.87222
Elmera racemosa,-120.915,47.47417
Elmera racemosa,-120.89782,47.43363
Elmera racemosa,-120.74222,47.39472
Elmera racemosa,-123.34453,47.79717
Elmera racemosa,-123.26061,47.52205
Elmera racemosa,-120.7888,48.50944
Elmera racemosa,-120.73758,48.10554
Elmera racemosa,-123.26055,47.52242
Elmera racemosa,-123.61225,47.80682
Elmera racemosa,-120.66417,47.25389
Elmera racemosa,-120.93467,47.45083
Elmera racemosa,-121.7167,46.7853
Elmera racemosa,-121.66497,46.91899
Elmera racemosa,-123.43889,47.99472
Elmera racemosa,-121.36,47.96194
Elmera racemosa,-123.40833,47.93333
Elmera racemosa,-121.50833,46.87306
Elmera racemosa,-120.67042,48.72029
Elmera racemosa,-124.675,48.26667
Elmera racemosa,-120.74198,47.43891
Elmera racemosa,-123.77611,47.90556
Elmera racemosa,-123.47444,47.99528
Elmera racemosa,-120.65367,48.48329
Elmera racemosa,-121.7625,46.85083
Elmera racemosa,-121.6444,46.89651
Elmera racemosa,-120.86417,47.425
Elmera racemosa,-123.52778,47.99028
Elmera racemosa,-120.30917,47.42361
Elmera racemosa,-121.4575,46.50444
Elmera racemosa,-120.94972,47.43833
Elmera racemosa,-120.915,47.41361
Elmera racemosa,-123.46725,47.99536
Elmera racemosa,-121.5807,46.86582
Elmera racemosa,-121.70936,46.80156
Elmera racemosa,-121.8411,44.4783
Elmera racemosa,-120.835,47.495
Elmera racemosa,-123.33156,47.72122
Elmera racemosa,-123.38056,47.92222
Elmera racemosa,-121.24013,49.16398
Elmera racemosa,-123.68583,47.81
Elmera racemosa,-122.0446,43.3993
Elmera racemosa,-121.88333,46.88333
Elmera racemosa,-120.83833,48.55167
Elmera racemosa,-121.6975,44.0736
Elmera racemosa,-120.60181,48.75361
Elmera racemosa,-120.90238,47.47522
Elmera racemosa,-121.1446,47.55899
Elmera racemosa,-120.81333,47.475
Elmera racemosa,-122.0997,43.3842
Elmera racemosa,-120.87639,47.37222
Elmera racemosa,-121.7504,46.7914
