Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
6.07012E-5,0.006070117,0.014025478,1,0,0
8.31699E-5,0.050807808,0.019167022,0.985915493,0,0
1.13516E-4,0.13701232,0.026068625,0.965794769,0,0
1.54337E-4,0.311368446,0.035275976,0.935613682,0,0
2.09028E-4,0.610077814,0.047475519,0.897384306,0,0
2.82008E-4,0.972723557,0.063514632,0.863179074,0,0
3.79E-4,1.659241652,0.084413921,0.814889336,0,0
5.07388E-4,3.339681824,0.111362391,0.726358149,0,0
6.76647E-4,5.792068055,0.145681527,0.629778672,0,0
8.98889E-4,8.385549355,0.188739023,0.55331992,0.055555556,0
1.18952E-3,12.010166651,0.241788906,0.472837022,0.111111111,0
1.56805E-3,17.162954117,0.305716179,0.386317907,0.111111111,0
1.56805E-3,22.807925903,0.305716179,0.311871227,0.111111111,0
2.05906E-3,23.013831791,0.380677736,0.311871227,0.166666667,0
2.05906E-3,30.426443766,0.380677736,0.237424547,0.166666667,0
2.6934E-3,30.695783303,0.465666695,0.237424547,0.333333333,0
2.6934E-3,40.392006618,0.465666695,0.162977867,0.333333333,0
3.50957E-3,40.742963127,0.558091672,0.162977867,0.5,0
4.55542E-3,52.429113349,0.65354981,0.096579477,0.5,0
6.10227E-3,57.139217855,0.758276031,0.076458753,0.5,0
6.10227E-3,63.24149022,0.758276031,0.054325956,0.5,0
8.43613E-3,64.085102756,0.859567895,0.054325956,0.555555556,0
8.43613E-3,72.521228121,0.859567895,0.032193159,0.555555556,0
1.16176E-2,73.682987837,0.933018499,0.032193159,0.666666667,0
1.16176E-2,82.977065567,0.933018499,0.014084507,0.666666667,0
1.59372E-2,84.570783476,0.975485175,0.014084507,0.833333333,0
2.17785E-2,88.342353788,0.993703239,0.010060362,0.833333333,0
2.17785E-2,92.698058596,0.993703239,0.004024145,0.833333333,0
3.65097E-2,96.349029298,0.999795628,0.004024145,0.888888889,0
