Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.9355E-5,0.0029355,0.001354916,1,0,0
4.91274E-5,0.013719241,0.002266501,0.973913043,0,0
8.16802E-5,0.036625476,0.003765498,0.939130435,0,0
1.34915E-4,0.090957055,0.006212018,0.886956522,0,0
2.21389E-4,0.194044933,0.010173291,0.826086957,0,0
3.60912E-4,0.274413834,0.016531459,0.8,0,0
5.84518E-4,0.513321592,0.026636287,0.747826087,0,0
9.40473E-4,1.484146355,0.042508193,0.608695652,0,0
1.5033E-3,2.386854381,0.067077983,0.530434783,0,0
2.38724E-3,2.926237801,0.104399268,0.504347826,0,0
3.76614E-3,5.928812355,0.159660099,0.4,0,0
5.90268E-3,8.402151143,0.238625629,0.347826087,0,0
9.19078E-3,11.092032214,0.345902904,0.313043478,0,0
9.19078E-3,16.606500221,0.345902904,0.252173913,0,0
1.4217E-2,18.028196386,0.48141245,0.252173913,0.066666667,0
2.1848E-2,25.899783997,0.635455492,0.208695652,0.2,0
2.1848E-2,36.823798758,0.635455492,0.156521739,0.2,0
2.90355E-2,39.727343965,0.738435915,0.156521739,0.4,0
2.90355E-2,51.341524794,0.738435915,0.113043478,0.4,0
3.33336E-2,54.674887124,0.785532677,0.113043478,0.6,0
3.337E-2,58.011883588,0.785892362,0.104347826,0.6,0
3.81008E-2,68.495955355,0.82791754,0.07826087,0.666666667,0
3.81008E-2,91.356428382,0.82791754,0.017391304,0.666666667,0
4.32179E-2,95.678214191,0.864139456,0.017391304,0.866666667,0
4.32179E-2,100,0.864139456,0,0.866666667,0
