Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.22519E-7,0.000052252,0.003455643,1,0,0
7.92152E-7,0.000340475,0.005234172,0.9995,0,0
1.20078E-6,0.001411135,0.007923493,0.9982,0,0
1.81999E-6,0.00327423,0.01198484,0.9967,0,0
2.75818E-6,0.012468006,0.018106724,0.9917,0,0
4.17952E-6,0.058395989,0.02730901,0.9751,0,0
6.33254E-6,0.191937897,0.041084558,0.9432,0,0
9.59355E-6,0.435433631,0.061578582,0.9048,0.003112033,0
9.59355E-6,0.906476707,0.061578582,0.8556,0.003112033,0
1.45321E-5,1.739167581,0.091784601,0.7983,0.006224066,0
3.17027E-5,3.197226414,0.189437349,0.7322,0.030082988,0
3.17027E-5,5.0137896,0.189437349,0.6748,0.030082988,0
4.34242E-5,7.623585237,0.249998873,0.6147,0.050829876,0
6.35449E-5,11.029990004,0.343595532,0.5526,0.114107884,0
6.35449E-5,15.033321602,0.343595532,0.4895,0.114107884,0
8.55663E-5,19.215698652,0.432699995,0.4329,0.195020747,0
8.55663E-5,24.152873316,0.432699995,0.3751,0.195020747,0
1.15165E-4,28.472896735,0.533713542,0.3317,0.278008299,0
1.33584E-4,32.20608439,0.587275886,0.2993,0.31120332,0
1.5493E-4,36.082141662,0.641702368,0.2703,0.347510373,0
1.5493E-4,40.079325763,0.641702368,0.2444,0.347510373,0
1.79666E-4,44.04993595,0.695859191,0.2223,0.391078838,0
2.01858E-4,47.521886341,0.737442125,0.2051,0.43153527,0
2.30955E-4,50.846216425,0.783475569,0.1899,0.503112033,0
2.30955E-4,54.125779614,0.783475569,0.1756,0.503112033,0
2.43545E-4,56.597562653,0.80080255,0.1654,0.572614108,0
2.47171E-4,59.617884258,0.805530811,0.153,0.608921162,0
2.47171E-4,63.943380701,0.805530811,0.1354,0.608921162,0
2.54497E-4,68.032145562,0.814743115,0.1192,0.689834025,0
2.58195E-4,71.900864926,0.819226899,0.104,0.727178423,0
2.61916E-4,75.386869182,0.823629045,0.0905,0.762448133,0
2.6566E-4,79.577903886,0.82794959,0.0745,0.791493776,0
2.69426E-4,83.031860795,0.832188637,0.0615,0.828838174,0
2.73213E-4,87.127509772,0.836346351,0.0463,0.869294606,0
2.73213E-4,91.116414322,0.836346351,0.0316,0.869294606,0
2.80848E-4,94.330232853,0.844418744,0.0201,0.93879668,0
2.84695E-4,97.307607591,0.848334051,0.0095,0.970954357,0
2.84695E-4,99.044249446,0.848334051,0.0033,0.970954357,0
2.92446E-4,99.794897768,0.855924877,0.0008,0.997925311,0
2.96348E-4,100,0.859601352,0.0001,1,0
