Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.36827E-6,0.000136827,0.005848299,1,0,0
1.79489E-6,0.000453142,0.007664784,0.9998,0,0
2.35453E-6,0.000868084,0.010042616,0.9996,0,0
3.08867E-6,0.004002391,0.013153214,0.9983,0,0
4.05171E-6,0.012129242,0.017218875,0.9957,0,0
5.31503E-6,0.036971034,0.022526817,0.9896,0,0
6.97225E-6,0.103043162,0.02944632,0.9772,0,0
9.14619E-6,0.329161496,0.038449095,0.9448,0,0
1.1998E-5,0.886449504,0.050132418,0.8839,0,0
1.1998E-5,1.752701783,0.050132418,0.8116,0,0
2.02728E-5,2.853304024,0.083235842,0.7418,0.022222222,0
2.02728E-5,4.26834258,0.083235842,0.6719,0.022222222,0
3.2429E-5,6.099738093,0.129785966,0.6006,0.053333333,0
3.2429E-5,7.987103418,0.129785966,0.5423,0.053333333,0
3.96095E-5,10.129977187,0.156164353,0.4882,0.075555556,0
5.10388E-5,12.544225374,0.196511496,0.4353,0.12,0
5.71996E-5,14.724196836,0.21745411,0.3926,0.151111111,0
6.41042E-5,16.961392796,0.240276706,0.3535,0.186666667,0
7.18421E-5,19.244274881,0.265064161,0.3179,0.213333333,0
8.05142E-5,21.421959052,0.291883902,0.2876,0.235555556,0
9.0233E-5,23.637070613,0.320779696,0.2601,0.266666667,0
1.01125E-4,26.35417286,0.351764579,0.23,0.284444444,0
1.13332E-4,28.812730228,0.384813039,0.2057,0.297777778,0
1.27012E-4,31.058066034,0.419852684,0.1859,0.311111111,0
1.42343E-4,32.710754079,0.456755769,0.1729,0.32,0
1.59526E-4,34.377890707,0.495331116,0.1612,0.324444444,0
1.59526E-4,36.340056253,0.495331116,0.1488,0.324444444,0
2.00363E-4,38.541231797,0.57637726,0.1366,0.382222222,0
2.24548E-4,41.028146297,0.618097821,0.1242,0.413333333,0
2.24548E-4,44.778101779,0.618097821,0.1074,0.413333333,0
2.8203E-4,48.379782048,0.701505594,0.0932,0.475555556,0
3.35086E-4,53.123196019,0.7622278,0.0764,0.528888889,0
4.22069E-4,58.325725195,0.836234894,0.0609,0.551111111,0
5.31633E-4,66.144965014,0.897613092,0.0424,0.608888889,0
6.69637E-4,74.080090885,0.943334599,0.0275,0.711111111,0
8.31227E-4,80.524763472,0.971654717,0.0179,0.813333333,0
1.01684E-3,85.946300721,0.987208547,0.0114,0.871111111,0
1.2439E-3,90.138050806,0.99516724,0.0073,0.915555556,0
1.52166E-3,96.136548598,0.998530816,0.0025,0.96,0
1.52166E-3,99.027708608,0.998530816,0.0005,0.96,0
2.27711E-3,100,0.999942372,0.0001,0.995555556,0
2.27711E-3,100,0.999942372,0,0.995555556,0
