Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.71525E-8,0.000005715,0.000350499,1,0,0
7.707E-8,0.000013422,0.000472618,0.9999,0,0
1.03578E-7,0.000031487,0.000635123,0.9997,0,0
1.38734E-7,0.000055718,0.000850602,0.9995,0,0
1.85196E-7,0.000115858,0.001135306,0.9991,0,0
3.26683E-7,0.000407311,0.002001795,0.9979,0,0
4.31691E-7,0.000613822,0.002644395,0.9973,0,0
5.68529E-7,0.001534057,0.003481156,0.9952,0,0
7.46216E-7,0.00320056,0.004566665,0.9923,0,0
9.76134E-7,0.006880011,0.005969501,0.9874,0,0
1.27259E-6,0.013254529,0.007775374,0.9809,0,0
1.65348E-6,0.031745118,0.01009079,0.9664,0,0
2.14112E-6,0.066516859,0.013047285,0.9454,0,0
2.76323E-6,0.109829679,0.016806202,0.9252,0,0
4.55583E-6,0.293530601,0.027557584,0.868,0,0
5.82025E-6,0.449466273,0.03507036,0.8338,0,0
7.41052E-6,0.649841766,0.04443687,0.7994,0.010989011,0
9.40347E-6,0.879767028,0.0560469,0.7684,0.010989011,0
1.18922E-5,1.176225246,0.070346986,0.7369,0.021978022,0
1.49888E-5,1.484541884,0.087838119,0.711,0.021978022,0
1.70779E-5,1.810007211,0.099452062,0.6893,0.021978022,0
2.35708E-5,2.173861953,0.134612855,0.67,0.021978022,0
2.42629E-5,2.624134292,0.138278522,0.6509,0.021978022,0
3.43545E-5,3.169943906,0.190001639,0.6322,0.021978022,0
4.53194E-5,3.959940856,0.242687477,0.6105,0.021978022,0
4.53194E-5,5.129182103,0.242687477,0.5846,0.021978022,0
5.5974E-5,5.333545547,0.290597396,0.5805,0.032967033,0
6.81813E-5,7.260272056,0.341775341,0.5461,0.054945055,0
6.81813E-5,7.846631361,0.341775341,0.5374,0.054945055,0
6.89003E-5,11.064275383,0.344671786,0.4907,0.065934066,0
8.45257E-5,15.899143618,0.404564139,0.4335,0.076923077,0
1.03345E-4,17.094501317,0.469478253,0.4211,0.142857143,0
1.03345E-4,22.034385632,0.469478253,0.3732,0.142857143,0
1.33499E-4,27.978939032,0.559062701,0.3261,0.263736264,0
1.52928E-4,31.091406743,0.608601006,0.3028,0.285714286,0
1.52928E-4,37.973178069,0.608601006,0.2577,0.285714286,0
1.85859E-4,45.654548914,0.680186197,0.2163,0.428571429,0
1.85859E-4,51.657787539,0.680186197,0.1839,0.428571429,0
2.23263E-4,61.704642983,0.745752797,0.1389,0.494505495,0
2.57882E-4,72.97409062,0.79439353,0.0952,0.626373626,0
2.684E-4,73.000930573,0.807238743,0.0952,0.747252747,0
2.684E-4,85.481508713,0.807238743,0.0486,0.747252747,0
2.98734E-4,85.511382152,0.839966183,0.0486,0.857142857,0
