Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
7.4667E-6,0.00074667,0.021730725,1,0,0
8.55333E-6,0.001602003,0.024853612,0.999749812,0,0
9.79811E-6,0.003437147,0.028418728,0.999249437,0,0
1.68721E-5,0.006246764,0.048433049,0.998749062,0,0
2.21403E-5,0.012080761,0.063069836,0.997998499,0,0
3.32816E-5,0.045246857,0.093286846,0.994996247,0,0
3.32816E-5,0.121794532,0.093286846,0.988991744,0,0
4.36735E-5,0.248162218,0.120592307,0.980985739,0.013333333,0
5.00293E-5,0.541410206,0.136885905,0.964223167,0.026666667,0
5.73102E-5,0.992402382,0.15518008,0.94170628,0.026666667,0
6.56506E-5,1.646572343,0.17566061,0.913184889,0.026666667,0
7.52048E-5,2.5469407,0.198512275,0.878909182,0.04,0
8.61494E-5,3.683627331,0.223912152,0.841130848,0.04,0
9.86868E-5,5.071886612,0.252020845,0.800850638,0.053333333,0
1.13049E-4,6.85955443,0.282971371,0.755566675,0.053333333,0
1.13049E-4,9.301409181,0.282971371,0.701275957,0.053333333,0
1.29501E-4,12.435332172,0.316855516,0.640730548,0.066666667,0
1.48347E-4,15.743478382,0.353707672,0.584938704,0.12,0
1.69937E-4,15.760472033,0.393486423,0.584938704,0.146666667,0
1.69937E-4,19.940910335,0.393486423,0.523142357,0.146666667,0
2.22998E-4,25.141367253,0.481158943,0.456592444,0.213333333,0
2.55451E-4,32.124441922,0.528411753,0.378283713,0.306666667,0
2.92627E-4,39.153057802,0.577276649,0.309482112,0.373333333,0
3.35213E-4,46.853403509,0.627062721,0.243682762,0.426666667,0
3.35213E-4,53.691752643,0.627062721,0.192394296,0.426666667,0
4.39881E-4,60.801287941,0.7259166,0.14635977,0.613333333,0
4.39881E-4,66.607712537,0.7259166,0.113084814,0.613333333,0
5.03897E-4,72.402527568,0.772973164,0.084313235,0.72,0
6.61234E-4,77.605994723,0.857104748,0.062046535,0.786666667,0
7.75976E-4,83.370208877,0.898049039,0.04028021,0.84,0
9.37018E-4,89.516522936,0.936525709,0.020515387,0.853333333,0
1.1365E-3,92.347525143,0.964707291,0.013009757,0.893333333,0
1.37845E-3,94.758366101,0.982681743,0.007755817,0.933333333,0
1.6719E-3,96.441845994,0.992696982,0.004753565,0.973333333,0
1.6719E-3,98.113746171,0.992696982,0.002001501,0.973333333,0
2.02783E-3,98.316528981,0.997437481,0.002001501,0.986666667,0
3.34778E-3,99.665221516,0.999947288,0.000500375,0.986666667,0
