Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
6.47599E-8,0.000006476,0.00044204,1,0,0
1.0874E-7,0.00004973,0.000742127,0.9994,0,0
1.82435E-7,0.000209335,0.001244768,0.998,0,0
3.0582E-7,0.000732491,0.002085754,0.9952,0,0
5.12225E-7,0.002465722,0.003491022,0.9896,0,0
8.57223E-7,0.011771494,0.005835456,0.9715,0,0
1.43339E-6,0.039517426,0.009738517,0.9392,0,0
2.39483E-6,0.090785681,0.016217336,0.9035,0,0
3.05123E-6,0.17706508,0.0206163,0.8675,0,0
6.37871E-6,0.31835195,0.042614874,0.8321,0,0
1.11129E-5,0.575869822,0.073064756,0.7934,0,0
1.33238E-5,0.921702625,0.086951135,0.7623,0.004444444,0
1.8505E-5,1.016819594,0.118684487,0.7552,0.004444444,0
2.78074E-5,1.719088286,0.172917078,0.7173,0.004444444,0
3.07884E-5,2.083663272,0.189579802,0.7042,0.004444444,0
5.11826E-5,3.391129486,0.29491782,0.6618,0.031111111,0
5.11826E-5,5.740412975,0.29491782,0.6158,0.031111111,0
7.70341E-5,6.907857322,0.408998697,0.5958,0.053333333,0
8.90957E-5,10.606698118,0.455716919,0.5478,0.102222222,0
8.90957E-5,12.70935625,0.455716919,0.5241,0.102222222,0
1.00864E-4,15.079666518,0.49773822,0.5006,0.146666667,0
1.14092E-4,19.42519613,0.541110181,0.4577,0.195555556,0
1.14092E-4,22.574140168,0.541110181,0.43,0.195555556,0
1.28947E-4,27.288636028,0.585368863,0.3931,0.275555556,0
1.28947E-4,30.705739367,0.585368863,0.3665,0.275555556,0
1.47358E-4,34.783136972,0.634343236,0.3386,0.333333333,0
1.5628E-4,39.086875228,0.655953201,0.3094,0.368888889,0
1.643E-4,43.307245803,0.674285219,0.2824,0.422222222,0
1.65605E-4,47.891356742,0.677173535,0.2545,0.466666667,0
1.7534E-4,52.247741984,0.697931968,0.2282,0.515555556,0
1.7534E-4,56.017547724,0.697931968,0.2066,0.515555556,0
1.85492E-4,61.537392057,0.718160096,0.1769,0.568888889,0
1.96069E-4,64.895856622,0.737794235,0.1588,0.586666667,0
2.07076E-4,68.19091058,0.756776199,0.142,0.613333333,0
2.08649E-4,72.021964975,0.759375077,0.1235,0.662222222,0
2.08649E-4,78.761327349,0.759375077,0.0911,0.662222222,0
2.30401E-4,82.25880352,0.792582378,0.0752,0.795555556,0
2.34835E-4,86.86725794,0.79876727,0.0552,0.853333333,0
2.42727E-4,94.077466843,0.809323347,0.0245,0.937777778,0
