X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
136.7,35.5,train,3.581841393273343E-4,7.219320033722662,0.5306140551546283
137.9,35.3,train,5.062320319494918E-4,51.095415711044666,0.6566287436569365
134.652778,35.001111,train,4.6059835463824693E-4,29.32068412871527,0.621895419432088
136.5,35.6,train,5.062320319494918E-4,51.095415711044666,0.6566287436569365
135.7,33.7,train,5.326881434001621E-4,85.5108825,0.6752848357650524
137.454406,34.985707,train,5.326881434001621E-4,85.5108825,0.6752848357650524
135.9,34.5,train,5.300214169216514E-4,85.5108825,0.673451215885763
136.5,35.4,train,5.062320319494918E-4,51.095415711044666,0.6566287436569365
135.4,35.3,train,5.326881434001621E-4,85.5108825,0.6752848357650524
135.867,34.6667,train,3.120240171589523E-4,4.568758113287647,0.4825589799959247
137.3,34.9,train,5.062320319494918E-4,51.095415711044666,0.6566287436569365
136.3,35.5,train,5.300214169216514E-4,85.5108825,0.673451215885763
136.3,35.0,train,5.139116423610129E-4,57.739702263981656,0.6621519537422598
137.1,35.6,train,5.062320319494918E-4,51.095415711044666,0.6566287436569365
136.0,35.6,train,5.300214169216514E-4,85.5108825,0.673451215885763
134.2,35.5,train,4.387720345244951E-4,22.55050069830587,0.6040616288450938
136.9,35.6,train,4.387720345244951E-4,22.55050069830587,0.6040616288450938
135.8,35.1,train,5.326881434001621E-4,85.5108825,0.6752848357650524
137.8,35.2,train,5.062320319494918E-4,51.095415711044666,0.6566287436569365
135.7,35.0,train,3.581841393273343E-4,7.219320033722662,0.5306140551546283
137.9,35.5,train,5.062320319494918E-4,51.095415711044666,0.6566287436569365
138.1,35.483333,train,4.7706731517565057E-4,29.75053869297508,0.6348181290946069
134.0,35.1,train,3.77319561431016E-4,7.257050850239047,0.5492018820014193
135.7,35.3,train,5.300214169216514E-4,85.5108825,0.673451215885763
131.5,34.2,train,4.830876588054164E-4,39.36293510783169,0.6394310701063338
135.2,35.2,train,5.300214169216514E-4,85.5108825,0.673451215885763
135.79846,34.40693,train,4.1761454413410823E-4,16.086649214775704,0.5859718209057625
135.5,35.0,train,5.062320319494918E-4,51.095415711044666,0.6566287436569365
137.8,35.3,train,4.6059835463824693E-4,29.32068412871527,0.621895419432088
136.2,34.5,train,5.326881434001621E-4,85.5108825,0.6752848357650524
134.933,35.2667,train,5.300214169216514E-4,85.5108825,0.673451215885763
135.3,35.4,train,5.062320319494918E-4,51.095415711044666,0.6566287436569365
132.333333,34.416667,train,4.387720345244951E-4,22.55050069830587,0.6040616288450938
135.2,35.3,train,4.387720345244951E-4,22.55050069830587,0.6040616288450938
135.8,34.9,train,4.6059835463824693E-4,29.32068412871527,0.621895419432088
137.9,35.6,train,3.581841393273343E-4,7.219320033722662,0.5306140551546283
132.1,34.5,train,5.326881434001621E-4,85.5108825,0.6752848357650524
136.7,35.6,train,4.830876588054164E-4,39.36293510783169,0.6394310701063338
135.6,35.1,train,4.830876588054164E-4,39.36293510783169,0.6394310701063338
136.8,35.4,train,3.581841393273343E-4,7.219320033722662,0.5306140551546283
135.0,35.3,train,4.6059835463824693E-4,29.32068412871527,0.621895419432088
137.0,35.5,train,4.1761454413410823E-4,16.086649214775704,0.5859718209057625
137.633333,36.883333,train,5.300214169216514E-4,85.5108825,0.673451215885763
137.6,35.5,train,5.326881434001621E-4,85.5108825,0.6752848357650524
135.10625,35.6125,train,4.6059835463824693E-4,29.32068412871527,0.621895419432088
135.4,35.4,train,5.062320319494918E-4,51.095415711044666,0.6566287436569365
135.2,34.8,train,3.971297378136995E-4,13.94906096694158,0.5676700432697999
135.9,34.4,train,5.062320319494918E-4,51.095415711044666,0.6566287436569365
135.6,34.2,train,5.139116423610129E-4,57.739702263981656,0.6621519537422598
131.6,34.3,train,5.300214169216514E-4,85.5108825,0.673451215885763
136.9,35.7,train,5.062320319494918E-4,51.095415711044666,0.6566287436569365
135.8,35.2,train,5.139116423610129E-4,57.739702263981656,0.6621519537422598
135.7,35.1,train,5.326881434001621E-4,85.5108825,0.6752848357650524
131.4,34.4,train,4.830876588054164E-4,39.36293510783169,0.6394310701063338
135.1275,35.031389,train,3.77319561431016E-4,7.257050850239047,0.5492018820014193
136.0,35.5,train,5.326881434001621E-4,85.5108825,0.6752848357650524
130.1,33.0,train,4.953634972308789E-4,41.69211851088055,0.6486573756762601
137.8,35.1,train,5.062320319494918E-4,51.095415711044666,0.6566287436569365
135.8,35.0,train,3.581841393273343E-4,7.219320033722662,0.5306140551546283
137.6,34.9,train,5.300214169216514E-4,85.5108825,0.673451215885763
135.6,34.4,train,5.300214169216514E-4,85.5108825,0.673451215885763
135.4,34.9,train,4.1761454413410823E-4,16.086649214775704,0.5859718209057625
135.6,34.9,train,5.300214169216514E-4,85.5108825,0.673451215885763
135.25,35.1333,train,5.326881434001621E-4,85.5108825,0.6752848357650524
135.917,34.6567,train,5.062320319494918E-4,51.095415711044666,0.6566287436569365
137.15,36.5,train,5.139116423610129E-4,57.739702263981656,0.6621519537422598
136.6,35.6,train,5.300214169216514E-4,85.5108825,0.673451215885763
136.6,35.1,train,3.120240171589523E-4,4.568758113287647,0.4825589799959247
137.433333,36.6,train,5.062320319494918E-4,51.095415711044666,0.6566287436569365
136.1,33.9,train,5.300214169216514E-4,85.5108825,0.673451215885763
135.466,35.3117,train,5.326881434001621E-4,85.5108825,0.6752848357650524
135.3,35.2,train,5.062320319494918E-4,51.095415711044666,0.6566287436569365
135.2,35.6,train,3.77319561431016E-4,7.257050850239047,0.5492018820014193
135.5,35.4,train,5.326881434001621E-4,85.5108825,0.6752848357650524
137.4,34.9,train,5.300214169216514E-4,85.5108825,0.673451215885763
132.8,35.1,train,5.326881434001621E-4,85.5108825,0.6752848357650524
137.5,35.6,train,5.300214169216514E-4,85.5108825,0.673451215885763
135.67387,34.60636,train,4.830876588054164E-4,39.36293510783169,0.6394310701063338
137.167143,35.205901,train,5.300214169216514E-4,85.5108825,0.673451215885763
136.1,35.6,train,5.300214169216514E-4,85.5108825,0.673451215885763
137.2,35.6,train,5.062320319494918E-4,51.095415711044666,0.6566287436569365
136.5,35.7,train,4.830876588054164E-4,39.36293510783169,0.6394310701063338
