Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.14367E-8,0.000002144,0.000124066,1,0,0
3.57094E-8,0.000007858,0.000206661,0.9998,0,0
5.94241E-8,0.000053081,0.000343882,0.9986,0,0
9.87869E-8,0.000550237,0.000571607,0.9903,0,0
1.64056E-7,0.002265777,0.000949094,0.973,0,0
2.72172E-7,0.005639743,0.001574068,0.9525,0,0
4.51076E-7,0.010828897,0.002607386,0.9335,0,0
1.23519E-6,0.041052646,0.007123671,0.8847,0,0
2.04084E-6,0.08387071,0.011742737,0.8501,0,0
3.36855E-6,0.167473933,0.019308033,0.8092,0,0
5.55434E-6,0.305129193,0.031636783,0.7684,0,0
9.1491E-6,0.5443251,0.05157658,0.7254,0,0
1.5055E-5,0.96028477,0.083448634,0.68,0,0
2.4748E-5,1.652279087,0.133453492,0.6341,0,0
4.06402E-5,2.703184305,0.209604972,0.5917,0.008474576,0
4.06402E-5,4.332858313,0.209604972,0.5515,0.008474576,0
6.61832E-5,6.545120919,0.318229834,0.5124,0.076271186,0
6.61832E-5,8.993897768,0.318229834,0.4753,0.076271186,0
7.75698E-5,9.001654751,0.361713345,0.4753,0.110169492,0
9.08228E-5,11.609326306,0.408843652,0.4417,0.118644068,0
9.08228E-5,14.270433581,0.408843652,0.4123,0.118644068,0
1.06231E-4,16.745627263,0.459282935,0.389,0.13559322,0
1.24128E-4,16.758040023,0.512487979,0.389,0.152542373,0
1.24128E-4,19.563323729,0.512487979,0.3663,0.152542373,0
1.44891E-4,23.15660896,0.567690926,0.3415,0.186440678,0
1.68954E-4,27.515619883,0.623896667,0.3157,0.203389831,0
2.00465E-4,33.74838276,0.686599551,0.2827,0.347457627,0
2.13238E-4,40.986437734,0.708934009,0.2466,0.406779661,0
2.26594E-4,49.751864006,0.730586561,0.2055,0.474576271,0
2.26594E-4,57.388085808,0.730586561,0.1717,0.474576271,0
2.35902E-4,64.795414561,0.744716983,0.1403,0.610169492,0
2.40611E-4,71.364088468,0.751580227,0.113,0.677966102,0
2.49546E-4,77.73876172,0.764101318,0.0871,0.788135593,0
2.53749E-4,83.803154577,0.769769994,0.0628,0.855932203,0
2.57759E-4,89.792024197,0.77505191,0.0392,0.889830508,0
2.61565E-4,94.664042437,0.779953201,0.0203,0.940677966,0
2.61565E-4,97.41047188,0.779953201,0.0097,0.940677966,0
2.68523E-4,98.975229795,0.788638785,0.0039,0.991525424,0
2.71654E-4,99.646849444,0.792435387,0.0014,1,0
