Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.81385E-6,0.000281385,0.025642172,1,0,0
3.40812E-6,0.001747739,0.030972992,0.9995,0,0
4.1279E-6,0.007613527,0.037390611,0.9978,0,0
4.99969E-6,0.011003027,0.045106709,0.997,0,0
7.33451E-6,0.027425069,0.065468585,0.9941,0,0
1.07597E-5,0.055802937,0.094556236,0.9907,0,0
1.57844E-5,0.132833181,0.135597288,0.9842,0,0
1.91179E-5,0.298874049,0.161793729,0.9747,0,0
2.23927E-5,0.30111332,0.186755022,0.9747,0.005952381,0
2.80459E-5,0.450969065,0.22810832,0.9682,0.005952381,0
2.97889E-5,0.630636832,0.240429772,0.9618,0.005952381,0
3.3969E-5,0.902133978,0.269182619,0.9527,0.008928571,0
3.96281E-5,1.113307603,0.30638244,0.9465,0.008928571,0
3.96281E-5,1.977199237,0.30638244,0.9246,0.008928571,0
4.98322E-5,2.229040786,0.368739463,0.9186,0.017857143,0
4.98322E-5,2.652614877,0.368739463,0.91,0.017857143,0
5.2717E-5,4.545155856,0.385328917,0.8741,0.023809524,0
6.03565E-5,5.130614377,0.427185795,0.8644,0.041666667,0
6.41756E-5,8.146866667,0.447029178,0.8174,0.044642857,0
7.14924E-5,12.615139484,0.483146825,0.7549,0.083333333,0
7.31035E-5,13.558174985,0.490777493,0.742,0.139880952,0
7.96434E-5,20.216359089,0.520611495,0.6584,0.148809524,0
8.85426E-5,21.836688655,0.558421369,0.6401,0.208333333,0
8.87236E-5,30.913117633,0.559158794,0.5378,0.226190476,0
9.88392E-5,40.283074141,0.598462517,0.443,0.297619048,0
1.07242E-4,42.674577883,0.628434266,0.4207,0.375,0
1.10108E-4,51.901632985,0.63813538,0.3369,0.386904762,0
1.22662E-4,61.702302225,0.677733549,0.257,0.479166667,0
1.29891E-4,65.4042049,0.698540137,0.2285,0.583333333,0
1.36647E-4,75.242759667,0.716765775,0.1565,0.630952381,0
1.52226E-4,75.257982261,0.754707774,0.1565,0.729166667,0
1.57324E-4,85.411962332,0.765983992,0.0898,0.851190476,0
1.57324E-4,91.610514969,0.765983992,0.0503,0.851190476,0
