Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.3369E-6,0.00033369,0.000069486,1,0,0
3.35012E-6,0.000668702,0.000069761,0.99990007,0,0
3.40354E-6,0.001009056,0.000070873,0.99980014,0,0
3.4715E-6,0.003080984,0.000072289,0.99920056,0,0
3.52649E-6,0.005184517,0.000073434,0.998600979,0,0
3.59728E-6,0.01018664,0.000074908,0.997201959,0,0
3.66874E-6,0.026902843,0.000076396,0.992605176,0,0
3.72724E-6,0.053482077,0.000077614,0.985410213,0,0
3.80167E-6,0.10388261,0.000079164,0.972019586,0,0
3.92386E-6,0.205665725,0.000081708,0.945638053,0,0
4.04998E-6,0.301609545,0.000084334,0.921554912,0,0
4.18016E-6,0.403568963,0.000087045,0.896772259,0,0
4.26364E-6,0.500134442,0.000088783,0.873888278,0,0
4.36511E-6,0.614603283,0.000090896,0.847306885,0,0
4.45366E-6,0.700053754,0.00009274,0.827920456,0,0
4.50541E-6,0.751962194,0.000093817,0.81632857,0,0
4.55636E-6,0.802190396,0.000094878,0.805236335,0,0
4.6857E-6,0.903149256,0.000097571,0.783351654,0,0
4.80069E-6,1.000276396,0.000099965,0.762865994,0,0
4.91494E-6,1.100651739,0.000102345,0.742180474,0,0
5.01465E-6,1.204327838,0.000104421,0.721295093,0,0
5.09145E-6,1.302759288,0.00010602,0.701808734,0,0
5.19634E-6,1.403976532,0.000108204,0.682122514,0,0
5.34109E-6,1.500321495,0.000111218,0.663835315,0,0
5.61995E-6,1.758815725,0.000117024,0.616668332,0,0
5.87042E-6,2.001502146,0.000122239,0.574397921,0,0
6.15953E-6,2.257484369,0.000128259,0.531927651,0,0
6.40271E-6,2.504327843,0.000133322,0.492655141,0,0
6.6388E-6,2.752438771,0.000138238,0.454581793,0,0
6.87934E-6,3.002251019,0.000143246,0.417607675,0,0
7.15684E-6,3.25096106,0.000149024,0.382132507,0,0
7.41308E-6,3.507947448,0.00015436,0.3468572,0,0
7.65057E-6,3.759859338,0.000159304,0.313380634,0,0
7.92449E-6,4.003993363,0.000165008,0.282002598,0,0
8.24245E-6,4.260966521,0.000171628,0.250224843,0,0
8.5188E-6,4.504742172,0.000177381,0.221145198,0,0
8.78899E-6,4.751377042,0.000183007,0.192665134,0,0
9.24786E-6,5.000238514,0.000192561,0.164984511,0,0
9.88483E-6,5.250440116,0.000205822,0.138802838,0,0
1.06185E-5,5.500990195,0.000221097,0.114319976,0,0
1.16356E-5,5.750963848,0.000242272,0.091735785,0,0
1.2932E-5,6.000754164,0.000269262,0.071350055,0,0
1.44656E-5,6.251218431,0.00030119,0.052962926,0,0
1.57117E-5,6.501819563,0.000327131,0.036374538,0,0
1.73898E-5,6.750689201,0.000362064,0.02118517,0,0
1.95944E-5,7.001670436,0.000407955,0.007594684,0,0
7.47379E-2,14.616644494,0.789096859,0.0009993,0,0
7.59373E-2,22.210377909,0.79429952,0.00089937,0,0
8.31423E-2,30.524611031,0.822958735,0.00079944,0,0
8.37852E-2,38.903133596,0.825313126,0.00069951,0,0
8.75555E-2,47.658685232,0.838503771,0.00059958,0.142857143,0
9.20983E-2,56.86851798,0.853081003,0.00049965,0.285714286,0
9.43E-2,66.298516225,0.859664822,0.00039972,0.428571429,0
1.05353E-1,76.83377026,0.888516898,0.00029979,0.571428571,0
1.12655E-1,88.099309754,0.904244609,0.00019986,0.714285714,0
1.19007E-1,100,0.916107864,0.00009993,0.857142857,0
1.19007E-1,100,0.916107864,0,0.857142857,0
