Predictor variable,Categorical,Sample average
alt,false,1237.875
alt,false,1237.875
bio1,false,124.375
bio1,false,124.375
bio10,false,202.0
bio10,false,202.0
bio11,false,61.5
bio11,false,61.5
bio12,false,521.75
bio12,false,521.75
bio13,false,99.5
bio13,false,99.5
bio14,false,1.25
bio14,false,1.25
bio15,false,86.25
bio15,false,86.25
bio16,false,277.625
bio16,false,277.625
bio17,false,8.375
bio17,false,8.375
bio18,false,16.5
bio18,false,16.5
bio19,false,271.625
bio19,false,271.625
bio2,false,123.875
bio2,false,123.875
bio3,false,43.75
bio3,false,43.75
bio4,false,5639.0
bio4,false,5639.0
bio5,false,285.875
bio5,false,285.875
bio6,false,5.25
bio6,false,5.25
bio7,false,280.625
bio7,false,280.625
bio8,false,64.625
bio8,false,64.625
bio9,false,197.5
bio9,false,197.5
mask,true,50.0
