Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.58427E-10,0.000000036,0.000000022,1,0,0
7.0438E-10,0.00000017,0.000000043,0.999800539,0,0
9.09703E-10,0.000000333,0.000000056,0.999601077,0,0
1.32628E-9,0.000001023,0.000000082,0.999002693,0,0
2.21239E-9,0.000002556,0.000000137,0.998204847,0,0
3.47217E-9,0.000010089,0.000000214,0.995512117,0,0
5.37832E-9,0.000025207,0.000000332,0.992221003,0,0
7.15184E-9,0.000050011,0.000000442,0.988331505,0,0
1.03118E-8,0.000100406,0.000000637,0.982646853,0,0
1.67401E-8,0.000250701,0.000001034,0.971576743,0,0
2.3757E-8,0.000501886,0.000001467,0.959309863,0,0
3.77225E-8,0.001002694,0.000002329,0.943153486,0,0
6.40946E-8,0.002503198,0.000003958,0.913234267,0,0
9.13846E-8,0.005000476,0.000005643,0.881420166,0,0
1.3017E-7,0.010008951,0.000008038,0.836641069,0,0
2.0592E-7,0.025015211,0.000012716,0.747681261,0,0
2.96308E-7,0.050025607,0.000018297,0.647751072,0,0
4.54893E-7,0.10001452,0.000028089,0.51301486,0,0
8.02762E-7,0.200036138,0.00004957,0.348259699,0,0
1.26151E-6,0.30001528,0.000077896,0.248528972,0,0
2.00436E-6,0.40014478,0.000123762,0.185798344,0,0
2.93459E-6,0.500088615,0.000181195,0.144709285,0,0
4.27009E-6,0.600245814,0.000263645,0.116684951,0,0
5.62983E-6,0.700295151,0.000347584,0.096439613,0,0
6.29289E-6,0.75015369,0.000388513,0.088062232,0,0
7.01484E-6,0.800064993,0.000433075,0.080582427,0,0
8.43589E-6,0.900574816,0.000520784,0.067517702,0,0
9.92E-6,1.000326871,0.000612376,0.056746784,0,0
1.1806E-5,1.100073202,0.000728758,0.047571557,0,0
1.34299E-5,1.200806067,0.000828955,0.039593099,0,0
1.47448E-5,1.30113073,0.000910085,0.032512217,0,0
1.63319E-5,1.400420326,0.001007992,0.02612945,0,0
1.87105E-5,1.501826112,0.001154711,0.020345068,0,0
2.90449E-5,1.75221477,0.001791925,0.009274958,0,0
1.40974E-3,2.115183309,0.083370434,0.006183305,0,0
2.48117E-3,2.363300106,0.142053081,0.006083574,0,0
2.61418E-3,2.624717899,0.149070895,0.005983844,0,0
3.15962E-3,2.940680273,0.177254157,0.005884113,0,0
3.7289E-3,3.313570153,0.205673658,0.005784382,0,0
4.02307E-3,3.715877008,0.219972406,0.005684651,0,0
4.75978E-3,4.191854983,0.254662523,0.005584921,0,0
5.25745E-3,4.717599787,0.277219267,0.00548519,0.037037037,0
6.22399E-3,5.339998645,0.319095771,0.005385459,0.037037037,0
6.73766E-3,6.013765001,0.340354848,0.005285729,0.037037037,0
7.10036E-3,6.723800558,0.354964293,0.005185998,0.037037037,0
7.17655E-3,7.44145558,0.357992089,0.005086267,0.037037037,0
7.29882E-3,8.171337256,0.362820999,0.004986536,0.037037037,0
7.53733E-3,8.925069916,0.372136648,0.004886806,0.037037037,0
8.17979E-3,9.743048762,0.396557781,0.004787075,0.037037037,0
8.25447E-3,10.568496064,0.399334329,0.004687344,0.037037037,0
8.97208E-3,11.465704017,0.425370191,0.004587613,0.037037037,0
9.69423E-3,12.435127274,0.450431842,0.004487883,0.037037037,0
9.98775E-3,13.433902242,0.460302924,0.004388152,0.037037037,0
1.0616E-2,14.495503136,0.480839664,0.004288421,0.037037037,0
1.11151E-2,15.607017009,0.496596861,0.004188691,0.037037037,0
1.15254E-2,16.759552465,0.509188405,0.00408896,0.037037037,0
1.16861E-2,17.928159027,0.514035114,0.003989229,0.074074074,0
1.19838E-2,19.126539374,0.522888152,0.003889498,0.074074074,0
1.22377E-2,20.350304524,0.530308669,0.003789768,0.074074074,0
1.2565E-2,21.606809303,0.539709002,0.003690037,0.074074074,0
1.33209E-2,22.938898394,0.560698793,0.003590306,0.074074074,0
1.34516E-2,24.284055793,0.564229569,0.003490575,0.111111111,0
1.35507E-2,25.639128292,0.566889471,0.003390845,0.111111111,0
1.40121E-2,27.040337758,0.579054568,0.003291114,0.148148148,0
1.40997E-2,28.450302765,0.581324302,0.003191383,0.148148148,0
1.42488E-2,29.875182765,0.585162629,0.003091653,0.148148148,0
1.44349E-2,31.318671916,0.589902332,0.002991922,0.148148148,0
1.47318E-2,32.791851643,0.597352574,0.002892191,0.185185185,0
1.49285E-2,34.28470229,0.602213894,0.00279246,0.185185185,0
1.51434E-2,35.799043308,0.607457797,0.00269273,0.185185185,0
1.5366E-2,37.335643361,0.612816393,0.002592999,0.222222222,0
1.55383E-2,38.889477202,0.616914926,0.002493268,0.259259259,0
1.6116E-2,40.501072732,0.630338017,0.002393537,0.296296296,0
