Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.69102E-4,0.016910166,0.013662502,1,0,0
2.78251E-4,0.044735288,0.02238191,0.993333333,0,0
2.8648E-4,0.073383278,0.023036125,0.986666667,0,0
2.90462E-4,0.102429467,0.023352553,0.98,0,0
4.63413E-4,0.243809604,0.036997585,0.953333333,0,0
5.18788E-4,0.343231143,0.041326051,0.94,0,0
6.08205E-4,0.404051649,0.048274346,0.933333333,0,0
7.31317E-4,0.540769437,0.057758669,0.92,0,0
7.38921E-4,0.614661516,0.058341315,0.913333333,0,0
7.59682E-4,0.765900086,0.059930432,0.9,0,0
7.61155E-4,0.842015577,0.06004303,0.893333333,0,0
9.33515E-4,0.935367081,0.073130923,0.886666667,0,0
9.76245E-4,1.032991554,0.076347247,0.88,0,0
9.84328E-4,1.13142435,0.076954426,0.873333333,0,0
1.00872E-3,1.232295936,0.078783928,0.866666667,0,0
1.03888E-3,1.336183624,0.081041497,0.86,0,0
1.11845E-3,1.448029054,0.086971392,0.853333333,0,0
1.19265E-3,1.567293884,0.092465653,0.846666667,0,0
1.23624E-3,1.813298699,0.095678542,0.833333333,0,0
1.28733E-3,2.067947232,0.099428999,0.82,0,0
1.34223E-3,2.332995264,0.10344253,0.806666667,0,0
1.39671E-3,2.607405117,0.107407074,0.793333333,0,0
1.43187E-3,2.750591702,0.109956197,0.786666667,0,0
1.48396E-3,3.045512856,0.113719894,0.773333333,0,0
1.55863E-3,3.353452824,0.119087309,0.76,0,0
1.56588E-3,3.510041214,0.119607268,0.753333333,0,0
1.67343E-3,3.840979782,0.127275968,0.74,0,0
1.72682E-3,4.013662137,0.131058857,0.733333333,0,0
1.74852E-3,4.363078529,0.132591513,0.72,0,0
1.75119E-3,4.538197628,0.132779679,0.713333333,0,0
1.79464E-3,4.896291878,0.13583966,0.7,0,0
1.90913E-3,5.087205136,0.143851143,0.693333333,0,0
1.94427E-3,5.281631932,0.146294797,0.686666667,0,0
1.95973E-3,5.672665836,0.147368294,0.673333333,0,0
1.96835E-3,5.86950123,0.147965938,0.666666667,0,0
2.02459E-3,6.071959863,0.151854746,0.66,0,0
2.05399E-3,6.277358985,0.153881201,0.653333333,0,0
2.15677E-3,6.705049936,0.160926399,0.64,0,0
2.24693E-3,6.929742886,0.167058065,0.633333333,0,0
2.36988E-3,7.166730679,0.175347668,0.626666667,0,0
2.37208E-3,7.403939154,0.175495704,0.62,0,0
2.44951E-3,7.648889806,0.180672431,0.613333333,0,0
2.47091E-3,7.895981209,0.182098077,0.606666667,0,0
2.53192E-3,8.149173003,0.186147078,0.6,0,0
2.58756E-3,8.407929113,0.189822788,0.593333333,0,0
2.64465E-3,8.672393971,0.193576657,0.586666667,0,0
2.69105E-3,8.941499354,0.19661528,0.58,0,0
2.8266E-3,9.224159846,0.205425777,0.573333333,0,0
2.85774E-3,9.509933994,0.207435894,0.566666667,0,0
2.87409E-3,9.797343013,0.208489299,0.56,0,0
2.8828E-3,10.08562257,0.209049646,0.553333333,0,0
2.93477E-3,10.379099707,0.212386974,0.546666667,0,0
2.9595E-3,10.67505014,0.213970109,0.54,0,0
3.0708E-3,10.982130169,0.221054786,0.533333333,0,0
3.15924E-3,11.298054042,0.226638882,0.526666667,0,0
3.16538E-3,11.614591607,0.227024885,0.52,0,0
3.27898E-3,11.942489876,0.234135899,0.513333333,0,0
3.35253E-3,12.277742658,0.238704396,0.506666667,0,0
3.38686E-3,12.616428211,0.240827435,0.5,0,0
3.45106E-3,12.961533727,0.244782062,0.493333333,0,0
3.47253E-3,13.308786878,0.246100379,0.486666667,0,0
3.65859E-3,13.674646356,0.257425886,0.48,0,0
3.74795E-3,14.04944111,0.26280408,0.473333333,0,0
3.8352E-3,14.432960652,0.268017991,0.466666667,0,0
3.85806E-3,14.818766581,0.269378222,0.46,0,0
3.99498E-3,15.218264543,0.277471235,0.453333333,0,0
4.00615E-3,15.618879986,0.278127779,0.446666667,0,0
4.55628E-3,16.074507869,0.309721848,0.44,0,0
4.66666E-3,16.541173978,0.315892643,0.433333333,0,0
4.70057E-3,17.011231291,0.317777357,0.426666667,0,0
4.81507E-3,17.492738098,0.324102314,0.42,0,0
4.87E-3,17.979737667,0.327115792,0.413333333,0,0
4.91561E-3,18.471298606,0.329608069,0.406666667,0,0
4.95004E-3,18.966303095,0.331483465,0.4,0,0
4.98754E-3,19.465057235,0.333519603,0.393333333,0,0
5.00782E-3,19.965839316,0.33461823,0.386666667,0,0
5.01686E-3,20.467525632,0.335107512,0.38,0,0
5.06361E-3,20.973886944,0.337631418,0.373333333,0,0
5.19424E-3,21.493310446,0.344632683,0.366666667,0,0
5.23799E-3,22.017109524,0.346961382,0.36,0,0
5.35251E-3,22.552360084,0.353016818,0.353333333,0,0
5.45408E-3,23.097767728,0.358340782,0.346666667,0,0
5.45452E-3,23.643219731,0.358363938,0.34,0,0
5.57373E-3,24.200592507,0.364556283,0.333333333,0,0
5.59619E-3,24.760211295,0.365716286,0.326666667,0,0
5.94385E-3,25.35459617,0.383404276,0.32,0,0
5.9558E-3,25.950175883,0.384003328,0.313333333,0,0
6.08074E-3,26.558250197,0.390232949,0.306666667,0,0
6.47802E-3,27.206051862,0.409624864,0.3,0.0625,0
6.56815E-3,27.862867292,0.413938158,0.293333333,0.0625,0
6.81569E-3,28.544436697,0.425622092,0.286666667,0.0625,0
6.84938E-3,29.229374221,0.427193744,0.28,0.0625,0
6.87645E-3,29.917019292,0.428454037,0.273333333,0.0625,0
7.21928E-3,30.638947035,0.444173944,0.266666667,0.0625,0
7.248E-3,31.363747076,0.445471205,0.26,0.0625,0
7.38056E-3,32.101803378,0.451419214,0.253333333,0.0625,0
8.13797E-3,32.915600545,0.484200494,0.246666667,0.0625,0
8.21396E-3,33.736996715,0.487379285,0.24,0.0625,0
8.49049E-3,34.586045778,0.498782495,0.233333333,0.0625,0
8.50124E-3,35.436169441,0.49922047,0.226666667,0.0625,0
8.59994E-3,36.296163158,0.503225353,0.22,0.125,0
8.61483E-3,37.157645909,0.503826758,0.213333333,0.125,0
8.64393E-3,38.022039006,0.505000116,0.206666667,0.1875,0
8.95126E-3,38.917165359,0.517222672,0.2,0.1875,0
8.95317E-3,39.812482029,0.517297412,0.193333333,0.1875,0
8.96336E-3,40.708817698,0.517697394,0.186666667,0.1875,0
9.21116E-3,41.629933641,0.527322859,0.18,0.1875,0
9.45568E-3,42.575501513,0.536632471,0.173333333,0.1875,0
