Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.0545E-8,0.000001054,0.000043416,1,0,0
1.84965E-8,0.000004076,0.000076152,0.999750779,0,0
2.46089E-8,0.000010422,0.000101317,0.999376947,0,0
4.10827E-8,0.000027137,0.000169135,0.998753894,0,0
6.10229E-8,0.000054036,0.000251217,0.998130841,0,0
8.15237E-8,0.000106127,0.0003356,0.997258567,0,0
1.40163E-7,0.000250511,0.000576923,0.995638629,0,0
1.8133E-7,0.000505489,0.00074631,0.99364486,0,0
2.36106E-7,0.001003311,0.000971645,0.990654206,0,0
4.08075E-7,0.002507056,0.00167875,0.984672897,0,0
6.11561E-7,0.005030218,0.002514802,0.978566978,0,0
9.59515E-7,0.010022338,0.003942801,0.970841121,0,0
1.4889E-6,0.025047336,0.006111455,0.95576324,0,0
2.404E-6,0.050233835,0.009849126,0.939314642,0,0
4.12198E-6,0.100088022,0.01682817,0.919750779,0,0
6.18887E-6,0.200440246,0.025159408,0.895825545,0,0
7.77508E-6,0.300010253,0.031505217,0.878130841,0,0
8.80598E-6,0.400356118,0.035607315,0.86305296,0,0
9.8178E-6,0.500653128,0.03961654,0.849719626,0,0
1.06727E-5,0.60025245,0.042991124,0.837632399,0,0
1.13494E-5,0.700527469,0.045653851,0.826292835,0,0
1.17019E-5,0.750155302,0.047037912,0.820934579,0,0
1.1987E-5,0.801160639,0.048155644,0.815576324,0,0
1.27026E-5,0.901117548,0.050956068,0.805482866,0.006369427,0
1.31832E-5,1.000820597,0.052832079,0.79588785,0.006369427,0
1.3776E-5,1.100618563,0.055140928,0.786666667,0.006369427,0
1.44045E-5,1.200726708,0.057582868,0.777819315,0.006369427,0
1.52644E-5,1.300306502,0.06091374,0.769470405,0.006369427,0
1.61097E-5,1.400357551,0.064176177,0.761495327,0.006369427,0
1.68717E-5,1.501041976,0.067107819,0.753894081,0.006369427,0
1.88377E-5,1.751094316,0.074628468,0.736448598,0.006369427,0
2.09483E-5,2.000300766,0.082635107,0.720872274,0.006369427,0
2.34854E-5,2.250120042,0.092168191,0.706791277,0.006369427,0
2.57514E-5,2.501642516,0.100598455,0.694080997,0.012738854,0
2.77137E-5,2.752502551,0.107835843,0.682367601,0.01910828,0
2.9477E-5,3.001100697,0.114289554,0.67152648,0.01910828,0
3.14099E-5,3.251165726,0.121310273,0.661308411,0.01910828,0
3.34718E-5,3.503303408,0.128738221,0.651588785,0.025477707,0
3.53782E-5,3.75148943,0.135550273,0.642616822,0.025477707,0
3.75818E-5,4.003180821,0.143357565,0.634018692,0.025477707,0
3.904E-5,4.252460561,0.148485506,0.625919003,0.025477707,0
4.07897E-5,4.500153329,0.154597748,0.618193146,0.025477707,0
4.26263E-5,4.75106546,0.160966422,0.610716511,0.025477707,0
4.4133E-5,5.002201369,0.166155136,0.603489097,0.025477707,0
4.60656E-5,5.250452919,0.172763864,0.596635514,0.025477707,0
4.79517E-5,5.503775746,0.179162899,0.589906542,0.025477707,0
5.01996E-5,5.754501725,0.186724992,0.583551402,0.025477707,0
5.2255E-5,6.005200648,0.193578242,0.577445483,0.025477707,0
5.37951E-5,6.254243351,0.198675782,0.571588785,0.025477707,0
5.54005E-5,6.500199969,0.203954849,0.565981308,0.025477707,0
5.69017E-5,6.752605241,0.208859978,0.560373832,0.038216561,0
5.84541E-5,7.000846686,0.213900498,0.555015576,0.038216561,0
5.98558E-5,7.250020422,0.218424193,0.549781931,0.038216561,0
6.11872E-5,7.50414023,0.222696831,0.544548287,0.038216561,0
6.30834E-5,7.752507865,0.228741871,0.539563863,0.044585987,0
6.47454E-5,8.001878932,0.234001458,0.53470405,0.044585987,0
6.59349E-5,8.25650805,0.23774371,0.529844237,0.050955414,0
6.77531E-5,8.503814482,0.243428765,0.525233645,0.050955414,0
6.92951E-5,8.750657074,0.248216952,0.520747664,0.050955414,0
7.09996E-5,9.003194769,0.253474326,0.516261682,0.057324841,0
