X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-115.68911,45.60308,train,0.0016633788932184205,43.46306040998543,0.6308860458050062
-115.89,46.0225,train,0.005542767782675919,95.44015891025931,0.9638858531029187
-115.28194,45.46833,train,0.0022136589210340987,61.21725078131881,0.734558866989696
-113.82658,46.2874,train,0.0011845591757879445,28.988759585246036,0.508235114608907
-113.45533,44.01385,train,8.574924032686958E-4,20.74018664888577,0.4017732031344704
-115.12583,43.65683,train,0.005468914214829641,94.88593040186994,0.9622518808468978
-116.31508,45.21459,train,0.0017807725895493103,47.27413795453673,0.6559570813065851
-114.67635,43.69435,train,0.004492830005946216,87.44801224046155,0.9322531567798427
-115.35811,43.81863,train,0.003879717512383891,81.95024051440195,0.9021791610617484
-115.30654,46.05175,train,0.0018049769345322303,47.63342974488064,0.6609105793677367
-116.34242,45.34379,train,0.001470809693499154,37.284580779094604,0.5857426225448141
-114.90746,43.8956,train,0.0048480047363873265,90.29297624234778,0.9452396083731107
-117.1562,44.5445,train,8.773447740688304E-4,21.48214291816222,0.4088469459230337
-114.90653,44.83032,train,0.0033993548554379026,78.26655076124683,0.8695542503122321
-115.36475,47.67363,train,0.0017275703206213033,45.736827277596404,0.6448132466626569
-116.30163,45.8621,train,0.0014612301523913307,37.05838161537608,0.5833580345220356
-115.10851,47.55826,train,0.0016326195839709726,42.328812274811405,0.6240201586336742
-114.14841,43.72889,train,0.008430455814013067,99.14664894879424,0.9935989426093426
-115.45727,43.60983,train,0.004228805130997654,85.23418557300423,0.920641612368222
-115.95471,47.01045,train,0.0016755342262945632,43.920373155455586,0.6335645861997966
-115.19318,43.78173,train,0.004464396143908027,86.55100416822168,0.9310890814629775
-115.84881,44.59865,train,0.003159463384192423,76.95328279107238,0.8493900091188576
-117.0757,45.0083,train,0.0015080829512482228,38.54939018336274,0.5948917249002698
-115.39793,44.0834,train,0.004167515345111615,84.3905130832469,0.9176731531176541
-115.76482,47.37745,train,0.0017647745119307554,46.919010791275305,0.6526433675011595
-113.73225,46.51036,train,0.001105514264111715,27.278252246282833,0.4843840447374881
-115.31439,43.53049,train,0.003417552297498827,78.60823544006496,0.8709688260750585
-121.3033,45.6836,train,0.00380944114204434,81.17938865803748,0.8979722069989252
-116.675,45.313,train,0.0015450010008155408,39.474546601905345,0.6037544400228188
-116.78396,45.05684,train,0.001442561373259552,36.333312487311275,0.578671394621261
-115.83667,44.67194,train,0.0029242842774649773,72.42098971888888,0.8265990814005153
-116.25417,46.40705,train,0.0011560159144433692,28.519785928598274,0.49975246460746625
-114.23083,44.53369,train,0.0021258996377620525,59.037202048988014,0.7202277190739244
-121.4383,45.7056,train,0.0054640766236156565,94.33900182044579,0.9621423073622535
-115.72846,47.51159,train,0.0016422375766891866,42.820673095454964,0.6261806356358331
-115.42532,46.08229,train,0.0023637214794641945,64.89435413156502,0.757384028476302
-115.19771,44.96488,train,0.0022224360242199905,61.66108902408626,0.7359511559397334
-116.04056,44.90361,train,0.0024613091092227117,66.59340102728153,0.7711634335207825
-114.02127,45.40841,train,0.0010472834610593057,26.409933430657333,0.4660765505779577
-116.54248,45.7473,train,0.004018169093676689,82.74166491429861,0.9099665438055035
-116.08333,43.63333,train,3.080210332530886E-4,4.102584065954857,0.16852790646875415
-115.93128,45.48197,train,0.0018490406413233195,49.82941499088049,0.6697459799415801
-114.53637,44.49744,train,0.0023507299790961906,64.1861602189613,0.755488101858343
-116.05016,47.53761,train,7.54425181133027E-4,17.51221798271821,0.3636651473988204
-113.97934,44.88008,train,0.0013029870198956075,32.396341724854004,0.5419208010236576
-114.80056,44.79278,train,0.0018913831293726534,50.76546782515379,0.6780192736153701
-114.73372,44.26991,train,0.004997717799881555,92.27267396287407,0.9499379471015464
-116.78448,46.45598,train,0.0021869847584841447,60.11566349577384,0.7302823953204609
-115.13206,43.80614,train,0.004800971827201701,89.80815178138697,0.943674467020234
-113.895,45.03102,train,0.003139434212299146,76.32283326582713,0.8475716620811219
-115.73096,45.43318,train,0.0012895189881437102,31.840660726744545,0.5382092997645216
-116.52896,46.50861,train,0.001297078578406517,32.192131267198704,0.540296247961815
-115.06111,45.91278,train,0.0021249079379610986,58.82451102943536,0.72006142936622
-114.945,44.21139,train,0.008533496852946432,99.99997393694517,0.9939821870216518
-115.51111,46.44611,train,0.0029362904302238824,73.00806933602037,0.8278420081008777
-115.75094,44.07163,train,0.003184886746020642,77.2716883287332,0.8516668600042632
-116.9361,45.5594,train,6.435672689714986E-4,13.730378297507276,0.3199625524575971
-116.09147,44.09586,train,0.0017175449341751722,45.34943342669473,0.6426732438253875
-113.76389,43.77167,train,0.0010966408033255453,27.057022137155496,0.4816353542983821
