Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
7.3884E-4,0.073883963,0.089431923,1,0,0
9.54944E-4,0.169378393,0.114045068,0.994413408,0,0
9.65E-4,0.265878351,0.115173971,0.988826816,0,0
9.85777E-4,0.364456017,0.117502049,0.983240223,0,0
9.86039E-4,0.463059936,0.117531428,0.977653631,0,0
1.00438E-3,0.563497954,0.119581383,0.972067039,0,0
1.04481E-3,0.667979159,0.124083612,0.966480447,0,0
1.11206E-3,0.779185127,0.131520936,0.960893855,0,0
1.16464E-3,0.895648683,0.137291607,0.955307263,0,0
1.22121E-3,1.017769387,0.143458014,0.94972067,0,0
1.29915E-3,1.147684123,0.15188154,0.944134078,0,0
1.32288E-3,1.279972513,0.154430411,0.938547486,0,0
1.32712E-3,1.412684522,0.154884494,0.932960894,0,0
1.33583E-3,1.546267137,0.155816944,0.927374302,0,0
1.50422E-3,1.832998081,0.173651788,0.916201117,0,0
1.57944E-3,2.14238675,0.181495845,0.905027933,0,0
1.61532E-3,2.303918898,0.185211399,0.899441341,0,0
1.69729E-3,2.636541183,0.19363612,0.888268156,0,0
1.71162E-3,2.80770366,0.195100675,0.882681564,0,0
1.86183E-3,3.179237353,0.210286009,0.87150838,0,0
1.87866E-3,3.367103689,0.211969874,0.865921788,0,0
1.91341E-3,3.558444338,0.215433914,0.860335196,0,0
1.94373E-3,3.752817075,0.218444589,0.854748603,0,0
2.14706E-3,4.176884754,0.238337916,0.843575419,0,0
2.20439E-3,4.397323314,0.243854386,0.837988827,0,0
2.21997E-3,4.619319905,0.245346767,0.832402235,0,0
2.2316E-3,4.842479795,0.246459129,0.826815642,0,0
2.24121E-3,5.066600575,0.247376708,0.82122905,0,0
2.24471E-3,5.29107144,0.247710735,0.815642458,0,0
2.24848E-3,5.515919281,0.248070254,0.810055866,0,0
2.2767E-3,5.96946457,0.250755863,0.798882682,0,0
2.29572E-3,6.199036205,0.252560763,0.793296089,0,0
2.33117E-3,6.432153552,0.255913741,0.787709497,0,0
2.35915E-3,6.668068455,0.258548613,0.782122905,0,0
2.37224E-3,6.905292351,0.259778278,0.776536313,0,0
2.40799E-3,7.146091365,0.263126355,0.770949721,0,0
2.43793E-3,7.38988392,0.265918139,0.765363128,0,0
2.46685E-3,7.636568494,0.268605195,0.759776536,0,0
2.4724E-3,7.883808201,0.269119859,0.754189944,0,0
2.48976E-3,8.132783729,0.270726803,0.748603352,0,0
2.52634E-3,8.385418143,0.274102468,0.74301676,0,0
2.53739E-3,8.639156903,0.275118258,0.737430168,0,0
2.5708E-3,8.896237381,0.278183356,0.731843575,0,0
2.57586E-3,9.15382304,0.278645591,0.726256983,0,0
2.5831E-3,9.412133437,0.279308201,0.720670391,0,0
