Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.5332E-7,0.000055332,0.00001163,1,0,0
5.98113E-7,0.000115143,0.000012571,0.99990006,0,0
6.23588E-7,0.000300207,0.000013107,0.99960024,0,0
6.5978E-7,0.000559978,0.000013867,0.99920048,0,0
7.29746E-7,0.001055466,0.000015338,0.998500899,0,0
8.35768E-7,0.002557616,0.000017566,0.996602039,0,0
9.04306E-7,0.005088333,0.000019007,0.993703778,0,0
1.06842E-6,0.010005165,0.000022456,0.988706776,0,0
1.39203E-6,0.025013486,0.000029258,0.976614032,0,0
1.67197E-6,0.050105422,0.000035141,0.960323806,0,0
1.98383E-6,0.100098019,0.000041696,0.933040176,0,0
2.38319E-6,0.200033006,0.000050089,0.887467519,0,0
2.68686E-6,0.300108256,0.000056472,0.848191085,0,0
2.96148E-6,0.400149941,0.000062243,0.812712373,0,0
3.19974E-6,0.500099281,0.000067251,0.780331801,0,0
3.4414E-6,0.600001555,0.00007233,0.75024985,0,0
3.65193E-6,0.700199755,0.000076754,0.72206676,0,0
3.77403E-6,0.750324275,0.00007932,0.708574855,0,0
3.87566E-6,0.800057998,0.000081456,0.69558265,0,0
4.07696E-6,0.900235156,0.000085687,0.670397761,0,0
4.29119E-6,1.000101233,0.000090189,0.646512093,0,0
4.46829E-6,1.100370759,0.000093911,0.623625825,0,0
4.70533E-6,1.200287136,0.000098893,0.601838897,0,0
4.91675E-6,1.300268194,0.000103336,0.581051369,0,0
5.10907E-6,1.400192068,0.000107378,0.561163302,0,0
5.30709E-6,1.500297757,0.00011154,0.541974815,0,0
5.77958E-6,1.750127193,0.000121469,0.496901859,0,0
6.26939E-6,2.000777987,0.000131763,0.455326804,0,0
6.73038E-6,2.250516108,0.000141451,0.41694983,0,0
7.16902E-6,2.500578653,0.000150669,0.380971417,0,0
7.59994E-6,2.750313603,0.000159725,0.347191685,0,0
8.11432E-6,3.002263213,0.000170535,0.315110933,0,0
8.66075E-6,3.250163124,0.000182018,0.285528683,0,0
9.28619E-6,3.500176943,0.000195161,0.257645413,0,0
9.87674E-6,3.750799281,0.000207571,0.231461123,0,0
1.05977E-5,4.000709642,0.000222721,0.207075755,0,0
1.13141E-5,4.25012935,0.000237775,0.184289426,0,0
1.22113E-5,4.500034159,0.000256629,0.163002199,0,0
1.32458E-5,4.7501237,0.000278365,0.143413952,0,0
1.43078E-5,5.000707686,0.00030068,0.125224865,0,0
1.56462E-5,5.25031797,0.000328801,0.108534879,0,0
1.70356E-5,5.501216819,0.000357996,0.093144114,0,0
1.85127E-5,5.751611891,0.000389029,0.079052568,0,0
2.02711E-5,6.000731412,0.000425974,0.066160304,0,0
2.23477E-5,6.251406555,0.000469599,0.05436738,0,0
2.44423E-5,6.502235692,0.000513603,0.043673796,0,0
2.7683E-5,6.752035108,0.00058168,0.034079552,0,0
3.18512E-5,7.00146496,0.000669234,0.025684589,0,0
3.73729E-5,7.253463289,0.000785205,0.018388967,0,0
4.42205E-5,7.500730122,0.000929008,0.012292624,0,0
5.75338E-5,7.75452804,0.001208531,0.007295623,0,0
9.02258E-5,8.003357688,0.001894594,0.003797721,0,0
1.45754E-4,8.263815114,0.003058818,0.001499101,0,0
3.78847E-2,12.121764903,0.548992346,0.0009994,0,0
4.2835E-2,16.405267392,0.593559993,0.00089946,0,0
5.27213E-2,21.67740183,0.669818398,0.00079952,0,0
7.19982E-2,28.877223572,0.779813279,0.00069958,0,0
7.87106E-2,36.74828166,0.808785943,0.00059964,0.166666667,0
9.35611E-2,46.104387345,0.86005326,0.0004997,0.333333333,0
1.2629E-1,58.733365538,0.92965863,0.00039976,0.333333333,0
1.29216E-1,71.654977487,0.933854722,0.00029982,0.5,0
1.29654E-1,84.620327632,0.934460011,0.00019988,0.666666667,0
1.53797E-1,100,0.960543009,0.00009994,0.833333333,0
