Predictor variable,Categorical,Sample average
BIOCLIM_1,false,95.66666666666667
BIOCLIM_12,false,677.3333333333334
BIOCLIM_17,false,44.833333333333336
BIOCLIM_7,false,308.3333333333333
GTOPO30_ELEVATION,false,1986.1666666666667
GTOPO30_SLOPE_reduced,false,10.666666666666666
ISRICSOILGRIDS_new_average_coarsefragmentpercent_reduced,false,20.166666666666668
ISRICSOILGRIDS_new_average_phx10percent_reduced,false,64.0
ISRICSOILGRIDS_new_average_sandpercent_reduced,false,58.333333333333336
ISRICSOILGRIDS_new_average_soilorganiccarboncontent_reduced,false,35.5
LandCover_1_Needleleaf,false,45.333333333333336
LandCover_6_Herbaceous,false,1.5
mask,true,50.0
