Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.07383E-9,0.000000407,0.000000623,1,0,0
4.55492E-9,0.00000128,0.000000696,0.999801607,0,0
5.00873E-9,0.000002736,0.000000766,0.999504017,0,0
6.05662E-9,0.000010028,0.000000926,0.998214463,0,0
6.69693E-9,0.000025412,0.000001024,0.995833747,0,0
7.77574E-9,0.00005028,0.000001188,0.992461065,0,0
9.00054E-9,0.000100025,0.000001376,0.986509275,0,0
1.24979E-8,0.00025118,0.00000191,0.972621764,0,0
1.71952E-8,0.000500004,0.000002628,0.956155143,0,0
2.34015E-8,0.001000415,0.000003577,0.931752802,0,0
3.32821E-8,0.002501643,0.000005087,0.879773832,0,0
4.52721E-8,0.00500424,0.000006919,0.81618887,0,0
6.48759E-8,0.010003594,0.000009916,0.725126476,0,0
1.32191E-7,0.025001265,0.000020204,0.565023311,0,0
2.51462E-7,0.050018144,0.000038433,0.431703204,0,0
5.15455E-7,0.100038488,0.00007878,0.293919254,0,0
1.12794E-6,0.20007771,0.000172382,0.168534868,0,0
1.87209E-6,0.300074408,0.000286092,0.101378831,0,0
3.105E-6,0.400070095,0.00047446,0.059517905,0,0
5.38553E-6,0.50009237,0.000822795,0.034817974,0,0
1.6853E-5,0.600184533,0.002572527,0.021922428,0,0
1.61604E-4,0.715044224,0.024397268,0.020335284,0,0
1.83693E-4,0.751118167,0.027685487,0.020136891,0,0
2.14657E-4,0.812791035,0.032276124,0.019839302,0,0
2.80258E-4,0.917761728,0.041930562,0.019442516,0,0
3.20186E-4,1.007275199,0.047759537,0.019144926,0,0
3.55426E-4,1.11220145,0.052874781,0.018847337,0,0
3.91002E-4,1.227488248,0.058010681,0.018549747,0,0
4.49034E-4,1.314754856,0.066328884,0.018351354,0,0
4.50971E-4,1.404907088,0.066605357,0.018152961,0,0
5.04324E-4,1.549980681,0.074185752,0.017855371,0,0
5.5647E-4,1.76616614,0.081535309,0.017458585,0,0
6.07434E-4,2.003343811,0.08866181,0.017061799,0,0
7.31081E-4,2.275759696,0.105722968,0.016665013,0,0
8.33122E-4,2.518538174,0.11956195,0.016367424,0,0
9.73591E-4,2.800108819,0.138263104,0.016069834,0,0
1.07275E-3,3.009200543,0.15122467,0.015871441,0,0
1.18898E-3,3.35501352,0.166170221,0.015573852,0,0
1.22532E-3,3.596485549,0.170788682,0.015375459,0,0
