Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.11076E-7,0.000051108,0.000035485,1,0,0
1.42441E-6,0.000193549,0.000098896,0.992366412,0,0
1.60399E-6,0.000353948,0.000111363,0.984732824,0,0
2.07712E-5,0.002431065,0.001441156,0.977099237,0,0
2.46693E-5,0.004897995,0.001711386,0.969465649,0,0
3.13013E-5,0.00802812,0.002170965,0.961832061,0,0
3.88496E-5,0.011913079,0.002693791,0.954198473,0,0
1.0824E-4,0.029807395,0.007487197,0.938931298,0,0
1.22074E-4,0.05413177,0.008440108,0.923664122,0,0
1.92982E-4,0.102996018,0.013309841,0.900763359,0,0
2.46964E-4,0.218435949,0.01700119,0.86259542,0,0
4.04017E-4,0.327462697,0.02766212,0.839694656,0,0
4.87063E-4,0.420600879,0.033252588,0.824427481,0,0
4.90905E-4,0.518761443,0.033510471,0.809160305,0,0
5.21619E-4,0.622244136,0.035569337,0.79389313,0,0
7.62951E-4,0.769902488,0.051594979,0.778625954,0,0
8.39688E-4,0.853871309,0.056634695,0.770992366,0,0
8.4211E-4,0.93808229,0.056793296,0.763358779,0,0
8.5373E-4,1.023455332,0.057554014,0.755725191,0,0
8.86791E-4,1.11213444,0.059714904,0.748091603,0,0
9.11671E-4,1.203301497,0.061337794,0.740458015,0,0
9.96476E-4,1.302949134,0.066848661,0.732824427,0,0
1.00232E-3,1.403181597,0.067227499,0.72519084,0,0
1.01446E-3,1.504627298,0.068012919,0.717557252,0,0
1.04151E-3,1.815651499,0.069761984,0.694656489,0,0
1.22329E-3,2.057818361,0.081429019,0.679389313,0,0
1.45495E-3,2.330904103,0.096085974,0.664122137,0,0
1.94195E-3,2.687582164,0.126139706,0.648854962,0,0
2.03126E-3,2.890707968,0.131541435,0.641221374,0,0
2.09916E-3,3.100623835,0.135626158,0.633587786,0,0
2.12411E-3,3.313034548,0.137122161,0.625954198,0,0
2.28582E-3,3.54161673,0.146756589,0.618320611,0,0
2.35724E-3,3.777340231,0.150976838,0.610687023,0,0
2.38577E-3,4.015917176,0.152657274,0.603053435,0,0
2.41038E-3,4.256955067,0.154103889,0.595419847,0,0
2.43274E-3,4.500228989,0.155416152,0.58778626,0,0
2.80304E-3,5.027412252,0.176854189,0.572519084,0,0
2.82725E-3,5.310137101,0.178236832,0.564885496,0,0
2.91308E-3,5.601444757,0.18311937,0.557251908,0,0
2.98002E-3,5.899447212,0.186907721,0.549618321,0,0
2.98423E-3,6.197870058,0.187145018,0.541984733,0,0
3.24852E-3,6.522721919,0.201925155,0.534351145,0,0
3.30292E-3,6.85301403,0.20493404,0.526717557,0,0
3.33314E-3,7.186327627,0.206600256,0.519083969,0,0
3.42685E-3,7.529012882,0.211746132,0.511450382,0,0
3.42685E-3,7.871698136,0.211746132,0.503816794,0,0
3.42685E-3,8.214383391,0.211746132,0.496183206,0,0
3.42685E-3,8.557068646,0.211746132,0.488549618,0,0
3.68087E-3,8.925155586,0.225526711,0.480916031,0,0
3.81901E-3,9.30705703,0.232919762,0.473282443,0,0
3.82503E-3,9.689559898,0.233240015,0.465648855,0,0
3.89668E-3,10.079227953,0.237045151,0.458015267,0,0
3.9252E-3,10.471747982,0.238554458,0.450381679,0,0
3.92991E-3,10.864739031,0.238803441,0.442748092,0,0
3.99389E-3,11.264128017,0.242177367,0.435114504,0,0
4.01422E-3,11.665549562,0.243246095,0.427480916,0,0
4.1983E-3,12.085379652,0.252857009,0.419847328,0.05,0
4.39554E-3,12.524934063,0.263019458,0.41221374,0.05,0
4.51047E-3,12.97598137,0.26887702,0.404580153,0.05,0
4.73564E-3,13.449545083,0.280218302,0.396946565,0.1,0
5.08941E-3,13.958485707,0.297682991,0.389312977,0.1,0
5.44607E-3,14.503092863,0.314861709,0.381679389,0.1,0
5.78894E-3,15.081987226,0.33097982,0.374045802,0.1,0
5.80242E-3,15.662229074,0.331605458,0.366412214,0.1,0
6.19812E-3,16.282041325,0.349719443,0.358778626,0.1,0
6.29855E-3,16.911896666,0.354238189,0.351145038,0.1,0
6.46448E-3,17.558344471,0.361635042,0.34351145,0.1,0
6.54243E-3,18.212586993,0.365080586,0.335877863,0.1,0
6.72435E-3,18.885022037,0.37305015,0.328244275,0.1,0
7.47424E-3,19.632446461,0.404858303,0.320610687,0.1,0
7.53025E-3,20.385470996,0.407167899,0.312977099,0.1,0
9.55524E-3,21.340994606,0.484925797,0.305343511,0.1,0
9.64305E-3,22.305299778,0.488056783,0.297709924,0.1,0
1.12561E-2,23.430911839,0.542299864,0.290076336,0.1,0
1.21998E-2,24.650896681,0.571329385,0.282442748,0.1,0
1.344E-2,25.994892236,0.606695139,0.27480916,0.1,0
1.3987E-2,27.393589514,0.621353049,0.267175573,0.15,0
1.43436E-2,28.827952171,0.630614481,0.259541985,0.2,0
1.4728E-2,30.300750648,0.640341885,0.251908397,0.2,0
1.47627E-2,31.777019255,0.641207402,0.244274809,0.2,0
1.55269E-2,33.329713673,0.659750178,0.236641221,0.25,0
1.56995E-2,34.899664877,0.663802665,0.229007634,0.25,0
1.68742E-2,36.587085362,0.690135102,0.221374046,0.25,0
1.72587E-2,38.312956466,0.698298189,0.213740458,0.3,0
1.76481E-2,40.077767062,0.706345921,0.20610687,0.3,0
1.77696E-2,41.854731392,0.708813538,0.198473282,0.35,0
1.81444E-2,43.669169264,0.716292155,0.190839695,0.4,0
1.82918E-2,45.498346919,0.719180872,0.183206107,0.4,0
1.85432E-2,47.352663235,0.724039876,0.175572519,0.4,0
1.86574E-2,49.218408121,0.726220995,0.167938931,0.4,0
1.86939E-2,51.087795717,0.726912569,0.160305344,0.45,0
2.01779E-2,53.105590606,0.753651043,0.152671756,0.5,0
2.0189E-2,55.124493267,0.753840451,0.145038168,0.5,0
2.03751E-2,57.162002992,0.757000219,0.13740458,0.5,0
2.07264E-2,59.234646399,0.762856289,0.129770992,0.55,0
2.08914E-2,61.323786094,0.765556987,0.122137405,0.55,0
2.12368E-2,63.447470163,0.771113212,0.114503817,0.6,0
2.21433E-2,65.661795762,0.785074213,0.106870229,0.6,0
2.22472E-2,67.886516352,0.786619857,0.099236641,0.6,0
2.30669E-2,70.193204246,0.79842464,0.091603053,0.6,0
2.31472E-2,72.507921504,0.799545295,0.083969466,0.65,0
2.33991E-2,74.847833976,0.80302149,0.076335878,0.7,0
2.44392E-2,77.291757832,0.816745318,0.06870229,0.75,0
2.47936E-2,79.771121925,0.821199647,0.061068702,0.75,0
2.49613E-2,82.267256376,0.82326954,0.053435115,0.8,0
2.58694E-2,84.854192938,0.834067756,0.045801527,0.85,0
2.8193E-2,87.673490321,0.85879037,0.038167939,0.85,0
2.89605E-2,90.569536343,0.866118244,0.030534351,0.85,0
2.99054E-2,93.560074834,0.874620082,0.022900763,0.9,0
3.05198E-2,96.612050004,0.879855952,0.015267176,0.95,0
3.38795E-2,100,0.904853713,0.007633588,1,0
