Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.22082E-5,0.001220825,0.0046721,1,0,0
1.39533E-5,0.002616154,0.005338145,0.9984375,0,0
2.01422E-5,0.006352061,0.007696715,0.9953125,0,0
2.32337E-5,0.010960078,0.008872766,0.9921875,0,0
3.36061E-5,0.028234076,0.012808482,0.9828125,0,0
4.64247E-5,0.052538701,0.017650758,0.9734375,0,0
7.29321E-5,0.103667728,0.027588807,0.959375,0,0
1.02553E-4,0.207783557,0.038575125,0.940625,0,0
1.10319E-4,0.304455313,0.04143508,0.9265625,0,0
1.30555E-4,0.400125616,0.048847069,0.9140625,0,0
1.50349E-4,0.512113727,0.056041742,0.9015625,0,0
1.63901E-4,0.609113536,0.06093644,0.8921875,0,0
1.73941E-4,0.710999838,0.064546023,0.8828125,0,0
1.78532E-4,0.763864851,0.066191928,0.878125,0,0
1.85965E-4,0.800379086,0.068850806,0.875,0,0
1.9767E-4,0.915458884,0.073022173,0.865625,0,0
2.0611E-4,1.016909265,0.076018328,0.8578125,0,0
2.08957E-4,1.100084653,0.077026907,0.8515625,0,0
2.22857E-4,1.208704356,0.081935296,0.84375,0,0
2.34586E-4,1.300935194,0.086056511,0.8375,0,0
2.38552E-4,1.419291015,0.087445856,0.8296875,0,0
2.44871E-4,1.516455583,0.089655256,0.8234375,0,0
2.74014E-4,1.753834413,0.099775505,0.809375,0,0
2.92074E-4,2.011153434,0.10599023,0.7953125,0,0
3.11287E-4,2.253276232,0.112554908,0.7828125,0,0
3.32277E-4,2.512244717,0.119671823,0.7703125,0,0
3.49699E-4,2.75088294,0.125535315,0.759375,0,0
3.62705E-4,3.001638742,0.129887397,0.7484375,0,0
3.87247E-4,3.265130246,0.138040519,0.7375,0,0
4.03656E-4,3.503730469,0.143448907,0.728125,0,0
4.15992E-4,3.790708937,0.147492562,0.7171875,0,0
4.25229E-4,4.000925404,0.15050776,0.709375,0,0
4.54797E-4,4.26870455,0.160088609,0.7,0,0
4.70966E-4,4.502497727,0.165281929,0.6921875,0,0
4.8732E-4,4.78916775,0.170501816,0.6828125,0,0
5.06815E-4,5.040022435,0.176681864,0.675,0,0
5.22561E-4,5.297788571,0.181639909,0.6671875,0,0
5.42536E-4,5.513392736,0.187886559,0.6609375,0,0
5.5651E-4,5.788678742,0.192228085,0.653125,0,0
5.6484E-4,6.013821157,0.194805033,0.646875,0,0
5.7664E-4,6.300849257,0.198441695,0.6390625,0,0
5.94616E-4,6.53581379,0.203949644,0.6328125,0,0
6.26059E-4,6.780425113,0.213493487,0.6265625,0,0
6.32391E-4,7.032882713,0.215401655,0.6203125,0,0
6.50613E-4,7.290572808,0.220866911,0.6140625,0,0
6.63162E-4,7.553410034,0.224608473,0.6078125,0,0
6.74227E-4,7.754679788,0.227892438,0.603125,0,0
6.85079E-4,8.027368095,0.231099979,0.596875,0,0
7.00321E-4,8.305557505,0.235582582,0.590625,0,0
7.07597E-4,8.516854092,0.237713104,0.5859375,0,0
7.16704E-4,8.802061674,0.240371245,0.5796875,0,0
7.40854E-4,9.021751202,0.247375998,0.575,0,0
7.62762E-4,9.323051698,0.253674378,0.56875,0,0
7.71484E-4,9.553163441,0.256167084,0.5640625,0,0
7.92748E-4,9.788334027,0.262209829,0.559375,0,0
8.00341E-4,10.027542247,0.264355571,0.5546875,0,0
8.16809E-4,10.271535605,0.26898804,0.55,0,0
8.3222E-4,10.519172232,0.273296794,0.5453125,0,0
8.34692E-4,10.769329828,0.273985636,0.540625,0,0
8.5976E-4,11.024542036,0.280933636,0.5359375,0,0
8.67844E-4,11.284180444,0.28315999,0.53125,0,0
8.79956E-4,11.546904114,0.286482721,0.5265625,0,0
8.8419E-4,11.811783467,0.287640726,0.521875,0,0
9.03171E-4,12.080478965,0.292808519,0.5171875,0,0
9.10828E-4,12.262012859,0.294882572,0.5140625,0,0
9.20193E-4,12.537128988,0.297411133,0.509375,0,0
9.39209E-4,12.818523048,0.302517405,0.5046875,0,0
9.48513E-4,13.007410198,0.305002267,0.5015625,0,0
9.60575E-4,13.294826994,0.308210752,0.496875,0,0
9.61556E-4,13.583278234,0.308470947,0.4921875,0,0
9.63509E-4,13.775896672,0.308988806,0.4890625,0,0
9.78059E-4,14.067741982,0.312834922,0.484375,0,0
9.91831E-4,14.264746442,0.316455536,0.48125,0,0
9.96644E-4,14.56337336,0.317716316,0.4765625,0,0
1.02589E-3,14.768125473,0.325327278,0.4734375,0,0
1.03894E-3,15.079010737,0.328697677,0.46875,0,0
1.04698E-3,15.288105182,0.33076515,0.465625,0,0
1.06348E-3,15.604878185,0.33498741,0.4609375,0,0
1.08107E-3,15.819478217,0.339458301,0.4578125,0,0
1.09156E-3,16.036904714,0.342110364,0.4546875,0,0
1.11473E-3,16.258103045,0.347931553,0.4515625,0,0
1.12638E-3,16.59523925,0.350839014,0.446875,0,0
1.13487E-3,16.822142528,0.352951627,0.44375,0,0
1.14759E-3,17.051483494,0.356101199,0.440625,0,0
1.16518E-3,17.283793873,0.360429442,0.4375,0,0
1.17443E-3,17.518450778,0.362694504,0.434375,0,0
1.18137E-3,17.754276015,0.364389792,0.43125,0,0
1.18881E-3,18.109720174,0.366200643,0.4265625,0,0
1.19862E-3,18.349046814,0.368582741,0.4234375,0,0
1.20194E-3,18.58924552,0.369384645,0.4203125,0,0
1.21364E-3,18.831502984,0.372210221,0.4171875,0,0
1.22235E-3,19.075380638,0.374302698,0.4140625,0,0
1.2357E-3,19.321194538,0.377499139,0.4109375,0,0
1.2405E-3,19.569170637,0.378645301,0.4078125,0,0
1.25117E-3,19.818787561,0.381181513,0.4046875,0,0
1.26817E-3,20.070852495,0.385204573,0.4015625,0,0
1.29149E-3,20.328410378,0.390680501,0.3984375,0,0
1.30222E-3,20.587805545,0.393182084,0.3953125,0,0
1.30694E-3,20.848831952,0.394281184,0.3921875,0,0
1.31065E-3,21.110615112,0.395141058,0.3890625,0,0
1.3116E-3,21.372923899,0.395362817,0.3859375,0,0
1.31161E-3,21.504084705,0.395364231,0.384375,0,0
1.32461E-3,21.768908275,0.398372958,0.38125,0,0
1.33361E-3,22.035166095,0.400446048,0.378125,0,0
1.35323E-3,22.305698435,0.40494203,0.375,0,0
1.36758E-3,22.579072591,0.408208812,0.371875,0,0
1.37596E-3,22.853717643,0.410108105,0.36875,0,0
1.39277E-3,23.131404492,0.4138983,0.365625,0,0
1.40247E-3,23.271651055,0.416074422,0.3640625,0,0
1.41744E-3,23.554113883,0.419419641,0.3609375,0,0
1.42405E-3,23.838733682,0.42088941,0.3578125,0,0
1.43206E-3,24.12497274,0.422665069,0.3546875,0,0
1.44573E-3,24.269545424,0.425684632,0.353125,0,0
1.46419E-3,24.561124883,0.429737666,0.35,0.045454545,0
1.47381E-3,24.855370039,0.431839169,0.346875,0.045454545,0
1.48607E-3,25.003977467,0.43450497,0.3453125,0.045454545,0
1.48806E-3,25.301577597,0.434935259,0.3421875,0.045454545,0
1.52164E-3,25.604442054,0.442166914,0.3390625,0.045454545,0
1.53581E-3,25.758023226,0.445191855,0.3375,0.045454545,0
1.57413E-3,26.072753691,0.453287521,0.334375,0.045454545,0
1.60861E-3,26.392108121,0.460471313,0.33125,0.045454545,0
1.61625E-3,26.553733552,0.462050427,0.3296875,0.045454545,0
1.65858E-3,26.88525774,0.470713454,0.3265625,0.045454545,0
1.66107E-3,27.051364579,0.471219043,0.325,0.045454545,0
1.67783E-3,27.386715158,0.474607147,0.321875,0.045454545,0
1.68224E-3,27.554939605,0.475496976,0.3203125,0.045454545,0
1.69444E-3,27.892774338,0.477945889,0.3171875,0.045454545,0
1.69968E-3,28.062741866,0.478992318,0.315625,0.045454545,0
1.72549E-3,28.405451988,0.48412603,0.3125,0.045454545,0
1.73006E-3,28.578458319,0.48503032,0.3109375,0.045454545,0
1.73323E-3,28.751781777,0.485656396,0.309375,0.045454545,0
1.74453E-3,29.099690639,0.487880959,0.30625,0.045454545,0
1.74529E-3,29.274219924,0.488030007,0.3046875,0.045454545,0
1.75675E-3,29.625309901,0.490274459,0.3015625,0.045454545,0
1.75739E-3,29.801048879,0.490400221,0.3,0.045454545,0
1.76728E-3,30.153948985,0.492330075,0.296875,0.045454545,0
1.78622E-3,30.332570779,0.496004535,0.2953125,0.090909091,0
1.79071E-3,30.51164205,0.496872765,0.29375,0.090909091,0
1.80557E-3,30.872205648,0.499731153,0.290625,0.090909091,0
1.80714E-3,31.052919808,0.50003354,0.2890625,0.090909091,0
1.82853E-3,31.417175097,0.504119364,0.2859375,0.090909091,0
1.8368E-3,31.600855486,0.5056901,0.284375,0.090909091,0
1.84478E-3,31.785333273,0.507199784,0.2828125,0.090909091,0
1.87353E-3,32.159642607,0.512604343,0.2796875,0.090909091,0
1.88104E-3,32.347746162,0.514006372,0.278125,0.090909091,0
1.89044E-3,32.536789778,0.515755733,0.2765625,0.090909091,0
1.91783E-3,32.918762981,0.520818444,0.2734375,0.136363636,0
1.92015E-3,33.110778132,0.521244158,0.271875,0.136363636,0
1.93644E-3,33.30442198,0.524225926,0.2703125,0.136363636,0
1.96392E-3,33.69532509,0.529214596,0.2671875,0.181818182,0
1.98214E-3,33.893539042,0.532493935,0.265625,0.181818182,0
1.98775E-3,34.092314488,0.533499801,0.2640625,0.181818182,0
2.0021E-3,34.292524886,0.536060566,0.2625,0.181818182,0
2.00489E-3,34.693411831,0.536556537,0.259375,0.181818182,0
2.01196E-3,34.894607973,0.537811541,0.2578125,0.181818182,0
2.01471E-3,35.096079399,0.538299347,0.25625,0.181818182,0
2.0204E-3,35.298119267,0.539304998,0.2546875,0.227272727,0
2.03515E-3,35.501634117,0.541904247,0.253125,0.227272727,0
2.04463E-3,35.91017137,0.543568144,0.25,0.227272727,0
2.04793E-3,36.114964654,0.544145264,0.2484375,0.227272727,0
2.05007E-3,36.31997155,0.544518643,0.246875,0.227272727,0
2.0535E-3,36.525321869,0.545118282,0.2453125,0.227272727,0
2.0681E-3,36.93841437,0.547658247,0.2421875,0.227272727,0
2.06962E-3,37.145376168,0.547921498,0.240625,0.227272727,0
2.0858E-3,37.353955917,0.550718597,0.2390625,0.227272727,0
2.08731E-3,37.562686497,0.550978467,0.2375,0.227272727,0
2.09448E-3,37.772134211,0.552211986,0.2359375,0.227272727,0
2.13177E-3,38.197567032,0.558572516,0.2328125,0.227272727,0
2.18572E-3,38.416139172,0.567613915,0.23125,0.227272727,0
2.20627E-3,38.636766192,0.571008783,0.2296875,0.227272727,0
2.22494E-3,38.859259727,0.574069347,0.228125,0.227272727,0
2.23911E-3,39.083170489,0.576378611,0.2265625,0.227272727,0
2.26351E-3,39.30952103,0.580324755,0.225,0.227272727,0
2.26711E-3,39.536232154,0.580904844,0.2234375,0.227272727,0
2.30593E-3,39.766825355,0.587099573,0.221875,0.227272727,0
2.32842E-3,40.231062348,0.590646032,0.21875,0.227272727,0
2.33471E-3,40.464533557,0.591632906,0.2171875,0.227272727,0
2.35931E-3,40.700464153,0.595467381,0.215625,0.227272727,0
2.37889E-3,40.938353602,0.598495689,0.2140625,0.227272727,0
2.43299E-3,41.181652196,0.606740795,0.2125,0.227272727,0
2.45523E-3,41.427175626,0.610082748,0.2109375,0.227272727,0
2.45982E-3,41.673157884,0.610768419,0.209375,0.227272727,0
2.46891E-3,41.920048505,0.612122319,0.2078125,0.227272727,0
2.46963E-3,42.167011748,0.612230357,0.20625,0.227272727,0
2.46995E-3,42.414006434,0.612277124,0.2046875,0.227272727,0
2.48277E-3,42.662283374,0.614179531,0.203125,0.227272727,0
2.48322E-3,42.91060526,0.614246045,0.2015625,0.227272727,0
2.48397E-3,43.159002297,0.614357233,0.2,0.227272727,0
2.48485E-3,43.4074874,0.614487488,0.1984375,0.227272727,0
2.50148E-3,43.657635508,0.616938937,0.196875,0.227272727,0
2.50773E-3,43.908408501,0.61785605,0.1953125,0.227272727,0
2.53302E-3,44.161710642,0.621545584,0.19375,0.227272727,0
2.57664E-3,44.419374845,0.627825478,0.1921875,0.227272727,0
2.59931E-3,44.679306298,0.631048285,0.190625,0.227272727,0
2.63368E-3,44.942674677,0.6358806,0.1890625,0.227272727,0
2.63731E-3,45.206405446,0.636386418,0.1875,0.227272727,0
2.63859E-3,45.470264067,0.636564703,0.1859375,0.227272727,0
2.64124E-3,45.734388166,0.636934624,0.184375,0.227272727,0
2.64422E-3,45.998809789,0.637348753,0.1828125,0.227272727,0
2.64578E-3,46.263387884,0.637566358,0.18125,0.227272727,0
2.64764E-3,46.528151813,0.637824628,0.1796875,0.227272727,0
2.684E-3,46.796551457,0.642840648,0.178125,0.227272727,0
2.71031E-3,47.067582435,0.646427581,0.1765625,0.227272727,0
2.71188E-3,47.338770866,0.646641069,0.175,0.227272727,0
2.73578E-3,47.612349254,0.64986579,0.1734375,0.227272727,0
2.75558E-3,47.887907184,0.652514453,0.171875,0.227272727,0
2.7564E-3,48.163547028,0.652623623,0.1703125,0.227272727,0
2.76167E-3,48.439714213,0.653325609,0.16875,0.227272727,0
2.76399E-3,48.716113253,0.653633799,0.1671875,0.227272727,0
2.83147E-3,48.99926034,0.662484551,0.165625,0.227272727,0
2.8373E-3,49.282990589,0.663238726,0.1640625,0.227272727,0
2.86598E-3,49.569588292,0.666922624,0.1625,0.227272727,0
2.87154E-3,49.856741968,0.66763222,0.1609375,0.227272727,0
2.89167E-3,50.145909215,0.67018954,0.159375,0.227272727,0
2.90713E-3,50.436621778,0.672138802,0.1578125,0.227272727,0
2.92079E-3,50.728700929,0.673853017,0.15625,0.227272727,0
2.92109E-3,51.020809942,0.673890376,0.1546875,0.227272727,0
2.9252E-3,51.313330402,0.674404666,0.153125,0.227272727,0
2.99085E-3,51.612415795,0.682501719,0.1515625,0.272727273,0
3.00235E-3,51.912650743,0.683898694,0.15,0.272727273,0
3.05851E-3,52.218501485,0.690635336,0.1484375,0.272727273,0
3.06498E-3,52.524999951,0.691403044,0.146875,0.272727273,0
3.07467E-3,52.83246653,0.69254694,0.1453125,0.318181818,0
3.09161E-3,53.141627666,0.694538989,0.14375,0.363636364,0
3.0995E-3,53.451577376,0.695461594,0.1421875,0.363636364,0
3.11774E-3,53.763350971,0.697584823,0.140625,0.363636364,0
3.13184E-3,54.076535467,0.699217124,0.1390625,0.363636364,0
3.16014E-3,54.392549226,0.702463863,0.1375,0.363636364,0
3.20091E-3,54.712640635,0.707081639,0.1359375,0.363636364,0
3.20256E-3,55.032896205,0.707266036,0.134375,0.409090909,0
3.22673E-3,55.35556921,0.709968071,0.1328125,0.409090909,0
3.2418E-3,55.679748931,0.71163954,0.13125,0.409090909,0
3.28528E-3,56.008276706,0.716409219,0.1296875,0.409090909,0
3.29574E-3,56.337850323,0.717544655,0.128125,0.409090909,0
3.3059E-3,56.668440087,0.718643498,0.1265625,0.409090909,0
3.32764E-3,57.001203897,0.720980136,0.125,0.409090909,0
3.34553E-3,57.335756594,0.722888248,0.1234375,0.409090909,0
3.39556E-3,57.675312822,0.728156248,0.121875,0.409090909,0
3.47143E-3,58.022455419,0.735953198,0.1203125,0.409090909,0
3.57145E-3,58.37960022,0.745892296,0.11875,0.409090909,0
3.59265E-3,58.738865712,0.747951054,0.1171875,0.409090909,0
3.65878E-3,59.104744123,0.754264358,0.115625,0.454545455,0
3.66269E-3,59.471012681,0.754631849,0.1140625,0.454545455,0
3.67023E-3,59.838036106,0.755341321,0.1125,0.454545455,0
3.67085E-3,60.205120702,0.755398724,0.1109375,0.454545455,0
3.78934E-3,60.584055191,0.766268366,0.109375,0.454545455,0
3.79699E-3,60.963754524,0.76695311,0.1078125,0.454545455,0
3.80454E-3,61.344208513,0.767626767,0.10625,0.454545455,0
3.88358E-3,61.732566275,0.774566279,0.1046875,0.454545455,0
3.88703E-3,62.121269753,0.774865041,0.103125,0.454545455,0
3.91287E-3,62.512556978,0.777085373,0.1015625,0.454545455,0
3.9461E-3,62.907167048,0.779908686,0.1,0.454545455,0
3.97493E-3,63.304660384,0.782329511,0.0984375,0.454545455,0
4.04262E-3,63.708922105,0.787908227,0.096875,0.454545455,0
4.05203E-3,64.114125403,0.788672892,0.0953125,0.454545455,0
4.05624E-3,64.519749707,0.789013902,0.09375,0.454545455,0
4.07026E-3,64.926776197,0.790145697,0.0921875,0.454545455,0
4.07418E-3,65.334193959,0.790460432,0.090625,0.454545455,0
4.07865E-3,65.742059282,0.790819868,0.0890625,0.454545455,0
4.08713E-3,66.150772364,0.791499012,0.0875,0.454545455,0
4.129E-3,66.56367199,0.794820682,0.0859375,0.454545455,0
4.13898E-3,66.977569601,0.795604656,0.084375,0.454545455,0
4.17958E-3,67.395527616,0.79876357,0.0828125,0.454545455,0
4.19207E-3,67.814735016,0.799725709,0.08125,0.5,0
