Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.15253E-10,0.000000012,0.000000188,1,0,0
1.38257E-10,0.000000025,0.000000225,0.999909967,0,0
2.10806E-10,0.00000011,0.000000343,0.9994598,0,0
2.86991E-10,0.00000026,0.000000467,0.9989196,0,0
4.4908E-10,0.000001006,0.000000731,0.997118934,0,0
5.40808E-10,0.000002549,0.00000088,0.994327901,0,0
7.49791E-10,0.000010062,0.00000122,0.984154137,0,0
1.05216E-9,0.00002504,0.000001712,0.96929864,0,0
1.50025E-9,0.000050061,0.000002442,0.951472045,0,0
2.2345E-9,0.000100172,0.000003637,0.927343117,0,0
3.74151E-9,0.000250314,0.000006089,0.882236427,0,0
5.89559E-9,0.000500575,0.000009595,0.834968939,0,0
9.13028E-9,0.001000452,0.00001486,0.774826686,0,0
1.49974E-8,0.002501257,0.000024408,0.662825245,0,0
2.20302E-8,0.005001538,0.000035854,0.539119474,0,0
3.7236E-8,0.010002045,0.000060601,0.382101378,0,0
2.18638E-7,0.025005396,0.000355775,0.233186279,0,0
6.91076E-6,0.050336511,0.011184393,0.182047358,0,0
1.4511E-5,0.101050011,0.023340196,0.178085892,0,0
2.36778E-5,0.200304468,0.037802991,0.173314126,0,0
3.13225E-5,0.301190378,0.049700465,0.170072927,0,0
3.78681E-5,0.401779289,0.059770276,0.167461961,0,0
4.50871E-5,0.500874597,0.070752542,0.165301161,0.001792115,0
5.2173E-5,0.604275837,0.081407462,0.163410462,0.002688172,0
5.94344E-5,0.70439092,0.092199518,0.161789862,0.002688172,0
6.26877E-5,0.753361203,0.096993486,0.161069596,0.002688172,0
6.70585E-5,0.805965152,0.103394358,0.160349329,0.002688172,0
7.1844E-5,0.903061835,0.110350365,0.159088863,0.003584229,0
7.61912E-5,1.007015459,0.116622638,0.157828397,0.003584229,0
7.95294E-5,1.100851774,0.121408967,0.156747997,0.005376344,0
8.50171E-5,1.20791603,0.129221027,0.155577564,0.007168459,0
8.76375E-5,1.302822699,0.13292685,0.154587197,0.008960573,0
9.2004E-5,1.401335468,0.139066866,0.153596831,0.010752688,0
9.64643E-5,1.504819194,0.14529399,0.152606464,0.010752688,0
1.05883E-4,1.757458491,0.158295461,0.150355632,0.010752688,0
1.16626E-4,2.003040096,0.17288535,0.148374899,0.015232975,0
1.28613E-4,2.260707369,0.188864637,0.146484199,0.01702509,0
1.41218E-4,2.501210054,0.205335504,0.1448636,0.019713262,0
1.54243E-4,2.752225223,0.222003951,0.143333033,0.020609319,0
1.63222E-4,3.007866507,0.233290867,0.1418925,0.022401434,0
1.72314E-4,3.259373265,0.24455178,0.140542001,0.022401434,0
1.79817E-4,3.506949224,0.253721457,0.139281534,0.024193548,0
1.87162E-4,3.764468506,0.262589036,0.138021068,0.028673835,0
1.94288E-4,4.012774547,0.271091579,0.136850635,0.029569892,0
2.01142E-4,4.250092493,0.279177647,0.135770235,0.032258065,0
2.07734E-4,4.517484802,0.286870147,0.134599802,0.035842294,0
2.19275E-4,4.754037408,0.30013947,0.133609435,0.037634409,0
2.29143E-4,5.001680203,0.311290191,0.132619069,0.038530466,0
2.35935E-4,5.258403218,0.318860767,0.131628703,0.040322581,0
2.49596E-4,5.503764247,0.333838551,0.130728369,0.043010753,0
2.56004E-4,5.757403136,0.340749311,0.129828036,0.045698925,0
2.63823E-4,6.015663482,0.349085404,0.128927703,0.047491039,0
2.74856E-4,6.257867869,0.360670055,0.128117403,0.050179211,0
2.8557E-4,6.510768589,0.371721505,0.127307104,0.052867384,0
2.9409E-4,6.772977044,0.380373401,0.126496804,0.055555556,0
2.98834E-4,7.01030537,0.385138613,0.125776537,0.056451613,0
3.04178E-4,7.251314191,0.390463684,0.125056271,0.059139785,0
3.11033E-4,7.52884927,0.397225657,0.124245971,0.063620072,0
3.30778E-4,7.755061201,0.416288216,0.123615738,0.067204301,0
3.38234E-4,8.023595062,0.423328758,0.122895471,0.071684588,0
3.46639E-4,8.264018425,0.43116389,0.122265238,0.07437276,0
3.50657E-4,8.508398929,0.434871117,0.121635005,0.077060932,0
3.60296E-4,8.757679949,0.443667133,0.121004772,0.077060932,0
3.67785E-4,9.012176979,0.450407056,0.120374539,0.080645161,0
3.74471E-4,9.272450291,0.456355249,0.119744305,0.082437276,0
3.78561E-4,9.53568414,0.459962091,0.119114072,0.084229391,0
3.84717E-4,9.765093046,0.465346077,0.118573872,0.086021505,0
3.88819E-4,10.035589491,0.468903611,0.117943639,0.089605735,0
3.93605E-4,10.271057605,0.473023949,0.117403439,0.093189964,0
3.98126E-4,10.509188226,0.476887014,0.116863239,0.094982079,0
4.02236E-4,10.78973616,0.480375212,0.116233006,0.098566308,0
4.07344E-4,11.033509618,0.484677044,0.115692806,0.099462366,0
4.11016E-4,11.279166106,0.487747344,0.115152606,0.103046595,0
4.16125E-4,11.527124688,0.491988573,0.114612407,0.103942652,0
4.21448E-4,11.778449184,0.496371305,0.114072207,0.106630824,0
4.24887E-4,12.0321801,0.499181865,0.113532007,0.109318996,0
4.31794E-4,12.289137082,0.504779951,0.112991807,0.113799283,0
4.37046E-4,12.506865777,0.508995478,0.11254164,0.115591398,0
4.38578E-4,12.769503638,0.51021813,0.112001441,0.11827957,0
4.41173E-4,13.033880231,0.51228252,0.111461241,0.122759857,0
4.45133E-4,13.255877048,0.515415139,0.111011074,0.123655914,0
4.49184E-4,13.524335611,0.518600181,0.110470874,0.126344086,0
4.51835E-4,13.794741595,0.520672302,0.109930674,0.129928315,0
4.5506E-4,14.021888757,0.523181398,0.109480508,0.130824373,0
4.60196E-4,14.251541249,0.527150397,0.109030341,0.132616487,0
4.62312E-4,14.528164032,0.528776592,0.108490141,0.134408602,0
4.69022E-4,14.761281402,0.533894505,0.108039975,0.137096774,0
4.75575E-4,15.044409951,0.538838778,0.107499775,0.139784946,0
4.78465E-4,15.283098319,0.541003229,0.107049608,0.142473118,0
4.85209E-4,15.524540407,0.546013773,0.106599442,0.146953405,0
4.90114E-4,15.769124815,0.549623491,0.106149275,0.149641577,0
