Predictor variable,Categorical,Sample average
alt,false,340.93548387096774
alt,false,340.93548387096774
bio1,false,111.48387096774194
bio1,false,111.48387096774194
bio10,false,216.67741935483872
bio10,false,216.67741935483872
bio11,false,-0.1935483870967742
bio11,false,-0.1935483870967742
bio12,false,1047.0
bio12,false,1047.0
bio13,false,104.87096774193549
bio13,false,104.87096774193549
bio14,false,69.74193548387096
bio14,false,69.74193548387096
bio15,false,12.612903225806452
bio15,false,12.612903225806452
bio16,false,300.0
bio16,false,300.0
bio17,false,217.38709677419354
bio17,false,217.38709677419354
bio18,false,291.5483870967742
bio18,false,291.5483870967742
bio19,false,217.80645161290323
bio19,false,217.80645161290323
bio2,false,124.03225806451613
bio2,false,124.03225806451613
bio3,false,34.38709677419355
bio3,false,34.38709677419355
bio4,false,8369.612903225807
bio4,false,8369.612903225807
bio5,false,291.7096774193548
bio5,false,291.7096774193548
bio6,false,-64.54838709677419
bio6,false,-64.54838709677419
bio7,false,356.258064516129
bio7,false,356.258064516129
bio8,false,200.09677419354838
bio8,false,200.09677419354838
bio9,false,1.967741935483871
bio9,false,1.967741935483871
mask,true,50.0
