Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.49222E-8,0.000002492,0.000103458,1,0,0
2.88543E-8,0.000005378,0.00011978,0.999900764,0,0
3.14395E-8,0.000011621,0.000130511,0.999702292,0,0
4.06926E-8,0.00002649,0.000168919,0.999305349,0,0
5.39386E-8,0.000051744,0.000223899,0.998809169,0,0
6.83782E-8,0.000101812,0.000283829,0.998015282,0,0
1.03752E-7,0.000256069,0.000430629,0.996229036,0,0
1.34885E-7,0.000509808,0.000559811,0.994145083,0,0
1.84894E-7,0.001016135,0.000767286,0.990969535,0,0
2.83773E-7,0.00251987,0.001177376,0.984519202,0,0
4.32748E-7,0.005008986,0.001794921,0.977374219,0,0
6.26436E-7,0.010024398,0.002597242,0.967847574,0,0
1.14492E-6,0.025099809,0.004741811,0.950977473,0,0
1.60973E-6,0.050116584,0.006660439,0.93321425,0,0
2.24821E-6,0.100005672,0.009289905,0.907809864,0.004405286,0
3.19411E-6,0.200041978,0.013172682,0.870993351,0.004405286,0
4.12531E-6,0.300100653,0.016980218,0.843901955,0.004405286,0
5.03449E-6,0.400021438,0.020683547,0.822268532,0.008810573,0
5.8297E-6,0.500034986,0.023911201,0.803909894,0.008810573,0
6.71769E-6,0.600227687,0.027502864,0.788032152,0.008810573,0
7.59997E-6,0.70060404,0.031058368,0.774139129,0.008810573,0
7.91393E-6,0.750309374,0.032320457,0.767788032,0.008810573,0
8.28576E-6,0.800602604,0.033813057,0.761635407,0.008810573,0
9.27762E-6,0.900176329,0.037783284,0.750322517,0.008810573,0
1.0056E-5,1.000161711,0.040887782,0.740101221,0.008810573,0
1.08672E-5,1.10071846,0.044112267,0.730574576,0.008810573,0
1.15317E-5,1.200528057,0.046745265,0.721742582,0.008810573,0
1.2171E-5,1.300178735,0.049272157,0.713406768,0.008810573,0
1.29385E-5,1.400721763,0.052296593,0.705467897,0.013215859,0
1.37435E-5,1.500845033,0.055458455,0.698025206,0.013215859,0
1.57686E-5,1.750211841,0.063365843,0.681155106,0.013215859,0
1.72641E-5,2.001676854,0.069163096,0.666071251,0.013215859,0
1.90009E-5,2.251080316,0.075850573,0.652376699,0.013215859,0
2.04452E-5,2.500688912,0.081374861,0.639773742,0.013215859,0
2.18314E-5,2.752121103,0.086646227,0.627964672,0.013215859,0
2.31984E-5,3.000364692,0.091814824,0.617048725,0.013215859,0
2.44712E-5,3.251224042,0.096601234,0.606628957,0.013215859,0
2.57063E-5,3.501571824,0.101221376,0.596705369,0.017621145,0
2.69557E-5,3.751706863,0.105870914,0.58727796,0.017621145,0
2.82564E-5,4.002813897,0.110686212,0.578247494,0.017621145,0
2.94363E-5,4.25079506,0.11503173,0.569713208,0.017621145,0
3.05646E-5,4.502781071,0.119167155,0.561377394,0.017621145,0
3.15737E-5,4.751400258,0.122849382,0.553438523,0.017621145,0
3.26787E-5,5.002193035,0.126864204,0.545698124,0.017621145,0
3.38272E-5,5.251273013,0.131017139,0.538255433,0.017621145,0
3.5075E-5,5.503164689,0.135507157,0.531011214,0.022026432,0
3.60573E-5,5.752143233,0.139025238,0.524064702,0.026431718,0
3.71703E-5,6.001502933,0.142994319,0.517316662,0.030837004,0
3.82495E-5,6.250520688,0.146825231,0.510767093,0.039647577,0
3.94219E-5,6.503061707,0.150967705,0.504316761,0.039647577,0
4.0156E-5,6.753641964,0.153551446,0.4980649,0.039647577,0
4.11533E-5,7.001632193,0.157048692,0.492011511,0.039647577,0
4.21716E-5,7.25142418,0.160604471,0.486057358,0.039647577,0
4.33724E-5,7.503962147,0.164778693,0.480202441,0.044052863,0
4.45739E-5,7.750080514,0.168934166,0.474645232,0.044052863,0
4.58284E-5,8.003156718,0.173251086,0.469088022,0.04845815,0
4.70883E-5,8.254214396,0.177564276,0.463729285,0.04845815,0
4.81582E-5,8.501953825,0.181209199,0.458569019,0.04845815,0
4.92974E-5,8.750023302,0.185072266,0.453507988,0.04845815,0
5.02619E-5,9.004171019,0.188328788,0.448446958,0.052863436,0
5.1248E-5,9.252696466,0.191644604,0.4435844,0.052863436,0
5.20478E-5,9.50078791,0.194324209,0.438821078,0.052863436,0
5.29723E-5,9.752841595,0.197410468,0.434057755,0.052863436,0
5.37231E-5,10.003611142,0.199908229,0.429393669,0.057268722,0
5.45599E-5,10.252729044,0.202682759,0.424828818,0.061674009,0
5.54326E-5,10.500316759,0.205566192,0.420363203,0.061674009,0
5.62281E-5,10.751573476,0.208185663,0.415897589,0.061674009,0
5.70538E-5,11.00092318,0.210895321,0.41153121,0.061674009,0
5.78699E-5,11.253599157,0.213564042,0.407164831,0.061674009,0
5.84382E-5,11.503732426,0.215417276,0.402897688,0.061674009,0
5.92215E-5,11.75103761,0.217964689,0.398729781,0.066079295,0
6.0008E-5,12.001392488,0.220513982,0.394561874,0.066079295,0
6.07405E-5,12.255109756,0.222880617,0.390393966,0.066079295,0
6.14903E-5,12.50575646,0.225295699,0.386325295,0.066079295,0
6.21398E-5,12.75278741,0.227382004,0.38235586,0.070484581,0
6.29678E-5,13.003213908,0.23003307,0.378386425,0.074889868,0
6.38277E-5,13.250589028,0.232777044,0.374516225,0.074889868,0
6.45631E-5,13.501017209,0.235115576,0.370646026,0.074889868,0
6.53259E-5,13.754176452,0.237534076,0.366775826,0.074889868,0
6.61507E-5,14.00400033,0.240140323,0.363004863,0.074889868,0
6.70861E-5,14.250605522,0.243085267,0.359333135,0.079295154,0
6.81246E-5,14.500973683,0.246341498,0.355661407,0.079295154,0
6.90174E-5,14.75481292,0.249129864,0.351989679,0.079295154,0
7.01276E-5,15.005309269,0.252582489,0.348417188,0.079295154,0
7.11802E-5,15.252868578,0.255841333,0.344943932,0.079295154,0
7.2257E-5,15.503970683,0.259160764,0.341470676,0.088105727,0
7.33612E-5,15.751824082,0.262548894,0.338096656,0.092511013,0
7.43782E-5,16.002848441,0.265655909,0.334722636,0.0969163,0
7.53316E-5,16.25732968,0.268556546,0.331348616,0.101321586,0
7.61047E-5,16.507151918,0.27090037,0.328073831,0.101321586,0
7.707E-5,16.75238319,0.273816272,0.324898283,0.101321586,0
7.78344E-5,17.000240007,0.2761171,0.321722735,0.105726872,0
7.87288E-5,17.250936046,0.278799944,0.318547187,0.110132159,0
7.9499E-5,17.504064599,0.281102332,0.315371638,0.114537445,0
8.05943E-5,17.752341986,0.284363855,0.312295326,0.118942731,0
8.18204E-5,18.00413969,0.287997101,0.309219014,0.127753304,0
8.29842E-5,18.25165195,0.291429039,0.306241937,0.127753304,0
8.38799E-5,18.501942747,0.294058813,0.303264861,0.127753304,0
8.50818E-5,18.755465485,0.297572579,0.300287784,0.127753304,0
8.59906E-5,19.003496077,0.30021766,0.297409943,0.127753304,0
8.72699E-5,19.255018479,0.303924239,0.294532103,0.127753304,0
8.82544E-5,19.500701335,0.306763447,0.291753498,0.13215859,0
8.93879E-5,19.758195459,0.310017874,0.288875657,0.13215859,0
9.01797E-5,20.000524529,0.312282199,0.286196289,0.13215859,0
9.12424E-5,20.254748816,0.315309697,0.283417684,0.13215859,0
