Predictor variable,Categorical,Sample average
BIOCLIM_1,false,139.546875
BIOCLIM_12,false,581.046875
BIOCLIM_17,false,39.734375
BIOCLIM_7,false,316.984375
GTOPO30_ELEVATION,false,1898.359375
GTOPO30_SLOPE_reduced,false,5.90625
ISRICSOILGRIDS_new_average_coarsefragmentpercent_reduced,false,24.796875
ISRICSOILGRIDS_new_average_phx10percent_reduced,false,66.296875
ISRICSOILGRIDS_new_average_sandpercent_reduced,false,31.578125
ISRICSOILGRIDS_new_average_soilorganiccarboncontent_reduced,false,20.171875
LandCover_1_Needleleaf,false,23.390625
LandCover_6_Herbaceous,false,9.375
mask,true,50.0
